// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
00703,-3.679517,2.165809,8.938510,0.165766,0.077883,0.091503,-0.004230,0.038857,0.063408,-0.036785,0.021648,0.089392,1.000000,-0.000021,0.000194,0.000317,-0.818087,-0.190058,-0.103514,0.532819,12.483847,21.832802,-63.735407
00704,-3.706838,2.248015,8.971281,0.228425,0.113950,0.147881,-0.008930,0.041057,0.031807,-0.037054,0.022478,0.089719,1.000000,-0.000045,0.000205,0.000159,-0.818190,-0.190113,-0.103674,0.532610,12.485425,21.849023,-63.706090
00705,-3.709640,2.166459,8.936671,0.155573,0.098965,0.101195,-0.005766,0.037853,-0.000456,-0.037079,0.021667,0.089373,1.000000,-0.000029,0.000189,-0.000002,-0.818211,-0.190155,-0.103844,0.532531,12.481428,21.867375,-63.695657
00706,-3.688219,2.113092,8.920483,0.118817,0.066381,0.067830,-0.010198,0.034693,-0.020679,-0.036865,0.021139,0.089210,1.000000,-0.000051,0.000173,-0.000103,-0.818178,-0.190161,-0.104032,0.532542,12.470193,21.886536,-63.698826
00707,-3.714828,2.063086,8.929929,0.065074,0.064505,0.076271,-0.004681,0.027759,-0.036335,-0.037132,0.020640,0.089304,1.000000,-0.000023,0.000139,-0.000182,-0.818103,-0.190163,-0.104191,0.532625,12.458271,21.903790,-63.712182
00708,-3.689921,1.947043,8.976369,-0.028952,-0.019354,0.085822,-0.000929,0.023819,-0.043587,-0.036884,0.019479,0.089768,1.000000,-0.000005,0.000119,-0.000218,-0.818007,-0.190165,-0.104331,0.532745,12.446646,21.919697,-63.730621
00709,-3.715511,1.901738,9.009859,-0.078751,-0.030137,0.116667,-0.002985,0.024550,-0.046884,-0.037140,0.019027,0.090103,1.000000,-0.000015,0.000123,-0.000234,-0.817904,-0.190159,-0.104484,0.532875,12.433064,21.936417,-63.750780
00710,-3.670692,1.867454,8.964335,-0.087241,-0.062528,0.051853,0.003096,0.030731,-0.039999,-0.036689,0.018680,0.089649,1.000000,0.000015,0.000154,-0.000200,-0.817810,-0.190199,-0.104638,0.532975,12.424883,21.955741,-63.766148
00711,-3.676448,1.967444,8.967418,0.003653,-0.026182,0.076751,0.016933,0.039672,-0.038924,-0.036743,0.019674,0.089683,1.000000,0.000085,0.000198,-0.000195,-0.817702,-0.190319,-0.104791,0.533067,12.425315,21.979940,-63.779270
00712,-3.680296,1.972315,8.989502,0.007723,-0.034463,0.099149,0.014973,0.042981,-0.038144,-0.036780,0.019723,0.089904,1.000000,0.000075,0.000215,-0.000191,-0.817595,-0.190441,-0.104962,0.533155,12.424953,22.005889,-63.791896
00713,-3.710055,1.938271,8.945246,-0.032155,-0.007433,0.063432,0.017027,0.047728,-0.034311,-0.037076,0.019381,0.089463,1.000000,0.000085,0.000239,-0.000172,-0.817493,-0.190586,-0.105144,0.533223,12.426816,22.034050,-63.801541
00714,-3.688711,1.867568,8.956912,-0.086650,-0.060138,0.051873,0.019230,0.050978,-0.023822,-0.036862,0.018671,0.089580,1.000000,0.000096,0.000255,-0.000119,-0.817416,-0.190754,-0.105322,0.533246,12.432527,22.062708,-63.804460
00715,-3.717962,1.839559,8.936250,-0.122578,-0.042025,0.038556,0.025351,0.050940,-0.014139,-0.037156,0.018387,0.089374,1.000000,0.000127,0.000255,-0.000071,-0.817353,-0.190952,-0.105475,0.533242,12.443782,22.090294,-63.802745
00716,-3.724567,1.913393,8.919280,-0.057336,-0.007921,0.040418,0.029476,0.049702,-0.005391,-0.037223,0.019122,0.089205,1.000000,0.000147,0.000249,-0.000027,-0.817315,-0.191168,-0.105603,0.533197,12.459489,22.115963,-63.794694
00717,-3.705058,1.940148,8.911464,-0.025008,-0.015967,0.031344,0.023732,0.045031,0.002746,-0.037031,0.019390,0.089125,1.000000,0.000119,0.000225,0.000014,-0.817304,-0.191353,-0.105720,0.533124,12.473462,22.138105,-63.782903
00718,-3.783142,1.988503,8.901737,-0.012904,0.066407,0.061656,0.019821,0.037582,0.004632,-0.037815,0.019875,0.089026,1.000000,0.000099,0.000188,0.000023,-0.817309,-0.191503,-0.105815,0.533044,12.485319,22.155749,-63.770402
00719,-3.810662,1.985192,8.876910,-0.027163,0.095680,0.048944,0.023734,0.022375,0.003952,-0.038097,0.019841,0.088776,1.000000,0.000119,0.000112,0.000020,-0.817311,-0.191629,-0.105838,0.532991,12.498409,22.165121,-63.761369
00720,-3.763770,2.041228,8.888732,0.041254,0.070151,0.053189,0.020009,0.008174,0.014112,-0.037636,0.020401,0.088891,1.000000,0.000100,0.000041,0.000071,-0.817357,-0.191706,-0.105803,0.532900,12.511056,22.165134,-63.747072
00721,-3.787266,1.961271,8.855789,-0.042021,0.074786,0.016229,0.016020,-0.004004,0.012141,-0.037876,0.019603,0.088559,1.000000,0.000080,-0.000020,0.000061,-0.817405,-0.191732,-0.105731,0.532832,12.520097,22.158615,-63.736204
00722,-3.833637,1.943141,8.886020,-0.080614,0.094944,0.057389,0.012268,-0.017237,0.021122,-0.038346,0.019422,0.088858,1.000000,0.000061,-0.000086,0.000106,-0.817489,-0.191713,-0.105606,0.532733,12.528615,22.143539,-63.721083
00723,-3.756817,1.898908,8.894414,-0.092381,0.013762,0.027100,0.012464,-0.024953,0.030579,-0.037582,0.018978,0.088941,1.000000,0.000062,-0.000125,0.000153,-0.817600,-0.191679,-0.105441,0.532608,12.538786,22.123039,-63.701986
00724,-3.779936,1.972629,8.881164,-0.037658,0.067724,0.038619,0.014574,-0.030719,0.037646,-0.037817,0.019713,0.088807,1.000000,0.000073,-0.000154,0.000188,-0.817734,-0.191643,-0.105239,0.532456,12.551685,22.098362,-63.678711
00725,-3.752353,2.028379,8.895660,0.020296,0.062044,0.052553,0.008734,-0.037965,0.041710,-0.037545,0.020272,0.088950,1.000000,0.000044,-0.000190,0.000209,-0.817891,-0.191564,-0.105020,0.532286,12.561678,22.069094,-63.653398
00726,-3.722539,2.012097,8.925068,0.013172,0.022793,0.064659,0.008604,-0.039586,0.036453,-0.037247,0.020110,0.089244,1.000000,0.000043,-0.000198,0.000182,-0.818031,-0.191479,-0.104799,0.532144,12.570410,22.039599,-63.632054
00727,-3.646334,2.092071,8.933494,0.113825,-0.011275,0.059837,0.002780,-0.037058,0.040611,-0.036484,0.020912,0.089328,1.000000,0.000014,-0.000185,0.000203,-0.818188,-0.191378,-0.104601,0.531980,12.576642,22.010987,-63.607848
00728,-3.665032,2.050271,8.969156,0.064042,-0.022103,0.090708,0.000706,-0.033220,0.035909,-0.036669,0.020496,0.089686,1.000000,0.000004,-0.000166,0.000180,-0.818331,-0.191277,-0.104427,0.531829,12.581022,21.985115,-63.585992
00729,-3.684254,2.008296,9.004666,0.014261,-0.032916,0.121582,0.000699,-0.026778,0.035254,-0.036858,0.020076,0.090042,1.000000,0.000003,-0.000134,0.000176,-0.818476,-0.191191,-0.104283,0.531666,12.585511,21.962813,-63.562306
00730,-3.704773,1.932405,8.997063,-0.065101,-0.037242,0.107043,-0.003217,-0.019190,0.035621,-0.037060,0.019319,0.089967,1.000000,-0.000016,-0.000096,0.000178,-0.818615,-0.191111,-0.104177,0.531501,12.588265,21.944820,-63.538746
00731,-3.704362,1.976624,8.963947,-0.025558,-0.005388,0.085848,0.000862,-0.012057,0.041347,-0.037053,0.019758,0.089637,1.000000,0.000004,-0.000060,0.000207,-0.818765,-0.191070,-0.104086,0.531303,12.595114,21.930129,-63.509972
00732,-3.727709,2.001627,8.960090,-0.014240,0.026228,0.096129,-0.001107,-0.005633,0.040721,-0.037284,0.020009,0.089600,1.000000,-0.000006,-0.000028,0.000204,-0.818908,-0.191038,-0.104025,0.531106,12.600892,21.919075,-63.481520
00733,-3.677198,2.008643,8.982723,0.010871,-0.021594,0.099182,-0.001248,-0.001995,0.033845,-0.036776,0.020081,0.089827,1.000000,-0.000006,-0.000010,0.000169,-0.819035,-0.191009,-0.103988,0.530928,12.605078,21.910839,-63.456034
00734,-3.701355,2.033268,8.978607,0.022185,0.010030,0.109459,0.000601,-0.001452,0.028341,-0.037017,0.020327,0.089786,1.000000,0.000003,-0.000007,0.000142,-0.819141,-0.190988,-0.103952,0.530778,12.609251,21.903667,-63.434485
00735,-3.626945,2.016416,9.005067,0.036141,-0.068806,0.102244,0.002356,0.010354,0.016269,-0.036266,0.020160,0.090053,1.000000,0.000012,0.000052,0.000081,-0.819208,-0.190999,-0.103972,0.530667,12.612171,21.904611,-63.418583
