// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
01141,-9.589478,-1.233937,-0.460265,-0.149718,-0.001640,-0.134355,-0.119217,0.025484,0.012973,-0.095895,-0.012348,-0.004583,1.000000,-0.000596,0.000127,0.000065,0.347201,0.581060,0.435089,-0.593733,-115.453845,82.800181,131.865124
01142,-9.622871,-1.317521,-0.561666,-0.188565,0.117963,-0.086357,-0.104616,0.033232,0.017477,-0.096228,-0.013187,-0.005594,1.000000,-0.000523,0.000166,0.000087,0.347529,0.581019,0.435375,-0.593371,-115.685817,82.807243,131.692836
01143,-9.600063,-1.267247,-0.621900,-0.125539,0.154385,-0.111436,-0.073900,0.029300,0.021273,-0.096000,-0.012685,-0.006200,1.000000,-0.000370,0.000147,0.000106,0.347785,0.581032,0.435545,-0.593084,-115.890103,82.817493,131.529580
01144,-9.584789,-1.222570,-0.594077,-0.101297,0.111818,-0.133172,-0.078859,0.026874,0.027716,-0.095847,-0.012241,-0.005923,1.000000,-0.000394,0.000134,0.000139,0.348070,0.581051,0.435696,-0.592786,-116.102963,82.831719,131.358821
01145,-9.584898,-1.219667,-0.598283,-0.102037,0.112648,-0.133189,-0.071968,0.041673,0.023478,-0.095849,-0.012210,-0.005958,1.000000,-0.000360,0.000208,0.000117,0.348300,0.581108,0.435875,-0.592464,-116.362338,82.839810,131.138935
01146,-9.576824,-1.180459,-0.676121,-0.041963,0.166271,-0.141246,-0.074773,0.069113,0.015570,-0.095770,-0.011815,-0.006724,1.000000,-0.000374,0.000346,0.000078,0.348452,0.581225,0.436134,-0.592068,-116.721454,82.836491,130.820201
01147,-9.444291,-0.925791,-0.722705,0.192664,0.120434,-0.298361,-0.067575,0.082144,0.040320,-0.094444,-0.009279,-0.007185,1.000000,-0.000338,0.000411,0.000202,0.348630,0.581447,0.436321,-0.591608,-117.178557,82.842330,130.398498
01148,-9.527147,-0.460192,-0.747241,0.624121,-0.044162,-0.265690,-0.080789,0.102178,0.147477,-0.095272,-0.004675,-0.007422,1.000000,-0.000404,0.000511,0.000737,0.349120,0.581936,0.436275,-0.590872,-117.954674,82.896365,129.663413
01149,-10.166197,-0.595810,-0.044290,0.268122,-0.703606,0.343176,-0.096224,0.023650,0.049908,-0.101661,-0.005984,-0.000428,1.000000,-0.000481,0.000118,0.000250,0.349537,0.581954,0.436416,-0.590503,-118.216288,82.921787,129.455311
01150,-9.561406,-0.871708,-0.577753,0.168687,-0.050900,-0.195873,-0.263564,-0.026955,-0.055313,-0.095616,-0.008698,-0.005779,0.999999,-0.001318,-0.000135,-0.000277,0.350246,0.581297,0.437279,-0.590091,-118.143064,82.907403,129.682894
