// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
01916,-3.972804,2.727370,8.613890,-0.043084,0.014654,0.057406,-0.024295,-0.002265,-0.026637,-0.039725,0.027289,0.086135,1.000000,-0.000121,-0.000011,-0.000133,0.753693,0.242370,0.070249,-0.606851,17.794582,23.581782,-73.936603
01917,-3.973557,2.724248,8.614530,-0.043111,0.015363,0.057405,-0.024963,0.003832,-0.023717,-0.039731,0.027258,0.086143,1.000000,-0.000125,0.000019,-0.000119,0.753703,0.242248,0.070362,-0.606875,17.773821,23.583992,-73.942164
01918,-3.974489,2.721564,8.614948,-0.043149,0.016052,0.057403,-0.016529,0.003537,-0.021413,-0.039740,0.027227,0.086148,1.000000,-0.000083,0.000018,-0.000107,0.753709,0.242158,0.070447,-0.606893,17.758518,23.585737,-73.946375
01919,-3.984624,2.717574,8.648408,-0.053590,0.009705,0.089556,-0.011165,0.002238,-0.022355,-0.039842,0.027185,0.086483,1.000000,-0.000056,0.000011,-0.000112,0.753707,0.242083,0.070511,-0.606919,17.745865,23.586837,-73.951430
01920,-3.978573,2.747862,8.598473,-0.012179,0.031590,0.052016,-0.008095,0.003243,-0.019108,-0.039782,0.027486,0.085984,1.000000,-0.000040,0.000016,-0.000096,0.753710,0.242025,0.070565,-0.606932,17.735916,23.588011,-73.954346
01921,-3.970734,2.728526,8.635797,-0.034146,0.005312,0.076063,-0.005257,0.002876,-0.016628,-0.039704,0.027291,0.086358,1.000000,-0.000026,0.000014,-0.000083,0.753717,0.241977,0.070607,-0.606937,17.728062,23.588457,-73.955870
01922,-3.967691,2.769367,8.639344,0.005945,0.007308,0.089340,-0.005489,0.001505,-0.017396,-0.039674,0.027699,0.086393,1.000000,-0.000027,0.000008,-0.000087,0.753723,0.241924,0.070645,-0.606946,17.719876,23.588384,-73.958068
01923,-3.965965,2.738545,8.656155,-0.025109,-0.006127,0.094727,0.002749,0.004239,-0.017285,-0.039655,0.027388,0.086563,1.000000,0.000014,0.000021,-0.000086,0.753718,0.241910,0.070668,-0.606955,17.716555,23.589688,-73.959724
01924,-3.970404,2.696121,8.652460,-0.065268,-0.006751,0.081449,0.001584,0.003191,-0.014477,-0.039701,0.026963,0.086525,1.000000,0.000008,0.000016,-0.000072,0.753724,0.241889,0.070687,-0.606954,17.713242,23.590012,-73.959886
01925,-3.969876,2.767987,8.638783,0.005858,0.009443,0.089338,0.009359,0.003183,-0.015903,-0.039695,0.027679,0.086390,1.000000,0.000047,0.000016,-0.000080,0.753716,0.241897,0.070685,-0.606961,17.713957,23.590499,-73.960920
