// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
47147,-2.073164,2.450894,9.438026,0.037232,0.152052,0.155096,0.139670,-0.034689,-0.098873,-0.020736,0.024453,0.094394,1.000000,0.000698,-0.000173,-0.000494,0.273359,0.131855,-0.097669,-0.947813,15.209524,11.335344,-146.305488
47148,-2.048958,2.725204,9.420588,0.152948,-0.080757,0.204424,0.149559,-0.043467,-0.094998,-0.020497,0.027191,0.094222,1.000000,0.000748,-0.000217,-0.000475,0.272831,0.131871,-0.098347,-0.947893,15.279694,11.322725,-146.361687
47149,-1.981530,2.720122,9.339135,0.115707,-0.111422,0.112994,0.139140,-0.045985,-0.072340,-0.019827,0.027143,0.093406,1.000000,0.000696,-0.000230,-0.000362,0.272415,0.131850,-0.098997,-0.947948,15.346662,11.305376,-146.405460
47150,-1.877780,2.790009,9.271870,0.080862,-0.222622,0.047417,0.147373,-0.027541,-0.060555,-0.018782,0.027837,0.092737,1.000000,0.000737,-0.000138,-0.000303,0.272059,0.131921,-0.099665,-0.947970,15.419907,11.296458,-146.439811
47151,-1.906349,2.749395,9.278555,0.077086,-0.163203,0.048973,0.109403,-0.015341,-0.057214,-0.019063,0.027449,0.092799,1.000000,0.000547,-0.000077,-0.000286,0.271749,0.131998,-0.100142,-0.947998,15.472447,11.293825,-146.470335
47152,-1.901311,2.614715,9.266124,0.005999,-0.047643,0.001102,0.115148,-0.009768,-0.056165,-0.019010,0.026099,0.092675,1.000000,0.000576,-0.000049,-0.000281,0.271444,0.132107,-0.100637,-0.948018,15.528283,11.294113,-146.499449
47153,-1.809053,2.710896,9.322109,-0.045279,-0.163369,0.061248,0.114784,-0.001567,-0.059949,-0.018083,0.027061,0.093236,1.000000,0.000574,-0.000008,-0.000300,0.271124,0.132257,-0.101118,-0.948037,15.584024,11.299559,-146.529359
47154,-1.839179,2.634646,9.337168,-0.068380,-0.075433,0.061333,0.097365,0.008087,-0.063448,-0.018380,0.026307,0.093385,1.000000,0.000487,0.000040,-0.000317,0.270805,0.132431,-0.101500,-0.948064,15.629423,11.310868,-146.559765
47155,-1.881699,2.610919,9.353572,-0.056180,-0.025230,0.078884,0.098790,0.010435,-0.058161,-0.018805,0.026068,0.093550,1.000000,0.000494,0.000052,-0.000291,0.270511,0.132615,-0.101890,-0.948080,15.676561,11.322709,-146.586770
47156,-1.993965,2.571547,9.383295,0.001642,0.077833,0.118521,0.102260,0.004403,-0.043071,-0.019932,0.025672,0.093847,1.000000,0.000511,0.000022,-0.000215,0.270282,0.132767,-0.102313,-0.948078,15.726897,11.328866,-146.606276
47157,-1.983417,2.560687,9.371691,-0.013638,0.086832,0.102550,0.102207,-0.010006,-0.034337,-0.019834,0.025562,0.093729,1.000000,0.000511,-0.000050,-0.000172,0.270088,0.132847,-0.102763,-0.948074,15.777987,11.325776,-146.623106
47158,-1.918387,2.585718,9.282916,-0.031557,0.027551,0.012632,0.102000,-0.013113,-0.031877,-0.019186,0.025813,0.092841,1.000000,0.000510,-0.000066,-0.000159,0.269904,0.132910,-0.103216,-0.948068,15.828861,11.320569,-146.639096
