// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
36202,-9.224673,-2.587875,-1.271432,0.026700,-0.166009,-0.149357,0.011008,-0.012766,-0.011734,-0.092247,-0.025873,-0.012722,1.000000,0.000055,-0.000064,-0.000059,-0.252407,-0.588133,-0.476087,0.603101,-117.619329,71.758134,125.276029
36203,-9.229808,-2.567087,-1.344084,0.080382,-0.111144,-0.139682,-0.010540,-0.014426,-0.007660,-0.092298,-0.025668,-0.013446,1.000000,-0.000053,-0.000072,-0.000038,-0.252498,-0.588064,-0.476090,0.603128,-117.597616,71.764720,125.306132
36204,-9.253322,-2.588020,-1.387891,0.087001,-0.068573,-0.105176,-0.014566,-0.012877,-0.000915,-0.092532,-0.025881,-0.013883,1.000000,-0.000073,-0.000064,-0.000005,-0.252618,-0.588011,-0.476089,0.603131,-117.586441,71.774374,125.327810
36205,-9.282374,-2.701693,-1.346416,-0.026186,-0.063264,-0.052064,-0.053386,-0.012536,-0.005330,-0.092824,-0.027018,-0.013463,1.000000,-0.000267,-0.000063,-0.000027,-0.252837,-0.587899,-0.476217,0.603047,-117.594036,71.781639,125.352900
36206,-9.365725,-2.827507,-1.378171,-0.106349,-0.003574,0.066565,-0.051613,-0.007101,-0.001787,-0.093657,-0.028278,-0.013778,1.000000,-0.000258,-0.000036,-0.000009,-0.253050,-0.587814,-0.476337,0.602945,-117.612280,71.789322,125.365953
36207,-9.299164,-2.885399,-1.319948,-0.197238,-0.012317,0.010916,-0.050263,-0.014538,0.001988,-0.092990,-0.028858,-0.013199,1.000000,-0.000251,-0.000073,0.000010,-0.253286,-0.587717,-0.476432,0.602866,-117.620891,71.800837,125.388088
36208,-9.232437,-2.875366,-1.306233,-0.208873,-0.010311,-0.057272,-0.059087,-0.013018,0.005920,-0.092323,-0.028760,-0.013060,1.000000,-0.000295,-0.000065,0.000030,-0.253558,-0.587623,-0.476544,0.602754,-117.640475,71.814003,125.404212
36209,-9.292127,-2.844113,-1.382446,-0.137803,0.029248,0.001787,-0.056620,-0.013202,0.011775,-0.092919,-0.028451,-0.013823,1.000000,-0.000283,-0.000066,0.000059,-0.253840,-0.587546,-0.476631,0.602643,-117.662706,71.830134,125.415842
36210,-9.338574,-2.775781,-1.375414,-0.075904,-0.015128,0.025997,-0.025631,-0.016237,0.017468,-0.093382,-0.027768,-0.013758,1.000000,-0.000128,-0.000081,0.000087,-0.254056,-0.587512,-0.476605,0.602605,-117.667479,71.850011,125.427378
36211,-9.292483,-2.684854,-1.399839,0.003714,-0.017133,-0.039360,-0.050218,-0.027251,0.016699,-0.092921,-0.026860,-0.014004,1.000000,-0.000251,-0.000136,0.000083,-0.254367,-0.587412,-0.476640,0.602544,-117.668269,71.872380,125.457707
36212,-9.283702,-2.718459,-1.507476,0.020472,0.095734,-0.022894,-0.052743,-0.016558,0.018902,-0.092833,-0.027197,-0.015075,1.000000,-0.000264,-0.000083,0.000095,-0.254668,-0.587346,-0.476690,0.602442,-117.689220,71.893072,125.468551
36213,-9.315370,-2.707744,-1.534592,0.045511,0.109355,0.008155,-0.033290,-0.017961,0.015409,-0.093150,-0.027087,-0.015350,1.000000,-0.000166,-0.000090,0.000077,-0.254903,-0.587292,-0.476690,0.602395,-117.693641,71.912315,125.484850
36214,-9.287440,-2.659350,-1.530012,0.078068,0.095052,-0.032376,-0.015946,-0.015723,0.021404,-0.092870,-0.026605,-0.015305,1.000000,-0.000080,-0.000079,0.000107,-0.255101,-0.587281,-0.476623,0.602374,-117.696857,71.934053,125.492170
36215,-9.252115,-2.639946,-1.542485,0.092212,0.109739,-0.069502,-0.010109,-0.015629,0.019050,-0.092517,-0.026409,-0.015431,1.000000,-0.000051,-0.000078,0.000095,-0.255273,-0.587273,-0.476545,0.602371,-117.694565,71.954523,125.501556
36216,-9.300679,-2.564643,-1.443246,0.118212,-0.017607,-0.058268,0.008054,-0.010479,0.022369,-0.093003,-0.025656,-0.014438,1.000000,0.000040,-0.000052,0.000112,-0.255392,-0.587311,-0.476410,0.602391,-117.692993,71.975349,125.499469
36217,-9.241662,-2.525235,-1.410768,0.125088,-0.044650,-0.129829,-0.001950,-0.015320,0.013640,-0.092414,-0.025259,-0.014115,1.000000,-0.000010,-0.000077,0.000068,-0.255523,-0.587301,-0.476324,0.602413,-117.682049,71.992993,125.513035
36218,-9.232276,-2.539930,-1.447268,0.126221,-0.001514,-0.129464,-0.004179,-0.015058,0.015038,-0.092320,-0.025407,-0.014479,1.000000,-0.000021,-0.000075,0.000075,-0.255666,-0.587292,-0.476241,0.602427,-117.674328,72.011326,125.524772
36219,-9.258394,-2.552313,-1.399741,0.096923,-0.041880,-0.108035,-0.000286,-0.013279,0.009115,-0.092582,-0.025527,-0.014004,1.000000,-0.000001,-0.000066,0.000046,-0.255774,-0.587279,-0.476165,0.602453,-117.661868,72.026129,125.538927
36220,-9.223303,-2.553953,-1.482464,0.126670,0.042516,-0.129101,0.001125,-0.016457,0.010391,-0.092230,-0.025544,-0.014832,1.000000,0.000006,-0.000082,0.000052,-0.255891,-0.587262,-0.476079,0.602489,-117.645078,72.042474,125.557033
36221,-9.213232,-2.549527,-1.448178,0.112217,0.015918,-0.144797,0.012046,-0.014925,0.005871,-0.092130,-0.025497,-0.014490,1.000000,0.000060,-0.000075,0.000029,-0.255957,-0.587252,-0.475974,0.602553,-117.620261,72.056065,125.576748
36222,-9.166880,-2.528290,-1.427715,0.112593,0.003071,-0.197615,0.008690,-0.010059,0.001027,-0.091668,-0.025283,-0.014283,1.000000,0.000043,-0.000050,0.000005,-0.256008,-0.587241,-0.475900,0.602600,-117.601444,72.065959,125.592418
36223,-9.259358,-2.482942,-1.438607,0.173428,-0.027534,-0.120450,0.017821,-0.007250,0.001854,-0.092593,-0.024829,-0.014392,1.000000,0.000089,-0.000036,0.000009,-0.256026,-0.587253,-0.475799,0.602661,-117.582015,72.075469,125.602990
36224,-9.235913,-2.462662,-1.392447,0.165467,-0.068387,-0.154859,0.011795,-0.014989,-0.001390,-0.092358,-0.024625,-0.013933,1.000000,0.000059,-0.000075,-0.000007,-0.256073,-0.587225,-0.475716,0.602733,-117.551678,72.085441,125.628925
36225,-9.238597,-2.476051,-1.370198,0.144511,-0.080747,-0.151810,0.006461,-0.016497,-0.006484,-0.092386,-0.024757,-0.013710,1.000000,0.000032,-0.000082,-0.000032,-0.256122,-0.587174,-0.475662,0.602805,-117.517348,72.093161,125.661995
36226,-9.172526,-2.555547,-1.380547,0.069281,-0.019890,-0.191524,0.006585,-0.019813,-0.007310,-0.091725,-0.025552,-0.013815,1.000000,0.000033,-0.000099,-0.000037,-0.256177,-0.587112,-0.475607,0.602886,-117.477503,72.101399,125.701051
36227,-9.162091,-2.552450,-1.345904,0.054843,-0.046505,-0.207210,0.017002,-0.016863,-0.004387,-0.091620,-0.025521,-0.013469,1.000000,0.000085,-0.000084,-0.000022,-0.256203,-0.587078,-0.475514,0.602981,-117.438209,72.110268,125.732988
36228,-9.159552,-2.540492,-1.364644,0.074420,-0.032369,-0.210231,0.015243,-0.014227,-0.011267,-0.091596,-0.025399,-0.013655,1.000000,0.000076,-0.000071,-0.000056,-0.256208,-0.587034,-0.475451,0.603071,-117.398906,72.115006,125.766267
36229,-9.171655,-2.470605,-1.349345,0.130924,-0.076211,-0.219933,0.003542,-0.010616,-0.007381,-0.091717,-0.024702,-0.013499,1.000000,0.000018,-0.000053,-0.000037,-0.256248,-0.586995,-0.475416,0.603120,-117.374674,72.120693,125.790480
36230,-9.194526,-2.472212,-1.322560,0.121875,-0.103319,-0.201507,-0.017106,-0.015569,-0.016538,-0.091946,-0.024716,-0.013231,1.000000,-0.000086,-0.000078,-0.000083,-0.256335,-0.586892,-0.475465,0.603144,-117.347468,72.123100,125.830522
36231,-9.187899,-2.589778,-1.365128,0.039045,-0.014451,-0.169748,-0.039320,-0.015384,-0.013918,-0.091880,-0.025894,-0.013653,1.000000,-0.000197,-0.000077,-0.000070,-0.256494,-0.586768,-0.475572,0.603113,-117.334912,72.126709,125.868270
36232,-9.163120,-2.664496,-1.437279,0.003260,0.086665,-0.162788,-0.039448,-0.012066,-0.013096,-0.091632,-0.026642,-0.014373,1.000000,-0.000197,-0.000060,-0.000065,-0.256648,-0.586656,-0.475682,0.603069,-117.328823,72.129942,125.899576
36233,-9.169036,-2.846292,-1.378053,-0.180974,0.109266,-0.115939,-0.050655,-0.009871,-0.016664,-0.091692,-0.028459,-0.013778,1.000000,-0.000253,-0.000049,-0.000083,-0.256818,-0.586528,-0.475838,0.602999,-117.329210,72.130701,125.930546
36234,-9.177100,-2.973621,-1.342898,-0.306233,0.129380,-0.078498,-0.036319,-0.008929,-0.018842,-0.091773,-0.029730,-0.013428,1.000000,-0.000182,-0.000045,-0.000094,-0.256939,-0.586415,-0.475960,0.602960,-117.321578,72.130177,125.961580
36235,-9.184025,-2.878122,-1.369108,-0.209177,0.112052,-0.094249,0.065614,-0.000608,-0.002705,-0.091841,-0.028775,-0.013701,1.000000,0.000328,-0.000003,-0.000014,-0.256788,-0.586497,-0.475737,0.603121,-117.281353,72.135603,125.965227
36236,-9.188067,-2.567730,-1.201304,-0.015847,-0.162802,-0.198626,0.073139,0.004436,0.000144,-0.091881,-0.025673,-0.012020,1.000000,0.000366,0.000022,0.000001,-0.256613,-0.586611,-0.475490,0.603280,-117.247566,72.141216,125.957852
36237,-9.208241,-2.488621,-1.239506,0.074693,-0.165870,-0.195608,0.038556,0.003347,-0.003725,-0.092083,-0.024882,-0.012398,1.000000,0.000193,0.000017,-0.000019,-0.256529,-0.586667,-0.475356,0.603366,-117.228247,72.145084,125.955822
36238,-9.221158,-2.438161,-1.294935,0.146751,-0.139946,-0.189272,0.032727,-0.008594,0.002780,-0.092211,-0.024381,-0.012957,1.000000,0.000164,-0.000043,0.000014,-0.256512,-0.586696,-0.475207,0.603464,-117.199120,72.155464,125.967870
36239,-9.222843,-2.363872,-1.247429,0.189527,-0.211309,-0.214550,0.008906,-0.001045,-0.005613,-0.092229,-0.023636,-0.012476,1.000000,0.000045,-0.000005,-0.000028,-0.256519,-0.586697,-0.475162,0.603494,-117.188292,72.159521,125.974766
36240,-9.229114,-2.429976,-1.347182,0.179396,-0.097387,-0.176580,-0.031378,-0.005552,-0.007930,-0.092292,-0.024298,-0.013471,1.000000,-0.000157,-0.000028,-0.000040,-0.256651,-0.586627,-0.475241,0.603445,-117.191958,72.163659,125.990920
36241,-9.219975,-2.533825,-1.411363,0.116806,0.004753,-0.147984,-0.044870,-0.007369,-0.007602,-0.092200,-0.025338,-0.014111,1.000000,-0.000224,-0.000037,-0.000038,-0.256825,-0.586535,-0.475357,0.603369,-117.200303,72.168359,126.010043
36242,-9.240972,-2.541742,-1.477032,0.143574,0.060703,-0.116639,-0.026301,-0.004104,-0.010107,-0.092411,-0.025415,-0.014769,1.000000,-0.000132,-0.000021,-0.000051,-0.256931,-0.586471,-0.475429,0.603329,-117.201606,72.171019,126.025629
36243,-9.235903,-2.584139,-1.474114,0.104153,0.077337,-0.110324,-0.025674,-0.002137,-0.009473,-0.092360,-0.025839,-0.014739,1.000000,-0.000128,-0.000011,-0.000047,-0.257031,-0.586415,-0.475498,0.603286,-117.205713,72.173395,126.037648
36244,-9.281575,-2.586249,-1.422838,0.086718,0.022291,-0.073448,-0.011873,-0.002682,-0.013943,-0.092817,-0.025857,-0.014228,1.000000,-0.000059,-0.000013,-0.000070,-0.257080,-0.586364,-0.475540,0.603281,-117.197930,72.173720,126.054190
36245,-9.278688,-2.574709,-1.443391,0.106310,0.036445,-0.076470,-0.008708,-0.003341,-0.018852,-0.092789,-0.025739,-0.014434,1.000000,-0.000044,-0.000017,-0.000094,-0.257105,-0.586304,-0.475585,0.603294,-117.182771,72.171631,126.076237
36246,-9.283329,-2.601976,-1.402052,0.065039,0.010834,-0.070415,0.000899,-0.003302,-0.013253,-0.092835,-0.026014,-0.014022,1.000000,0.000004,-0.000017,-0.000066,-0.257120,-0.586270,-0.475585,0.603321,-117.167178,72.172483,126.093124
