// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
01467,-9.049721,3.359399,-1.233056,0.045580,0.011102,-0.081231,0.070879,-0.003323,-0.012950,-0.090495,0.033604,-0.012320,1.000000,0.000354,-0.000017,-0.000065,-0.447265,0.337850,-0.671128,-0.485179,110.300794,68.152805,-177.000288
01468,-9.035749,3.430442,-1.266828,-0.032526,0.001513,-0.065047,0.063119,-0.003236,-0.012983,-0.090355,0.034314,-0.012659,1.000000,0.000316,-0.000016,-0.000065,-0.447411,0.337695,-0.671249,-0.484985,110.323037,68.156241,-177.014339
01469,-9.026061,3.477116,-1.245878,-0.072538,0.036599,-0.060471,0.045280,-0.001781,-0.015390,-0.090258,0.034781,-0.012452,1.000000,0.000226,-0.000009,-0.000077,-0.447527,0.337591,-0.671329,-0.484840,110.339107,68.160636,-177.024281
01470,-8.994666,3.474770,-1.233990,-0.079529,0.047380,-0.091977,0.024192,0.003601,-0.014821,-0.089944,0.034756,-0.012334,1.000000,0.000121,0.000018,-0.000074,-0.447588,0.337546,-0.671367,-0.484762,110.348806,68.163687,-177.027676
01471,-9.008721,3.449190,-1.202591,-0.043513,0.069826,-0.091915,-0.007739,0.001289,-0.013656,-0.090085,0.034498,-0.012027,1.000000,-0.000039,0.000006,-0.000068,-0.447600,0.337563,-0.671328,-0.484794,110.337751,68.166539,-177.034112
01472,-9.010422,3.374923,-1.202054,0.022673,0.046730,-0.116294,-0.029394,0.000175,-0.014267,-0.090102,0.033754,-0.012025,1.000000,-0.000147,0.000001,-0.000071,-0.447581,0.337627,-0.671230,-0.484902,110.312162,68.169988,-177.042622
01473,-9.008138,3.301326,-1.255276,0.072578,-0.028297,-0.137206,-0.042119,-0.002246,-0.003007,-0.090081,0.033012,-0.012561,1.000000,-0.000211,-0.000011,-0.000015,-0.447521,0.337676,-0.671117,-0.485079,110.271377,68.167818,-177.059865
01474,-9.031712,3.252804,-1.244563,0.127561,-0.034559,-0.133637,-0.037737,0.000283,-0.009540,-0.090316,0.032530,-0.012452,1.000000,-0.000189,0.000001,-0.000048,-0.447476,0.337743,-0.671007,-0.485226,110.238580,68.168661,-177.070861
01475,-9.032739,3.203810,-1.243505,0.171934,-0.050221,-0.149924,-0.030037,-0.001049,-0.003601,-0.090327,0.032038,-0.012440,1.000000,-0.000150,-0.000005,-0.000018,-0.447433,0.337771,-0.670925,-0.485359,110.206624,68.166565,-177.086050
01476,-9.041811,3.228460,-1.265097,0.148042,-0.065096,-0.130145,-0.020459,-0.001126,-0.002404,-0.090418,0.032284,-0.012655,1.000000,-0.000102,-0.000006,-0.000012,-0.447406,0.337771,-0.670866,-0.485466,110.178353,68.163923,-177.102965
01477,-9.032439,3.228519,-1.241929,0.151641,-0.044749,-0.141820,-0.007976,-0.002504,0.004142,-0.090325,0.032283,-0.012422,1.000000,-0.000040,-0.000013,0.000021,-0.447387,0.337720,-0.670848,-0.485545,110.153279,68.157945,-177.124359
01478,-9.053602,3.302843,-1.231666,0.097591,-0.014152,-0.097556,0.001453,-0.011637,0.011274,-0.090537,0.033023,-0.012322,1.000000,0.000007,-0.000058,0.000056,-0.447398,0.337600,-0.670842,-0.485626,110.116799,68.150043,-177.163691
01479,-9.020703,3.351813,-1.217769,0.046976,0.011480,-0.112772,0.010242,-0.006551,0.005946,-0.090208,0.033516,-0.012179,1.000000,0.000051,-0.000033,0.000030,-0.447419,0.337492,-0.670861,-0.485654,110.095878,68.143883,-177.191858
01480,-9.011215,3.352091,-1.194769,0.050577,0.031764,-0.124425,0.008122,-0.010417,0.007127,-0.090113,0.033518,-0.011951,1.000000,0.000041,-0.000052,0.000036,-0.447447,0.337375,-0.670867,-0.485703,110.066924,68.137868,-177.227045
01481,-8.987648,3.401238,-1.203673,-0.002877,0.036139,-0.127970,0.010978,-0.005237,0.010693,-0.089878,0.034008,-0.012037,1.000000,0.000055,-0.000026,0.000053,-0.447453,0.337252,-0.670899,-0.485737,110.045893,68.128885,-177.255788
01482,-8.999335,3.475281,-1.171573,-0.054059,0.087996,-0.095304,0.006390,-0.002623,0.005941,-0.089994,0.034751,-0.011716,1.000000,0.000032,-0.000013,0.000030,-0.447455,0.337162,-0.670916,-0.485775,110.027037,68.121985,-177.279024
01483,-9.011928,3.500324,-1.139436,-0.061631,0.125173,-0.078934,-0.003187,-0.002542,0.004743,-0.090120,0.035001,-0.011396,1.000000,-0.000016,-0.000013,0.000024,-0.447443,0.337098,-0.670910,-0.485840,110.004443,68.115670,-177.300708
01484,-9.020774,3.525391,-1.161428,-0.085510,0.110292,-0.059114,-0.016244,-0.001135,0.002948,-0.090208,0.035252,-0.011618,1.000000,-0.000081,-0.000006,0.000015,-0.447410,0.337071,-0.670870,-0.485943,109.976105,68.110166,-177.320409
01485,-9.012195,3.476728,-1.138163,-0.038309,0.115905,-0.087061,-0.028113,0.000255,-0.000629,-0.090122,0.034766,-0.011386,1.000000,-0.000141,0.000001,-0.000003,-0.447359,0.337087,-0.670801,-0.486075,109.945619,68.106189,-177.335208
01486,-9.022731,3.404261,-1.159890,0.025002,0.071548,-0.099898,-0.036829,0.002958,0.004698,-0.090228,0.034038,-0.011604,1.000000,-0.000184,0.000015,0.000023,-0.447273,0.337111,-0.670723,-0.486244,109.910296,68.098909,-177.349703
01487,-9.010747,3.331269,-1.191433,0.077694,0.017806,-0.132601,-0.029146,0.009333,-0.004786,-0.090107,0.033313,-0.011915,1.000000,-0.000146,0.000047,-0.000024,-0.447200,0.337165,-0.670665,-0.486354,109.893416,68.095394,-177.349200
01488,-9.056308,3.307405,-1.172720,0.121513,0.028333,-0.101079,-0.019691,0.007946,-0.005368,-0.090563,0.033075,-0.011727,1.000000,-0.000098,0.000040,-0.000027,-0.447150,0.337196,-0.670623,-0.486437,109.879314,68.092502,-177.351270
01489,-9.033941,3.306398,-1.182593,0.111648,0.017979,-0.120934,0.007186,0.007670,-0.010661,-0.090338,0.033069,-0.011821,1.000000,0.000036,0.000038,-0.000053,-0.447159,0.337185,-0.670639,-0.486415,109.883874,68.092478,-177.350096
01490,-8.968732,3.401773,-1.157153,0.009623,0.070161,-0.151207,0.033172,0.003544,-0.008840,-0.089686,0.034024,-0.011564,1.000000,0.000166,0.000018,-0.000044,-0.447222,0.337099,-0.670710,-0.486318,109.895893,68.092389,-177.356814
01491,-8.948734,3.497513,-1.113303,-0.071115,0.141286,-0.141759,0.034937,0.003504,-0.015373,-0.089485,0.034984,-0.011125,1.000000,0.000175,0.000018,-0.000077,-0.447302,0.337031,-0.670776,-0.486200,109.913056,68.095716,-177.359194
01492,-8.907157,3.543723,-1.079220,-0.118923,0.188174,-0.168488,0.026621,0.011354,-0.018355,-0.089069,0.035447,-0.010782,1.000000,0.000133,0.000057,-0.000092,-0.447352,0.337010,-0.670833,-0.486091,109.936330,68.099255,-177.349767
01493,-8.930126,3.542357,-1.071980,-0.107517,0.196698,-0.148613,0.013060,0.020572,-0.015407,-0.089300,0.035431,-0.010708,1.000000,0.000065,0.000103,-0.000077,-0.447338,0.337033,-0.670884,-0.486017,109.963847,68.099264,-177.327478
01494,-9.003977,3.517732,-1.123462,-0.072177,0.143359,-0.082197,-0.001607,0.031077,-0.016619,-0.090039,0.035185,-0.011221,1.000000,-0.000008,0.000155,-0.000083,-0.447269,0.337118,-0.670918,-0.485974,109.996509,68.097923,-177.290276
01495,-9.047087,3.419261,-1.161918,0.020732,0.079828,-0.071826,-0.011297,0.029855,-0.019611,-0.090469,0.034201,-0.011608,1.000000,-0.000056,0.000149,-0.000098,-0.447193,0.337232,-0.670924,-0.485957,110.024550,68.098366,-177.252381
01496,-9.077037,3.320432,-1.232084,0.100151,-0.014478,-0.069708,-0.008423,0.028527,-0.021987,-0.090768,0.033214,-0.012309,1.000000,-0.000042,0.000143,-0.000110,-0.447134,0.337344,-0.670927,-0.485929,110.052619,68.100425,-177.216028
01497,-9.029662,3.244455,-1.307648,0.128678,-0.108331,-0.130594,0.004281,0.023217,-0.025530,-0.090294,0.032456,-0.013065,1.000000,0.000021,0.000116,-0.000128,-0.447121,0.337427,-0.670946,-0.485857,110.083602,68.105346,-177.184582
01498,-9.065588,3.266937,-1.268720,0.131778,-0.061810,-0.094343,0.022501,0.019182,-0.023715,-0.090653,0.032682,-0.012675,1.000000,0.000113,0.000096,-0.000119,-0.447149,0.337453,-0.671001,-0.485737,110.117928,68.110116,-177.160558
01499,-9.010604,3.336908,-1.266895,0.048715,-0.038169,-0.121086,0.030707,0.010039,-0.022513,-0.090103,0.033381,-0.012659,1.000000,0.000154,0.000050,-0.000113,-0.447218,0.337435,-0.671060,-0.485606,110.144954,68.115999,-177.149696
01500,-8.991830,3.383076,-1.223456,0.011553,0.018162,-0.127926,0.026908,0.007486,-0.020744,-0.089915,0.033842,-0.012227,1.000000,0.000135,0.000037,-0.000104,-0.447287,0.337412,-0.671104,-0.485497,110.164492,68.121544,-177.144473
01501,-8.969050,3.429662,-1.234364,-0.041904,0.022573,-0.131374,0.016004,0.012786,-0.016021,-0.089689,0.034305,-0.012335,1.000000,0.000080,0.000064,-0.000080,-0.447306,0.337411,-0.671144,-0.485425,110.183594,68.123390,-177.133072
01502,-9.020290,3.404485,-1.294510,-0.017188,-0.040223,-0.084892,0.012642,0.015416,-0.014845,-0.090201,0.034052,-0.012936,1.000000,0.000063,0.000077,-0.000074,-0.447308,0.337421,-0.671181,-0.485365,110.202811,68.124107,-177.119129
01503,-9.017677,3.329925,-1.350730,0.032609,-0.115228,-0.106142,0.008955,0.014163,-0.011288,-0.090176,0.033305,-0.013499,1.000000,0.000045,0.000071,-0.000056,-0.447299,0.337424,-0.671215,-0.485324,110.217388,68.123132,-177.108253
01504,-9.027276,3.328682,-1.374849,0.030527,-0.137492,-0.094550,0.011222,0.012826,-0.016633,-0.090271,0.033295,-0.013741,1.000000,0.000056,0.000064,-0.000083,-0.447312,0.337435,-0.671241,-0.485268,110.233232,68.125412,-177.097300
01505,-9.018982,3.278271,-1.353636,0.077678,-0.131849,-0.122589,0.027117,0.002357,-0.009460,-0.090188,0.032789,-0.013531,1.000000,0.000136,0.000012,-0.000047,-0.447369,0.337363,-0.671295,-0.485191,110.241504,68.125792,-177.104431
01506,-9.045485,3.301594,-1.291048,0.083628,-0.064086,-0.097903,0.035976,0.000983,-0.013013,-0.090453,0.033024,-0.012904,1.000000,0.000180,0.000005,-0.000065,-0.447456,0.337278,-0.671360,-0.485081,110.253583,68.128450,-177.112726
