// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
01467,-4.430484,1.434646,8.740629,-0.039046,0.032798,0.091019,0.017987,0.006058,-0.008568,-0.044302,0.014340,0.087409,1.000000,0.000090,0.000030,-0.000043,-0.235566,0.207748,-0.129527,-0.940517,9.404004,26.859583,154.127778
01468,-4.431043,1.435970,8.740129,-0.038678,0.032210,0.091022,0.021879,0.003629,-0.010335,-0.044308,0.014352,0.087404,1.000000,0.000109,0.000018,-0.000052,-0.235601,0.207727,-0.129591,-0.940504,9.411391,26.859198,154.125065
01469,-4.428212,1.517862,8.734167,-0.079393,-0.037874,0.096446,0.015300,0.004088,-0.009881,-0.044280,0.015174,0.087344,1.000000,0.000077,0.000020,-0.000049,-0.235627,0.207723,-0.129632,-0.940493,9.415639,26.860030,154.122927
01470,-4.423234,1.478722,8.696748,-0.051436,-0.015070,0.055553,0.006372,0.003463,-0.008133,-0.044230,0.014786,0.086969,1.000000,0.000032,0.000017,-0.000041,-0.235636,0.207717,-0.129626,-0.940493,9.414782,26.859356,154.121564
01471,-4.446294,1.481396,8.722465,-0.042904,-0.017786,0.088995,0.002158,0.003033,-0.009950,-0.044461,0.014815,0.087225,1.000000,0.000011,0.000015,-0.000050,-0.235649,0.207723,-0.129603,-0.940491,9.411430,26.859599,154.119271
01472,-4.410238,1.434385,8.713089,-0.045740,0.032421,0.057593,-0.004767,0.004585,-0.011135,-0.044100,0.014348,0.087132,1.000000,-0.000024,0.000023,-0.000056,-0.235660,0.207738,-0.129543,-0.940493,9.403381,26.859836,154.116161
01473,-4.455692,1.439036,8.764975,-0.028921,0.027430,0.124476,-0.003351,-0.003733,-0.006538,-0.044558,0.014393,0.087649,1.000000,-0.000017,-0.000019,-0.000033,-0.235655,0.207717,-0.129490,-0.940507,9.397529,26.855934,154.115321
01474,-4.457023,1.420553,8.719730,-0.003516,0.025994,0.082566,-0.004880,-0.002196,-0.007039,-0.044571,0.014209,0.087196,1.000000,-0.000024,-0.000011,-0.000035,-0.235652,0.207698,-0.129426,-0.940521,9.390275,26.851957,154.114054
01475,-4.456784,1.419745,8.719984,-0.003271,0.025551,0.082567,-0.006035,-0.005701,-0.007853,-0.044570,0.014202,0.087198,1.000000,-0.000030,-0.000029,-0.000039,-0.235652,0.207671,-0.129356,-0.940536,9.382416,26.847065,154.112175
01476,-4.455649,1.427902,8.743023,-0.015423,0.025393,0.103526,-0.003337,-0.005709,-0.007511,-0.044558,0.014282,0.087429,1.000000,-0.000017,-0.000029,-0.000038,-0.235654,0.207634,-0.129294,-0.940552,9.375742,26.841164,154.110305
01477,-4.425597,1.402777,8.725762,-0.020941,0.051487,0.071114,-0.002990,-0.006801,-0.005875,-0.044259,0.014030,0.087256,1.000000,-0.000015,-0.000034,-0.000029,-0.235648,0.207598,-0.129240,-0.940569,9.370142,26.835465,154.109566
01478,-4.431790,1.424253,8.717872,-0.023108,0.026646,0.070091,-0.001934,-0.012053,-0.001941,-0.044323,0.014244,0.087176,1.000000,-0.000010,-0.000060,-0.000010,-0.235629,0.207525,-0.129183,-0.940598,9.365566,26.825465,154.110583
01479,-4.400857,1.408294,8.723348,-0.041147,0.053158,0.058641,0.000180,-0.003094,-0.008966,-0.044009,0.014085,0.087233,1.000000,0.000001,-0.000015,-0.000045,-0.235639,0.207504,-0.129145,-0.940605,9.361074,26.822150,154.108274
01480,-4.400521,1.408221,8.723529,-0.040785,0.052577,0.058645,0.005103,-0.006822,-0.004851,-0.044008,0.014081,0.087234,1.000000,0.000026,-0.000034,-0.000024,-0.235639,0.207450,-0.129124,-0.940620,9.359948,26.815367,154.107933
01481,-4.406967,1.430064,8.715454,-0.043066,0.027871,0.057619,-0.000293,-0.006809,-0.005532,-0.044072,0.014302,0.087153,1.000000,-0.000001,-0.000034,-0.000028,-0.235634,0.207410,-0.129083,-0.940635,9.355992,26.809632,154.107412
01482,-4.412644,1.460617,8.730139,-0.057737,0.003439,0.077551,0.002070,-0.007699,-0.007801,-0.044129,0.014607,0.087300,1.000000,0.000010,-0.000038,-0.000039,-0.235645,0.207357,-0.129044,-0.940650,9.352256,26.802641,154.105105
01483,-4.357702,1.459423,8.755102,-0.109109,0.033044,0.074592,-0.011099,-0.004809,-0.005920,-0.043579,0.014600,0.087549,1.000000,-0.000055,-0.000024,-0.000030,-0.235630,0.207340,-0.128954,-0.940670,9.342093,26.798072,154.104549
01484,-4.405857,1.427816,8.716384,-0.042098,0.026267,0.057628,-0.012991,-0.000206,-0.007082,-0.044058,0.014285,0.087163,1.000000,-0.000065,-0.000001,-0.000035,-0.235616,0.207340,-0.128854,-0.940687,9.330277,26.795252,154.103559
01485,-4.421733,1.407272,8.750767,-0.031038,0.047798,0.092100,-0.010656,0.002855,-0.007402,-0.044216,0.014079,0.087508,1.000000,-0.000053,0.000014,-0.000037,-0.235604,0.207359,-0.128773,-0.940697,9.320305,26.795154,154.102863
01486,-4.422084,1.406138,8.750771,-0.030677,0.047218,0.092104,-0.007958,0.002848,-0.007062,-0.044219,0.014066,0.087508,1.000000,-0.000040,0.000014,-0.000035,-0.235593,0.207367,-0.128700,-0.940708,9.311527,26.794063,154.102214
01487,-4.433031,1.337484,8.725341,0.020421,0.091812,0.064729,-0.006885,-0.004378,-0.004103,-0.044332,0.013379,0.087252,1.000000,-0.000034,-0.000022,-0.000021,-0.235574,0.207345,-0.128632,-0.940727,9.304319,26.789570,154.102856
01488,-4.395423,1.299762,8.738957,0.004982,0.142448,0.054337,0.005076,-0.002870,-0.002904,-0.043955,0.012996,0.087389,1.000000,0.000025,-0.000014,-0.000015,-0.235561,0.207308,-0.128618,-0.940740,9.303923,26.784852,154.104183
01489,-4.410653,1.327001,8.676769,0.025218,0.092691,0.010341,0.026661,-0.002915,-0.000184,-0.044108,0.013258,0.086769,1.000000,0.000133,-0.000015,-0.000001,-0.235557,0.207252,-0.128714,-0.940740,9.317122,26.780822,154.107459
01490,-4.321101,1.411581,8.746089,-0.110233,0.080163,0.043274,0.024418,0.002778,-0.002979,-0.043210,0.014106,0.087463,1.000000,0.000122,0.000014,-0.000015,-0.235561,0.207219,-0.128797,-0.940735,9.328038,26.779318,154.109380
