// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
01534,-3.701240,-1.142587,9.130903,-0.002836,-0.022441,0.105858,-0.094666,-0.002945,-0.030490,-0.037015,-0.011377,0.091314,1.000000,-0.000473,-0.000015,-0.000152,0.810353,-0.155079,0.123435,0.551400,-7.127202,21.781824,67.093177
01535,-3.687337,-1.294185,9.084128,0.133216,-0.078041,0.075129,-0.079529,-0.005296,-0.020227,-0.036877,-0.012902,0.090845,1.000000,-0.000398,-0.000026,-0.000101,0.810324,-0.155415,0.123152,0.551411,-7.179403,21.776107,67.086458
01536,-3.695145,-1.333781,9.091235,0.160346,-0.093303,0.089292,-0.058931,0.000356,-0.019876,-0.036953,-0.013307,0.090916,1.000000,-0.000295,0.000002,-0.000099,0.810307,-0.155683,0.122947,0.551407,-7.220131,21.773532,67.079440
01537,-3.701587,-1.269830,9.067877,0.092335,-0.083843,0.062790,-0.047861,0.003039,-0.010778,-0.037015,-0.012675,0.090682,1.000000,-0.000239,0.000015,-0.000054,0.810271,-0.155908,0.122792,0.551430,-7.252278,21.773225,67.077866
01538,-3.669060,-1.160959,9.114860,-0.000372,0.001186,0.081275,-0.034228,0.000377,-0.011893,-0.036691,-0.011592,0.091151,1.000000,-0.000171,0.000002,-0.000059,0.810251,-0.156071,0.122661,0.551442,-7.277045,21.771234,67.075734
01539,-3.668191,-1.101294,9.150891,-0.058652,0.037837,0.107111,-0.043614,0.001809,-0.002700,-0.036681,-0.010992,0.091512,1.000000,-0.000218,0.000009,-0.000013,0.810197,-0.156270,0.122520,0.551497,-7.304889,21.770815,67.079201
01540,-3.589836,-1.068147,9.083907,-0.067325,0.091468,0.012399,-0.043904,-0.006977,-0.003661,-0.035902,-0.010661,0.090840,1.000000,-0.000220,-0.000035,-0.000018,0.810151,-0.156447,0.122339,0.551554,-7.333115,21.765244,67.082686
01541,-3.578943,-0.913821,9.148967,-0.211079,0.179999,0.049896,-0.064821,-0.010333,-0.008301,-0.035795,-0.009107,0.091491,1.000000,-0.000324,-0.000052,-0.000042,0.810104,-0.156702,0.122085,0.551608,-7.374025,21.757519,67.083685
01542,-3.659533,-1.212108,9.068658,0.028220,-0.020559,0.041282,-0.085595,-0.009285,-0.012481,-0.036600,-0.012080,0.090690,1.000000,-0.000428,-0.000046,-0.000062,0.810051,-0.157047,0.121773,0.551657,-7.428057,21.749987,67.081968
01543,-3.691796,-1.371063,9.087048,0.157430,-0.093617,0.089336,-0.069467,-0.012352,-0.008305,-0.036924,-0.013678,0.090873,1.000000,-0.000347,-0.000062,-0.000042,0.810000,-0.157315,0.121499,0.551716,-7.471566,21.741116,67.083140
01544,-3.705659,-1.361069,9.059910,0.136258,-0.111619,0.068373,-0.050452,-0.012548,-0.006957,-0.037063,-0.013587,0.090600,1.000000,-0.000252,-0.000063,-0.000035,0.809961,-0.157505,0.121275,0.551768,-7.504114,21.732142,67.085074
01545,-3.688959,-1.359696,9.098854,0.137292,-0.081477,0.097956,-0.030453,-0.013425,-0.011722,-0.036896,-0.013581,0.090988,1.000000,-0.000152,-0.000067,-0.000059,0.809951,-0.157614,0.121100,0.551789,-7.526008,21.722406,67.084254
01546,-3.670986,-1.275894,9.095692,0.062384,-0.038928,0.078230,-0.021099,-0.010527,0.001039,-0.036715,-0.012750,0.090956,1.000000,-0.000105,-0.000053,0.000005,0.809912,-0.157686,0.120972,0.551854,-7.539994,21.715184,67.090920
01547,-3.646679,-1.261153,9.114780,0.055122,-0.005833,0.085035,-0.022893,-0.009094,-0.008186,-0.036471,-0.012600,0.091148,1.000000,-0.000114,-0.000045,-0.000041,0.809896,-0.157774,0.120839,0.551882,-7.556883,21.708174,67.091917
01548,-3.668359,-1.216588,9.132621,0.003618,-0.002375,0.104050,-0.012942,-0.006788,-0.006008,-0.036687,-0.012159,0.091326,1.000000,-0.000065,-0.000034,-0.000030,0.809880,-0.157828,0.120742,0.551911,-7.567903,21.702547,67.093975
01549,-3.690752,-1.213956,9.125937,-0.009229,-0.023362,0.105852,-0.017512,-0.006630,-0.005727,-0.036911,-0.012131,0.091259,1.000000,-0.000088,-0.000033,-0.000029,0.809860,-0.157900,0.120636,0.551944,-7.581227,21.697122,67.096277
01550,-3.684946,-1.390482,9.086878,0.154476,-0.093908,0.089380,-0.010482,-0.006612,-0.007132,-0.036853,-0.013899,0.090868,1.000000,-0.000052,-0.000033,-0.000036,0.809849,-0.157945,0.120546,0.551966,-7.591096,21.691513,67.097637
01551,-3.652298,-1.299029,9.122836,0.080996,-0.021210,0.099219,0.009770,-0.001495,-0.004730,-0.036524,-0.012994,0.091227,1.000000,0.000049,-0.000007,-0.000024,0.809844,-0.157919,0.120537,0.551982,-7.588717,21.689080,67.100132
01552,-3.675618,-1.314933,9.103985,0.087424,-0.054401,0.092420,0.015853,0.001984,-0.006188,-0.036756,-0.013155,0.091039,1.000000,0.000079,0.000010,-0.000031,0.809847,-0.157881,0.120555,0.551986,-7.583546,21.688424,67.101368
01553,-3.612400,-1.214129,9.126763,0.018080,0.042166,0.077674,0.027770,-0.000435,-0.003659,-0.036124,-0.012153,0.091266,1.000000,0.000139,-0.000002,-0.000018,0.809853,-0.157785,0.120601,0.551995,-7.570645,21.686674,67.104431
01554,-3.666125,-1.173020,9.157979,-0.037591,0.021696,0.121252,0.020178,0.006306,-0.010452,-0.036659,-0.011738,0.091580,1.000000,0.000101,0.000032,-0.000052,0.809868,-0.157744,0.120645,0.551975,-7.564093,21.688150,67.102708
01555,-3.630706,-1.360071,9.093502,0.149663,-0.037078,0.071635,0.026225,0.006999,-0.005735,-0.036304,-0.013612,0.090935,1.000000,0.000131,0.000035,-0.000029,0.809874,-0.157676,0.120715,0.551970,-7.552768,21.690465,67.103899
01556,-3.654055,-1.310369,9.111389,0.098153,-0.033653,0.090637,0.046863,0.012044,0.001114,-0.036535,-0.013125,0.091113,1.000000,0.000234,0.000060,0.000006,0.809874,-0.157535,0.120865,0.551977,-7.528483,21.696070,67.108784
01557,-3.669761,-1.247839,9.109276,0.038413,-0.027289,0.086855,0.052522,0.012826,0.001358,-0.036692,-0.012503,0.091092,1.000000,0.000263,0.000064,0.000007,0.809878,-0.157372,0.121037,0.551980,-7.500661,21.702225,67.113844
01558,-3.671441,-1.285016,9.085077,0.076607,-0.051737,0.069661,0.058108,0.011413,0.001357,-0.036709,-0.012877,0.090849,1.000000,0.000291,0.000057,0.000007,0.809886,-0.157184,0.121216,0.551982,-7.469862,21.707487,67.118932
01559,-3.663244,-1.162241,9.126412,-0.028685,0.012142,0.089867,0.065559,0.014145,-0.001793,-0.036626,-0.011652,0.091263,1.000000,0.000328,0.000071,-0.000009,0.809908,-0.156974,0.121426,0.551963,-7.435318,21.714152,67.121966
01560,-3.663855,-1.114311,9.151052,-0.067790,0.036468,0.107058,0.058105,0.011429,0.001323,-0.036633,-0.011170,0.091509,1.000000,0.000291,0.000057,0.000007,0.809917,-0.156787,0.121605,0.551964,-7.404524,21.719414,67.127040
01561,-3.657002,-1.098204,9.131130,-0.076473,0.039351,0.084275,0.047877,0.014171,-0.011264,-0.036564,-0.011002,0.091311,1.000000,0.000239,0.000071,-0.000056,0.809951,-0.156654,0.121759,0.551919,-7.382253,21.725393,67.124287
01562,-3.704606,-1.107508,9.105330,-0.082425,-0.014799,0.079264,0.036278,0.014306,-0.009571,-0.037040,-0.011090,0.091054,1.000000,0.000181,0.000072,-0.000048,0.809971,-0.156569,0.121881,0.551886,-7.366508,21.731487,67.122477
01563,-3.643207,-1.069023,9.090931,-0.093878,0.045112,0.038706,0.035397,0.009485,-0.012554,-0.036428,-0.010704,0.090909,1.000000,0.000177,0.000047,-0.000063,0.810001,-0.156475,0.121981,0.551847,-7.351541,21.734710,67.119309
01564,-3.628916,-1.082851,9.117657,-0.073657,0.063045,0.059691,0.016069,0.011938,-0.018127,-0.036285,-0.010833,0.091178,1.000000,0.000080,0.000060,-0.000091,0.810030,-0.156470,0.122031,0.551794,-7.349242,21.738832,67.112453
01565,-3.615943,-1.224593,9.071418,0.062605,0.007881,0.029127,0.018317,0.005523,-0.019968,-0.036158,-0.012251,0.090714,1.000000,0.000092,0.000028,-0.000100,0.810070,-0.156439,0.122062,0.551737,-7.345626,21.739261,67.105062
01566,-3.606688,-1.084871,9.124371,-0.062124,0.083861,0.057895,0.024642,0.004542,-0.017461,-0.036066,-0.010857,0.091243,1.000000,0.000123,0.000023,-0.000087,0.810109,-0.156379,0.122106,0.551688,-7.338046,21.739229,67.099198
01567,-3.629675,-1.058637,9.129767,-0.094279,0.075018,0.068274,0.008756,0.003125,-0.017667,-0.036296,-0.010587,0.091298,1.000000,0.000044,0.000016,-0.000088,0.810136,-0.156378,0.122102,0.551649,-7.339316,21.738464,67.093404
01568,-3.646890,-1.208422,9.097070,0.037826,-0.004003,0.062298,0.009250,-0.002459,-0.022307,-0.036471,-0.012084,0.090970,1.000000,0.000046,-0.000012,-0.000112,0.810180,-0.156364,0.122072,0.551594,-7.341442,21.734097,67.085128
01569,-3.660138,-1.065538,9.143299,-0.099285,0.050976,0.092838,0.015612,-0.000663,-0.025993,-0.036603,-0.010658,0.091432,1.000000,0.000078,-0.000003,-0.000130,0.810238,-0.156330,0.122065,0.551520,-7.340559,21.730571,67.074539
01570,-3.668417,-1.119552,9.139099,-0.052794,0.023617,0.098441,-0.003932,0.002312,-0.016500,-0.036684,-0.011191,0.091392,1.000000,-0.000020,0.000012,-0.000083,0.810253,-0.156379,0.122022,0.551494,-7.349060,21.729337,67.069439
01571,-3.669491,-1.226459,9.078276,0.043514,-0.037302,0.055502,-0.001223,0.001375,-0.026263,-0.036696,-0.012259,0.090783,1.000000,-0.000006,0.000007,-0.000131,0.810298,-0.156419,0.121977,0.551427,-7.357942,21.726946,67.058526
01572,-3.668909,-1.184726,9.102535,0.004378,-0.013021,0.072677,0.007280,0.002269,-0.022681,-0.036689,-0.011846,0.091025,1.000000,0.000036,0.000011,-0.000113,0.810339,-0.156427,0.121960,0.551369,-7.361414,21.725237,67.049651
01573,-3.668993,-1.184920,9.102477,0.003972,-0.013081,0.072677,0.005977,0.005225,-0.020782,-0.036689,-0.011848,0.091025,1.000000,0.000030,0.000026,-0.000104,0.810371,-0.156445,0.121955,0.551317,-7.365043,21.725435,67.041786
01574,-3.631155,-1.225727,9.123942,0.055906,0.013681,0.083307,0.011214,0.003313,-0.018810,-0.036311,-0.012259,0.091239,1.000000,0.000056,0.000017,-0.000094,0.810404,-0.156437,0.121956,0.551271,-7.365413,21.724603,67.035198
01575,-3.621363,-1.069682,9.097645,-0.086682,0.065232,0.036874,0.009070,0.000864,-0.013451,-0.036214,-0.010699,0.090976,1.000000,0.000045,0.000004,-0.000067,0.810421,-0.156426,0.121948,0.551251,-7.365481,21.722861,67.032163
01576,-3.669266,-1.205887,9.090339,0.022021,-0.025419,0.064094,-0.000453,0.001229,-0.017338,-0.036693,-0.012055,0.090904,1.000000,-0.000002,0.000006,-0.000087,0.810442,-0.156458,0.121909,0.551219,-7.372139,21.720950,67.026640
01577,-3.670454,-1.307899,9.120978,0.116835,-0.049800,0.104921,0.011462,-0.001152,-0.014818,-0.036706,-0.013081,0.091209,1.000000,0.000057,-0.000006,-0.000074,0.810466,-0.156433,0.121898,0.551193,-7.371087,21.717962,67.022929
01578,-3.645671,-1.188041,9.109506,0.014191,0.007590,0.070895,0.017572,0.001765,-0.009870,-0.036456,-0.011887,0.091094,1.000000,0.000088,0.000009,-0.000049,0.810480,-0.156389,0.121917,0.551181,-7.365750,21.716906,67.021928
01579,-3.645995,-1.207757,9.097517,0.033140,-0.004623,0.062314,0.021857,0.003314,-0.007962,-0.036459,-0.012086,0.090974,1.000000,0.000109,0.000017,-0.000040,0.810491,-0.156330,0.121958,0.551173,-7.357321,21.716959,67.022056
01580,-3.677061,-1.191888,9.123073,0.009215,-0.016434,0.095465,0.027162,0.003603,-0.005755,-0.036769,-0.011930,0.091230,1.000000,0.000136,0.000018,-0.000029,0.810500,-0.156250,0.122015,0.551170,-7.345606,21.717247,67.023429
01581,-3.645864,-1.140109,9.134233,-0.025798,0.031712,0.088056,0.023965,0.002992,-0.007131,-0.036458,-0.011411,0.091342,1.000000,0.000120,0.000015,-0.000036,0.810510,-0.156181,0.122061,0.551164,-7.335771,21.717178,67.024092
01582,-3.654309,-1.170880,9.142297,0.001366,0.016568,0.102264,0.021924,0.005515,-0.007736,-0.036541,-0.011717,0.091423,1.000000,0.000110,0.000028,-0.000039,0.810519,-0.156128,0.122109,0.551155,-7.327560,21.718414,67.024106
01583,-3.661684,-1.120916,9.107533,-0.047285,0.013546,0.067046,0.023329,0.004185,-0.002967,-0.036615,-0.011219,0.091075,1.000000,0.000117,0.000021,-0.000015,0.810517,-0.156063,0.122161,0.551166,-7.317182,21.719327,67.027222
01584,-3.646994,-1.156031,9.122409,-0.007752,0.019380,0.079476,0.016551,0.003028,-0.010183,-0.036469,-0.011566,0.091224,1.000000,0.000083,0.000015,-0.000051,0.810530,-0.156027,0.122183,0.551152,-7.312529,21.718962,67.025933
01585,-3.647240,-1.175872,9.110457,0.011205,0.007177,0.070899,0.018626,-0.000066,-0.003145,-0.036473,-0.011767,0.091103,1.000000,0.000093,-0.000000,-0.000016,0.810527,-0.155968,0.122205,0.551168,-7.304762,21.717446,67.029274
01586,-3.678082,-1.139200,9.148044,-0.032092,0.007485,0.112618,0.019463,0.005338,-0.006614,-0.036779,-0.011400,0.091480,1.000000,0.000097,0.000027,-0.000033,0.810531,-0.155925,0.122246,0.551165,-7.297707,21.718654,67.029980
01587,-3.648449,-1.257399,9.062321,0.087826,-0.041490,0.036599,0.023613,0.002496,-0.005177,-0.036484,-0.012584,0.090622,1.000000,0.000118,0.000012,-0.000026,0.810536,-0.155854,0.122291,0.551168,-7.287618,21.718444,67.031876
01588,-3.656241,-1.202715,9.118846,0.037518,-0.008066,0.085116,0.033971,0.007548,-0.004771,-0.036559,-0.012042,0.091188,1.000000,0.000170,0.000038,-0.000024,0.810545,-0.155757,0.122383,0.551161,-7.271889,21.721052,67.033550
01589,-3.656682,-1.178465,9.131077,0.017736,0.004009,0.093691,0.036079,0.007229,-0.003941,-0.036564,-0.011800,0.091310,1.000000,0.000180,0.000036,-0.000020,0.810553,-0.155648,0.122482,0.551158,-7.254514,21.723621,67.035833
01590,-3.664498,-1.148640,9.084200,-0.011570,-0.011177,0.049886,0.034321,0.008056,-0.006751,-0.036642,-0.011501,0.090842,1.000000,0.000172,0.000040,-0.000034,0.810568,-0.155552,0.122575,0.551143,-7.239056,21.726361,67.036244
01591,-3.649609,-1.139980,9.123384,-0.010753,0.018945,0.079474,0.035911,0.003407,-0.010855,-0.036495,-0.011414,0.091232,1.000000,0.000180,0.000017,-0.000054,0.810597,-0.155438,0.122653,0.551114,-7.223232,21.726258,67.034595
01592,-3.681161,-1.165655,9.124809,0.004072,-0.017157,0.095467,0.034956,0.006868,-0.010933,-0.036809,-0.011670,0.091247,1.000000,0.000175,0.000034,-0.000055,0.810625,-0.155338,0.122740,0.551083,-7.208323,21.728027,67.032540
01593,-3.596570,-1.152240,9.105257,0.024205,0.051597,0.044566,0.038854,0.008493,-0.013509,-0.035963,-0.011538,0.091052,1.000000,0.000194,0.000042,-0.000068,0.810661,-0.155228,0.122844,0.551038,-7.191559,21.730626,67.028874
01594,-3.650777,-1.131372,9.123988,-0.012070,0.018756,0.079473,0.037535,0.001527,-0.021181,-0.036508,-0.011327,0.091238,1.000000,0.000188,0.000008,-0.000106,0.810721,-0.155110,0.122909,0.550968,-7.177330,21.728629,67.020975
01595,-3.611806,-1.130976,9.079008,0.002750,0.033413,0.023548,0.043156,-0.000431,-0.014746,-0.036119,-0.011327,0.090788,1.000000,0.000216,-0.000002,-0.000074,0.810769,-0.154958,0.122988,0.550922,-7.158127,21.726068,67.017240
