// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
33736,-3.331974,1.290608,9.253584,0.067601,-0.027825,0.106546,-0.002179,-0.010568,-0.006859,-0.033324,0.012908,0.092534,1.000000,-0.000011,-0.000053,-0.000034,0.713939,0.164090,0.082070,-0.675744,7.535933,19.813012,-85.533311
33737,-3.340094,1.215506,9.272338,-0.008451,-0.027588,0.117524,-0.006719,-0.012017,-0.007620,-0.033406,0.012159,0.092721,1.000000,-0.000034,-0.000060,-0.000038,0.713961,0.163988,0.082061,-0.675747,7.527733,19.804086,-85.533829
33738,-3.339189,1.215016,9.272728,-0.008027,-0.027026,0.117526,0.000615,-0.009131,-0.004829,-0.033396,0.012151,0.092726,1.000000,0.000003,-0.000046,-0.000024,0.713985,0.163919,0.082034,-0.675742,7.524008,19.796215,-85.532674
33739,-3.323858,1.193518,9.225014,-0.022992,-0.024295,0.065181,0.002918,-0.009325,0.000164,-0.033243,0.011934,0.092249,1.000000,0.000015,-0.000047,0.000001,0.714024,0.163863,0.081996,-0.675718,7.522994,19.788234,-85.528276
33740,-3.353650,1.193617,9.241019,-0.026858,-0.000343,0.090211,0.007425,-0.010962,0.000821,-0.033542,0.011933,0.092409,1.000000,0.000037,-0.000055,0.000004,0.714062,0.163815,0.081935,-0.675697,7.524276,19.778900,-85.523855
33741,-3.313043,1.215734,9.281012,-0.006922,-0.049872,0.116508,0.014236,-0.012794,0.006471,-0.033137,0.012150,0.092809,1.000000,0.000071,-0.000064,0.000032,0.714115,0.163790,0.081841,-0.675659,7.530940,19.768475,-85.515929
33742,-3.350484,1.244930,9.244684,0.021975,0.000238,0.098887,0.012556,-0.006631,0.007947,-0.033508,0.012442,0.092447,1.000000,0.000063,-0.000033,0.000040,0.714171,0.163777,0.081772,-0.675611,7.536732,19.761065,-85.506864
33743,-3.317698,1.295325,9.232362,0.074682,-0.023125,0.082533,0.008999,-0.012830,0.010284,-0.033184,0.012947,0.092322,1.000000,0.000045,-0.000064,0.000051,0.714241,0.163736,0.081692,-0.675557,7.541168,19.750332,-85.496641
33744,-3.323774,1.294725,9.255958,0.070763,-0.023551,0.106535,0.001901,-0.015673,0.005989,-0.033245,0.012945,0.092557,1.000000,0.000010,-0.000078,0.000030,0.714303,0.163654,0.081629,-0.675519,7.540214,19.737934,-85.489479
33745,-3.306144,1.316930,9.288671,0.090771,-0.048662,0.133855,-0.000845,-0.012479,0.004113,-0.033068,0.013169,0.092885,1.000000,-0.000004,-0.000062,0.000021,0.714360,0.163576,0.081589,-0.675483,7.537758,19.727864,-85.482954
33746,-3.299578,1.220202,9.259541,-0.000567,-0.046208,0.092517,-0.015925,-0.012164,0.001756,-0.033002,0.012209,0.092592,1.000000,-0.000080,-0.000061,0.000009,0.714420,0.163440,0.081602,-0.675450,7.525828,19.717777,-85.478061
33747,-3.307175,1.169072,9.279980,-0.052586,-0.046269,0.107860,-0.008335,-0.007691,0.003087,-0.033075,0.011694,0.092798,1.000000,-0.000042,-0.000038,0.000015,0.714478,0.163351,0.081605,-0.675410,7.519000,19.710506,-85.471771
33748,-3.322745,1.146527,9.248048,-0.071814,-0.020112,0.080542,-0.007284,-0.006266,0.006388,-0.033231,0.011468,0.092479,1.000000,-0.000036,-0.000031,0.000032,0.714545,0.163268,0.081606,-0.675359,7.513121,19.703423,-85.463611
33749,-3.321880,1.171105,9.249758,-0.047422,-0.019842,0.084876,0.006135,0.001124,0.010270,-0.033219,0.011707,0.092498,1.000000,0.000031,0.000006,0.000051,0.714611,0.163264,0.081586,-0.675292,7.516280,19.700621,-85.452286
33750,-3.345179,1.148474,9.240780,-0.070995,0.005319,0.081561,0.000799,-0.008173,0.013777,-0.033456,0.011482,0.092406,1.000000,0.000004,-0.000041,0.000069,0.714697,0.163206,0.081547,-0.675220,7.516480,19.691903,-85.439822
33751,-3.320429,1.173002,9.250039,-0.046634,-0.018799,0.084882,0.011915,-0.008602,0.021688,-0.033210,0.011721,0.092500,1.000000,0.000060,-0.000043,0.000108,0.714801,0.163194,0.081463,-0.675123,7.525007,19.682719,-85.422383
33752,-3.348431,1.247339,9.270824,0.021562,0.004544,0.122882,0.009593,-0.009951,0.016646,-0.033490,0.012466,0.092707,1.000000,0.000048,-0.000050,0.000083,0.714891,0.163163,0.081386,-0.675045,7.530773,19.672776,-85.408334
33753,-3.308891,1.250012,9.232214,0.030565,-0.017379,0.073860,-0.001489,-0.014443,0.017860,-0.033097,0.012498,0.092320,1.000000,-0.000007,-0.000072,0.000089,0.714995,0.163081,0.081329,-0.674961,7.530679,19.660559,-85.393675
33754,-3.337383,1.274500,9.250131,0.050705,0.006391,0.103198,0.000694,-0.017432,0.013472,-0.033383,0.012742,0.092498,1.000000,0.000003,-0.000087,0.000067,0.715084,0.162992,0.081258,-0.674897,7.530500,19.646606,-85.382138
33755,-3.334477,1.323369,9.253981,0.099124,0.006493,0.111845,-0.004409,-0.018674,0.006453,-0.033354,0.013235,0.092536,1.000000,-0.000022,-0.000093,0.000032,0.715154,0.162881,0.081205,-0.674856,7.526299,19.632842,-85.374697
33756,-3.287898,1.247110,9.264776,0.027424,-0.041136,0.096863,-0.024015,-0.018253,0.003400,-0.032888,0.012482,0.092643,1.000000,-0.000120,-0.000091,0.000017,0.715229,0.162697,0.081223,-0.674818,7.509903,19.619183,-85.369294
33757,-3.287877,1.171954,9.260795,-0.044288,-0.040061,0.083896,-0.021562,-0.018111,-0.002394,-0.032887,0.011730,0.092604,1.000000,-0.000108,-0.000091,-0.000012,0.715283,0.162523,0.081237,-0.674801,7.494098,19.606404,-85.367138
33758,-3.286139,1.170319,9.261618,-0.043867,-0.039506,0.083900,-0.012530,-0.019848,-0.001038,-0.032871,0.011709,0.092612,1.000000,-0.000063,-0.000099,-0.000005,0.715335,0.162372,0.081214,-0.674786,7.483343,19.592172,-85.364530
33759,-3.315963,1.144161,9.276480,-0.071839,-0.015419,0.104590,-0.016259,-0.011903,-0.006005,-0.033165,0.011450,0.092762,1.000000,-0.000081,-0.000060,-0.000030,0.715370,0.162237,0.081235,-0.674779,7.470012,19.583191,-85.364054
33760,-3.282229,1.216424,9.266202,0.004982,-0.038833,0.092547,-0.006480,-0.018434,-0.000049,-0.032831,0.012167,0.092659,1.000000,-0.000032,-0.000092,-0.000000,0.715419,0.162113,0.081196,-0.674761,7.462960,19.569690,-85.360734
33761,-3.280063,1.240075,9.268497,0.029381,-0.038522,0.096868,-0.007499,-0.016771,-0.003246,-0.032808,0.012405,0.092682,1.000000,-0.000037,-0.000084,-0.000016,0.715458,0.161994,0.081168,-0.674751,7.455077,19.557738,-85.358977
33762,-3.241556,1.162534,9.302130,-0.046611,-0.087188,0.105932,-0.011464,-0.008868,-0.006704,-0.032419,0.011632,0.093019,1.000000,-0.000057,-0.000044,-0.000034,0.715485,0.161882,0.081185,-0.674748,7.444081,19.550167,-85.358910
33763,-3.255568,1.212596,9.275172,0.006145,-0.061681,0.091558,-0.006922,-0.007422,-0.005950,-0.032559,0.012130,0.092750,1.000000,-0.000035,-0.000037,-0.000030,0.715511,0.161795,0.081191,-0.674741,7.436230,19.543727,-85.358043
33764,-3.264419,1.136947,9.293705,-0.069837,-0.061575,0.102622,-0.014376,0.000456,-0.006861,-0.032644,0.011377,0.092936,1.000000,-0.000072,0.000002,-0.000034,0.715536,0.161704,0.081251,-0.674729,7.423781,19.541462,-85.357335
33765,-3.280593,1.138700,9.263053,-0.065149,-0.035719,0.079611,0.003793,0.006241,-0.003846,-0.032803,0.011386,0.092632,1.000000,0.000019,0.000031,-0.000019,0.715554,0.161703,0.081269,-0.674707,7.422854,19.542630,-85.354124
33766,-3.263913,1.209777,9.298251,0.003050,-0.061043,0.115577,0.008588,0.009275,-0.004547,-0.032635,0.012095,0.092985,1.000000,0.000043,0.000046,-0.000023,0.715565,0.161724,0.081281,-0.674689,7.424258,19.545204,-85.351330
33767,-3.318608,1.234903,9.307827,0.023120,-0.012903,0.145881,-0.001647,0.017262,-0.007433,-0.033178,0.012351,0.093081,1.000000,-0.000008,0.000086,-0.000037,0.715571,0.161739,0.081359,-0.674670,7.419779,19.552899,-85.349416
33768,-3.257856,1.284069,9.278918,0.080254,-0.059504,0.104510,0.002076,0.017330,-0.011486,-0.032570,0.012842,0.092792,1.000000,0.000010,0.000087,-0.000057,0.715560,0.161762,0.081427,-0.674667,7.416267,19.560563,-85.350172
33769,-3.293383,1.160965,9.285901,-0.043850,-0.034779,0.107950,-0.014900,0.025313,-0.010790,-0.032921,0.011618,0.092862,1.000000,-0.000075,0.000127,-0.000054,0.715563,0.161755,0.081582,-0.674648,7.403728,19.573081,-85.349653
