// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
21078,-5.159149,7.429812,-1.297311,0.185791,0.167595,-0.678174,-0.063595,-0.076258,-0.068188,-0.051561,0.074312,-0.013016,1.000000,-0.000318,-0.000381,-0.000341,-0.372858,-0.694023,0.278041,0.549548,98.154503,33.742305,-73.125238
21079,-5.242593,7.350859,-1.277324,0.150966,0.268662,-0.699154,0.027107,-0.078018,-0.068953,-0.052396,0.073528,-0.012784,1.000000,0.000136,-0.000390,-0.000345,-0.372439,-0.693960,0.278030,0.549915,98.146146,33.789298,-73.173123
21080,-5.319646,7.287050,-1.224586,0.080913,0.347076,-0.714758,0.088072,-0.068578,-0.078646,-0.053164,0.072897,-0.012232,1.000000,0.000440,-0.000343,-0.000393,-0.371801,-0.694050,0.278133,0.550182,98.176430,33.840852,-73.213131
21081,-5.341509,7.205039,-1.131740,-0.019105,0.381318,-0.780558,0.141795,-0.071505,-0.094132,-0.053377,0.072084,-0.011285,1.000000,0.000709,-0.000358,-0.000471,-0.370924,-0.694254,0.278338,0.550414,98.237585,33.901643,-73.254103
21082,-5.427782,7.134664,-1.145172,-0.033609,0.480396,-0.788069,0.169970,-0.062750,-0.109753,-0.054235,0.071386,-0.011408,0.999999,0.000850,-0.000314,-0.000549,-0.369923,-0.694554,0.278547,0.550603,98.318712,33.970421,-73.286966
21083,-5.468052,7.054786,-1.195701,-0.002275,0.553900,-0.824225,0.182347,-0.065320,-0.133079,-0.054630,0.070595,-0.011911,0.999999,0.000912,-0.000327,-0.000665,-0.368806,-0.694902,0.278716,0.550828,98.407654,34.052885,-73.319663
21084,-5.552515,6.985474,-1.323696,0.092839,0.669949,-0.817024,0.229915,-0.069903,-0.149637,-0.055468,0.069911,-0.013176,0.999999,0.001150,-0.000350,-0.000748,-0.367476,-0.695346,0.278964,0.551030,98.522700,34.144957,-73.353150
21085,-5.541898,7.040026,-1.356393,0.116738,0.616456,-0.772738,0.310720,-0.082714,-0.174768,-0.055352,0.070470,-0.013477,0.999998,0.001554,-0.000414,-0.000874,-0.365771,-0.695937,0.279373,0.551211,98.681044,34.252667,-73.393111
21086,-5.546478,7.134411,-1.255359,0.002510,0.520886,-0.704024,0.396376,-0.084992,-0.201776,-0.055387,0.071425,-0.012436,0.999997,0.001982,-0.000425,-0.001009,-0.363695,-0.696713,0.279923,0.551325,98.888947,34.375736,-73.430882
21087,-5.668044,7.321990,-1.182069,-0.115700,0.465642,-0.490390,0.429866,-0.086224,-0.228693,-0.056592,0.073310,-0.011688,0.999997,0.002149,-0.000431,-0.001143,-0.361418,-0.697581,0.280477,0.551444,99.117836,34.514527,-73.466602
