// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472E6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
23158,-2.524087,6.467124,8.974438,0.534075,-3.166266,1.069602,-0.473516,0.314076,-0.421767,-0.024963,0.064936,0.089630,0.999994,-0.002368,0.001570,-0.002109,-0.386121,-0.275694,0.084444,0.876226,23.405980,24.703963,-127.242826
23159,-2.291265,5.222773,8.666720,-0.186666,-2.548757,0.242522,-0.786371,0.441327,-0.599384,-0.022564,0.052636,0.086511,0.999985,-0.003932,0.002207,-0.002997,-0.384722,-0.276350,0.079343,0.877111,22.855880,25.070253,-127.486386
23160,-1.897949,6.308186,9.533514,-0.151410,-3.774123,1.142402,-1.103326,0.565969,-0.794994,-0.018458,0.063681,0.095038,0.999973,-0.005517,0.002830,-0.003975,-0.382940,-0.277004,0.072341,0.878290,22.084170,25.542222,-127.819717
23161,-2.024826,6.029207,10.453783,-0.692527,-3.744825,1.815956,-1.439453,0.638859,-0.977771,-0.019618,0.061140,0.104163,0.999957,-0.007197,0.003194,-0.004889,-0.380817,-0.277386,0.063462,0.879777,21.073344,26.087371,-128.253796
23162,-2.232588,4.794919,11.785182,-1.984111,-3.079182,2.574514,-1.613474,0.573502,-1.103656,-0.021720,0.049019,0.117522,0.999948,-0.008067,0.002867,-0.005518,-0.378328,-0.277158,0.053767,0.881567,19.913442,26.614374,-128.791189
23163,-1.258047,3.076526,13.288553,-4.310862,-2.928224,2.855021,-1.504959,0.304349,-1.141998,-0.012199,0.031834,0.132667,0.999954,-0.007525,0.001522,-0.005710,-0.375408,-0.275937,0.044996,0.883687,18.769154,26.994175,-129.423092
23164,0.331107,1.119320,13.700440,-6.577108,-2.832486,1.925354,-1.022418,0.090692,-1.097039,0.003437,0.011875,0.136943,0.999972,-0.005112,0.000453,-0.005485,-0.371948,-0.274639,0.038822,0.885845,17.887076,27.238491,-130.079757
23165,0.957528,0.843964,13.928090,-7.175192,-3.163595,1.768717,-0.388730,-0.043229,-1.025895,0.009589,0.008661,0.139266,0.999985,-0.001944,-0.000216,-0.005129,-0.367888,-0.273908,0.035794,0.887892,17.371872,27.391333,-130.723565
23166,0.409453,2.351789,14.284741,-6.080238,-3.943666,2.726472,0.177705,-0.182819,-0.933566,0.004073,0.023372,0.142872,0.999988,0.000889,-0.000914,-0.004668,-0.363433,-0.273564,0.035669,0.889836,17.193226,27.446963,-131.338566
23167,-0.362833,4.223235,14.260560,-4.473760,-4.758863,3.554033,0.491958,-0.326610,-0.868300,-0.003679,0.041897,0.142703,0.999986,0.002460,-0.001633,-0.004341,-0.358797,-0.273144,0.037286,0.891777,17.200427,27.413677,-131.941227
23168,-0.863441,6.394724,14.506752,-3.007441,-6.020870,4.567437,0.461608,-0.387611,-0.983743,-0.008602,0.063655,0.145198,0.999983,0.002308,-0.001938,-0.004919,-0.353673,-0.272395,0.038725,0.893989,17.152529,27.364168,-132.626021
23169,-1.135520,7.737919,14.708308,-2.163480,-6.869082,5.208432,0.039148,-0.355093,-1.216853,-0.011145,0.077419,0.147078,0.999980,0.000196,-0.001775,-0.006084,-0.348068,-0.271095,0.037892,0.896616,16.799754,27.371522,-133.448637
23170,-0.732015,7.884414,14.704565,-2.310551,-7.305434,5.026952,-0.536307,-0.286170,-1.318040,-0.007009,0.079285,0.146823,0.999974,-0.002682,-0.001431,-0.006590,-0.342796,-0.269090,0.034231,0.899394,16.093915,27.423761,-134.320962
23171,-2.041352,5.781889,14.091712,-2.382118,-4.911826,4.552930,-0.864105,-0.229719,-1.292337,-0.020198,0.058558,0.140642,0.999969,-0.004320,-0.001149,-0.006462,-0.338060,-0.266777,0.029022,0.902055,15.210569,27.495074,-135.169320
23172,-3.675991,3.381917,13.736989,-2.510554,-2.115852,4.430688,-0.711297,-0.228954,-1.124474,-0.036724,0.034514,0.137206,0.999977,-0.003556,-0.001145,-0.005622,-0.333871,-0.264665,0.024737,0.904362,14.462396,27.528369,-135.913426
23173,-4.838981,3.445735,13.788610,-1.675471,-1.527804,5.028898,-0.244374,-0.362926,-0.819636,-0.048498,0.034824,0.137756,0.999989,-0.001222,-0.001815,-0.004098,-0.330403,-0.262701,0.023176,0.906248,14.059708,27.440695,-136.488987
23174,-5.231822,4.403501,13.667418,-0.739050,-2.024153,5.317329,0.091972,-0.539153,-0.436075,-0.052590,0.044087,0.136553,0.999994,0.000460,-0.002696,-0.002180,-0.328216,-0.260423,0.023947,0.907679,13.949891,27.196315,-136.849896
23175,-5.547243,4.407877,12.989622,-0.150768,-1.694727,4.885476,0.260267,-0.645942,-0.011420,-0.055889,0.043913,0.129773,0.999994,0.001301,-0.003230,-0.000057,-0.327710,-0.257905,0.026196,0.908518,14.050926,26.836949,-136.962267
23176,-5.828979,3.852803,11.989863,0.237871,-0.867274,4.035341,0.373241,-0.686729,0.410320,-0.058780,0.038184,0.119769,0.999990,0.001866,-0.003434,0.002052,-0.328975,-0.255304,0.029583,0.908692,14.332138,26.392657,-136.819074
23177,-5.927087,2.681314,10.951974,0.146620,0.351045,2.919924,0.463399,-0.624154,0.725926,-0.059709,0.026343,0.109395,0.999986,0.002317,-0.003121,0.003630,-0.331548,-0.253106,0.033665,0.908229,14.752215,25.940259,-136.475276
23178,-6.637105,1.104662,10.199230,0.048574,2.230703,2.200461,0.586356,-0.500736,0.917263,-0.066675,0.010443,0.101857,0.999982,0.002932,-0.002504,0.004586,-0.334856,-0.251609,0.038356,0.907245,15.298485,25.521799,-135.998249
23179,-7.519548,-0.113958,9.563090,0.178792,3.926380,1.700733,0.760338,-0.405274,0.995427,-0.075381,-0.001878,0.095472,0.999978,0.003802,-0.002026,0.004977,-0.338294,-0.250835,0.043758,0.905938,15.965451,25.142775,-135.464529
23180,-8.100633,-0.615624,8.817235,0.565620,4.886667,1.120809,0.878748,-0.340433,0.943260,-0.081125,-0.006926,0.088005,0.999978,0.004394,-0.001702,0.004716,-0.341357,-0.250532,0.049532,0.904575,16.686270,24.798832,-134.956836
23181,-8.451563,-1.079206,8.124135,0.796090,5.651620,0.483853,0.939398,-0.315444,0.798512,-0.084599,-0.011511,0.081055,0.999980,0.004697,-0.001577,0.003993,-0.343670,-0.250494,0.055343,0.903372,17.401861,24.490315,-134.538613
23182,-8.380145,-1.058248,7.607185,0.966683,5.743250,-0.050765,0.981062,-0.315256,0.606685,-0.083888,-0.011209,0.075886,0.999982,0.004905,-0.001576,0.003033,-0.345063,-0.250551,0.061107,0.902453,18.089925,24.207952,-134.239745
23183,-8.330101,-0.590759,7.296463,1.328098,5.479656,-0.263529,0.955134,-0.342453,0.418301,-0.083413,-0.006430,0.072792,0.999985,0.004776,-0.001712,0.002091,-0.345607,-0.250511,0.066555,0.901871,18.712129,23.944603,-134.063268
23184,-8.215267,0.120411,6.986368,1.807021,4.975969,-0.416512,0.873592,-0.407786,0.286755,-0.082296,0.000781,0.069700,0.999987,0.004368,-0.002039,0.001434,-0.345639,-0.250053,0.071586,0.901600,19.248483,23.666328,-133.980717
23185,-8.081045,0.942424,6.647946,2.365992,4.366152,-0.553918,0.754919,-0.503867,0.248404,-0.080989,0.009073,0.066310,0.999989,0.003775,-0.002519,0.001242,-0.345593,-0.248984,0.076194,0.901536,19.698576,23.345267,-133.944118
23186,-7.702012,1.734181,6.357616,2.740303,3.608202,-0.745235,0.570642,-0.624505,0.275991,-0.077242,0.017054,0.063384,0.999990,0.002853,-0.003123,0.001380,-0.345858,-0.247020,0.080215,0.901626,20.037832,22.951565,-133.918922
23187,-7.200810,2.537521,6.177982,3.001770,2.750816,-0.875127,0.327110,-0.722266,0.323558,-0.072272,0.025158,0.061560,0.999991,0.001636,-0.003611,0.001618,-0.346582,-0.244187,0.083362,0.901834,20.239592,22.497827,-133.889458
23188,-6.615700,2.958585,6.033526,2.983746,2.115172,-1.120916,0.045939,-0.786724,0.392093,-0.066451,0.029442,0.060081,0.999990,0.000230,-0.003934,0.001960,-0.347933,-0.240529,0.085436,0.902103,20.289036,21.994087,-133.834779
23189,-6.628282,3.022364,6.031094,3.084169,2.138980,-1.131973,-0.163943,-0.876346,0.506176,-0.066622,0.030105,0.059995,0.999987,-0.000820,-0.004382,0.002531,-0.349998,-0.236061,0.086853,0.902349,20.235395,21.421237,-133.733838
