// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
37740,-9.336210,-2.024208,-1.376828,0.236239,0.272783,-0.167602,0.145448,0.041734,0.004940,-0.093364,-0.020234,-0.013764,1.000000,0.000727,0.000209,0.000025,0.028837,-0.739140,-0.107417,0.664306,-121.981379,77.378490,64.428055
37741,-9.322997,-1.854438,-1.240984,0.123211,0.094160,-0.227636,0.177947,0.046130,0.003985,-0.093232,-0.018535,-0.012405,1.000000,0.000890,0.000231,0.000020,0.029531,-0.739261,-0.106795,0.664241,-121.974800,77.366094,64.327219
37742,-9.346999,-1.578526,-1.082524,-0.003769,-0.197242,-0.273763,0.174534,0.044951,0.005384,-0.093472,-0.015778,-0.010818,1.000000,0.000873,0.000225,0.000027,0.030203,-0.739380,-0.106181,0.664176,-121.971676,77.354679,64.225416
37743,-9.500493,-1.323594,-1.087376,0.014800,-0.477591,-0.170834,0.120477,0.040688,-0.001076,-0.095007,-0.013229,-0.010862,1.000000,0.000602,0.000203,-0.000005,0.030698,-0.739488,-0.105769,0.664099,-121.979208,77.341476,64.143856
37744,-9.616052,-1.394422,-1.061522,-0.032083,-0.435718,-0.048016,0.039204,0.033111,-0.012433,-0.096163,-0.013936,-0.010602,1.000000,0.000196,0.000166,-0.000062,0.030922,-0.739579,-0.105673,0.664003,-122.003761,77.324992,64.093315
37745,-9.537577,-1.838647,-1.154886,0.014570,0.020105,-0.031116,0.014830,0.026024,-0.011538,-0.095378,-0.018380,-0.011538,1.000000,0.000074,0.000130,-0.000058,0.031053,-0.739648,-0.105652,0.663923,-122.025810,77.311147,64.058910
37746,-9.453483,-2.117338,-1.325656,0.157904,0.323351,-0.041334,0.055819,0.028202,0.000418,-0.094537,-0.021170,-0.013249,1.000000,0.000279,0.000141,0.000002,0.031294,-0.739727,-0.105453,0.663855,-122.047404,77.302404,64.001437
37747,-9.406854,-2.102228,-1.351358,0.188503,0.319113,-0.086585,0.080238,0.032488,0.004013,-0.094070,-0.021019,-0.013507,1.000000,0.000401,0.000162,0.000020,0.031620,-0.739816,-0.105157,0.663788,-122.066786,77.294139,63.931346
37748,-9.442589,-2.218817,-1.447757,0.266137,0.433997,-0.018687,0.093990,0.034386,0.012891,-0.094427,-0.022187,-0.014472,1.000000,0.000470,0.000172,0.000064,0.031963,-0.739916,-0.104784,0.663720,-122.096556,77.289544,63.843114
37749,-9.589463,-2.142759,-1.360699,0.173553,0.322484,0.100264,0.122558,0.038965,0.020618,-0.095895,-0.021429,-0.013601,1.000000,0.000613,0.000195,0.000103,0.032394,-0.740027,-0.104285,0.663653,-122.127956,77.287351,63.735845
37750,-9.620507,-1.903018,-1.241296,0.078449,0.071641,0.071905,0.140166,0.034840,0.023378,-0.096205,-0.019033,-0.012410,1.000000,0.000701,0.000174,0.000117,0.032874,-0.740126,-0.103720,0.663608,-122.146358,77.287671,63.632119
37751,-9.774843,-1.736958,-1.135209,-0.023981,-0.129919,0.179100,0.139159,0.036405,0.026429,-0.097748,-0.017375,-0.011346,1.000000,0.000696,0.000182,0.000132,0.033345,-0.740229,-0.103144,0.663559,-122.170589,77.289057,63.522447
37752,-9.772456,-1.744606,-1.063820,-0.096360,-0.127596,0.169832,0.134982,0.039140,0.024091,-0.097725,-0.017451,-0.010631,1.000000,0.000675,0.000196,0.000120,0.033805,-0.740342,-0.102594,0.663495,-122.202196,77.288384,63.408364
37753,-9.632551,-1.761993,-0.956883,-0.191118,-0.091778,0.024047,0.153765,0.036021,0.023222,-0.096325,-0.017624,-0.009565,1.000000,0.000769,0.000180,0.000116,0.034341,-0.740438,-0.101982,0.663454,-122.212897,77.288313,63.303985
