// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472E6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
19866,-3.875139,0.620817,8.906707,-0.644594,-0.209458,-0.103307,0.072009,0.346843,-0.154794,-0.038592,0.006206,0.089136,0.999998,0.000360,0.001734,-0.000774,0.535797,0.221622,0.075507,-0.811236,7.358368,26.135101,-111.402739
19867,-4.390678,0.763742,9.229530,-0.455929,0.014300,0.426324,0.147987,0.376226,-0.129369,-0.043728,0.007597,0.092383,0.999998,0.000740,0.001881,-0.000647,0.534936,0.223488,0.076031,-0.811243,7.421774,26.356187,-111.457946
19868,-5.101194,1.331229,9.745556,0.119598,0.150532,1.265810,0.136879,0.356501,-0.116127,-0.050830,0.013275,0.097555,0.999998,0.000684,0.001783,-0.000581,0.534148,0.225247,0.076529,-0.811229,7.481776,26.564805,-111.506211
19869,-5.327325,2.020498,10.078178,0.704364,-0.104856,1.742625,0.004276,0.285539,-0.149971,-0.053114,0.020243,0.100858,0.999999,0.000021,0.001428,-0.000750,0.533397,0.226352,0.077416,-0.811332,7.453286,26.735972,-111.581934
19870,-5.035827,1.897431,9.960001,0.532730,-0.285744,1.491996,-0.142630,0.213544,-0.182664,-0.050234,0.019091,0.099640,0.999999,-0.000713,0.001068,-0.000913,0.532706,0.226757,0.078742,-0.811545,7.328284,26.868221,-111.684753
19871,-4.423576,1.648414,9.683389,0.198188,-0.616668,0.940622,-0.175516,0.164633,-0.185758,-0.044141,0.016610,0.096856,0.999999,-0.000878,0.000823,-0.000929,0.532057,0.226877,0.080076,-0.811806,7.181305,26.973006,-111.793981
19872,-4.079606,1.555445,9.388894,0.096395,-0.778664,0.511955,-0.120720,0.163428,-0.184695,-0.040705,0.015649,0.093913,0.999999,-0.000604,0.000817,-0.000923,0.531351,0.227136,0.081181,-0.812087,7.065689,27.076476,-111.902988
19873,-4.227842,1.360045,9.185467,0.031902,-0.520586,0.376773,-0.004580,0.171341,-0.199742,-0.042186,0.013645,0.091891,0.999999,-0.000023,0.000857,-0.000999,0.530447,0.227731,0.081854,-0.812444,7.012172,27.185676,-112.021263
19874,-4.630017,1.148159,9.051855,0.008443,-0.066560,0.418974,0.146854,0.135965,-0.233100,-0.046225,0.011469,0.090558,0.999999,0.000734,0.000680,-0.001166,0.529248,0.228567,0.081855,-0.812990,7.034174,27.276750,-112.163796
19875,-4.949632,0.979003,8.955928,-0.021237,0.296296,0.462413,0.293778,0.054623,-0.287860,-0.049458,0.009730,0.089587,0.999998,0.001469,0.000273,-0.001439,0.527691,0.229441,0.081106,-0.813831,7.121132,27.325871,-112.347825
19876,-4.843796,0.719915,8.719075,-0.235723,0.412225,0.176176,0.390923,-0.045532,-0.362393,-0.048445,0.007116,0.087194,0.999996,0.001955,-0.000228,-0.001812,0.525756,0.230130,0.079782,-0.815019,7.238153,27.323374,-112.587556
19877,-4.382263,0.170259,8.347792,-0.791304,0.422937,-0.425794,0.473988,-0.089340,-0.424570,-0.043856,0.001598,0.083462,0.999995,0.002370,-0.000447,-0.002123,0.523485,0.230834,0.078077,-0.816446,7.382876,27.301317,-112.870637
19878,-4.360201,0.095735,8.052199,-0.795835,0.563681,-0.707344,0.560595,-0.074650,-0.444583,-0.043630,0.000829,0.080508,0.999994,0.002803,-0.000373,-0.002223,0.521021,0.231811,0.076076,-0.817932,7.572030,27.289514,-113.165300
19879,-4.722050,0.751799,8.068927,-0.112576,0.572767,-0.451611,0.529847,-0.005922,-0.454087,-0.047206,0.007411,0.080708,0.999994,0.002649,-0.000030,-0.002270,0.518520,0.232986,0.074393,-0.819342,7.743345,27.318606,-113.460218
19880,-5.251081,1.237837,8.034011,0.499649,0.796275,-0.181088,0.360104,0.054374,-0.464954,-0.052460,0.012356,0.080377,0.999996,0.001801,0.000272,-0.002325,0.516145,0.233958,0.073571,-0.820637,7.816468,27.383011,-113.756847
19881,-5.684007,1.245082,8.075058,0.644029,1.117083,0.056561,0.191740,0.093014,-0.437604,-0.056775,0.012498,0.080789,0.999997,0.000959,0.000465,-0.002188,0.514060,0.234665,0.073510,-0.821749,7.802243,27.467689,-114.032786
19882,-6.682042,1.037391,8.450220,0.708748,1.869746,0.823750,0.138820,0.069553,-0.345459,-0.066773,0.010431,0.084533,0.999998,0.000694,0.000348,-0.001727,0.512423,0.235170,0.073495,-0.822628,7.783645,27.531487,-114.251995
19883,-7.938321,1.257895,8.906231,1.226309,2.613972,1.831345,0.135915,-0.126699,-0.246549,-0.079424,0.012616,0.089021,0.999999,0.000680,-0.000633,-0.001233,0.511265,0.234899,0.072874,-0.823480,7.784577,27.476541,-114.425116
19884,-7.648188,1.366547,8.749511,1.282773,2.403895,1.566760,0.089146,-0.363226,-0.188885,-0.076628,0.013699,0.087362,0.999998,0.000446,-0.001816,-0.000944,0.510486,0.233552,0.071772,-0.824443,7.766684,27.282459,-114.581791
19885,-6.068326,1.338883,8.222918,0.867186,1.362683,0.366922,0.010287,-0.507263,-0.155880,-0.060881,0.013432,0.082076,0.999996,0.000051,-0.002536,-0.000779,0.509982,0.231423,0.070590,-0.825457,7.708226,27.004397,-114.729435
19886,-4.234365,1.157372,7.540017,0.265404,0.239110,-1.095263,-0.037006,-0.452478,-0.131012,-0.042506,0.011615,0.075302,0.999997,-0.000185,-0.002262,-0.000655,0.509614,0.229404,0.069712,-0.826322,7.632962,26.754954,-114.855822
19887,-3.623943,1.349277,7.283506,0.303384,-0.234671,-1.575222,-0.042037,-0.243594,-0.105168,-0.036321,0.013527,0.072788,0.999999,-0.000210,-0.001218,-0.000526,0.509283,0.228247,0.069359,-0.826876,7.570695,26.622503,-114.947528
19888,-3.975343,1.497969,7.427002,0.532035,-0.062729,-1.273330,-0.023877,-0.041580,-0.072669,-0.039763,0.015003,0.074260,1.000000,-0.000119,-0.000208,-0.000363,0.508995,0.227979,0.069406,-0.827123,7.535978,26.601820,-115.001368
19889,-4.794752,1.707226,7.775097,0.918957,0.378637,-0.573177,0.008802,0.077806,-0.026052,-0.047915,0.017075,0.077770,1.000000,0.000044,0.000389,-0.000130,0.508821,0.228307,0.069571,-0.827126,7.537677,26.645888,-115.015558
19890,-5.756952,1.908784,8.229112,1.312902,0.900418,0.285321,0.054202,0.076657,0.043950,-0.057542,0.019053,0.082318,1.000000,0.000271,0.000383,0.000220,0.508886,0.228767,0.069463,-0.826968,7.585379,26.683576,-114.985332
19891,-6.653350,1.970556,8.505471,1.610968,1.504374,0.940676,0.060576,-0.024360,0.098919,-0.066554,0.019647,0.085053,1.000000,0.000303,-0.000122,0.000495,0.509205,0.228848,0.069011,-0.826787,7.648532,26.660174,-114.928707
19892,-6.912436,1.798028,8.437263,1.574596,1.834913,0.974146,0.026457,-0.158313,0.121320,-0.069202,0.017927,0.084320,0.999999,0.000132,-0.000792,0.000607,0.509702,0.228292,0.068331,-0.826691,7.693347,26.558469,-114.869376
19893,-6.693436,1.142946,7.891487,1.092233,2.179860,0.308534,-0.013409,-0.283740,0.115016,-0.067053,0.011396,0.078819,0.999999,-0.000067,-0.001419,0.000575,0.510259,0.227118,0.067506,-0.826738,7.708527,26.386535,-114.824910
19894,-5.845632,0.553890,7.220880,0.472471,2.025167,-0.741043,0.015154,-0.278504,0.079830,-0.058559,0.005510,0.072128,0.999999,0.000076,-0.001393,0.000399,0.510637,0.226022,0.066613,-0.826878,7.730253,26.219739,-114.802428
19895,-6.073608,0.110336,6.912139,0.269379,2.546617,-0.974095,0.115324,-0.194264,0.005902,-0.060803,0.001062,0.069063,0.999999,0.000577,-0.000971,0.000030,0.510566,0.225509,0.065607,-0.827142,7.791802,26.107054,-114.819583
19896,-6.989584,-0.032769,7.292876,0.370251,3.250664,-0.255624,0.294081,-0.135483,-0.078099,-0.069945,-0.000408,0.072881,0.999999,0.001470,-0.000677,-0.000390,0.509927,0.225664,0.064104,-0.827612,7.934665,26.033761,-114.884921
19897,-8.897106,0.533440,8.295066,1.269918,4.228248,1.534572,0.439938,-0.249141,-0.140746,-0.089071,0.005215,0.082851,0.999997,0.002200,-0.001246,-0.000704,0.508897,0.225703,0.061781,-0.828411,8.139316,25.901830,-115.000094
19898,-9.125827,1.244787,8.814630,1.822171,3.950578,2.170642,0.351155,-0.538068,-0.214589,-0.091482,0.012391,0.087922,0.999994,0.001756,-0.002690,-0.001073,0.507746,0.224290,0.059171,-0.829691,8.261849,25.611733,-115.188209
19899,-6.881644,1.373925,7.934001,1.383691,2.398383,0.411098,0.049151,-0.709416,-0.300702,-0.069077,0.013824,0.079099,0.999993,0.000246,-0.003547,-0.001504,0.506620,0.221376,0.057478,-0.831279,8.182554,25.232338,-115.445516
19900,-4.556903,0.769137,6.775174,0.364454,1.196048,-1.707361,-0.225933,-0.545279,-0.386484,-0.045738,0.007856,0.067618,0.999994,-0.001130,-0.002726,-0.001932,0.505388,0.218415,0.057434,-0.832814,7.931255,24.951530,-115.740111
19901,-4.316938,0.153055,6.436984,-0.115412,1.412799,-2.191357,-0.293371,-0.216306,-0.423250,-0.043235,0.001716,0.064321,0.999996,-0.001467,-0.001082,-0.002116,0.503976,0.216646,0.058546,-0.834053,7.645074,24.859870,-116.027636
19902,-5.615846,0.326269,7.399356,0.295608,2.073103,-0.756783,-0.185810,0.005195,-0.363592,-0.056150,0.003434,0.073992,0.999998,-0.000929,0.000026,-0.001818,0.502630,0.216083,0.059698,-0.834930,7.444398,24.887635,-116.258952
19903,-7.948679,1.203393,9.089461,1.507494,2.995113,1.849417,-0.061354,-0.048341,-0.206581,-0.079496,0.012144,0.090872,0.999999,-0.000307,-0.000242,-0.001033,0.501818,0.215660,0.060031,-0.835503,7.354404,24.873693,-116.396365
19904,-9.153613,2.174365,9.820991,2.644340,3.280667,3.118392,-0.124635,-0.379306,-0.051465,-0.091717,0.021828,0.098022,0.999998,-0.000623,-0.001897,-0.000257,0.501822,0.213737,0.059626,-0.836024,7.258114,24.659327,-116.463108
19905,-7.637639,2.202357,8.925837,2.375457,2.355280,1.661794,-0.372766,-0.631397,0.002215,-0.076658,0.022189,0.088975,0.999993,-0.001864,-0.003157,0.000011,0.502385,0.210158,0.059573,-0.836597,7.025926,24.298564,-116.515201
19906,-5.121248,0.727777,7.306095,0.613835,1.563643,-1.019867,-0.548751,-0.602939,-0.021827,-0.051432,0.007484,0.072886,0.999992,-0.002744,-0.003015,-0.000109,0.503017,0.206239,0.060347,-0.837137,6.688904,23.954487,-116.578053
19907,-2.843598,-0.647550,6.445939,-1.214988,0.652126,-2.873385,-0.435159,-0.305502,-0.092388,-0.028537,-0.006322,0.064430,0.999996,-0.002176,-0.001528,-0.000462,0.503140,0.203833,0.061470,-0.837570,6.408836,23.784996,-116.661388
19908,-2.838196,-0.758670,7.230221,-1.508727,0.455561,-2.169179,-0.161424,0.088057,-0.188776,-0.028357,-0.007502,0.072321,0.999999,-0.000807,0.000440,-0.000944,0.502458,0.203727,0.062531,-0.837927,6.272820,23.844469,-116.776818
19909,-4.453116,0.122998,8.998001,-0.567926,0.778249,0.181367,0.045977,0.248328,-0.266502,-0.044418,0.001269,0.090035,0.999998,0.000230,0.001242,-0.001333,0.501186,0.204796,0.063209,-0.838377,6.240032,24.000890,-116.929911
19910,-5.853641,0.968431,10.557418,0.303203,0.997133,2.252792,0.094274,0.130859,-0.308611,-0.058452,0.009725,0.105617,0.999998,0.000471,0.000654,-0.001543,0.499725,0.205472,0.063428,-0.839066,6.220690,24.091990,-117.117501
19911,-6.623912,1.179861,10.850795,0.734891,1.420776,2.854171,0.041465,-0.168404,-0.333366,-0.066311,0.011887,0.108455,0.999998,0.000207,-0.000842,-0.001667,0.498307,0.204759,0.063151,-0.840104,6.156343,24.015011,-117.340856
19912,-4.558947,0.944793,9.315169,0.128237,0.350112,0.594514,-0.050144,-0.352603,-0.419726,-0.045734,0.009567,0.093069,0.999996,-0.000251,-0.001763,-0.002099,0.496676,0.203010,0.062883,-0.841514,6.013468,23.836982,-117.629903
19913,-2.823344,0.396322,7.921526,-0.660752,-0.344107,-1.426755,-0.048363,-0.196987,-0.546795,-0.028300,0.004060,0.079186,0.999996,-0.000242,-0.000985,-0.002734,0.494455,0.201884,0.063128,-0.843073,5.844513,23.755442,-117.987209
19914,-2.744870,0.718184,8.021579,-0.430875,-0.607413,-1.336769,0.038548,0.104539,-0.633577,-0.027384,0.007253,0.080232,0.999995,0.000193,0.000523,-0.003168,0.491681,0.202208,0.063834,-0.844563,5.711419,23.848929,-118.379351
19915,-3.708584,1.867227,8.959865,0.711727,-0.733786,0.009439,0.059879,0.270112,-0.645515,-0.036904,0.018765,0.089654,0.999994,0.000299,0.001351,-0.003228,0.488776,0.203284,0.064873,-0.845911,5.590343,24.037682,-118.769385
19916,-3.299196,2.223880,9.335480,0.727684,-1.405202,0.211145,-0.028381,0.315978,-0.577167,-0.032780,0.022347,0.093404,0.999995,-0.000142,0.001580,-0.002886,0.486230,0.204352,0.066322,-0.847008,5.435794,24.246989,-119.115023
19917,-2.342600,1.581962,9.293509,-0.238786,-1.866216,-0.282748,0.002034,0.377994,-0.468983,-0.023213,0.015873,0.092979,0.999995,0.000010,0.001890,-0.002345,0.484085,0.205797,0.067687,-0.847779,5.326266,24.486097,-119.390399
19918,-2.319969,1.400970,9.808576,-0.568962,-1.991914,0.150319,0.120324,0.444498,-0.333496,-0.022958,0.013989,0.098145,0.999996,0.000602,0.002222,-0.001667,0.482366,0.207847,0.068566,-0.848187,5.320265,24.754725,-119.577681
19919,-2.938338,2.075536,10.635145,0.011530,-2.160744,1.204517,0.125413,0.446410,-0.236758,-0.029121,0.020723,0.106430,0.999997,0.000627,0.002232,-0.001184,0.481047,0.209956,0.069333,-0.848354,5.341729,25.020234,-119.704379
19920,-3.399149,1.794231,10.851453,-0.107772,-1.759737,1.563563,0.002793,0.361257,-0.171623,-0.033780,0.017970,0.108576,0.999998,0.000014,0.001806,-0.000858,0.480161,0.211423,0.070341,-0.848409,5.307798,25.232771,-119.795312
19921,-2.862256,1.518853,10.389812,-0.460412,-1.921156,0.889869,-0.047300,0.265235,-0.120069,-0.028476,0.015230,0.103932,0.999999,-0.000237,0.001326,-0.000600,0.479579,0.212387,0.071281,-0.848419,5.256149,25.388619,-119.859619
19922,-1.814479,1.684802,9.916534,-0.660762,-2.705145,0.021643,-0.079447,0.280427,-0.083760,-0.017999,0.016895,0.099184,0.999999,-0.000397,0.001402,-0.000419,0.479179,0.213345,0.072350,-0.848315,5.196191,25.550309,-119.900358
19923,-1.725713,1.469257,9.749622,-0.842871,-2.636049,-0.193298,-0.063718,0.353790,-0.030474,-0.017082,0.014726,0.097522,0.999998,-0.000319,0.001769,-0.000152,0.478959,0.214675,0.073475,-0.848006,5.161343,25.751892,-119.903359
19924,-1.670943,1.768456,9.726574,-0.623533,-2.861376,-0.223665,-0.007962,0.395489,0.047014,-0.016521,0.017685,0.097298,0.999998,-0.000040,0.001977,0.000235,0.478992,0.216338,0.074377,-0.847486,5.181012,25.972451,-119.854872
19925,-1.222933,1.905531,9.440960,-0.643621,-3.220184,-0.676257,-0.012294,0.457240,0.123048,-0.012025,0.019054,0.094436,0.999997,-0.000061,0.002286,0.000615,0.479326,0.218285,0.075365,-0.846710,5.221206,26.225023,-119.754264
19926,-1.082787,1.904661,9.282515,-0.682360,-3.312017,-0.894730,-0.008229,0.574558,0.161072,-0.010576,0.019042,0.092855,0.999996,-0.000041,0.002873,0.000805,0.479769,0.220746,0.076572,-0.845712,5.278302,26.541712,-119.622102
19927,-1.161637,1.873001,9.859806,-0.873889,-3.478758,-0.367714,-0.058694,0.693233,0.142361,-0.011288,0.018751,0.098632,0.999994,-0.000293,0.003466,0.000712,0.480138,0.223583,0.078300,-0.844599,5.305224,26.927680,-119.494181
19928,-3.573863,2.513410,13.467181,-0.386767,-3.266402,3.958116,-0.227568,0.630332,0.024094,-0.035317,0.025283,0.134755,0.999994,-0.001138,0.003152,0.000120,0.480216,0.225695,0.080719,-0.843764,5.200021,27.283369,-119.445668
19929,-4.340202,0.846600,15.648175,-2.088601,-2.621630,6.099054,-0.569341,-0.157148,-0.009901,-0.043525,0.008913,0.156423,0.999996,-0.002847,-0.000786,-0.000050,0.480849,0.223653,0.082728,-0.843753,4.868023,27.192070,-119.464940
19930,2.737111,-0.104560,10.714605,-4.453879,-5.857865,-1.557172,-0.371276,-0.455089,-0.164031,0.027126,-0.000869,0.107210,0.999995,-0.001856,-0.002275,-0.000820,0.480730,0.220760,0.083355,-0.844521,4.597689,26.937250,-119.598323
19931,-1.009829,1.494135,12.964239,-2.054076,-4.576539,2.276956,-0.344552,-0.269608,-0.328289,-0.010248,0.015181,0.129603,0.999996,-0.001723,-0.001348,-0.001641,0.479806,0.218647,0.084497,-0.845482,4.300410,26.795561,-119.825986
19932,0.231874,1.614294,11.882290,-2.131538,-5.203403,0.781141,-0.343665,-0.596710,-0.434746,0.002000,0.016343,0.118801,0.999992,-0.001718,-0.002984,-0.002174,0.478563,0.215102,0.084964,-0.847048,3.967845,26.469763,-120.135485
19933,0.831725,1.840011,11.378464,-2.014158,-5.582579,0.103187,-0.256070,-0.510334,-0.497396,0.008073,0.018526,0.113782,0.999993,-0.001280,-0.002552,-0.002487,0.476916,0.212106,0.085335,-0.848693,3.672027,26.194558,-120.478457
19934,0.049609,2.375301,11.751754,-1.263757,-5.363331,0.835577,-0.227838,-0.569151,-0.516364,0.000223,0.023886,0.117491,0.999992,-0.001139,-0.002846,-0.002582,0.475177,0.208913,0.085462,-0.850446,3.388746,25.884503,-120.833403
