// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
36674,-9.623704,0.340400,-0.952855,-0.173715,-0.122176,-0.138268,0.014188,0.006041,-0.009725,-0.096237,0.003409,-0.009525,1.000000,0.000071,0.000030,-0.000049,-0.227355,0.695149,-0.262116,-0.629581,172.348255,83.983870,-48.209027
36675,-9.658043,0.365657,-0.994857,-0.160793,-0.165594,-0.099399,0.010329,0.010304,-0.012460,-0.096581,0.003663,-0.009943,1.000000,0.000052,0.000052,-0.000062,-0.227375,0.695149,-0.262150,-0.629561,172.348106,83.981958,-48.213803
36676,-9.580544,0.428616,-0.947147,-0.233094,-0.188462,-0.180566,0.009499,0.015070,-0.011798,-0.095806,0.004292,-0.009464,1.000000,0.000047,0.000075,-0.000059,-0.227398,0.695169,-0.262176,-0.629519,172.370543,83.977337,-48.195746
36677,-9.595375,0.440048,-1.014655,-0.190992,-0.239199,-0.158637,-0.000967,0.011693,-0.015123,-0.095954,0.004408,-0.010141,1.000000,-0.000005,0.000058,-0.000076,-0.227384,0.695189,-0.262166,-0.629506,172.379182,83.974838,-48.185162
36678,-9.659679,0.415605,-1.005735,-0.187089,-0.209968,-0.095973,-0.004340,0.012289,-0.017042,-0.096597,0.004164,-0.010052,1.000000,-0.000022,0.000061,-0.000085,-0.227380,0.695223,-0.262128,-0.629485,172.419854,83.972193,-48.140795
36679,-9.618800,0.332530,-1.049655,-0.097426,-0.178491,-0.133208,-0.000270,0.009492,-0.018084,-0.096188,0.003334,-0.010492,1.000000,-0.000001,0.000047,-0.000090,-0.227381,0.695239,-0.262108,-0.629476,172.443127,83.971165,-48.115905
36680,-9.650611,0.335514,-1.006537,-0.134965,-0.150812,-0.106039,0.003934,0.010396,-0.017780,-0.096506,0.003364,-0.010060,1.000000,0.000020,0.000052,-0.000089,-0.227410,0.695259,-0.262091,-0.629450,172.491106,83.969644,-48.068957
36681,-9.630779,0.336322,-0.993308,-0.144443,-0.144644,-0.127136,0.007178,0.006100,-0.017208,-0.096308,0.003372,-0.009930,1.000000,0.000036,0.000031,-0.000086,-0.227438,0.695255,-0.262093,-0.629444,172.511503,83.970470,-48.051235
36682,-9.611277,0.320760,-1.019002,-0.114178,-0.151672,-0.144086,0.007389,0.007564,-0.020987,-0.096113,0.003218,-0.010186,1.000000,0.000037,0.000038,-0.000105,-0.227493,0.695267,-0.262072,-0.629420,172.576697,83.970791,-47.988967
36683,-9.650290,0.346184,-0.969488,-0.171097,-0.136448,-0.110112,0.007667,0.002434,-0.016393,-0.096503,0.003470,-0.009694,1.000000,0.000038,0.000012,-0.000082,-0.227526,0.695249,-0.262075,-0.629426,172.590420,83.973637,-47.978267
