// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
08453,-4.811203,2.263074,8.326634,0.090125,-0.070943,0.066020,-0.000046,-0.019643,-0.029831,-0.048117,0.022638,0.083262,1.000000,-0.000000,-0.000098,-0.000149,-0.958188,-0.126790,-0.256054,0.015381,15.694225,29.643159,2.337962
08454,-4.806295,2.378953,8.307023,0.094391,0.048331,0.074439,-0.009791,-0.011690,-0.031338,-0.048064,0.023801,0.083066,1.000000,-0.000049,-0.000058,-0.000157,-0.958216,-0.126682,-0.255997,0.015457,15.677210,29.637888,2.323555
08455,-4.910348,2.231518,8.268192,-0.029555,-0.085479,0.058787,-0.017191,-0.006726,-0.030238,-0.049103,0.022330,0.082678,1.000000,-0.000086,-0.000034,-0.000151,-0.958242,-0.126543,-0.255965,0.015518,15.656939,29.635511,2.310500
08456,-4.890365,2.163953,8.304763,-0.001509,-0.156943,0.063689,-0.002664,-0.008930,-0.027428,-0.048904,0.021647,0.083045,1.000000,-0.000013,-0.000045,-0.000137,-0.958263,-0.126475,-0.255918,0.015582,15.645478,29.631152,2.299117
08457,-4.777291,2.151728,8.321273,0.102677,-0.168001,0.018755,0.011864,-0.011132,-0.024616,-0.047775,0.021518,0.083211,1.000000,0.000059,-0.000056,-0.000123,-0.958276,-0.126482,-0.255859,0.015657,15.643235,29.625471,2.288849
08458,-4.815876,2.229256,8.350701,0.090074,-0.101812,0.080643,0.022793,-0.005640,-0.027718,-0.048158,0.022290,0.083508,1.000000,0.000114,-0.000028,-0.000139,-0.958276,-0.126535,-0.255826,0.015752,15.646555,29.622970,2.277903
08459,-4.916212,2.202794,8.290187,-0.028965,-0.116478,0.073375,0.020071,0.006359,-0.016267,-0.049158,0.022024,0.082906,1.000000,0.000100,0.000032,-0.000081,-0.958263,-0.126593,-0.255845,0.015786,15.653171,29.625649,2.276044
08460,-4.891325,1.996852,8.262010,-0.040600,-0.310032,-0.010875,0.043361,0.001082,-0.002121,-0.048913,0.019951,0.082625,1.000000,0.000217,0.000005,-0.000011,-0.958244,-0.126779,-0.255826,0.015783,15.676892,29.622899,2.282388
08461,-4.905600,2.282013,8.296002,-0.009524,-0.048510,0.091538,0.077979,0.004056,0.006524,-0.049055,0.022786,0.082970,1.000000,0.000390,0.000020,0.000033,-0.958198,-0.127143,-0.255815,0.015782,15.723633,29.620776,2.294582
08462,-4.886666,2.445387,8.270467,0.009859,0.110195,0.099316,0.062711,0.003399,0.008510,-0.048866,0.024426,0.082713,1.000000,0.000314,0.000017,0.000043,-0.958164,-0.127435,-0.255799,0.015751,15.761964,29.617649,2.308146
08463,-4.780108,2.262199,8.316356,0.106913,-0.079598,0.041803,0.042716,0.000874,0.002710,-0.047801,0.022604,0.083169,1.000000,0.000214,0.000004,0.000014,-0.958145,-0.127626,-0.255778,0.015726,15.787021,29.614351,2.317347
08464,-4.830864,2.121881,8.345856,0.063545,-0.228986,0.058304,0.057565,0.006619,0.005648,-0.048306,0.021193,0.083466,1.000000,0.000288,0.000033,0.000028,-0.958110,-0.127889,-0.255780,0.015699,15.821793,29.613432,2.329690
08465,-4.908456,2.244395,8.300119,-0.014296,-0.107948,0.087331,0.075125,0.008254,0.015294,-0.049083,0.022409,0.083012,1.000000,0.000376,0.000041,0.000076,-0.958061,-0.128252,-0.255784,0.015651,15.870014,29.612223,2.348192
08466,-4.815440,2.456348,8.267809,0.071132,0.100304,0.064744,0.094252,0.009175,0.019298,-0.048153,0.024520,0.082692,1.000000,0.000471,0.000046,0.000096,-0.958000,-0.128709,-0.255786,0.015604,15.930298,29.610553,2.369661
08467,-4.813323,2.672486,8.244793,0.082891,0.307629,0.096165,0.059700,0.014023,0.013247,-0.048129,0.026697,0.082459,1.000000,0.000299,0.000070,0.000066,-0.957954,-0.128995,-0.255820,0.015542,15.969556,29.612816,2.387909
08468,-4.876889,2.701513,8.256816,0.036642,0.326055,0.144701,0.027782,0.008155,0.004826,-0.048766,0.027002,0.082574,1.000000,0.000139,0.000041,0.000024,-0.957935,-0.129115,-0.255831,0.015480,15.987148,29.612838,2.399987
08469,-4.871376,2.337571,8.254180,0.005412,-0.026202,0.052672,0.005379,0.005951,-0.003582,-0.048711,0.023374,0.082544,1.000000,0.000027,0.000030,-0.000018,-0.957933,-0.129119,-0.255842,0.015434,15.989290,29.613300,2.406109
08470,-4.896032,2.304949,8.289670,-0.002110,-0.068274,0.086701,0.014719,-0.000861,-0.006197,-0.048960,0.023045,0.082898,1.000000,0.000074,-0.000004,-0.000031,-0.957934,-0.129162,-0.255818,0.015414,15.995145,29.610095,2.409567
08471,-4.882770,2.436506,8.286580,0.020143,0.059281,0.109081,0.014341,0.000265,-0.010314,-0.048826,0.024362,0.082868,1.000000,0.000072,0.000001,-0.000052,-0.957932,-0.129200,-0.255805,0.015416,15.999805,29.608487,2.410392
08472,-4.896372,2.306188,8.289125,-0.003321,-0.068189,0.086701,0.008701,-0.001916,-0.010801,-0.048963,0.023061,0.082892,1.000000,0.000044,-0.000010,-0.000054,-0.957938,-0.129207,-0.255780,0.015410,16.000675,29.605429,2.410923
08473,-4.903776,2.371367,8.311055,0.006714,-0.011227,0.124307,0.009003,-0.001816,-0.013236,-0.049037,0.023713,0.083111,1.000000,0.000045,-0.000009,-0.000066,-0.957942,-0.129216,-0.255759,0.015420,16.001174,29.603137,2.409519
08474,-4.898075,2.397782,8.289382,0.003051,0.019975,0.109709,0.009869,-0.005386,-0.014035,-0.048981,0.023977,0.082894,1.000000,0.000049,-0.000027,-0.000070,-0.957951,-0.129225,-0.255719,0.015435,16.001388,29.598681,2.407126
08475,-4.942879,2.279199,8.299146,-0.043096,-0.098378,0.111581,0.000904,-0.003667,-0.016378,-0.049428,0.022796,0.082991,1.000000,0.000005,-0.000018,-0.000082,-0.957963,-0.129191,-0.255692,0.015451,15.996098,29.595865,2.403395
08476,-4.872812,2.208216,8.314547,0.017821,-0.167925,0.072842,0.010169,-0.005285,-0.016472,-0.048728,0.022082,0.083145,1.000000,0.000051,-0.000026,-0.000082,-0.957971,-0.129198,-0.255654,0.015477,15.995727,29.591853,2.399602
08477,-4.887808,2.169608,8.317522,0.002083,-0.207359,0.073466,0.024393,0.000271,-0.008690,-0.048877,0.021688,0.083178,1.000000,0.000122,0.000001,-0.000043,-0.957963,-0.129286,-0.255639,0.015483,16.006654,29.589991,2.401456
08478,-4.852334,2.277396,8.288646,0.028776,-0.097226,0.057624,0.044887,-0.000847,-0.001316,-0.048524,0.022756,0.082891,1.000000,0.000224,-0.000004,-0.000007,-0.957945,-0.129480,-0.255610,0.015480,16.031314,29.586027,2.407895
08479,-4.843198,2.294113,8.306009,0.046404,-0.088864,0.071606,0.040948,0.002857,0.001688,-0.048431,0.022924,0.083065,1.000000,0.000205,0.000014,0.000008,-0.957924,-0.129661,-0.255600,0.015456,16.055201,29.583946,2.416789
08480,-4.819309,2.350474,8.319922,0.079131,-0.040996,0.084970,0.046271,0.004944,0.004594,-0.048192,0.023484,0.083206,1.000000,0.000231,0.000025,0.000023,-0.957898,-0.129868,-0.255595,0.015421,16.083013,29.582229,2.428151
08481,-4.904417,2.366168,8.255496,-0.024717,-0.016538,0.076922,0.046749,0.002496,-0.000329,-0.049043,0.023642,0.082561,1.000000,0.000234,0.000012,-0.000002,-0.957873,-0.130075,-0.255583,0.015415,16.109560,29.580262,2.435701
08482,-4.717214,2.574890,8.305224,0.181736,0.175827,0.076446,0.030455,0.000113,0.002434,-0.047172,0.025736,0.083056,1.000000,0.000152,0.000001,0.000012,-0.957863,-0.130204,-0.255557,0.015373,16.127191,29.576223,2.444782
08483,-4.749595,2.420212,8.270522,0.122132,0.031638,0.026098,0.025622,0.016445,0.002242,-0.047489,0.024191,0.082712,1.000000,0.000128,0.000082,0.000011,-0.957834,-0.130313,-0.255613,0.015318,16.143695,29.581519,2.456510
08484,-4.895043,2.445833,8.259753,-0.006198,0.051557,0.095106,0.019687,0.014164,0.004199,-0.048945,0.024449,0.082603,1.000000,0.000098,0.000071,0.000021,-0.957813,-0.130394,-0.255654,0.015246,16.156984,29.584922,2.469269
08485,-4.844050,2.519890,8.277926,0.054603,0.118758,0.103039,0.010504,0.010587,0.001782,-0.048436,0.025194,0.082783,1.000000,0.000053,0.000053,0.000009,-0.957802,-0.130430,-0.255683,0.015178,16.164155,29.587063,2.479636
08486,-4.857749,2.539512,8.269911,0.040994,0.138955,0.107861,-0.000526,0.007528,-0.008156,-0.048573,0.025397,0.082701,1.000000,-0.000003,0.000038,-0.000041,-0.957802,-0.130397,-0.255701,0.015142,16.161414,29.588781,2.483391
08487,-4.836458,2.531283,8.295899,0.071517,0.127209,0.117034,-0.034034,0.003567,-0.017442,-0.048361,0.025331,0.082956,1.000000,-0.000170,0.000018,-0.000087,-0.957827,-0.130195,-0.255712,0.015114,16.136425,29.590124,2.480305
08488,-4.900638,2.232837,8.280437,-0.020431,-0.155597,0.063689,-0.031889,-0.000833,-0.021430,-0.049004,0.022347,0.082801,1.000000,-0.000159,-0.000004,-0.000107,-0.957857,-0.129995,-0.255702,0.015107,16.110816,29.589353,2.474141
08489,-4.878726,2.393054,8.347364,0.046155,-0.013935,0.147475,-0.022146,-0.000921,-0.017374,-0.048786,0.023944,0.083471,1.000000,-0.000111,-0.000005,-0.000087,-0.957880,-0.129849,-0.255691,0.015097,16.092254,29.588213,2.470276
08490,-4.891855,2.390058,8.289498,0.006080,0.000551,0.104891,-0.026572,0.001258,-0.018527,-0.048916,0.023916,0.082892,1.000000,-0.000133,0.000006,-0.000093,-0.957904,-0.129678,-0.255689,0.015081,16.070785,29.588129,2.466407
