// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737B
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
53073,-4.583162,4.548099,7.208593,-0.033475,0.128142,-0.136074,-0.005471,-0.028402,0.018364,-0.045846,0.045479,0.072078,1.000000,-0.000027,-0.000142,0.000092,-0.532674,-0.349279,0.069148,0.767776,32.649680,27.559563,-102.277925
53074,-4.490347,4.522922,7.153982,-0.035536,0.075677,-0.231847,-0.007493,-0.030622,0.008203,-0.044916,0.045230,0.071531,1.000000,-0.000037,-0.000153,0.000041,-0.532714,-0.349138,0.069205,0.767808,32.641722,27.542623,-102.283466
53075,-4.605769,4.522368,7.115510,0.011067,0.188401,-0.207491,-0.007020,-0.030319,0.001809,-0.046069,0.045226,0.071147,1.000000,-0.000035,-0.000152,0.000009,-0.532727,-0.349004,0.069252,0.767856,32.632599,27.528173,-102.292328
53076,-4.543212,4.567191,7.087632,0.052372,0.124632,-0.235827,-0.001611,-0.026784,-0.000310,-0.045442,0.045673,0.070870,1.000000,-0.000008,-0.000134,-0.000002,-0.532725,-0.348896,0.069307,0.767901,32.626495,27.515714,-102.301158
53077,-4.489666,4.624430,7.040075,0.116448,0.068238,-0.268742,-0.000033,-0.021611,-0.000525,-0.044904,0.046244,0.070396,1.000000,-0.000000,-0.000108,-0.000003,-0.532720,-0.348815,0.069352,0.767937,32.622194,27.506203,-102.308253
53078,-4.538128,4.649855,7.140882,0.084585,0.073473,-0.158911,-0.005880,-0.002662,-0.000682,-0.045382,0.046501,0.071407,1.000000,-0.000029,-0.000013,-0.000003,-0.532733,-0.348788,0.069326,0.767943,32.617433,27.505498,-102.308882
53079,-4.513778,4.695328,7.159132,0.104142,0.028402,-0.134784,-0.000439,0.000605,0.008026,-0.045139,0.046952,0.071591,1.000000,-0.000002,0.000003,0.000040,-0.532769,-0.348788,0.069326,0.767918,32.618632,27.504073,-102.303582
53080,-4.486848,4.679685,7.229913,0.043857,-0.006714,-0.101821,-0.005210,0.002812,0.013525,-0.044871,0.046796,0.072299,1.000000,-0.000026,0.000014,0.000068,-0.532837,-0.348779,0.069313,0.767876,32.618705,27.501622,-102.294575
53081,-4.389024,4.758450,7.329497,0.025988,-0.151203,-0.034939,-0.022501,0.008957,0.014245,-0.043890,0.047590,0.073292,1.000000,-0.000113,0.000045,0.000071,-0.532938,-0.348751,0.069217,0.767827,32.610178,27.502307,-102.282979
53082,-4.479484,4.617481,7.375120,-0.091689,-0.025363,-0.026460,-0.027040,0.000964,0.017098,-0.044798,0.046181,0.073745,1.000000,-0.000135,0.000005,0.000085,-0.533057,-0.348675,0.069131,0.767787,32.598344,27.497864,-102.272670
53083,-4.516391,4.555506,7.384963,-0.137378,0.031440,-0.031673,0.000140,-0.017348,0.018449,-0.045175,0.045551,0.073846,1.000000,0.000001,-0.000087,0.000092,-0.533126,-0.348605,0.069199,0.767765,32.599613,27.484541,-102.267944
53084,-4.570012,4.779778,7.491779,-0.018472,-0.042198,0.180106,-0.003345,-0.039734,0.008543,-0.045717,0.047797,0.074908,1.000000,-0.000017,-0.000199,0.000043,-0.533157,-0.348439,0.069297,0.767810,32.592671,27.463094,-102.276450
53085,-4.624917,4.754391,7.537747,-0.051597,0.008594,0.227680,-0.036257,-0.079566,0.010408,-0.046282,0.047555,0.075350,1.000000,-0.000181,-0.000398,0.000052,-0.533237,-0.348035,0.069378,0.767930,32.561090,27.422207,-102.297727
53086,-4.495931,4.574121,7.500098,-0.184919,-0.009936,0.054082,-0.039902,-0.112698,0.015131,-0.045005,0.045753,0.074966,1.000000,-0.000200,-0.000563,0.000076,-0.533331,-0.347490,0.069542,0.768097,32.523222,27.363481,-102.327949
53087,-4.388483,4.637899,7.442893,-0.113893,-0.105236,-0.007511,-0.026691,-0.131573,0.024430,-0.043939,0.046384,0.074394,1.000000,-0.000133,-0.000658,0.000122,-0.533430,-0.346906,0.069822,0.768266,32.492404,27.293118,-102.359555
53088,-4.287610,4.611635,7.393232,-0.115946,-0.157689,-0.103293,-0.031909,-0.131445,0.033152,-0.042932,0.046121,0.073897,1.000000,-0.000160,-0.000657,0.000166,-0.533573,-0.346304,0.070098,0.768414,32.460747,27.219755,-102.386353
53089,-4.162145,4.651575,7.374016,-0.090510,-0.267852,-0.155733,-0.029167,-0.119307,0.031581,-0.041673,0.046520,0.073709,1.000000,-0.000146,-0.000597,0.000158,-0.533707,-0.345758,0.070348,0.768544,32.432335,27.153073,-102.409715
53090,-4.100124,4.605051,7.357558,-0.122296,-0.288824,-0.218273,-0.028990,-0.091998,0.031061,-0.041042,0.046055,0.073550,1.000000,-0.000145,-0.000460,0.000155,-0.533850,-0.345315,0.070526,0.768627,32.408147,27.099408,-102.423922
53091,-4.176817,4.658621,7.372911,-0.070987,-0.241181,-0.145984,-0.013215,-0.078736,0.025079,-0.041803,0.046586,0.073710,1.000000,-0.000066,-0.000394,0.000125,-0.533946,-0.344969,0.070718,0.768698,32.393705,27.054292,-102.436747
53092,-4.204851,4.824317,7.436406,0.027367,-0.296074,-0.006234,-0.013391,-0.067636,0.029365,-0.042081,0.048242,0.074347,1.000000,-0.000067,-0.000338,0.000147,-0.534064,-0.344662,0.070889,0.768738,32.381891,27.012927,-102.443435
53093,-4.259569,4.758651,7.456926,-0.021784,-0.219805,0.002894,-0.023348,-0.062337,0.037627,-0.042628,0.047587,0.074550,1.000000,-0.000117,-0.000312,0.000188,-0.534231,-0.344347,0.071020,0.768751,32.367335,26.971856,-102.443764
53094,-4.532342,4.765549,7.561592,-0.024470,-0.004448,0.208771,-0.001773,-0.079963,0.055604,-0.045367,0.047644,0.075597,1.000000,-0.000009,-0.000400,0.000278,-0.534425,-0.344015,0.071313,0.768738,32.366730,26.916476,-102.440427
53095,-4.547056,4.921851,7.645258,0.051071,-0.066823,0.353099,-0.000414,-0.118774,0.082556,-0.045536,0.049200,0.076425,1.000000,-0.000002,-0.000594,0.000413,-0.534706,-0.343528,0.071760,0.768719,32.367563,26.834295,-102.435781
53096,-4.479014,4.804455,7.518652,0.028256,-0.028701,0.170941,-0.019864,-0.153942,0.097769,-0.044871,0.048030,0.075147,1.000000,-0.000099,-0.000770,0.000489,-0.535066,-0.342847,0.072254,0.768726,32.355433,26.730180,-102.434999
53097,-4.391133,4.586662,7.321212,-0.031212,0.053603,-0.121672,-0.028971,-0.174316,0.095579,-0.043997,0.045856,0.073167,0.999999,-0.000145,-0.000872,0.000478,-0.535425,-0.342066,0.072763,0.768776,32.334521,26.617116,-102.442322
