// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
33081,-9.675872,-0.285396,0.033334,-0.031188,0.409355,-0.141260,-0.034003,0.015621,0.035286,-0.096758,-0.002871,0.000341,1.000000,-0.000170,0.000078,0.000176,-0.333326,0.633871,-0.339234,-0.609936,-165.465715,88.002273,-42.268296
33082,-9.712344,-0.504679,-0.128827,0.243574,0.398504,-0.097607,-0.052949,0.018825,0.047426,-0.097122,-0.005070,-0.001278,1.000000,-0.000265,0.000094,0.000237,-0.332956,0.633902,-0.339274,-0.610083,-166.470105,88.003075,-43.242289
33083,-9.749322,-0.458296,-0.221622,0.258486,0.300695,-0.058140,-0.029860,0.020362,0.045330,-0.097492,-0.004605,-0.002206,1.000000,-0.000149,0.000102,0.000227,-0.332664,0.633903,-0.339380,-0.610183,-167.429191,88.002333,-44.184253
33084,-9.695729,-0.415254,-0.326510,0.285154,0.192615,-0.108678,-0.009661,0.023390,0.049982,-0.096957,-0.004177,-0.003254,1.000000,-0.000048,0.000117,0.000250,-0.332416,0.633872,-0.339567,-0.610246,-168.464865,87.999709,-45.214368
33085,-9.621658,-0.386298,-0.222920,0.210173,0.266196,-0.186671,0.022962,0.024209,0.055393,-0.096216,-0.003889,-0.002218,1.000000,0.000115,0.000121,0.000277,-0.332251,0.633781,-0.339867,-0.610263,-169.562636,87.996857,-46.324603
33086,-9.710784,-0.122349,-0.378899,0.076982,-0.001522,-0.094049,0.072156,0.029255,0.059235,-0.097108,-0.001251,-0.003775,1.000000,0.000361,0.000146,0.000296,-0.332224,0.633616,-0.340343,-0.610184,-170.709574,87.990459,-47.512960
33087,-9.682945,0.086920,-0.233038,-0.173007,0.010353,-0.128099,0.070318,0.024534,0.056631,-0.096830,0.000843,-0.002318,1.000000,0.000352,0.000123,0.000283,-0.332211,0.633442,-0.340801,-0.610116,-171.795054,87.985780,-48.639500
33088,-9.711252,0.006608,-0.224643,-0.106562,0.067649,-0.099655,0.053057,0.032720,0.065597,-0.097113,0.000035,-0.002231,1.000000,0.000265,0.000164,0.000328,-0.332098,0.633308,-0.341245,-0.610069,-173.047259,87.976242,-49.922250
33089,-9.673063,-0.001215,-0.183825,-0.116987,0.110989,-0.139222,0.033705,0.032188,0.059356,-0.096731,-0.000041,-0.001823,1.000000,0.000169,0.000161,0.000297,-0.331943,0.633215,-0.341606,-0.610048,-174.194309,87.965924,-51.088341
33090,-9.717996,-0.052338,-0.261021,-0.028746,0.081715,-0.091432,0.032442,0.038154,0.065137,-0.097180,-0.000555,-0.002592,1.000000,0.000162,0.000191,0.000326,-0.331756,0.633133,-0.341994,-0.610017,-175.432527,87.951382,-52.345292
33091,-9.707102,-0.038757,-0.285140,-0.022486,0.060109,-0.101533,0.014379,0.035902,0.059901,-0.097071,-0.000416,-0.002834,1.000000,0.000072,0.000180,0.000300,-0.331532,0.633082,-0.342303,-0.610018,-176.573738,87.937273,-53.494419
33092,-9.705154,-0.044802,-0.321125,0.006264,0.039446,-0.102201,0.001967,0.038132,0.059131,-0.097052,-0.000477,-0.003193,1.000000,0.000010,0.000191,0.000296,-0.331267,0.633060,-0.342579,-0.610030,-177.699047,87.920770,-54.620938
33093,-9.692767,0.115250,-0.435521,-0.061508,-0.138114,-0.110634,0.019423,0.035124,0.052603,-0.096929,0.001127,-0.004338,1.000000,0.000097,0.000176,0.000263,-0.331087,0.633010,-0.342884,-0.610009,-178.685622,87.905252,-55.619116
33094,-9.698339,0.234854,-0.370826,-0.193926,-0.143419,-0.107417,0.038414,0.036080,0.047297,-0.096985,0.002326,-0.003690,1.000000,0.000192,0.000180,0.000236,-0.330977,0.632942,-0.343230,-0.609944,-179.571403,87.888417,-56.526866
33095,-9.643559,0.157878,-0.433347,-0.091132,-0.150136,-0.159704,0.035453,0.032868,0.049462,-0.096437,0.001556,-0.004317,1.000000,0.000177,0.000164,0.000247,-0.330858,0.632864,-0.343568,-0.609899,179.526303,87.873104,-57.449524
33096,-9.742822,0.107256,-0.422187,-0.053700,-0.105045,-0.060846,0.045630,0.030596,0.042834,-0.097429,0.001053,-0.004207,1.000000,0.000228,0.000153,0.000214,-0.330794,0.632775,-0.343913,-0.609832,178.739329,87.858446,-58.262554
33097,-9.704737,0.136674,-0.395641,-0.089567,-0.095514,-0.099810,0.035746,0.030573,0.033896,-0.097048,0.001351,-0.003941,1.000000,0.000179,0.000153,0.000169,-0.330726,0.632716,-0.344197,-0.609769,178.096968,87.843790,-58.925031
33098,-9.674245,0.173660,-0.224729,-0.210426,0.030829,-0.136611,-0.002247,0.024457,0.037709,-0.096743,0.001718,-0.002235,1.000000,-0.000011,0.000122,0.000189,-0.330537,0.632696,-0.344370,-0.609795,177.376784,87.832029,-59.643787
33099,-9.639576,0.068910,-0.277030,-0.090217,0.046646,-0.169420,-0.048220,0.017608,0.038595,-0.096396,0.000670,-0.002762,1.000000,-0.000241,0.000088,0.000193,-0.330211,0.632728,-0.344392,-0.609926,176.619189,87.824053,-60.373463
33100,-9.700694,-0.074344,-0.394648,0.096087,0.032230,-0.104213,-0.015749,0.028210,0.041703,-0.097007,-0.000764,-0.003933,1.000000,-0.000079,0.000141,0.000209,-0.329960,0.632735,-0.344542,-0.609970,175.850394,87.809290,-61.133135
33101,-9.733330,-0.053145,-0.350213,0.056595,0.063381,-0.073285,-0.021062,0.024491,0.038628,-0.097334,-0.000551,-0.003490,1.000000,-0.000105,0.000122,0.000193,-0.329712,0.632742,-0.344663,-0.610029,175.131441,87.796518,-61.840415
33102,-9.722170,0.037330,-0.402235,0.012049,-0.025787,-0.082171,-0.011067,0.026674,0.032993,-0.097222,0.000357,-0.004009,1.000000,-0.000055,0.000133,0.000165,-0.329505,0.632751,-0.344797,-0.610055,174.511052,87.782372,-62.454269
33103,-9.736526,0.175972,-0.363061,-0.123256,-0.064043,-0.068796,-0.024329,0.026464,0.033783,-0.097366,0.001743,-0.003618,1.000000,-0.000122,0.000132,0.000169,-0.329258,0.632778,-0.344895,-0.610105,173.882631,87.768168,-63.069169
33104,-9.744979,0.318401,-0.435188,-0.201158,-0.198299,-0.056890,-0.034397,0.021245,0.022430,-0.097451,0.003172,-0.004342,1.000000,-0.000172,0.000106,0.000112,-0.329019,0.632827,-0.344916,-0.610172,173.408923,87.757301,-63.522863
33105,-9.672245,0.317418,-0.486569,-0.168836,-0.240584,-0.127469,-0.040211,0.015808,0.022340,-0.096723,0.003162,-0.004859,1.000000,-0.000201,0.000079,0.000112,-0.328775,0.632867,-0.344912,-0.610264,172.929137,87.749514,-63.979788
33106,-9.655776,0.172222,-0.562328,-0.003639,-0.222940,-0.141587,-0.028780,0.017231,0.013332,-0.096558,0.001715,-0.005615,1.000000,-0.000144,0.000086,0.000067,-0.328588,0.632910,-0.344914,-0.610319,172.590442,87.741313,-64.301591
33107,-9.708414,0.163842,-0.508113,-0.025679,-0.169289,-0.091113,-0.002858,0.011193,0.010154,-0.097085,0.001633,-0.005076,1.000000,-0.000014,0.000056,0.000051,-0.328504,0.632897,-0.344974,-0.610343,172.306961,87.736953,-64.582840
33108,-9.650562,0.177566,-0.473585,-0.053651,-0.148438,-0.150170,0.002706,0.010928,0.010046,-0.096506,0.001771,-0.004731,1.000000,0.000014,0.000055,0.000050,-0.328438,0.632875,-0.345051,-0.610358,172.024701,87.732455,-64.866221
