// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
32166,-0.235480,4.162202,9.047057,-0.056259,-0.016177,0.148497,0.012851,0.006313,-0.011371,-0.002350,0.041616,0.090473,1.000000,0.000064,0.000032,-0.000057,-0.742313,-0.172891,0.131280,0.633913,25.039597,1.392057,-80.683480
32167,-0.163724,4.145350,9.028292,-0.052510,-0.087881,0.122619,0.012646,0.006348,-0.013102,-0.001632,0.041448,0.090286,1.000000,0.000063,0.000032,-0.000066,-0.742310,-0.172921,0.131288,0.633906,25.042873,1.393528,-80.682777
32168,-0.307493,4.117389,9.010381,-0.094136,0.051266,0.098061,0.018611,0.006782,-0.020729,-0.003068,0.041166,0.090108,1.000000,0.000093,0.000034,-0.000104,-0.742279,-0.172976,0.131307,0.633924,25.049209,1.396657,-80.685958
32169,-0.370610,4.189748,9.052676,-0.057480,0.118967,0.168536,0.006385,0.002304,-0.026825,-0.003699,0.041895,0.090528,1.000000,0.000032,0.000012,-0.000134,-0.742235,-0.172979,0.131298,0.633976,25.048700,1.399357,-80.693362
32170,-0.205561,4.086246,9.033484,-0.115458,-0.056248,0.103310,0.007317,-0.005893,-0.027626,-0.002053,0.040859,0.090336,1.000000,0.000037,-0.000029,-0.000138,-0.742183,-0.172956,0.131323,0.634039,25.048407,1.397591,-80.703316
32171,-0.174009,4.205883,8.979671,0.018341,-0.066133,0.104445,0.021916,-0.007912,-0.032880,-0.001737,0.042049,0.089801,1.000000,0.000110,-0.000040,-0.000164,-0.742100,-0.172988,0.131396,0.634112,25.056659,1.396459,-80.716343
32172,-0.182455,4.185575,9.004953,-0.012396,-0.063453,0.118946,0.009773,0.006827,-0.037350,-0.001814,0.041852,0.090052,1.000000,0.000049,0.000034,-0.000187,-0.742025,-0.173022,0.131372,0.634196,25.057727,1.403673,-80.727936
32173,-0.260220,4.270118,9.076122,0.020591,0.017468,0.221100,0.022122,-0.005757,-0.036239,-0.002597,0.042692,0.090766,1.000000,0.000111,-0.000029,-0.000181,-0.741932,-0.173064,0.131435,0.634280,25.066066,1.404477,-80.742184
32174,-0.180887,4.275129,9.031383,0.055715,-0.055798,0.180766,0.005993,-0.013466,-0.029893,-0.001809,0.042749,0.090315,1.000000,0.000030,-0.000067,-0.000149,-0.741869,-0.173013,0.131481,0.634357,25.064915,1.399333,-80.755043
32175,-0.090787,4.236539,8.907051,0.086367,-0.138083,0.049642,0.022327,-0.010164,-0.024349,-0.000907,0.042356,0.089075,1.000000,0.000112,-0.000051,-0.000122,-0.741812,-0.173034,0.131571,0.634400,25.073498,1.394965,-80.764188
32176,-0.113761,4.339096,8.915431,0.169797,-0.102423,0.101257,0.018392,0.006822,-0.022486,-0.001130,0.043383,0.089158,1.000000,0.000092,0.000034,-0.000112,-0.741775,-0.173089,0.131588,0.634424,25.079695,1.398555,-80.768223
32177,-0.267988,4.354274,8.977187,0.132450,0.045564,0.167383,0.009650,0.008321,-0.014391,-0.002673,0.043539,0.089774,1.000000,0.000048,0.000042,-0.000072,-0.741772,-0.173116,0.131578,0.634423,25.081250,1.401362,-80.767709
32178,-0.284251,4.344371,9.055540,0.088290,0.053559,0.234526,0.007516,-0.005673,-0.008319,-0.002843,0.043440,0.090557,1.000000,0.000038,-0.000028,-0.000042,-0.741780,-0.173081,0.131619,0.634414,25.081327,1.394998,-80.767684
