// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
47998,-1.056257,4.281719,9.088964,-0.510970,-0.316459,0.271797,0.027364,0.032242,-0.011773,-0.010545,0.042805,0.090897,1.000000,0.000137,0.000161,-0.000059,-0.920027,-0.193907,-0.093910,-0.327309,24.753499,2.628773,39.744030
47999,-0.776313,4.313315,8.972307,-0.347657,-0.079679,0.166412,-0.016392,0.007785,-0.013489,-0.007757,0.043141,0.089720,1.000000,-0.000082,0.000039,-0.000067,-0.920049,-0.193789,-0.093895,-0.327321,24.739837,2.631557,39.744746
48000,-0.536338,3.976616,8.768517,-0.034218,-0.102862,-0.170267,-0.015582,0.028260,-0.020348,-0.005347,0.039774,0.087683,1.000000,-0.000078,0.000141,-0.000102,-0.920073,-0.193639,-0.093978,-0.327320,24.726738,2.646292,39.746632
48001,-0.669564,4.125551,8.900081,-0.178353,-0.118830,0.017572,0.036760,0.050296,-0.024987,-0.006668,0.041240,0.089010,1.000000,0.000184,0.000251,-0.000125,-0.920043,-0.193690,-0.094256,-0.327294,24.743753,2.673970,39.751469
48002,-0.626714,4.337378,9.026382,-0.222706,0.023288,0.218815,0.014709,0.048758,-0.016442,-0.006242,0.043368,0.090269,1.000000,0.000074,0.000244,-0.000082,-0.920021,-0.193647,-0.094480,-0.327317,24.748338,2.698434,39.760315
48003,-0.578959,4.233303,8.991320,-0.134635,-0.007531,0.141291,0.001859,0.041651,-0.009669,-0.005769,0.042332,0.089915,1.000000,0.000009,0.000208,-0.000048,-0.920003,-0.193559,-0.094646,-0.327370,24.745603,2.717934,39.771046
48004,-0.419711,4.171966,9.012368,0.031214,0.046552,0.127187,0.011292,0.041365,-0.010478,-0.004176,0.041715,0.090127,1.000000,0.000056,0.000207,-0.000052,-0.919978,-0.193516,-0.094825,-0.327414,24.748299,2.737121,39.781225
48005,-0.432497,4.211214,9.073624,0.020882,0.050040,0.199760,0.016549,0.043339,-0.016581,-0.004302,0.042105,0.090741,1.000000,0.000083,0.000217,-0.000083,-0.919957,-0.193490,-0.095030,-0.327430,24.753844,2.759158,39.788784
48006,-0.415062,4.209361,9.116189,0.051673,0.049372,0.236730,0.011477,0.046025,-0.020276,-0.004125,0.042089,0.091165,1.000000,0.000057,0.000230,-0.000101,-0.919945,-0.193435,-0.095239,-0.327434,24.756461,2.783118,39.794981
48007,-0.546128,4.128835,9.119495,0.001162,-0.090632,0.212406,0.017074,0.042164,-0.015607,-0.005439,0.041281,0.091200,1.000000,0.000085,0.000211,-0.000078,-0.919923,-0.193413,-0.095438,-0.327452,24.762329,2.804306,39.802664
