// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
06213,-3.740903,0.833099,9.106509,-0.142917,0.245108,0.063365,-0.119848,-0.024211,-0.059819,-0.037418,0.008397,0.091056,1.000000,-0.000599,-0.000121,-0.000299,-0.918258,0.042039,-0.193335,-0.343012,3.441372,22.575657,41.653115
06214,-3.668484,0.667671,9.163822,0.021182,0.184432,0.078961,-0.133711,-0.029789,-0.063489,-0.036696,0.006750,0.091628,1.000000,-0.000669,-0.000149,-0.000317,-0.918347,0.042679,-0.192930,-0.342922,3.347966,22.558363,41.620350
06215,-3.784277,0.483562,9.130059,0.037416,-0.025938,0.082285,-0.122833,-0.026281,-0.060826,-0.037853,0.004903,0.091293,1.000000,-0.000614,-0.000131,-0.000304,-0.918437,0.043231,-0.192535,-0.342834,3.265120,22.538537,41.589953
06216,-3.761688,0.470399,9.187623,0.070362,-0.002731,0.126076,-0.085160,-0.023464,-0.051438,-0.037626,0.004753,0.091870,1.000000,-0.000426,-0.000117,-0.000257,-0.918509,0.043647,-0.192245,-0.342750,3.202518,22.524387,41.564933
06217,-3.611201,0.352302,9.152766,0.230960,-0.003613,0.030313,-0.069837,-0.030857,-0.054041,-0.036125,0.003565,0.091521,1.000000,-0.000349,-0.000154,-0.000270,-0.918603,0.043941,-0.191921,-0.342643,3.151577,22.501698,41.538611
06218,-3.716229,0.430382,9.089126,0.081484,-0.018860,0.015884,-0.020988,-0.012689,-0.045777,-0.037167,0.004322,0.090888,1.000000,-0.000105,-0.000063,-0.000229,-0.918669,0.044076,-0.191791,-0.342522,3.127251,22.493497,41.517494
06219,-3.691792,0.695537,9.216305,-0.035940,0.225973,0.137239,-0.023866,-0.016210,-0.040714,-0.036924,0.006974,0.092159,1.000000,-0.000119,-0.000081,-0.000204,-0.918735,0.044172,-0.191616,-0.342428,3.105953,22.478761,41.499918
06220,-3.678782,0.620507,9.115267,-0.015563,0.157613,0.035230,-0.041638,-0.019133,-0.039743,-0.036795,0.006231,0.091148,1.000000,-0.000208,-0.000096,-0.000199,-0.918793,0.044384,-0.191423,-0.342355,3.071154,22.466669,41.482334
06221,-3.690196,0.622358,9.174158,-0.010926,0.166462,0.093988,-0.040418,-0.015001,-0.037331,-0.036908,0.006249,0.091738,1.000000,-0.000202,-0.000075,-0.000187,-0.918849,0.044555,-0.191226,-0.342293,3.041217,22.452518,41.466910
06222,-3.691648,0.540990,9.163003,0.032296,0.104198,0.080222,-0.042059,-0.012913,-0.035756,-0.036921,0.005436,0.091627,1.000000,-0.000210,-0.000065,-0.000179,-0.918893,0.044776,-0.191061,-0.342238,3.007211,22.443846,41.452015
