// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
44587,-9.371818,-0.840236,-1.860542,0.183818,0.017436,-0.222876,0.041799,-0.000135,0.019589,-0.093717,-0.008408,-0.018607,1.000000,0.000209,-0.000001,0.000098,0.521427,0.366890,0.682556,-0.357243,-152.401466,76.891965,145.549045
44588,-9.372170,-0.878041,-1.876957,0.141299,0.013068,-0.215221,0.020988,0.006758,0.018160,-0.093722,-0.008787,-0.018767,1.000000,0.000105,0.000034,0.000091,0.521438,0.367041,0.682473,-0.357231,-152.454920,76.898874,145.482973
44589,-9.458931,-0.887999,-1.887162,0.142797,0.004791,-0.127602,0.015394,0.016294,0.007392,-0.094591,-0.008882,-0.018865,1.000000,0.000077,0.000081,0.000037,0.521407,0.367156,0.682446,-0.357210,-152.498478,76.897808,145.430362
44590,-9.478822,-0.816911,-1.911226,0.197019,0.055851,-0.110819,0.002523,0.008396,-0.000149,-0.094789,-0.008169,-0.019108,1.000000,0.000013,0.000042,-0.000001,0.521415,0.367196,0.682436,-0.357177,-152.524535,76.898966,145.403665
44591,-9.443009,-0.836993,-1.901245,0.176579,0.041501,-0.145588,-0.010833,0.007298,-0.002541,-0.094431,-0.008370,-0.019009,1.000000,-0.000054,0.000036,-0.000013,0.521444,0.367193,0.682450,-0.357109,-152.551205,76.899837,145.383821
44592,-9.428972,-0.843722,-1.959825,0.141260,0.090514,-0.146760,-0.021777,0.005852,-0.011126,-0.094291,-0.008434,-0.019595,1.000000,-0.000109,0.000029,-0.000056,0.521486,0.367127,0.682497,-0.357026,-152.564376,76.899360,145.384809
44593,-9.412235,-0.853202,-1.976341,0.122320,0.102050,-0.158741,-0.026011,0.007409,-0.013172,-0.094124,-0.008528,-0.019759,1.000000,-0.000130,0.000037,-0.000066,0.521524,0.367048,0.682559,-0.356934,-152.576640,76.897365,145.388686
44594,-9.391839,-0.924923,-1.954430,0.065787,0.050892,-0.175520,-0.032342,0.008941,-0.016012,-0.093920,-0.009245,-0.019539,1.000000,-0.000162,0.000045,-0.000080,0.521565,0.366946,0.682640,-0.356824,-152.588587,76.894110,145.396673
44595,-9.440783,-1.076159,-1.961102,-0.059860,-0.022139,-0.110711,-0.020222,0.007759,-0.015864,-0.094409,-0.010756,-0.019606,1.000000,-0.000101,0.000039,-0.000079,0.521587,0.366874,0.682697,-0.356758,-152.592048,76.891227,145.406182
44596,-9.420146,-1.109478,-1.922402,-0.075017,-0.068984,-0.135119,-0.006381,0.002066,-0.018624,-0.094203,-0.011087,-0.019223,1.000000,-0.000032,0.000010,-0.000093,0.521600,0.366817,0.682719,-0.356754,-152.575813,76.890733,145.428196
44597,-9.437874,-1.120290,-1.936251,-0.087172,-0.064056,-0.113930,0.004559,0.003514,-0.010037,-0.094380,-0.011198,-0.019361,1.000000,0.000023,0.000018,-0.000050,0.521601,0.366821,0.682710,-0.356765,-152.572996,76.891547,145.429574
44598,-9.415513,-1.057121,-1.834950,0.009288,-0.118830,-0.162702,0.018817,0.000755,-0.008637,-0.094156,-0.010565,-0.018350,1.000000,0.000094,0.000004,-0.000043,0.521591,0.366860,0.682667,-0.356822,-152.562836,76.894338,145.430790
44599,-9.455881,-0.955363,-1.897311,0.077518,-0.020984,-0.121468,0.022062,0.006275,-0.006513,-0.094560,-0.009548,-0.018971,1.000000,0.000110,0.000031,-0.000033,0.521556,0.366927,0.682628,-0.356879,-152.560819,76.894678,145.421050
44600,-9.439936,-0.866672,-1.893632,0.153805,0.020113,-0.147011,0.005249,0.007680,-0.013324,-0.094401,-0.008660,-0.018933,1.000000,0.000026,0.000038,-0.000067,0.521538,0.366930,0.682634,-0.356892,-152.555722,76.892752,145.424585
44601,-9.437797,-0.771635,-1.832685,0.264311,0.012140,-0.171310,-0.026820,0.013481,-0.016362,-0.094380,-0.007711,-0.018319,1.000000,-0.000134,0.000067,-0.000082,0.521551,0.366849,0.682719,-0.356794,-152.568372,76.886827,145.428541
44602,-9.421075,-0.820109,-1.866461,0.203983,0.019360,-0.175731,-0.072925,0.013992,-0.018510,-0.094213,-0.008199,-0.018655,1.000000,-0.000365,0.000070,-0.000093,0.521645,0.366640,0.682891,-0.356542,-152.603436,76.880233,145.436827
44603,-9.432983,-1.050328,-1.867399,0.005117,-0.093207,-0.139899,-0.093681,0.019243,-0.019484,-0.094333,-0.010503,-0.018660,1.000000,-0.000468,0.000096,-0.000097,0.521755,0.366384,0.683115,-0.356214,-152.654068,76.870555,145.441120
44604,-9.416373,-1.176044,-1.935378,-0.137999,-0.094656,-0.129256,-0.092253,0.020518,-0.020494,-0.094167,-0.011760,-0.019339,1.000000,-0.000461,0.000103,-0.000102,0.521859,0.366130,0.683341,-0.355889,-152.703698,76.860220,145.445793
44605,-9.451789,-1.234140,-1.981782,-0.202615,-0.089078,-0.079348,-0.070842,0.015582,-0.018162,-0.094521,-0.012340,-0.019806,1.000000,-0.000354,0.000078,-0.000091,0.521942,0.365932,0.683513,-0.355641,-152.739947,76.852755,145.451419
44606,-9.453449,-1.115306,-1.976326,-0.095986,-0.038656,-0.091229,-0.046567,0.011645,-0.017406,-0.094537,-0.011149,-0.019755,1.000000,-0.000233,0.000058,-0.000087,0.521996,0.365794,0.683628,-0.355483,-152.759624,76.847742,145.459569
