// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
01916,-9.337002,2.847095,0.141016,0.024033,-0.059701,-0.050449,-0.020887,-0.018443,-0.005879,-0.093369,0.028474,0.001399,1.000000,-0.000104,-0.000092,-0.000029,0.516740,0.609979,0.351157,-0.487436,88.165105,73.248756,-15.157050
01917,-9.315296,2.845209,0.153692,0.025840,-0.070853,-0.071646,-0.018783,-0.012882,-0.012604,-0.093151,0.028458,0.001528,1.000000,-0.000094,-0.000064,-0.000063,0.516824,0.609884,0.351165,-0.487460,88.121217,73.249638,-15.191514
01918,-9.286468,2.826480,0.149559,0.018073,-0.062983,-0.104673,-0.017163,-0.010891,-0.011337,-0.092863,0.028270,0.001488,1.000000,-0.000086,-0.000054,-0.000057,0.516899,0.609799,0.351172,-0.487482,88.081978,73.250369,-15.222212
01919,-9.286766,2.825425,0.150982,0.017172,-0.062348,-0.104667,-0.018733,-0.008831,-0.010802,-0.092866,0.028259,0.001503,1.000000,-0.000094,-0.000044,-0.000054,0.516979,0.609717,0.351186,-0.487489,88.046033,73.250267,-15.248332
01920,-9.279823,2.807928,0.135696,0.006698,-0.042685,-0.116497,-0.015495,-0.004849,-0.008268,-0.092797,0.028083,0.001353,1.000000,-0.000077,-0.000024,-0.000041,0.517046,0.609657,0.351195,-0.487487,88.019443,73.249349,-15.266819
01921,-9.257415,2.840592,0.148993,0.040443,-0.063176,-0.128408,-0.012058,-0.005487,-0.008940,-0.092573,0.028410,0.001486,1.000000,-0.000060,-0.000027,-0.000045,0.517105,0.609604,0.351195,-0.487492,87.993656,73.248283,-15.286427
01922,-9.293683,2.859602,0.113580,0.056456,-0.029242,-0.088556,-0.004596,0.000195,-0.009487,-0.092935,0.028600,0.001135,1.000000,-0.000023,0.000001,-0.000047,0.517126,0.609581,0.351195,-0.487497,87.982830,73.248160,-15.294974
01923,-9.323074,2.876402,0.119531,0.062501,-0.035829,-0.055510,-0.008551,-0.000051,-0.006908,-0.093230,0.028767,0.001194,1.000000,-0.000043,-0.000000,-0.000035,0.517169,0.609554,0.351193,-0.487486,87.969431,73.246012,-15.303868
01924,-9.280081,2.839215,0.139008,0.035217,-0.049486,-0.107190,-0.002706,0.003641,-0.008722,-0.092800,0.028396,0.001391,1.000000,-0.000014,0.000018,-0.000044,0.517181,0.609547,0.351195,-0.487482,87.966294,73.245520,-15.305515
01925,-9.331443,2.856953,0.134022,0.038542,-0.044272,-0.052947,-0.001407,0.000128,-0.008755,-0.093313,0.028574,0.001340,1.000000,-0.000007,0.000001,-0.000044,0.517198,0.609535,0.351183,-0.487488,87.957340,73.244484,-15.313877
01926,-9.302522,2.838615,0.128040,0.030796,-0.036419,-0.085983,-0.002683,0.005666,-0.007820,-0.093024,0.028390,0.001283,1.000000,-0.000013,0.000028,-0.000039,0.517208,0.609534,0.351187,-0.487475,87.958129,73.243516,-15.311438
01927,-9.309979,2.854412,0.144001,0.039573,-0.054806,-0.074128,-0.000840,0.005062,-0.008858,-0.093098,0.028548,0.001442,1.000000,-0.000004,0.000025,-0.000044,0.517213,0.609536,0.351185,-0.487469,87.958643,73.242677,-15.310540
01928,-9.324954,2.838060,0.116478,0.026378,-0.023337,-0.064781,-0.001088,0.005632,-0.007454,-0.093248,0.028384,0.001167,1.000000,-0.000005,0.000028,-0.000037,0.517219,0.609539,0.351184,-0.487458,87.960305,73.241499,-15.308142
01929,-9.325207,2.837244,0.116069,0.025486,-0.022699,-0.064777,-0.005622,0.005164,-0.009956,-0.093251,0.028377,0.001162,1.000000,-0.000028,0.000026,-0.000050,0.517237,0.609527,0.351199,-0.487444,87.958465,73.241260,-15.306553
01930,-9.325463,2.836416,0.115775,0.024676,-0.022075,-0.064774,-0.004547,0.004245,-0.007684,-0.093254,0.028368,0.001159,1.000000,-0.000023,0.000021,-0.000038,0.517256,0.609518,0.351204,-0.487432,87.955493,73.240186,-15.306926
01931,-9.317800,2.853610,0.100787,0.046041,-0.011723,-0.067310,-0.001088,0.005633,-0.007454,-0.093177,0.028540,0.001010,1.000000,-0.000005,0.000028,-0.000037,0.517264,0.609523,0.351201,-0.487419,87.957178,73.238509,-15.304481
01932,-9.316968,2.873152,0.044238,0.077359,0.039159,-0.063055,-0.000059,0.000665,-0.006985,-0.093169,0.028735,0.000443,1.000000,-0.000000,0.000003,-0.000035,0.517278,0.609518,0.351183,-0.487424,87.950019,73.236961,-15.311913
01933,-9.273647,2.884838,0.123424,0.081721,-0.043423,-0.100350,-0.004795,0.004815,-0.006280,-0.092736,0.028851,0.001236,1.000000,-0.000024,0.000024,-0.000031,0.517302,0.609513,0.351184,-0.487403,87.948230,73.234597,-15.310732
01934,-9.280669,2.886574,0.081636,0.090783,-0.002247,-0.093555,-0.008525,0.001972,-0.006008,-0.092806,0.028869,0.000816,1.000000,-0.000043,0.000010,-0.000030,0.517342,0.609491,0.351187,-0.487387,87.938774,73.232516,-15.315497
01935,-9.280848,2.885997,0.081658,0.089895,-0.001612,-0.093546,-0.003494,0.001302,-0.006313,-0.092808,0.028863,0.000817,1.000000,-0.000017,0.000007,-0.000032,0.517368,0.609481,0.351176,-0.487379,87.931076,73.230115,-15.321273
01936,-9.266548,2.852362,0.048767,0.069794,0.037069,-0.117276,-0.002149,0.001838,-0.004544,-0.092665,0.028526,0.000488,1.000000,-0.000011,0.000009,-0.000023,0.517392,0.609478,0.351159,-0.487370,87.925123,73.227193,-15.326194
01937,-9.200843,2.849004,0.080473,0.077139,0.002237,-0.180821,0.004746,0.002590,-0.004985,-0.092008,0.028492,0.000807,1.000000,0.000024,0.000013,-0.000025,0.517394,0.609495,0.351127,-0.487370,87.924614,73.224041,-15.329490
01938,-9.222872,2.849730,0.069052,0.073592,0.014677,-0.159633,0.022573,0.005702,-0.000558,-0.092229,0.028497,0.000696,1.000000,0.000113,0.000029,-0.000003,0.517345,0.609572,0.351048,-0.487383,87.940439,73.218916,-15.326461
01939,-9.253108,2.847051,0.129984,0.047469,-0.042142,-0.130819,0.022303,0.004248,-0.000055,-0.092531,0.028470,0.001305,1.000000,0.000112,0.000021,-0.000000,0.517303,0.609647,0.350961,-0.487395,87.953399,73.212939,-15.326235
01940,-9.259886,2.849566,0.087312,0.056533,-0.000966,-0.124037,0.019693,0.004536,0.004292,-0.092599,0.028494,0.000878,1.000000,0.000098,0.000023,0.000021,0.517277,0.609722,0.350871,-0.487394,87.965678,73.205013,-15.325185
01941,-9.266652,2.852095,0.044359,0.065509,0.040223,-0.117258,0.026058,0.009117,0.000574,-0.092667,0.028521,0.000452,1.000000,0.000130,0.000046,0.000003,0.517218,0.609819,0.350787,-0.487395,87.990270,73.198785,-15.314800
01942,-9.310939,2.868386,0.079572,0.058969,0.004922,-0.069790,0.029226,0.007027,0.000407,-0.093109,0.028684,0.000803,1.000000,0.000146,0.000035,0.000002,0.517148,0.609919,0.350692,-0.487413,88.012457,73.193133,-15.309106
01943,-9.348010,2.868063,0.098383,0.042693,-0.011324,-0.034201,0.027904,0.008516,-0.000462,-0.093480,0.028681,0.000992,1.000000,0.000140,0.000043,-0.000002,0.517081,0.610018,0.350604,-0.487424,88.036627,73.187467,-15.300609
01944,-9.355280,2.884589,0.113472,0.051518,-0.029721,-0.022311,0.022558,0.003680,-0.001456,-0.093553,0.028846,0.001140,1.000000,0.000113,0.000018,-0.000007,0.517033,0.610089,0.350522,-0.487445,88.048514,73.182814,-15.301683
01945,-9.348049,2.868000,0.096468,0.040986,-0.010051,-0.034192,0.011410,-0.000800,0.001164,-0.093481,0.028679,0.000966,1.000000,0.000057,-0.000004,0.000006,0.517036,0.610125,0.350446,-0.487451,88.045760,73.176075,-15.311329
01946,-9.318235,2.884888,0.092279,0.065196,-0.011560,-0.057882,0.005552,0.000215,-0.002209,-0.093182,0.028850,0.000924,1.000000,0.000028,0.000001,-0.000011,0.517044,0.610142,0.350399,-0.487455,88.041294,73.171787,-15.319309
01947,-9.304228,2.865889,0.117652,0.044803,-0.032456,-0.076530,0.001550,-0.004084,-0.001433,-0.093042,0.028660,0.001175,1.000000,0.000008,-0.000020,-0.000007,0.517077,0.610140,0.350346,-0.487460,88.026598,73.166477,-15.335406
