// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
18439,-9.425122,-2.065153,-0.924469,-0.170037,-0.124646,-0.122075,0.020871,0.000001,0.003885,-0.094251,-0.020652,-0.009247,1.000000,0.000104,0.000000,0.000019,-0.056403,-0.712442,-0.224907,0.662316,-118.131074,75.718151,84.997963
18440,-9.430573,-2.064542,-1.001167,-0.098565,-0.095804,-0.107973,0.016339,0.001717,-0.007774,-0.094307,-0.020641,-0.010013,1.000000,0.000082,0.000009,-0.000039,-0.056384,-0.712420,-0.224818,0.662371,-118.109183,75.725385,85.010660
18441,-9.400508,-1.964823,-0.878092,-0.170927,-0.224165,-0.173099,0.034906,0.007180,-0.015805,-0.094007,-0.019639,-0.008781,1.000000,0.000175,0.000036,-0.000079,-0.056237,-0.712433,-0.224725,0.662402,-118.088220,75.721559,85.011704
18442,-9.416530,-1.995763,-0.869432,-0.190156,-0.203470,-0.151815,0.031139,0.004532,-0.015882,-0.094167,-0.019949,-0.008695,1.000000,0.000156,0.000023,-0.000079,-0.056135,-0.712416,-0.224617,0.662465,-118.054798,75.723945,85.027535
18443,-9.329474,-2.057133,-0.977440,-0.113107,-0.087138,-0.210298,0.005946,0.014054,-0.013495,-0.093297,-0.020565,-0.009768,1.000000,0.000030,0.000070,-0.000067,-0.056091,-0.712445,-0.224613,0.662439,-118.066541,75.719434,85.011952
18444,-9.339235,-2.205393,-1.010423,-0.141345,0.055308,-0.164735,0.002981,0.010080,-0.018725,-0.093395,-0.022045,-0.010100,1.000000,0.000015,0.000050,-0.000094,-0.056074,-0.712435,-0.224611,0.662451,-118.057398,75.718846,85.019474
18445,-9.414826,-2.219849,-1.060027,-0.102934,0.067250,-0.082569,0.010992,0.007819,-0.021504,-0.094151,-0.022188,-0.010598,1.000000,0.000055,0.000039,-0.000108,-0.055992,-0.712436,-0.224618,0.662455,-118.045387,75.711965,85.025418
18446,-9.388301,-2.282811,-0.938693,-0.237266,0.083968,-0.108605,0.034597,0.002476,-0.021945,-0.093886,-0.022816,-0.009390,1.000000,0.000173,0.000012,-0.000110,-0.055860,-0.712406,-0.224520,0.662531,-117.999580,75.711688,85.052120
18447,-9.388332,-2.277758,-0.915115,-0.255878,0.069690,-0.112375,0.015948,0.004677,-0.017734,-0.093886,-0.022769,-0.009151,1.000000,0.000080,0.000023,-0.000089,-0.055777,-0.712403,-0.224496,0.662550,-117.982500,75.707559,85.060366
18448,-9.397286,-2.330840,-0.899471,-0.290151,0.109389,-0.093907,0.018237,0.002288,-0.013039,-0.093974,-0.023301,-0.008996,1.000000,0.000091,0.000011,-0.000065,-0.055730,-0.712377,-0.224421,0.662607,-117.954553,75.711752,85.078051
18449,-9.341977,-2.252407,-0.871525,-0.283317,0.042424,-0.167825,0.002657,0.002307,-0.008152,-0.093421,-0.022520,-0.008714,1.000000,0.000013,0.000012,-0.000041,-0.055729,-0.712373,-0.224406,0.662617,-117.950493,75.713107,85.080720
18450,-9.378135,-2.229675,-0.931153,-0.220050,0.036705,-0.130841,-0.016747,0.005803,-0.008299,-0.093783,-0.022294,-0.009307,1.000000,-0.000084,0.000029,-0.000041,-0.055820,-0.712355,-0.224432,0.662620,-117.954679,75.718781,85.086128
18451,-9.381762,-2.282872,-0.838922,-0.325791,0.048615,-0.126396,0.015958,0.001623,-0.010504,-0.093819,-0.022823,-0.008390,1.000000,0.000080,0.000008,-0.000053,-0.055764,-0.712349,-0.224381,0.662648,-117.939154,75.719129,85.092764
18452,-9.374272,-2.203712,-0.761659,-0.365056,-0.048592,-0.159821,0.006664,0.014297,-0.008003,-0.093744,-0.022033,-0.007611,1.000000,0.000033,0.000071,-0.000040,-0.055763,-0.712366,-0.224331,0.662647,-117.947011,75.722562,85.080550
18453,-9.385401,-2.195596,-0.893684,-0.241698,-0.008999,-0.135572,-0.016079,0.012173,-0.007764,-0.093855,-0.021953,-0.008929,1.000000,-0.000080,0.000061,-0.000039,-0.055818,-0.712389,-0.224380,0.662601,-117.973713,75.721464,85.062553
18454,-9.361218,-2.196362,-0.920285,-0.217874,0.008359,-0.155784,-0.022955,0.014766,-0.006253,-0.093614,-0.021962,-0.009193,1.000000,-0.000115,0.000074,-0.000031,-0.055926,-0.712400,-0.224422,0.662565,-118.000558,75.725477,85.048148
18455,-9.398325,-2.159094,-0.934879,-0.192358,-0.028826,-0.126286,-0.025303,0.020239,-0.008669,-0.093985,-0.021588,-0.009337,1.000000,-0.000127,0.000101,-0.000043,-0.056002,-0.712447,-0.224507,0.662480,-118.047618,75.721745,85.014598
18456,-9.403875,-2.151863,-0.990666,-0.139462,-0.015340,-0.116032,-0.015733,0.015360,-0.012238,-0.094041,-0.021514,-0.009898,1.000000,-0.000079,0.000077,-0.000061,-0.056063,-0.712455,-0.224546,0.662453,-118.064939,75.722645,85.005488
18457,-9.375731,-2.202966,-1.180720,0.014327,0.108436,-0.110134,-0.018014,0.014692,-0.009705,-0.093759,-0.022026,-0.011798,1.000000,-0.000090,0.000073,-0.000049,-0.056116,-0.712484,-0.224608,0.662396,-118.095687,75.719877,84.984460
18458,-9.399446,-2.305593,-1.227914,0.016289,0.212883,-0.059353,-0.002740,0.006894,-0.004022,-0.093995,-0.023054,-0.012276,1.000000,-0.000014,0.000034,-0.000020,-0.056166,-0.712478,-0.224574,0.662410,-118.097803,75.727035,84.983496
18459,-9.353160,-2.387474,-1.278922,0.031674,0.317090,-0.080487,0.021934,0.006509,-0.002307,-0.093532,-0.023872,-0.012789,1.000000,0.000110,0.000033,-0.000012,-0.056111,-0.712499,-0.224476,0.662425,-118.097258,75.730212,84.971142
18460,-9.361831,-2.446741,-1.286144,0.016072,0.372060,-0.058412,0.060693,0.002603,0.000279,-0.093618,-0.024464,-0.012868,1.000000,0.000303,0.000013,0.000001,-0.055953,-0.712501,-0.224215,0.662525,-118.058967,75.740552,84.974278
18461,-9.326618,-2.456649,-1.178667,-0.083955,0.350003,-0.102866,0.104265,0.004800,0.003981,-0.093266,-0.024562,-0.011797,1.000000,0.000521,0.000024,0.000020,-0.055627,-0.712547,-0.223821,0.662636,-118.014515,75.747372,84.958555
