// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
25134,-9.576903,0.256663,-1.320791,0.007414,-0.164623,-0.143133,-0.015349,0.008617,-0.011155,-0.095769,0.002571,-0.013204,1.000000,-0.000077,0.000043,-0.000056,0.007081,0.753663,0.000839,-0.657222,175.975533,82.163039,-3.381188
25135,-9.584393,0.238101,-1.336411,0.021682,-0.145743,-0.133764,-0.010884,0.003120,-0.011546,-0.095844,0.002386,-0.013363,1.000000,-0.000054,0.000016,-0.000058,0.007125,0.753655,0.000888,-0.657231,175.973646,82.164511,-3.375581
25136,-9.587462,0.271543,-1.336120,0.021315,-0.178967,-0.130441,-0.006719,0.009169,-0.010370,-0.095875,0.002720,-0.013357,1.000000,-0.000034,0.000046,-0.000052,0.007167,0.753666,0.000919,-0.657218,175.965124,82.162464,-3.378118
25137,-9.571195,0.220741,-1.365422,0.052070,-0.127937,-0.143054,-0.001960,0.001069,-0.011292,-0.095712,0.002213,-0.013654,1.000000,-0.000010,0.000005,-0.000056,0.007178,0.753651,0.000937,-0.657235,175.966692,82.165098,-3.374185
25138,-9.604911,0.233030,-1.324865,0.007714,-0.140168,-0.115050,0.004318,0.004555,-0.008352,-0.096049,0.002335,-0.013246,1.000000,0.000022,0.000023,-0.000042,0.007168,0.753647,0.000896,-0.657240,175.950252,82.165618,-3.394850
25139,-9.599768,0.248591,-1.268114,-0.047640,-0.156268,-0.127711,0.005520,0.006444,-0.007215,-0.095998,0.002490,-0.012678,1.000000,0.000028,0.000032,-0.000036,0.007164,0.753650,0.000874,-0.657236,175.940743,82.165015,-3.406424
25140,-9.613521,0.298881,-1.282020,-0.035244,-0.205877,-0.111705,-0.001932,0.004424,-0.009076,-0.096135,0.002993,-0.012818,1.000000,-0.000010,0.000022,-0.000045,0.007225,0.753649,0.000915,-0.657237,175.924898,82.165075,-3.414010
25141,-9.571526,0.266778,-1.266860,-0.044805,-0.174174,-0.155676,-0.003429,0.005138,-0.009683,-0.095715,0.002672,-0.012666,1.000000,-0.000017,0.000026,-0.000048,0.007247,0.753647,0.000932,-0.657239,175.920126,82.165318,-3.415626
25142,-9.607159,0.228481,-1.284677,-0.032385,-0.134921,-0.118315,-0.001611,0.005178,-0.007389,-0.096072,0.002288,-0.012844,1.000000,-0.000008,0.000026,-0.000037,0.007270,0.753646,0.000914,-0.657240,175.896017,82.165304,-3.439291
25143,-9.580887,0.196941,-1.341032,0.026772,-0.102577,-0.136980,-0.002491,0.004042,-0.006840,-0.095809,0.001973,-0.013408,1.000000,-0.000012,0.000020,-0.000034,0.007298,0.753641,0.000917,-0.657245,175.879643,82.166056,-3.453160
