// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
36202,-2.848750,2.894430,9.019309,-0.003811,-0.025567,0.078741,0.004909,-0.078597,0.004153,-0.028524,0.028941,0.090183,1.000000,0.000025,-0.000393,0.000021,0.964556,0.124894,0.169082,0.159511,17.924341,16.638660,21.422454
36203,-2.804057,2.914678,9.020812,0.023542,0.005863,0.073290,0.006381,-0.076594,0.009551,-0.028077,0.029143,0.090198,1.000000,0.000032,-0.000383,0.000048,0.964610,0.124967,0.168685,0.159549,17.922435,16.591961,21.418064
36204,-2.823745,2.937182,9.047144,0.001987,0.012125,0.109572,0.004181,-0.076571,0.009086,-0.028273,0.029369,0.090461,1.000000,0.000021,-0.000383,0.000045,0.964664,0.125030,0.168288,0.159590,17.919386,16.545466,21.413870
36205,-2.817423,2.970480,9.092777,0.008131,0.034028,0.159223,0.003217,-0.066078,0.011382,-0.028206,0.029702,0.090919,1.000000,0.000016,-0.000330,0.000057,0.964709,0.125082,0.167938,0.159647,17.916523,16.504176,21.412461
36206,-2.759064,2.899993,9.093210,0.072709,-0.011800,0.122273,-0.007581,-0.053938,0.007354,-0.027616,0.029002,0.090924,1.000000,-0.000038,-0.000270,0.000037,0.964753,0.125068,0.167642,0.159704,17.907646,16.470323,21.411459
36207,-2.769468,2.897254,9.055545,0.044585,-0.011601,0.090080,-0.009247,-0.048725,0.013983,-0.027719,0.028975,0.090547,1.000000,-0.000046,-0.000244,0.000070,0.964789,0.125048,0.167364,0.159794,17.898967,16.438036,21.414727
36208,-2.803240,2.818058,9.061225,0.032520,-0.098210,0.081487,-0.000062,-0.038057,0.017350,-0.028052,0.028178,0.090607,1.000000,-0.000000,-0.000190,0.000087,0.964807,0.125067,0.167144,0.159903,17.896830,16.411076,21.422324
36209,-2.805435,2.831274,9.093796,0.035076,-0.094887,0.115730,0.012810,-0.025407,0.026573,-0.028070,0.028303,0.090936,1.000000,0.000064,-0.000127,0.000133,0.964799,0.125144,0.166989,0.160050,17.904015,16.389286,21.437030
36210,-2.790967,2.901727,9.070274,0.018039,-0.023398,0.110947,0.016855,-0.017106,0.030565,-0.027922,0.029005,0.090703,1.000000,0.000084,-0.000086,0.000153,0.964778,0.125239,0.166875,0.160221,17.914752,16.371418,21.455932
36211,-2.793456,2.943378,9.054529,-0.002931,0.013969,0.109569,0.022763,-0.012285,0.028386,-0.027944,0.029420,0.090547,1.000000,0.000114,-0.000061,0.000142,0.964752,0.125356,0.166789,0.160377,17.928597,16.356457,21.474068
36212,-2.743565,2.974301,9.033323,0.024738,0.060949,0.085303,0.023489,0.000366,0.024656,-0.027439,0.029729,0.090337,1.000000,0.000117,0.000002,0.000123,0.964717,0.125464,0.166769,0.160525,17.943081,16.349147,21.492811
36213,-2.775645,3.010816,9.088819,0.006365,0.070281,0.155806,0.020844,0.007114,0.021097,-0.027756,0.030096,0.090892,1.000000,0.000104,0.000036,0.000105,0.964681,0.125549,0.166780,0.160659,17.955659,16.346037,21.510367
