// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
46013,0.764876,2.240290,9.060002,0.545138,0.037145,-0.464489,-0.091277,-0.483530,0.169765,0.007411,0.022451,0.090608,0.999997,-0.000456,-0.002418,0.000849,0.372431,-0.022241,-0.118508,-0.920194,11.726345,-7.423593,-136.694013
46014,0.553465,2.040173,8.967081,0.602806,0.323976,-0.625268,-0.052513,-0.451379,0.148094,0.005317,0.020429,0.089678,0.999997,-0.000263,-0.002257,0.000740,0.372876,-0.024539,-0.119059,-0.919884,11.687021,-7.697013,-136.658442
46015,0.390194,1.943632,9.072309,0.683138,0.553973,-0.568066,-0.006107,-0.441884,0.109544,0.003691,0.019441,0.090731,0.999997,-0.000031,-0.002209,0.000548,0.373155,-0.026688,-0.119807,-0.919614,11.676539,-7.960948,-136.643310
46016,0.847594,1.779730,8.638123,0.287002,0.281025,-0.961611,0.041638,-0.438301,0.061189,0.008281,0.017782,0.086403,0.999998,0.000208,-0.002192,0.000306,0.373216,-0.028698,-0.120777,-0.919401,11.697529,-8.216932,-136.655316
46017,1.164540,1.848301,8.282322,0.138819,-0.039240,-1.248323,0.158102,-0.325999,0.024733,0.011508,0.018419,0.082857,0.999998,0.000791,-0.001630,0.000124,0.373195,-0.029955,-0.122075,-0.919199,11.786027,-8.405910,-136.674880
46018,1.073345,2.310203,8.570455,0.519751,-0.197680,-0.888981,0.232192,-0.202000,0.003310,0.010646,0.023003,0.085742,0.999999,0.001161,-0.001010,0.000017,0.373159,-0.030489,-0.123486,-0.919007,11.917077,-8.522543,-136.692341
46019,0.230598,2.533128,9.144180,1.254900,0.391121,-0.412788,0.299396,-0.128921,0.000612,0.002247,0.025194,0.091481,0.999999,0.001497,-0.000645,0.000003,0.373166,-0.030562,-0.125069,-0.918788,12.085286,-8.598088,-136.702719
46020,-0.702083,2.826584,9.879763,2.095762,1.039666,0.218214,0.292388,-0.226657,0.015048,-0.007135,0.028121,0.098831,0.999998,0.001462,-0.001133,0.000075,0.373176,-0.031103,-0.126801,-0.918528,12.250438,-8.729851,-136.717203
46021,0.246031,2.532614,9.350669,1.233731,0.504488,-0.214099,0.253297,-0.395460,0.023038,0.002272,0.025208,0.093543,0.999997,0.001266,-0.001977,0.000115,0.373108,-0.032498,-0.128665,-0.918248,12.395546,-8.957081,-136.748342
46022,1.393559,2.545198,8.836939,0.444001,-0.372010,-0.529593,0.287662,-0.359836,-0.001880,0.013777,0.025325,0.088431,0.999997,0.001438,-0.001799,-0.000009,0.372951,-0.033649,-0.130625,-0.917994,12.562343,-9.161172,-136.789852
46023,1.118259,2.581764,9.077579,0.660689,-0.107250,-0.332692,0.308419,-0.271803,-0.039219,0.011064,0.025675,0.090831,0.999998,0.001542,-0.001359,-0.000196,0.372683,-0.034332,-0.132521,-0.917806,12.742662,-9.311204,-136.841913
46024,0.858000,2.590129,9.401496,0.841449,0.187629,-0.061292,0.275655,-0.284263,-0.057217,0.008454,0.025769,0.094063,0.999998,0.001378,-0.001421,-0.000286,0.372316,-0.035121,-0.134293,-0.917667,12.906548,-9.465787,-136.906301
46025,0.953094,2.534160,9.316771,0.737615,0.178332,-0.140224,0.308542,-0.311113,-0.050064,0.009392,0.025195,0.093221,0.999998,0.001543,-0.001556,-0.000250,0.371968,-0.035977,-0.136263,-0.917484,13.089306,-9.635990,-136.970626
46026,1.039319,2.769925,9.579487,0.831941,0.074496,0.178378,0.294208,-0.357889,-0.038121,0.010227,0.027556,0.095854,0.999997,0.001471,-0.001789,-0.000191,0.371639,-0.037082,-0.138253,-0.917276,13.264202,-9.833748,-137.034990
46027,1.738346,2.561416,9.208381,0.203672,-0.311768,-0.105055,0.258647,-0.395751,-0.026113,0.017204,0.025493,0.092151,0.999997,0.001293,-0.001979,-0.000131,0.371330,-0.038434,-0.140146,-0.917058,13.418672,-10.053846,-137.098255
46028,1.607149,2.697462,9.263882,0.397403,-0.256719,-0.042593,0.303891,-0.352077,-0.015454,0.015910,0.026833,0.092708,0.999997,0.001519,-0.001760,-0.000077,0.371107,-0.039510,-0.142164,-0.916792,13.597396,-10.251029,-137.150243
46029,1.579615,2.717643,9.344435,0.436335,-0.185802,0.034859,0.224008,-0.379405,-0.009292,0.015620,0.027071,0.093504,0.999998,0.001120,-0.001897,-0.000046,0.370875,-0.040862,-0.143864,-0.916562,13.730642,-10.463948,-137.203093
46030,1.836742,2.433069,9.049073,0.074574,-0.208970,-0.266495,0.233728,-0.376805,0.010912,0.018196,0.024226,0.090553,0.999998,0.001169,-0.001884,0.000055,0.370738,-0.042200,-0.145599,-0.916282,13.867632,-10.678232,-137.244683
46031,1.897344,2.712086,9.102918,0.232051,-0.383289,-0.137071,0.248383,-0.348290,0.031450,0.018811,0.027011,0.091096,0.999998,0.001242,-0.001741,0.000157,0.370717,-0.043394,-0.147343,-0.915956,14.010339,-10.879215,-137.271223
46032,1.709267,2.603328,9.159997,0.300942,-0.128441,-0.143289,0.204595,-0.321319,0.081360,0.016935,0.025946,0.091654,0.999998,0.001023,-0.001607,0.000407,0.370934,-0.044583,-0.148826,-0.915572,14.122038,-11.072277,-137.266132
46033,1.670301,2.505538,9.105799,0.274604,-0.016009,-0.225852,0.221971,-0.323368,0.141028,0.016538,0.024966,0.091113,0.999998,0.001110,-0.001617,0.000705,0.371424,-0.045792,-0.150377,-0.915060,14.237293,-11.274684,-137.227970
46034,1.885806,2.666038,8.957330,0.246764,-0.278732,-0.285931,0.214839,-0.285094,0.183683,0.018706,0.026581,0.089629,0.999998,0.001074,-0.001425,0.000918,0.372135,-0.046873,-0.151815,-0.914478,14.342524,-11.462122,-137.160466
46035,2.109724,2.509563,8.907238,-0.009391,-0.307434,-0.326221,0.159416,-0.231429,0.213390,0.020967,0.025047,0.089117,0.999998,0.000797,-0.001157,0.001067,0.373008,-0.047832,-0.152892,-0.913893,14.410987,-11.623915,-137.068636
46036,2.045792,2.284770,9.070387,-0.114627,-0.036760,-0.238617,0.185837,-0.158328,0.248201,0.020358,0.022789,0.090741,0.999998,0.000929,-0.000792,0.001241,0.374102,-0.048436,-0.153945,-0.913238,14.488172,-11.750427,-136.946527
46037,1.588553,2.491201,9.499683,0.351947,0.289552,0.125411,0.173287,-0.137743,0.278781,0.015785,0.024852,0.095029,0.999998,0.000866,-0.000689,0.001394,0.375346,-0.048991,-0.154894,-0.912537,14.553841,-11.869898,-136.804223
46038,1.884443,2.084910,9.241407,-0.127936,0.302660,-0.159006,0.132765,-0.154781,0.296661,0.018742,0.020816,0.092442,0.999998,0.000664,-0.000774,0.001483,0.376648,-0.049715,-0.155686,-0.911826,14.594347,-12.001689,-136.654296
46039,1.713561,2.160323,9.401914,0.050252,0.438402,-0.024709,0.166901,-0.111488,0.289413,0.017052,0.021549,0.094047,0.999998,0.000835,-0.000557,0.001447,0.377957,-0.050170,-0.156552,-0.911111,14.653696,-12.108363,-136.502171
46040,1.618930,1.804858,9.335455,-0.124056,0.735109,-0.196380,0.102468,-0.133855,0.255336,0.016104,0.018021,0.093375,0.999999,0.000512,-0.000669,0.001277,0.379077,-0.050824,-0.157176,-0.910502,14.680557,-12.222798,-136.372662
46041,2.102371,1.538927,8.996349,-0.638073,0.490827,-0.481316,0.133483,-0.107464,0.205144,0.020960,0.015351,0.089985,0.999999,0.000667,-0.000537,0.001026,0.379996,-0.051257,-0.157902,-0.909968,14.730188,-12.315157,-136.267752
46042,2.200952,1.605743,9.047476,-0.660021,0.409892,-0.395906,0.137628,-0.048954,0.141587,0.021976,0.016011,0.090491,0.999999,0.000688,-0.000245,0.000708,0.380673,-0.051368,-0.158553,-0.909566,14.787906,-12.366151,-136.190172
46043,1.966756,1.546477,9.179166,-0.543057,0.660481,-0.337158,0.123701,-0.014523,0.088329,0.019654,0.015417,0.091803,1.000000,0.000619,-0.000073,0.000442,0.381131,-0.051305,-0.159087,-0.909285,14.842894,-12.390132,-136.137674
46044,1.825006,1.656144,9.370690,-0.376278,0.755946,-0.160214,0.138677,-0.003307,0.046404,0.018245,0.016501,0.093719,1.000000,0.000693,-0.000017,0.000232,0.381411,-0.051130,-0.159680,-0.909073,14.911268,-12.402003,-136.107276
46045,1.696172,1.802340,9.482098,-0.190838,0.793507,-0.046955,0.121245,-0.037067,0.007185,0.016943,0.017967,0.094835,1.000000,0.000606,-0.000185,0.000036,0.381481,-0.051110,-0.160266,-0.908942,14.975355,-12.426573,-136.104203
46046,2.225995,1.874807,9.363479,-0.513139,0.358525,-0.027350,0.107793,-0.049907,-0.040502,0.022240,0.018693,0.093650,1.000000,0.000539,-0.000250,-0.000203,0.381321,-0.051136,-0.160829,-0.908908,15.038151,-12.451408,-136.130159
46047,2.333125,2.085765,9.412519,-0.445633,0.172984,0.094930,0.099951,-0.023393,-0.074568,0.023328,0.020802,0.094138,1.000000,0.000500,-0.000117,-0.000373,0.381025,-0.051029,-0.161313,-0.908952,15.099515,-12.456228,-136.171352
46048,2.194266,2.133284,9.487745,-0.321931,0.267566,0.147622,0.060901,-0.023100,-0.099092,0.021942,0.021293,0.094886,1.000000,0.000305,-0.000115,-0.000495,0.380607,-0.050976,-0.161627,-0.909075,15.141736,-12.457428,-136.226446
46049,2.033075,2.154499,9.406690,-0.196804,0.341537,0.041535,0.088437,-0.012704,-0.114013,0.020337,0.021492,0.094078,1.000000,0.000442,-0.000064,-0.000570,0.380137,-0.050810,-0.162047,-0.909206,15.200922,-12.450367,-136.288328
46050,1.639640,2.269013,9.539652,0.151333,0.582641,0.110992,0.079845,-0.029071,-0.111373,0.016395,0.022643,0.095408,1.000000,0.000399,-0.000145,-0.000557,0.379664,-0.050738,-0.162462,-0.909333,15.255690,-12.452919,-136.351296
46051,1.842858,2.179397,9.248112,-0.051562,0.415273,-0.143232,0.088564,-0.052906,-0.108493,0.018416,0.021743,0.092496,1.000000,0.000443,-0.000265,-0.000542,0.379186,-0.050759,-0.162957,-0.909443,15.315585,-12.468760,-136.416251
46052,1.807929,2.455904,9.235588,0.162457,0.261767,-0.091513,0.122795,-0.031394,-0.104445,0.018078,0.024493,0.092374,1.000000,0.000614,-0.000157,-0.000522,0.378753,-0.050622,-0.163569,-0.909521,15.394216,-12.473511,-136.475671
46053,1.761041,2.866946,9.422409,0.473925,0.092426,0.180774,0.051371,-0.038649,-0.106774,0.017607,0.028636,0.094235,1.000000,0.000257,-0.000193,-0.000534,0.378285,-0.050650,-0.163868,-0.909661,15.432118,-12.481571,-136.537468
46054,2.214016,2.542774,9.346614,-0.073635,-0.020987,0.123151,-0.042294,-0.041662,-0.125648,0.022137,0.025434,0.093465,1.000000,-0.000211,-0.000208,-0.000628,0.377705,-0.050854,-0.163754,-0.909911,15.419115,-12.488690,-136.610493
46055,2.242772,2.167637,9.425820,-0.360394,0.234177,0.106488,-0.003654,-0.013562,-0.133464,0.022436,0.021663,0.094259,1.000000,-0.000018,-0.000068,-0.000667,0.377122,-0.050850,-0.163761,-0.910151,15.427929,-12.478802,-136.683483
46056,1.801242,2.333178,9.861971,0.053094,0.570137,0.464413,0.055621,-0.032739,-0.122289,0.018011,0.023293,0.098629,1.000000,0.000278,-0.000164,-0.000611,0.376589,-0.050832,-0.164075,-0.910317,15.470310,-12.481477,-136.753216
46057,2.172874,2.488501,9.558077,-0.095645,0.126633,0.298972,0.107240,-0.114547,-0.099004,0.021686,0.024823,0.095607,1.000000,0.000536,-0.000573,-0.000495,0.376108,-0.051107,-0.164768,-0.910375,15.541858,-12.532503,-136.822542
46058,2.485681,2.787791,9.327519,-0.102903,-0.344888,0.228401,0.083763,-0.096888,-0.094176,0.024825,0.027827,0.093299,1.000000,0.000419,-0.000484,-0.000471,0.375656,-0.051350,-0.165323,-0.910447,15.599198,-12.574763,-136.886511
46059,2.504100,2.648062,9.156746,-0.210234,-0.311936,0.035523,0.064752,-0.070151,-0.076855,0.025019,0.026441,0.091585,1.000000,0.000324,-0.000351,-0.000384,0.375302,-0.051521,-0.165734,-0.910509,15.642272,-12.604594,-136.936422
46060,2.189270,2.794598,9.391332,0.107486,-0.111081,0.226033,0.071525,-0.046358,-0.068343,0.021880,0.027905,0.093928,1.000000,0.000358,-0.000232,-0.000342,0.375006,-0.051579,-0.166132,-0.910555,15.687746,-12.622871,-136.977863
46061,2.221618,2.700641,9.386979,0.018636,-0.064876,0.204291,0.017539,-0.076427,-0.063765,0.022189,0.026991,0.093881,1.000000,0.000088,-0.000382,-0.000319,0.374694,-0.051878,-0.166336,-0.910629,15.702438,-12.658152,-137.021423
46062,2.292384,2.552808,9.268445,-0.130725,-0.047389,0.069447,0.053592,-0.063681,-0.071396,0.022903,0.025495,0.092699,1.000000,0.000268,-0.000318,-0.000357,0.374365,-0.052046,-0.166685,-0.910691,15.738668,-12.685470,-137.067373
46063,2.212894,2.713801,9.364613,0.034758,-0.060367,0.184949,0.062309,-0.069578,-0.079430,0.022107,0.027100,0.093662,1.000000,0.000312,-0.000348,-0.000397,0.373998,-0.052217,-0.167084,-0.910759,15.780776,-12.714499,-137.118746
