// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
37445,-3.791414,0.601955,9.123844,-0.019515,0.072304,0.085600,0.051130,0.018867,0.004162,-0.037906,0.005995,0.091244,1.000000,0.000256,0.000094,0.000021,0.244696,0.197042,0.014777,-0.949252,4.241713,22.415313,-150.249429
37446,-3.754517,0.710482,9.141438,-0.008017,-0.038748,0.095163,0.054854,0.015907,0.010503,-0.037538,0.007078,0.091419,1.000000,0.000274,0.000080,0.000053,0.244742,0.197161,0.014550,-0.949219,4.273579,22.421611,-150.236610
37447,-3.774825,0.668718,9.119866,-0.006988,0.013630,0.080149,0.052593,0.020086,0.006735,-0.037739,0.006662,0.091204,1.000000,0.000263,0.000100,0.000034,0.244770,0.197294,0.014341,-0.949188,4.303320,22.430252,-150.226306
37448,-3.773582,0.746588,9.122998,0.023970,-0.052654,0.087972,0.047773,0.018823,0.005595,-0.037727,0.007443,0.091235,1.000000,0.000239,0.000094,0.000028,0.244800,0.197417,0.014155,-0.949157,4.330030,22.438416,-150.216376
37449,-3.795887,0.663054,9.110650,0.003842,0.035794,0.079282,0.049143,0.017302,0.009994,-0.037951,0.006606,0.091111,1.000000,0.000246,0.000087,0.000050,0.244845,0.197533,0.013955,-0.949124,4.358504,22.445199,-150.204462
37450,-3.777747,0.724437,9.107562,0.015833,-0.022764,0.073824,0.053575,0.018772,0.005215,-0.037769,0.007219,0.091081,1.000000,0.000268,0.000094,0.000026,0.244867,0.197663,0.013742,-0.949095,4.388455,22.453340,-150.194760
37451,-3.779257,0.729359,9.106543,0.016345,-0.022873,0.073823,0.049393,0.015379,0.007186,-0.037786,0.007270,0.091070,1.000000,0.000247,0.000077,0.000036,0.244906,0.197773,0.013543,-0.949065,4.416544,22.459567,-150.183633
37452,-3.765931,0.698794,9.144457,-0.025892,-0.003373,0.101492,0.051117,0.016070,0.006024,-0.037652,0.006963,0.091449,1.000000,0.000256,0.000080,0.000030,0.244935,0.197887,0.013337,-0.949036,4.445233,22.466120,-150.173550
37453,-3.798836,0.755659,9.110749,0.036405,-0.030798,0.087093,0.049452,0.016742,0.006279,-0.037981,0.007533,0.091113,1.000000,0.000247,0.000084,0.000031,0.244967,0.198002,0.013139,-0.949007,4.473151,22.473003,-150.163294
37454,-3.731273,0.757423,9.111700,-0.020423,-0.060269,0.062287,0.049693,0.014822,0.003467,-0.037306,0.007551,0.091122,1.000000,0.000248,0.000074,0.000017,0.244985,0.198108,0.012942,-0.948982,4.500402,22.478950,-150.154844
37455,-3.802618,0.755170,9.131399,0.025616,-0.025038,0.107562,0.040115,0.015056,-0.000660,-0.038019,0.007534,0.091318,1.000000,0.000201,0.000075,-0.000003,0.244989,0.198202,0.012791,-0.948964,4.521347,22.484984,-150.149488
37456,-3.770216,0.725656,9.118367,-0.011821,-0.009741,0.081022,0.041354,0.009424,0.006494,-0.037698,0.007236,0.091187,1.000000,0.000207,0.000047,0.000032,0.245030,0.198273,0.012624,-0.948941,4.544438,22.487704,-150.139426
37457,-3.804677,0.740283,9.094119,0.029311,-0.001143,0.072945,0.039089,0.013599,0.002711,-0.038041,0.007385,0.090945,1.000000,0.000195,0.000068,0.000014,0.245058,0.198360,0.012478,-0.948917,4.565212,22.492978,-150.131233
37458,-3.790083,0.717915,9.109792,-0.001037,0.012387,0.080153,0.037335,0.011529,0.004798,-0.037896,0.007161,0.091101,1.000000,0.000187,0.000058,0.000024,0.245095,0.198436,0.012333,-0.948894,4.585641,22.496970,-150.122113
37459,-3.770369,0.787051,9.084255,0.022930,-0.052075,0.054206,0.034985,0.012958,0.002848,-0.037698,0.007854,0.090846,1.000000,0.000175,0.000065,0.000014,0.245122,0.198514,0.012203,-0.948872,4.604347,22.501701,-150.114452
37460,-3.790094,0.765567,9.099064,0.021265,-0.023854,0.073811,0.029344,0.008340,0.002253,-0.037897,0.007642,0.090993,1.000000,0.000147,0.000042,0.000011,0.245156,0.198564,0.012095,-0.948854,4.619538,22.503984,-150.107060
37461,-3.806593,0.816591,9.117821,0.050128,-0.061729,0.101208,0.023829,0.007839,-0.001097,-0.038062,0.008155,0.091181,1.000000,0.000119,0.000039,-0.000005,0.245176,0.198605,0.012014,-0.948842,4.630888,22.506027,-150.102002
37462,-3.774826,0.775826,9.127751,0.000786,-0.040516,0.095159,0.019990,0.006659,-0.004695,-0.037745,0.007750,0.091280,1.000000,0.000100,0.000033,-0.000023,0.245186,0.198636,0.011956,-0.948833,4.639043,22.507669,-150.098988
37463,-3.792066,0.793876,9.133515,0.020328,-0.048311,0.108420,0.013390,0.003342,-0.003761,-0.037919,0.007933,0.091336,1.000000,0.000067,0.000017,-0.000019,0.245206,0.198643,0.011923,-0.948827,4.643650,22.507356,-150.095546
37464,-3.773524,0.819092,9.117876,0.023093,-0.076756,0.088809,0.007108,0.000850,-0.007477,-0.037735,0.008189,0.091179,1.000000,0.000036,0.000004,-0.000037,0.245216,0.198630,0.011921,-0.948827,4.643656,22.505810,-150.094543
37465,-3.807273,0.852168,9.129963,0.061697,-0.092230,0.115325,-0.004839,0.002520,-0.013570,-0.038071,0.008526,0.091300,1.000000,-0.000024,0.000013,-0.000068,0.245203,0.198607,0.011983,-0.948834,4.635339,22.505218,-150.097849
37466,-3.773560,0.772237,9.046494,0.029343,-0.028652,0.019580,-0.012013,-0.006079,-0.014893,-0.037738,0.007731,0.090463,1.000000,-0.000060,-0.000030,-0.000074,0.245197,0.198538,0.012070,-0.948849,4.622501,22.500057,-150.101778
37467,-3.792050,0.791145,9.133759,0.022559,-0.048774,0.108413,-0.014133,-0.006568,-0.019658,-0.037923,0.007922,0.091336,1.000000,-0.000071,-0.000033,-0.000098,0.245174,0.198464,0.012174,-0.948870,4.607190,22.494934,-150.108210
37468,-3.757076,0.765100,9.099368,-0.003022,-0.039450,0.061416,-0.012412,-0.005876,-0.020823,-0.037573,0.007661,0.090992,1.000000,-0.000062,-0.000029,-0.000104,0.245140,0.198394,0.012270,-0.948892,4.592727,22.490159,-150.115790
37469,-3.759801,0.712574,9.131600,-0.035625,0.002422,0.088257,-0.014765,-0.004447,-0.022775,-0.037599,0.007137,0.091315,1.000000,-0.000074,-0.000022,-0.000114,0.245097,0.198329,0.012377,-0.948915,4.576838,22.486226,-150.124770
37470,-3.759513,0.688131,9.096089,-0.032551,0.026462,0.053647,-0.007529,-0.003252,-0.020589,-0.037596,0.006889,0.090960,1.000000,-0.000038,-0.000016,-0.000103,0.245059,0.198278,0.012453,-0.948935,4.565280,22.482936,-150.132073
37471,-3.759460,0.686713,9.096218,-0.032004,0.026351,0.053649,-0.005767,-0.001187,-0.022673,-0.037594,0.006874,0.090962,1.000000,-0.000029,-0.000006,-0.000113,0.245008,0.198238,0.012524,-0.948955,4.554284,22.480832,-150.140675
37472,-3.776326,0.724988,9.138128,-0.014979,-0.005604,0.101514,-0.001567,-0.001582,-0.012225,-0.037764,0.007253,0.091381,1.000000,-0.000008,-0.000008,-0.000061,0.245004,0.198202,0.012565,-0.948963,4.548152,22.478113,-150.142725
37473,-3.760614,0.675913,9.118834,-0.042842,0.032065,0.074140,0.000957,0.002475,-0.013945,-0.037605,0.006761,0.091189,1.000000,0.000005,0.000012,-0.000070,0.244988,0.198190,0.012599,-0.948969,4.543393,22.477792,-150.145619
37474,-3.792630,0.750013,9.121514,0.016986,-0.019393,0.094276,0.001720,0.004467,-0.013580,-0.037924,0.007502,0.091216,1.000000,0.000009,0.000022,-0.000068,0.244974,0.198187,0.012633,-0.948973,4.538937,22.478589,-150.148209
37475,-3.760346,0.706994,9.131809,-0.032414,0.001764,0.088268,-0.000844,-0.000963,-0.010942,-0.037604,0.007072,0.091318,1.000000,-0.000004,-0.000005,-0.000055,0.244975,0.198156,0.012669,-0.948979,4.533695,22.476188,-150.149331
37476,-3.827402,0.750424,9.120483,0.046717,-0.004856,0.106644,-0.001522,-0.000212,-0.013142,-0.038274,0.007507,0.091205,1.000000,-0.000008,-0.000001,-0.000066,0.244967,0.198127,0.012713,-0.948986,4.527398,22.474293,-150.151879
37477,-3.775067,0.740805,9.092914,0.011490,-0.017963,0.060537,-0.006399,-0.002842,-0.013374,-0.037751,0.007413,0.090928,1.000000,-0.000032,-0.000014,-0.000067,0.244959,0.198079,0.012776,-0.948998,4.518115,22.470727,-150.155053
37478,-3.760112,0.704500,9.132098,-0.030763,0.001406,0.088273,-0.005442,-0.004141,-0.014904,-0.037602,0.007050,0.091320,1.000000,-0.000027,-0.000021,-0.000075,0.244946,0.198026,0.012835,-0.949011,4.509084,22.466666,-150.158881
37479,-3.774771,0.761261,9.129001,0.010053,-0.042387,0.095146,-0.005399,-0.002770,-0.015821,-0.037748,0.007618,0.091289,1.000000,-0.000027,-0.000014,-0.000079,0.244935,0.197982,0.012899,-0.949023,4.499810,22.463631,-150.162506
37480,-3.758547,0.711683,9.109934,-0.017826,-0.004771,0.067784,-0.005523,-0.006886,-0.013068,-0.037588,0.007122,0.091098,1.000000,-0.000028,-0.000034,-0.000065,0.244930,0.197916,0.012953,-0.949037,4.491115,22.457919,-150.165331
37481,-3.772966,0.745748,9.071167,0.025506,-0.024349,0.040040,-0.008793,-0.002788,-0.014406,-0.037730,0.007464,0.090711,1.000000,-0.000044,-0.000014,-0.000072,0.244924,0.197866,0.013029,-0.949048,4.480361,22.454586,-150.168723
