// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
26530,-9.085999,3.469208,-0.882623,0.055454,0.089447,-0.047507,-0.007766,0.003629,-0.001900,-0.090860,0.034693,-0.008826,1.000000,-0.000039,0.000018,-0.000009,-0.107146,-0.719654,0.157234,0.667754,103.173878,68.034589,-80.961240
26531,-9.054348,3.480232,-0.890944,0.064560,0.066794,-0.072134,-0.009550,0.003715,0.000090,-0.090544,0.034802,-0.008909,1.000000,-0.000048,0.000019,0.000000,-0.107156,-0.719661,0.157209,0.667750,103.175508,68.035512,-80.956764
26532,-9.099226,3.449503,-0.887408,0.061334,0.111956,-0.042008,-0.005761,-0.005873,0.001873,-0.090992,0.034494,-0.008878,1.000000,-0.000029,-0.000029,0.000009,-0.107157,-0.719636,0.157206,0.667779,103.164128,68.036676,-80.967822
26533,-9.095020,3.480644,-0.901504,0.073486,0.080576,-0.033368,-0.001817,-0.003190,0.000779,-0.090950,0.034806,-0.009017,1.000000,-0.000009,-0.000016,0.000004,-0.107136,-0.719624,0.157214,0.667793,103.160419,68.038120,-80.973876
26534,-9.081737,3.500686,-0.895978,0.067524,0.057296,-0.038861,0.001695,-0.005804,0.003308,-0.090818,0.035005,-0.008962,1.000000,0.000008,-0.000029,0.000017,-0.107114,-0.719601,0.157240,0.667815,103.152941,68.038473,-80.985334
26535,-9.072572,3.489966,-0.875745,0.049246,0.065110,-0.052990,0.004509,-0.007156,0.006344,-0.090727,0.034897,-0.008760,1.000000,0.000023,-0.000036,0.000032,-0.107086,-0.719575,0.157291,0.667835,103.145578,68.037333,-80.999245
26536,-9.077603,3.519084,-0.856614,0.028133,0.041188,-0.039350,0.008730,-0.011448,0.004503,-0.090776,0.035189,-0.008570,1.000000,0.000044,-0.000057,0.000023,-0.107038,-0.719536,0.157348,0.667871,103.133934,68.037753,-81.019539
26537,-9.073342,3.550358,-0.870705,0.040274,0.009805,-0.030715,0.010547,-0.008258,0.003723,-0.090734,0.035502,-0.008709,1.000000,0.000053,-0.000041,0.000019,-0.106979,-0.719512,0.157411,0.667892,103.129354,68.038218,-81.034162
26538,-9.064222,3.539584,-0.850149,0.022080,0.017642,-0.044845,0.003356,-0.014883,0.005403,-0.090643,0.035394,-0.008508,1.000000,0.000017,-0.000074,0.000027,-0.106951,-0.719458,0.157455,0.667944,103.109586,68.038580,-81.059896
26539,-9.055983,3.588646,-0.825512,-0.005091,-0.029321,-0.036707,0.004819,-0.010854,0.006807,-0.090561,0.035884,-0.008259,1.000000,0.000024,-0.000054,0.000034,-0.106920,-0.719420,0.157511,0.667977,103.097136,68.037661,-81.079487
26540,-9.078150,3.580494,-0.849581,0.019066,-0.014635,-0.017078,-0.000477,-0.008154,0.006271,-0.090782,0.035802,-0.008500,1.000000,-0.000002,-0.000041,0.000031,-0.106914,-0.719386,0.157542,0.668008,103.084207,68.036661,-81.095481
26541,-9.037311,3.580901,-0.837326,0.009966,-0.029195,-0.055843,-0.004377,-0.007977,0.004717,-0.090374,0.035807,-0.008378,1.000000,-0.000022,-0.000040,0.000024,-0.106912,-0.719353,0.157558,0.668039,103.071140,68.036531,-81.110043
26542,-9.042092,3.623402,-0.870921,0.040373,-0.068654,-0.033084,-0.003291,-0.006802,0.003234,-0.090421,0.036232,-0.008713,1.000000,-0.000016,-0.000034,0.000016,-0.106907,-0.719325,0.157567,0.668068,103.059446,68.037047,-81.122966
26543,-9.042297,3.610323,-0.817083,-0.011248,-0.053377,-0.042211,0.002312,-0.013200,0.004233,-0.090423,0.036101,-0.008176,1.000000,0.000012,-0.000066,0.000021,-0.106876,-0.719279,0.157607,0.668113,103.043134,68.037857,-81.145144
26544,-9.087204,3.579729,-0.812745,-0.014456,-0.008220,-0.012074,0.009389,-0.015987,0.002776,-0.090872,0.035796,-0.008133,1.000000,0.000047,-0.000080,0.000014,-0.106816,-0.719227,0.157662,0.668166,103.026135,68.039813,-81.171620
26545,-9.083157,3.597835,-0.773035,-0.053856,-0.024055,-0.012572,0.010685,-0.023811,0.010913,-0.090833,0.035974,-0.007739,1.000000,0.000053,-0.000119,0.000055,-0.106768,-0.719145,0.157759,0.668239,102.997782,68.038256,-81.211969
26546,-9.071931,3.481456,-0.812201,-0.002701,0.077813,-0.062094,0.004357,-0.019844,0.005352,-0.090719,0.034812,-0.008130,1.000000,0.000022,-0.000099,0.000027,-0.106732,-0.719075,0.157809,0.668308,102.971734,68.039263,-81.245094
26547,-9.076800,3.524047,-0.844634,0.027618,0.038328,-0.039337,0.004973,-0.027241,0.006277,-0.090768,0.035238,-0.008458,1.000000,0.000025,-0.000136,0.000031,-0.106687,-0.718982,0.157872,0.668400,102.936829,68.040721,-81.288933
26548,-9.049371,3.504429,-0.836645,0.024578,0.046819,-0.072599,0.016109,-0.017937,0.003494,-0.090494,0.035043,-0.008372,1.000000,0.000081,-0.000090,0.000017,-0.106604,-0.718926,0.157954,0.668454,102.920740,68.042509,-81.318579
26549,-9.085748,3.549121,-0.914375,0.097245,0.014148,-0.016081,0.045740,-0.033636,0.006992,-0.090857,0.035490,-0.009151,1.000000,0.000229,-0.000168,0.000035,-0.106409,-0.718833,0.158159,0.668537,102.900095,68.044378,-81.372264
26550,-9.003050,3.745312,-0.841630,0.013134,-0.194581,-0.027362,0.103276,-0.034275,0.003238,-0.090030,0.037456,-0.008412,1.000000,0.000516,-0.000171,0.000016,-0.106000,-0.718769,0.158540,0.668580,102.911384,68.048394,-81.426238
26551,-8.997008,4.141200,-0.654530,-0.209976,-0.554677,0.095508,0.154019,-0.012557,-0.021513,-0.089965,0.041427,-0.006519,1.000000,0.000770,-0.000063,-0.000108,-0.105337,-0.718826,0.158993,0.668516,102.991050,68.063479,-81.438601
