// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
17172,-9.104780,-1.744038,-1.973133,0.442462,0.204417,-0.347256,-0.419422,-0.024694,-0.104152,-0.091054,-0.017434,-0.019706,0.999998,-0.002097,-0.000123,-0.000521,0.207965,0.654527,0.390984,-0.612762,-128.151088,74.743969,102.441806
17173,-9.135185,-1.901913,-2.131399,0.421874,0.407051,-0.259255,-0.398210,-0.021224,-0.110984,-0.091360,-0.019011,-0.021286,0.999998,-0.001991,-0.000106,-0.000555,0.209010,0.653823,0.392522,-0.612173,-128.201611,74.706772,102.627449
17174,-9.053187,-2.022281,-2.494823,0.552401,0.770400,-0.253645,-0.384051,-0.014596,-0.109270,-0.090541,-0.020221,-0.024916,0.999998,-0.001920,-0.000073,-0.000546,0.210012,0.653160,0.394006,-0.611585,-128.260917,74.669750,102.795545
17175,-9.081674,-2.197008,-2.833799,0.630116,1.119638,-0.133668,-0.308634,-0.003598,-0.103900,-0.090828,-0.021967,-0.028306,0.999999,-0.001543,-0.000018,-0.000520,0.210751,0.652613,0.395263,-0.611103,-128.298970,74.629552,102.941044
17176,-9.104962,-2.294723,-2.980502,0.644687,1.278800,-0.065969,-0.237903,0.006090,-0.084380,-0.091060,-0.022944,-0.029775,0.999999,-0.001190,0.000030,-0.000422,0.211310,0.652213,0.396238,-0.610706,-128.341081,74.596438,103.040185
17177,-9.084943,-2.456364,-3.010498,0.533456,1.398435,-0.045763,-0.166567,0.025776,-0.061530,-0.090861,-0.024561,-0.030073,1.000000,-0.000833,0.000129,-0.000308,0.211657,0.651988,0.396954,-0.610362,-128.400795,74.564853,103.078957
17178,-9.169801,-2.761507,-2.877152,0.214220,1.452005,0.078469,-0.076849,0.044534,-0.032080,-0.091709,-0.027611,-0.028740,1.000000,-0.000384,0.000223,-0.000160,0.211773,0.651978,0.397306,-0.610102,-128.480621,74.541570,103.043263
17179,-9.496300,-2.845747,-2.496199,-0.073577,1.123264,0.348113,0.019516,0.054866,-0.002040,-0.094970,-0.028454,-0.024939,1.000000,0.000098,0.000274,-0.000010,0.211637,0.652155,0.397292,-0.609969,-128.557495,74.526261,102.953740
17180,-9.668345,-2.743396,-1.930704,-0.341303,0.585145,0.398671,0.076952,0.055524,0.015201,-0.096687,-0.027434,-0.019291,1.000000,0.000385,0.000278,0.000076,0.211375,0.652435,0.397032,-0.609929,-128.627709,74.520199,102.836578
17181,-9.804541,-2.160870,-1.521210,-0.140385,-0.109398,0.340183,0.099206,0.039187,0.019394,-0.098046,-0.021611,-0.015204,1.000000,0.000496,0.000196,0.000097,0.211076,0.652692,0.396689,-0.609982,-128.661076,74.520017,102.744853
17182,-9.865171,-1.873346,-1.282054,-0.066497,-0.478374,0.298763,0.019625,0.028709,0.009884,-0.098653,-0.018737,-0.012808,1.000000,0.000098,0.000144,0.000049,0.211038,0.652819,0.396593,-0.609922,-128.713899,74.521128,102.679817
17183,-9.789658,-2.162219,-1.395419,-0.226402,-0.201095,0.305024,-0.053987,0.020988,0.005592,-0.097897,-0.021629,-0.013938,1.000000,-0.000270,0.000105,0.000028,0.211232,0.652830,0.396742,-0.609745,-128.787787,74.521273,102.637094
17184,-9.725451,-2.571722,-1.597898,-0.424658,0.212877,0.362074,-0.072006,0.022839,0.011261,-0.097255,-0.025728,-0.015959,1.000000,-0.000360,0.000114,0.000056,0.211509,0.652846,0.396915,-0.609520,-128.885457,74.525062,102.580000
17185,-9.608194,-2.794469,-1.738328,-0.520998,0.482698,0.318640,-0.033398,0.022841,0.031446,-0.096080,-0.027963,-0.017368,1.000000,-0.000167,0.000114,0.000157,0.211711,0.652936,0.396919,-0.609351,-128.984174,74.536027,102.499248
17186,-9.472777,-3.004779,-1.888824,-0.603145,0.759368,0.256544,0.027103,0.032272,0.056655,-0.094722,-0.030072,-0.018877,1.000000,0.000136,0.000161,0.000283,0.211783,0.653175,0.396652,-0.609244,-129.099639,74.556558,102.364783
17187,-9.446591,-2.899067,-1.850125,-0.552242,0.676692,0.202439,0.083668,0.037944,0.071906,-0.094459,-0.029017,-0.018495,1.000000,0.000418,0.000190,0.000360,0.211697,0.653515,0.396183,-0.609214,-129.208922,74.579933,102.203498
17188,-9.288378,-2.692864,-1.809162,-0.432730,0.568276,-0.000025,0.124685,0.041065,0.098544,-0.092874,-0.026963,-0.018089,1.000000,0.000623,0.000205,0.000493,0.211560,0.653966,0.395490,-0.609227,-129.338539,74.615709,101.996395
17189,-9.250031,-2.631360,-1.794949,-0.402842,0.535924,-0.052592,0.138308,0.051590,0.114670,-0.092490,-0.026354,-0.017944,1.000000,0.000692,0.000258,0.000573,0.211398,0.654490,0.394729,-0.609215,-129.496150,74.652836,101.752575
17190,-9.104664,-2.375902,-1.729760,-0.262250,0.377097,-0.256491,0.126492,0.049904,0.128135,-0.091036,-0.023806,-0.017290,1.000000,0.000632,0.000250,0.000641,0.211328,0.655027,0.393943,-0.609171,-129.680176,74.698148,101.488060
17191,-8.907132,-2.608745,-1.794526,-0.421601,0.623130,-0.389481,0.104596,0.059417,0.148427,-0.089057,-0.026144,-0.017932,1.000000,0.000523,0.000297,0.000742,0.211363,0.655604,0.393182,-0.609030,-129.917331,74.746823,101.181910
17192,-8.829611,-2.836244,-1.951043,-0.513549,0.905689,-0.393087,0.158719,0.070298,0.174181,-0.088278,-0.028424,-0.019502,0.999999,0.000794,0.000351,0.000871,0.211287,0.656327,0.392167,-0.608932,-130.181226,74.804247,100.815611
17193,-8.871827,-2.704977,-1.955108,-0.418610,0.827492,-0.379307,0.214466,0.069316,0.199472,-0.088698,-0.027117,-0.019549,0.999999,0.001072,0.000347,0.000997,0.211096,0.657148,0.390913,-0.608918,-130.445111,74.870808,100.416721
17194,-8.925028,-2.538642,-2.052642,-0.237312,0.797018,-0.345766,0.259062,0.072877,0.217788,-0.089230,-0.025457,-0.020527,0.999999,0.001295,0.000364,0.001089,0.210818,0.658067,0.389451,-0.608959,-130.721171,74.945347,99.978506
17195,-8.884503,-2.304838,-2.086163,-0.049229,0.701321,-0.426290,0.299388,0.071161,0.235831,-0.088825,-0.023122,-0.020865,0.999998,0.001497,0.000356,0.001179,0.210454,0.659050,0.387819,-0.609063,-130.996470,75.025956,99.517725
17196,-8.941681,-2.296263,-2.076017,-0.058830,0.685260,-0.375354,0.324151,0.087579,0.248077,-0.089397,-0.023040,-0.020758,0.999998,0.001621,0.000438,0.001240,0.210023,0.660136,0.386072,-0.609146,-131.309297,75.106882,99.003187
17197,-9.078901,-2.354480,-1.999693,-0.160013,0.640124,-0.245378,0.362926,0.106674,0.261496,-0.090769,-0.023627,-0.019991,0.999997,0.001815,0.000533,0.001307,0.209458,0.661338,0.384196,-0.609223,-131.650636,75.183719,98.436796
17198,-9.250348,-2.382896,-1.846899,-0.288195,0.512652,-0.101237,0.423283,0.115551,0.280663,-0.092481,-0.023920,-0.018466,0.999997,0.002116,0.000578,0.001403,0.208743,0.662669,0.382064,-0.609364,-132.008326,75.266297,97.817497
17199,-9.257563,-2.218366,-1.715919,-0.263298,0.324089,-0.148651,0.443321,0.129268,0.293604,-0.092554,-0.022282,-0.017149,0.999996,0.002217,0.000646,0.001468,0.207963,0.664076,0.379855,-0.609479,-132.397160,75.346221,97.154818
17200,-9.260248,-2.125072,-1.486912,-0.359925,0.108959,-0.203443,0.406916,0.131844,0.304032,-0.092580,-0.021361,-0.014851,0.999997,0.002035,0.000659,0.001520,0.207339,0.665475,0.377707,-0.609501,-132.836643,75.430152,96.461146
17201,-9.199687,-2.087324,-1.310578,-0.468907,-0.015838,-0.300137,0.388150,0.134107,0.317329,-0.091972,-0.020994,-0.013085,0.999997,0.001941,0.000671,0.001587,0.206803,0.666875,0.375587,-0.609463,-133.312945,75.515549,95.741248
