// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
65254,-9.032699,-2.857314,-1.748965,0.107567,0.077892,-0.179664,-0.013617,0.005870,-0.012908,-0.090329,-0.028568,-0.017485,1.000000,-0.000068,0.000029,-0.000065,-0.258589,-0.571828,-0.507804,0.590153,-119.201564,69.645102,127.612665
65255,-9.027686,-2.859039,-1.665765,0.070161,0.004928,-0.197957,-0.020024,0.010988,-0.007590,-0.090279,-0.028589,-0.016650,1.000000,-0.000100,0.000055,-0.000038,-0.258642,-0.571821,-0.507860,0.590087,-119.220818,69.645222,127.604300
65256,-8.974391,-2.907339,-1.684866,0.023254,0.052831,-0.230007,-0.015011,0.011279,-0.014096,-0.089747,-0.029068,-0.016841,1.000000,-0.000075,0.000056,-0.000070,-0.258667,-0.571807,-0.507925,0.590034,-119.234694,69.642127,127.599585
65257,-9.008346,-2.929122,-1.698829,0.016413,0.062904,-0.189182,-0.008600,0.012816,-0.006335,-0.090085,-0.029289,-0.016981,1.000000,-0.000043,0.000064,-0.000032,-0.258687,-0.571824,-0.507947,0.589990,-119.250811,69.642362,127.587583
65258,-8.957395,-2.877901,-1.688233,0.045685,0.048875,-0.254294,-0.007996,0.014875,-0.005437,-0.089576,-0.028777,-0.016875,1.000000,-0.000040,0.000074,-0.000027,-0.258708,-0.571851,-0.507971,0.589934,-119.272038,69.642588,127.570739
65259,-8.938598,-2.887769,-1.676880,0.027383,0.046584,-0.270845,-0.008995,0.016550,-0.006479,-0.089388,-0.028876,-0.016760,1.000000,-0.000045,0.000083,-0.000032,-0.258719,-0.571878,-0.507999,0.589878,-119.293302,69.641701,127.553489
65260,-8.958725,-2.878159,-1.733955,0.062646,0.087737,-0.245162,-0.003981,0.020538,-0.005718,-0.089590,-0.028779,-0.017330,1.000000,-0.000020,0.000103,-0.000029,-0.258713,-0.571927,-0.508019,0.589817,-119.319637,69.640192,127.528720
65261,-8.939857,-2.907776,-1.737231,0.032783,0.105225,-0.253292,-0.004583,0.019219,-0.005161,-0.089401,-0.029076,-0.017363,1.000000,-0.000023,0.000096,-0.000026,-0.258709,-0.571971,-0.508034,0.589763,-119.342958,69.639210,127.506579
65262,-8.957708,-2.918310,-1.766665,0.038108,0.129189,-0.228323,0.002635,0.025650,-0.001560,-0.089580,-0.029182,-0.017656,1.000000,0.000013,0.000128,-0.000008,-0.258683,-0.572053,-0.508030,0.589698,-119.375527,69.638330,127.471155
65263,-8.957319,-2.839703,-1.710971,0.083713,0.051027,-0.262017,0.011647,0.019985,-0.002437,-0.089575,-0.028395,-0.017102,1.000000,0.000058,0.000100,-0.000012,-0.258639,-0.572127,-0.507990,0.589680,-119.392639,69.638485,127.445719
65264,-8.956986,-2.820118,-1.698209,0.094523,0.032157,-0.270434,0.007838,0.022331,0.002956,-0.089571,-0.028202,-0.016973,1.000000,0.000039,0.000112,0.000015,-0.258620,-0.572218,-0.507953,0.589632,-119.421182,69.640780,127.411391
65265,-8.956532,-2.840097,-1.714437,0.082306,0.052911,-0.262015,0.010257,0.024655,-0.005076,-0.089568,-0.028398,-0.017135,1.000000,0.000051,0.000123,-0.000025,-0.258560,-0.572298,-0.507931,0.589600,-119.443371,69.638296,127.381390
65266,-9.022717,-2.863458,-1.684987,0.062323,0.015330,-0.197913,0.007447,0.024588,-0.000093,-0.090229,-0.028634,-0.016840,1.000000,0.000037,0.000123,-0.000000,-0.258528,-0.572387,-0.507907,0.589548,-119.472865,69.638423,127.346318
65267,-9.077376,-2.795853,-1.697161,0.137724,-0.013440,-0.165058,0.006244,0.019731,-0.003342,-0.090776,-0.027956,-0.016964,1.000000,0.000031,0.000099,-0.000017,-0.258497,-0.572451,-0.507885,0.589518,-119.492046,69.638183,127.321977
65268,-9.058489,-2.845241,-1.714675,0.096186,0.023782,-0.164791,-0.001764,0.021505,-0.005784,-0.090588,-0.028450,-0.017137,1.000000,-0.000009,0.000108,-0.000029,-0.258482,-0.572505,-0.507900,0.589460,-119.518345,69.636333,127.295934
65269,-9.129018,-2.887190,-1.784090,0.101441,0.080045,-0.074047,0.003040,0.021920,-0.001411,-0.091292,-0.028871,-0.017831,1.000000,0.000015,0.000110,-0.000007,-0.258460,-0.572576,-0.507886,0.589412,-119.543769,69.636430,127.266892
65270,-9.128607,-2.848207,-1.757106,0.123811,0.041401,-0.090849,0.009060,0.020539,-0.006865,-0.091289,-0.028478,-0.017563,1.000000,0.000045,0.000103,-0.000034,-0.258413,-0.572639,-0.507871,0.589385,-119.561736,69.634308,127.243101
65271,-9.146414,-2.819780,-1.757508,0.152355,0.025881,-0.082682,0.011870,0.023564,-0.006030,-0.091467,-0.028194,-0.017566,1.000000,0.000059,0.000118,-0.000030,-0.258348,-0.572715,-0.507845,0.589362,-119.580785,69.631631,127.215462
65272,-9.161904,-2.831376,-1.744787,0.139290,0.012900,-0.066822,0.008274,0.028008,-0.007153,-0.091622,-0.028310,-0.017436,1.000000,0.000041,0.000140,-0.000036,-0.258284,-0.572797,-0.507843,0.589312,-119.608999,69.627248,127.181198
65273,-9.197686,-2.853002,-1.801857,0.150747,0.060045,-0.016902,0.008285,0.025051,-0.012964,-0.091981,-0.028523,-0.018008,1.000000,0.000041,0.000125,-0.000065,-0.258205,-0.572855,-0.507850,0.589284,-119.626791,69.620689,127.157089
65274,-9.213136,-2.825717,-1.760317,0.160821,0.007490,-0.017824,0.007685,0.022992,-0.013861,-0.092135,-0.028250,-0.017594,1.000000,0.000038,0.000115,-0.000069,-0.258136,-0.572905,-0.507862,0.589255,-119.643478,69.614377,127.135496
65275,-9.161668,-2.815148,-1.778786,0.167123,0.033015,-0.066084,0.007300,0.024508,-0.018364,-0.091621,-0.028142,-0.017778,1.000000,0.000037,0.000123,-0.000092,-0.258045,-0.572947,-0.507886,0.589234,-119.656962,69.605278,127.116583
65276,-9.174666,-2.847997,-1.738287,0.124123,0.002842,-0.050935,0.004097,0.025957,-0.017889,-0.091751,-0.028471,-0.017372,1.000000,0.000020,0.000130,-0.000089,-0.257967,-0.572990,-0.507925,0.589193,-119.676584,69.596115,127.094087
65277,-9.210311,-2.830943,-1.766689,0.158715,0.010420,-0.017792,0.000299,0.023866,-0.021221,-0.092108,-0.028300,-0.017656,1.000000,0.000001,0.000119,-0.000106,-0.257889,-0.573013,-0.507977,0.589158,-119.691010,69.585772,127.078446
65278,-9.205023,-2.853808,-1.698631,0.109660,-0.042835,-0.027589,0.003510,0.021680,-0.023144,-0.092055,-0.028527,-0.016977,1.000000,0.000018,0.000108,-0.000116,-0.257808,-0.573030,-0.508027,0.589135,-119.701211,69.575208,127.066365
65279,-9.173909,-2.814053,-1.757854,0.163529,0.003167,-0.058571,-0.005308,0.017073,-0.024343,-0.091744,-0.028130,-0.017570,1.000000,-0.000027,0.000085,-0.000122,-0.257755,-0.573018,-0.508096,0.589110,-119.707368,69.565238,127.062975
65280,-9.186519,-2.887124,-1.745884,0.097370,0.012593,-0.026673,-0.007677,0.021198,-0.032386,-0.091872,-0.028857,-0.017448,1.000000,-0.000038,0.000106,-0.000162,-0.257679,-0.572996,-0.508204,0.589071,-119.716261,69.550213,127.059064
