// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
54361,-4.197464,2.190502,8.645630,0.317934,0.019888,0.039340,-0.082179,-0.054585,-0.071545,-0.041990,0.021956,0.086436,1.000000,-0.000411,-0.000273,-0.000358,-0.941961,-0.066579,-0.254642,-0.208406,15.046079,26.870531,28.564972
54362,-4.240562,2.101049,8.608630,0.288516,-0.072169,0.006520,-0.070757,-0.033436,-0.057463,-0.042414,0.021053,0.086072,1.000000,-0.000354,-0.000167,-0.000287,-0.942095,-0.066218,-0.254331,-0.208297,14.986593,26.847754,28.531314
54363,-4.329587,2.001566,8.585533,0.236973,-0.193506,0.004103,-0.049386,-0.026750,-0.055174,-0.043302,0.020049,0.085845,1.000000,-0.000247,-0.000134,-0.000276,-0.942197,-0.065928,-0.254143,-0.208158,14.939916,26.837335,28.499793
54364,-4.388039,2.098343,8.645942,0.181154,-0.129618,0.105005,-0.002439,-0.037228,-0.046002,-0.043892,0.020995,0.086451,1.000000,-0.000012,-0.000186,-0.000230,-0.942301,-0.065907,-0.253881,-0.208015,14.922466,26.810725,28.472606
54365,-4.276718,2.297792,8.656664,0.198919,0.098451,0.109950,0.005930,-0.029465,-0.034177,-0.042776,0.022983,0.086561,1.000000,0.000030,-0.000147,-0.000171,-0.942366,-0.065907,-0.253731,-0.207903,14.913182,26.795684,28.453681
54366,-4.430468,2.156661,8.638078,0.115272,-0.094884,0.130870,0.000728,-0.023499,-0.031199,-0.044311,0.021573,0.086376,1.000000,0.000004,-0.000117,-0.000156,-0.942436,-0.065905,-0.253531,-0.207830,14.902701,26.774489,28.437938
54367,-4.221461,2.217834,8.593903,0.233032,0.049481,0.012685,0.020054,-0.019342,-0.012496,-0.042222,0.022172,0.085937,1.000000,0.000100,-0.000097,-0.000062,-0.942460,-0.065989,-0.253437,-0.207806,14.908333,26.761854,28.434139
54368,-4.174799,2.300119,8.634471,0.258424,0.139633,0.045675,0.031059,-0.011614,0.006837,-0.041754,0.022986,0.086346,1.000000,0.000155,-0.000058,0.000034,-0.942466,-0.066165,-0.253313,-0.207877,14.926705,26.741642,28.443921
54369,-4.296482,2.325604,8.682274,0.177447,0.107119,0.147590,0.022388,-0.008557,0.004444,-0.042969,0.023245,0.086824,1.000000,0.000112,-0.000043,0.000022,-0.942459,-0.066271,-0.253266,-0.207934,14.939200,26.732478,28.452400
54370,-4.161074,2.503734,8.667609,0.209864,0.323477,0.115151,0.008733,-0.021618,-0.005832,-0.041619,0.025035,0.086673,1.000000,0.000044,-0.000108,-0.000029,-0.942497,-0.066336,-0.253075,-0.207970,14.940494,26.708579,28.452664
54371,-4.298820,2.434129,8.593767,0.086764,0.202905,0.097356,-0.008293,-0.022555,-0.015892,-0.042996,0.024348,0.085932,1.000000,-0.000041,-0.000113,-0.000079,-0.942539,-0.066286,-0.252937,-0.207965,14.928701,26.694668,28.446224
54372,-4.236241,2.399777,8.592056,0.142639,0.198141,0.059926,-0.006651,-0.033452,-0.027076,-0.042374,0.024006,0.085913,1.000000,-0.000033,-0.000167,-0.000135,-0.942619,-0.066265,-0.252681,-0.207917,14.914446,26.667332,28.431403
54373,-4.281719,2.415706,8.625200,0.114032,0.193807,0.112648,-0.022135,-0.026640,-0.029073,-0.042825,0.024173,0.086244,1.000000,-0.000111,-0.000133,-0.000145,-0.942685,-0.066137,-0.252514,-0.207866,14.890764,26.653098,28.416134
54374,-4.276447,2.309104,8.635792,0.156387,0.100908,0.094998,-0.027449,-0.026474,-0.033075,-0.042772,0.023110,0.086349,1.000000,-0.000137,-0.000132,-0.000165,-0.942769,-0.066003,-0.252272,-0.207819,14.863496,26.630494,28.398785
54375,-4.287325,2.178815,8.578999,0.161913,-0.018211,0.020982,-0.021876,-0.028150,-0.028886,-0.042882,0.021804,0.085782,1.000000,-0.000109,-0.000141,-0.000144,-0.942836,-0.065878,-0.252098,-0.207767,14.839921,26.615384,28.383403
