// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
47956,-9.428344,-0.600713,-1.998189,-0.110192,0.044375,-0.156954,0.005659,-0.004701,-0.011642,-0.094283,-0.006001,-0.019984,1.000000,0.000028,-0.000024,-0.000058,0.570614,-0.383052,0.674778,0.268972,-160.032631,77.457657,-104.764120
47957,-9.464202,-0.581008,-1.962296,-0.104815,0.091023,-0.130744,-0.005648,-0.003332,-0.012174,-0.094642,-0.005805,-0.019624,1.000000,-0.000028,-0.000017,-0.000061,0.570633,-0.383067,0.674739,0.269008,-160.024317,77.462007,-104.751338
47958,-9.464958,-0.592349,-1.940098,-0.083185,0.101971,-0.133691,-0.016367,-0.000578,-0.012430,-0.094650,-0.005919,-0.019401,1.000000,-0.000082,-0.000003,-0.000062,0.570617,-0.383126,0.674689,0.269084,-160.025515,77.464998,-104.740263
47959,-9.429018,-0.614372,-1.975669,-0.087511,0.053327,-0.159885,-0.013356,-0.000219,-0.019329,-0.094291,-0.006136,-0.019756,1.000000,-0.000067,-0.000001,-0.000097,0.570620,-0.383192,0.674635,0.269120,-160.007020,77.466271,-104.712527
47960,-9.431235,-0.647056,-1.909651,-0.023770,0.088276,-0.168762,-0.010171,0.003039,-0.017125,-0.094313,-0.006463,-0.019095,1.000000,-0.000051,0.000015,-0.000086,0.570612,-0.383248,0.674597,0.269150,-159.996459,77.466381,-104.693994
47961,-9.449597,-0.684964,-1.873833,0.028200,0.099672,-0.155329,-0.006681,0.003345,-0.017313,-0.094497,-0.006842,-0.018737,1.000000,-0.000033,0.000017,-0.000087,0.570613,-0.383292,0.674566,0.269162,-159.982160,77.466128,-104.674474
47962,-9.446428,-0.686758,-1.955294,-0.016960,0.033224,-0.141678,-0.001937,0.007503,-0.021775,-0.094466,-0.006857,-0.019549,1.000000,-0.000010,0.000038,-0.000109,0.570615,-0.383339,0.674548,0.269137,-159.959511,77.462898,-104.649665
47963,-9.466455,-0.631398,-1.875628,-0.017285,0.132878,-0.142503,-0.008079,0.004603,-0.020296,-0.094666,-0.006305,-0.018754,1.000000,-0.000040,0.000023,-0.000101,0.570613,-0.383400,0.674513,0.269142,-159.939914,77.461378,-104.623897
47964,-9.446883,-0.742268,-1.927121,0.043684,0.025757,-0.142848,-0.013327,0.007786,-0.017480,-0.094470,-0.007416,-0.019267,1.000000,-0.000067,0.000039,-0.000087,0.570587,-0.383464,0.674489,0.269166,-159.934421,77.458846,-104.610140
47965,-9.411704,-0.816208,-1.934027,0.098893,-0.028296,-0.170268,-0.014861,0.007245,-0.012422,-0.094118,-0.008158,-0.019336,1.000000,-0.000074,0.000036,-0.000062,0.570552,-0.383521,0.674468,0.269212,-159.940101,77.457452,-104.606286
47966,-9.463781,-0.884980,-1.915066,0.169587,-0.040171,-0.118182,-0.011289,0.016281,-0.013980,-0.094640,-0.008844,-0.019142,1.000000,-0.000056,0.000081,-0.000070,0.570495,-0.383584,0.674474,0.269227,-159.949414,77.451049,-104.608094
47967,-9.461032,-0.854827,-1.982698,0.106950,-0.077169,-0.109308,0.002869,0.013123,-0.010696,-0.094612,-0.008543,-0.019821,1.000000,0.000014,0.000066,-0.000053,0.570472,-0.383592,0.674497,0.269206,-159.954297,77.446830,-104.613830
