// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
39234,-9.263918,2.294285,-1.473066,0.071010,0.052892,-0.156290,-0.021323,0.001809,-0.024878,-0.092636,0.022953,-0.014732,1.000000,-0.000107,0.000009,-0.000124,-0.167691,0.661255,-0.371840,-0.629569,121.506218,73.199934,-103.861040
39235,-9.255895,2.288576,-1.450271,0.057953,0.068619,-0.168809,-0.021907,0.004392,-0.032786,-0.092556,0.022899,-0.014503,1.000000,-0.000110,0.000022,-0.000164,-0.167684,0.661310,-0.371691,-0.629600,121.511577,73.211071,-103.841252
39236,-9.248246,2.306061,-1.476881,0.063004,0.034703,-0.167794,-0.007039,0.003956,-0.035162,-0.092479,0.023076,-0.014768,1.000000,-0.000035,0.000020,-0.000176,-0.167733,0.661356,-0.371584,-0.629602,121.527298,73.223217,-103.819584
39237,-9.279514,2.337061,-1.460352,0.030331,0.032255,-0.132713,-0.009574,0.005025,-0.037964,-0.092791,0.023388,-0.014602,1.000000,-0.000048,0.000025,-0.000190,-0.167782,0.661413,-0.371458,-0.629604,121.545991,73.236699,-103.793270
39238,-9.287217,2.371266,-1.478783,0.018467,-0.003047,-0.114144,-0.011518,0.005862,-0.037544,-0.092868,0.023729,-0.014786,1.000000,-0.000058,0.000029,-0.000188,-0.167821,0.661473,-0.371330,-0.629606,121.564668,73.249432,-103.765839
39239,-9.304766,2.326980,-1.425772,0.011885,0.065871,-0.116201,-0.002405,-0.000456,-0.038203,-0.093043,0.023287,-0.014258,1.000000,-0.000012,-0.000002,-0.000191,-0.167905,0.661506,-0.371221,-0.629612,121.578974,73.264669,-103.748444
39240,-9.273481,2.323175,-1.438013,0.019619,0.048740,-0.145231,0.004249,-0.002156,-0.042835,-0.092730,0.023252,-0.014381,1.000000,0.000021,-0.000011,-0.000214,-0.168027,0.661538,-0.371119,-0.629607,121.599022,73.282387,-103.729019
39241,-9.298344,2.339671,-1.452499,0.018110,0.032294,-0.115180,0.012310,0.003978,-0.039855,-0.092979,0.023416,-0.014522,1.000000,0.000062,0.000020,-0.000199,-0.168157,0.661576,-0.371055,-0.629570,121.630711,73.297069,-103.702360
39242,-9.308174,2.362997,-1.524792,0.051640,-0.032413,-0.089152,-0.003678,0.006047,-0.040423,-0.093077,0.023648,-0.015246,1.000000,-0.000018,0.000030,-0.000202,-0.168230,0.661635,-0.370943,-0.629555,121.657233,73.311139,-103.671436
39243,-9.324245,2.376610,-1.517029,0.035909,-0.033464,-0.071600,0.007367,0.006146,-0.033755,-0.093239,0.023782,-0.015167,1.000000,0.000037,0.000031,-0.000169,-0.168320,0.661673,-0.370885,-0.629525,121.683467,73.322208,-103.647392
