// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
10223,2.145109,1.922057,9.508548,-0.100244,0.150109,0.120876,0.000787,-0.069275,-0.116499,0.021429,0.019208,0.095093,1.000000,0.000004,-0.000346,-0.000582,-0.943801,-0.117539,0.077247,-0.299094,10.364549,-12.481324,34.030720
10224,2.294021,1.897020,9.478517,0.034417,0.215917,0.119870,-0.002932,-0.052961,-0.100725,0.022925,0.018960,0.094791,1.000000,-0.000015,-0.000265,-0.000504,-0.943922,-0.117609,0.077473,-0.298627,10.371295,-12.503541,33.972172
10225,2.310171,1.893134,9.387526,0.054928,0.243715,0.035362,-0.003422,-0.029196,-0.074667,0.023095,0.018924,0.093878,1.000000,-0.000017,-0.000146,-0.000373,-0.944013,-0.117633,0.077602,-0.298294,10.374177,-12.514922,33.930950
10226,2.259736,1.962745,9.441385,-0.030647,0.256443,0.088414,0.002285,0.005054,-0.046234,0.022604,0.019621,0.094413,1.000000,0.000011,0.000025,-0.000231,-0.944072,-0.117620,0.077579,-0.298120,10.375790,-12.510058,33.909984
10227,2.222835,1.975589,9.481880,-0.069978,0.236834,0.121547,-0.004648,0.023490,-0.018951,0.022241,0.019756,0.094816,1.000000,-0.000023,0.000117,-0.000095,-0.944101,-0.117538,0.077494,-0.298082,10.369805,-12.497499,33.906491
10228,2.097809,1.830912,9.538826,-0.090781,0.041503,0.123725,-0.019570,0.031523,0.006324,0.020993,0.018319,0.095383,1.000000,-0.000098,0.000158,0.000032,-0.944104,-0.117362,0.077410,-0.298163,10.351721,-12.483138,33.918660
10229,2.024752,1.708150,9.648583,-0.086780,-0.122135,0.191817,-0.004046,0.023039,0.028070,0.020256,0.017086,0.096483,1.000000,-0.000020,0.000115,0.000140,-0.944063,-0.117265,0.077354,-0.298346,10.340233,-12.475673,33.942253
10230,1.964438,1.627376,9.651013,-0.089174,-0.219186,0.166964,0.021409,-0.000371,0.035826,0.019641,0.016267,0.096512,1.000000,0.000107,-0.000002,0.000179,-0.943986,-0.117319,0.077376,-0.298564,10.342678,-12.482320,33.968088
10231,2.042715,1.658141,9.574535,-0.039330,-0.133122,0.115785,0.018581,-0.021352,0.031268,0.020414,0.016576,0.095749,1.000000,0.000093,-0.000107,0.000156,-0.943909,-0.117394,0.077498,-0.298745,10.344757,-12.500197,33.988852
10232,2.123356,1.665741,9.506122,0.024367,-0.066660,0.068844,0.014090,-0.022627,0.017892,0.021221,0.016653,0.095065,1.000000,0.000070,-0.000113,0.000089,-0.943854,-0.117453,0.077625,-0.298862,10.345746,-12.517545,34.001990
10233,2.209144,1.581453,9.470933,0.143685,-0.078696,0.038863,0.012011,-0.010797,0.015073,0.022085,0.015811,0.094711,1.000000,0.000060,-0.000054,0.000075,-0.943810,-0.117487,0.077697,-0.298970,10.345833,-12.527805,34.014518
10234,2.177391,1.718492,9.490045,0.036409,0.006013,0.074366,0.038356,0.003417,0.020295,0.021774,0.017169,0.094903,1.000000,0.000192,0.000017,0.000101,-0.943747,-0.117622,0.077667,-0.299123,10.359823,-12.530722,34.031789
10235,2.250642,1.909914,9.495744,-0.015477,0.194899,0.129349,0.024298,0.011045,0.018562,0.022510,0.019090,0.094959,1.000000,0.000121,0.000055,0.000093,-0.943699,-0.117680,0.077620,-0.299265,10.366008,-12.529038,34.048640
10236,2.296202,1.972973,9.592223,-0.022510,0.246011,0.242902,-0.030874,0.031655,0.006474,0.022977,0.019745,0.095916,1.000000,-0.000154,0.000158,0.000032,-0.943708,-0.117450,0.077552,-0.299343,10.341420,-12.514617,34.060909
10237,2.141425,1.631681,9.624615,0.047914,-0.111470,0.180639,-0.071029,0.035618,-0.010298,0.021432,0.016350,0.096237,1.000000,-0.000355,0.000178,-0.000051,-0.943768,-0.117033,0.077514,-0.299326,10.296051,-12.496110,34.063674
10238,2.015939,1.483201,9.682105,0.027263,-0.306805,0.182921,-0.040635,0.019280,-0.025051,0.020171,0.014849,0.096816,1.000000,-0.000203,0.000096,-0.000125,-0.943826,-0.116788,0.077501,-0.299244,10.270098,-12.485426,34.056424
10239,1.884867,1.566399,9.796005,-0.136811,-0.340511,0.278566,-0.002316,-0.007853,-0.037302,0.018848,0.015662,0.097961,1.000000,-0.000012,-0.000039,-0.000187,-0.943869,-0.116771,0.077550,-0.299101,10.268450,-12.488663,34.039036
10240,1.949511,1.771477,9.772573,-0.204267,-0.138209,0.305666,0.012754,-0.055453,-0.052083,0.019473,0.017703,0.097732,1.000000,0.000064,-0.000277,-0.000260,-0.943907,-0.116900,0.077794,-0.298868,10.278161,-12.517351,34.008352
10241,2.247980,1.841701,9.693157,-0.002111,0.097500,0.306258,-0.003513,-0.079304,-0.054366,0.022446,0.018413,0.096940,1.000000,-0.000018,-0.000397,-0.000272,-0.943949,-0.116991,0.078171,-0.298602,10.279603,-12.559111,33.973620
10242,2.385822,1.735424,9.586037,0.174110,0.112585,0.214923,0.003241,-0.071130,-0.046088,0.023828,0.017347,0.095869,1.000000,0.000016,-0.000356,-0.000230,-0.943977,-0.117096,0.078507,-0.298385,10.283510,-12.597244,33.944743
