// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
05919,-9.408988,-1.569562,-1.237380,0.017761,-0.006217,-0.193782,0.033457,-0.002262,-0.021525,-0.094091,-0.015683,-0.012377,1.000000,0.000167,-0.000011,-0.000108,0.573706,0.257322,0.706324,-0.325197,-128.427045,77.906067,-177.365926
05920,-9.432325,-1.524072,-1.226113,0.063771,0.017292,-0.179903,0.019559,-0.002797,-0.025549,-0.094325,-0.015227,-0.012264,1.000000,0.000098,-0.000014,-0.000128,0.573690,0.257307,0.706287,-0.325317,-128.372293,77.902527,-177.320783
05921,-9.488324,-1.529368,-1.283648,0.035188,0.059790,-0.116802,0.016728,-0.002696,-0.027555,-0.094885,-0.015280,-0.012839,1.000000,0.000084,-0.000013,-0.000138,0.573673,0.257278,0.706257,-0.325434,-128.315730,77.898067,-177.272273
05922,-9.434576,-1.562530,-1.251275,0.020868,0.015278,-0.168117,0.009507,-0.008405,-0.029511,-0.094348,-0.015611,-0.012517,1.000000,0.000048,-0.000042,-0.000148,0.573683,0.257211,0.706226,-0.325538,-128.248481,77.894716,-177.208458
05923,-9.452829,-1.551413,-1.243312,0.038577,0.019029,-0.153141,0.003049,-0.005778,-0.030664,-0.094530,-0.015499,-0.012436,1.000000,0.000015,-0.000029,-0.000153,0.573691,0.257125,0.706214,-0.325619,-128.188316,77.889919,-177.148113
05924,-9.463483,-1.586007,-1.292159,-0.015470,0.035404,-0.130688,-0.002363,-0.006610,-0.028672,-0.094637,-0.015847,-0.012925,1.000000,-0.000012,-0.000033,-0.000143,0.573711,0.257030,0.706206,-0.325675,-128.133096,77.886283,-177.089643
05925,-9.479998,-1.696491,-1.290935,-0.092053,-0.035939,-0.096454,-0.005993,-0.004081,-0.027821,-0.094802,-0.016952,-0.012911,1.000000,-0.000030,-0.000020,-0.000139,0.573728,0.256934,0.706208,-0.325717,-128.086059,77.882146,-177.037961
05926,-9.466412,-1.734099,-1.271017,-0.109206,-0.074111,-0.106085,-0.007999,-0.004899,-0.027596,-0.094666,-0.017328,-0.012712,1.000000,-0.000040,-0.000024,-0.000138,0.573751,0.256830,0.706213,-0.325749,-128.039501,77.878370,-176.985045
05927,-9.446989,-1.695624,-1.301307,-0.103825,-0.024526,-0.127505,0.012495,-0.001009,-0.025485,-0.094472,-0.016943,-0.013015,1.000000,0.000062,-0.000005,-0.000127,0.573737,0.256797,0.706192,-0.325843,-127.992431,77.874138,-176.943690
05928,-9.475441,-1.626427,-1.183627,0.029107,-0.065818,-0.126354,0.024006,-0.005441,-0.021642,-0.094756,-0.016253,-0.011841,1.000000,0.000120,-0.000027,-0.000108,0.573731,0.256805,0.706135,-0.325971,-127.936221,77.873223,-176.899658
05929,-9.469331,-1.552984,-1.232949,0.050467,0.021722,-0.138126,0.027983,-0.005305,-0.027186,-0.094695,-0.015515,-0.012334,1.000000,0.000140,-0.000027,-0.000136,0.573709,0.256807,0.706078,-0.326133,-127.868319,77.869780,-176.846602
05930,-9.380069,-1.492381,-1.208401,0.092775,0.044408,-0.238631,0.021719,-0.006739,-0.032513,-0.093803,-0.014907,-0.012089,1.000000,0.000109,-0.000034,-0.000163,0.573693,0.256767,0.706035,-0.326286,-127.792953,77.864381,-176.781635
05931,-9.392874,-1.460707,-1.227159,0.107604,0.082146,-0.228986,0.012653,-0.006568,-0.034755,-0.093931,-0.014590,-0.012276,1.000000,0.000063,-0.000033,-0.000174,0.573684,0.256693,0.706010,-0.326413,-127.719301,77.857889,-176.713021
05932,-9.370808,-1.445441,-1.207343,0.128194,0.079556,-0.255687,0.005351,-0.003789,-0.040684,-0.093711,-0.014435,-0.012076,1.000000,0.000027,-0.000019,-0.000203,0.573665,0.256582,0.706013,-0.326528,-127.646373,77.847715,-176.640950
05933,-9.408266,-1.521022,-1.248523,0.055263,0.064317,-0.201204,-0.010086,-0.009505,-0.040099,-0.094085,-0.015192,-0.012489,1.000000,-0.000050,-0.000048,-0.000200,0.573687,0.256419,0.706024,-0.326593,-127.571158,77.839802,-176.557346
05934,-9.397287,-1.592981,-1.254826,-0.002468,0.024560,-0.199126,-0.014215,-0.004160,-0.048716,-0.093976,-0.015908,-0.012549,1.000000,-0.000071,-0.000021,-0.000244,0.573681,0.256223,0.706068,-0.326662,-127.495897,77.826069,-176.471415
05935,-9.450482,-1.677379,-1.239247,-0.041376,-0.038891,-0.134995,-0.005760,-0.005936,-0.047797,-0.094508,-0.016752,-0.012395,1.000000,-0.000029,-0.000030,-0.000239,0.573672,0.256050,0.706092,-0.326761,-127.413530,77.813354,-176.383033
05936,-9.404298,-1.710677,-1.230237,-0.067919,-0.065210,-0.175683,-0.000332,-0.003569,-0.044708,-0.094047,-0.017086,-0.012304,1.000000,-0.000002,-0.000018,-0.000224,0.573653,0.255909,0.706110,-0.326867,-127.338368,77.801191,-176.305334
05937,-9.433251,-1.732499,-1.272139,-0.103155,-0.044877,-0.138316,0.017594,0.000175,-0.036057,-0.094336,-0.017307,-0.012723,1.000000,0.000088,0.000001,-0.000180,0.573612,0.255856,0.706097,-0.327007,-127.274563,77.791663,-176.249805
05938,-9.443377,-1.778149,-1.218151,-0.098566,-0.113074,-0.127618,0.020421,0.000090,-0.034055,-0.094437,-0.017764,-0.012183,1.000000,0.000102,0.000000,-0.000170,0.573570,0.255818,0.706078,-0.327151,-127.212546,77.783053,-176.197715
05939,-9.407910,-1.797585,-1.178895,-0.093930,-0.153597,-0.163985,0.031481,0.000771,-0.032047,-0.094082,-0.017959,-0.011791,1.000000,0.000157,0.000004,-0.000160,0.573516,0.255820,0.706040,-0.327328,-127.148567,77.775095,-176.150106
05940,-9.439431,-1.751845,-1.190884,-0.060280,-0.111913,-0.139329,0.037738,0.002226,-0.026725,-0.094397,-0.017504,-0.011911,1.000000,0.000189,0.000011,-0.000134,0.573457,0.255861,0.705989,-0.327509,-127.092977,77.769071,-176.114741
05941,-9.500380,-1.678850,-1.165704,0.023363,-0.080481,-0.095301,0.032117,0.004672,-0.023100,-0.095006,-0.016776,-0.011658,1.000000,0.000161,0.000023,-0.000116,0.573402,0.255902,0.705950,-0.327657,-127.051385,77.763857,-176.090271
05942,-9.508036,-1.680427,-1.188476,0.009872,-0.062527,-0.084632,0.022096,-0.000219,-0.024507,-0.095082,-0.016791,-0.011887,1.000000,0.000110,-0.000001,-0.000123,0.573375,0.255902,0.705914,-0.327780,-127.003205,77.759679,-176.053316
