// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
45152,-9.429876,-1.336689,-1.541192,-0.202048,-0.070772,-0.167028,-0.104755,0.015725,-0.098423,-0.094307,-0.013329,-0.015398,1.000000,-0.000524,0.000079,-0.000492,0.517915,-0.551307,0.520871,0.395625,-133.439469,77.357405,-48.736411
45153,-9.447233,-1.406808,-1.521649,-0.140234,-0.050907,-0.141986,-0.108380,0.020958,-0.100262,-0.094481,-0.014029,-0.015199,1.000000,-0.000542,0.000105,-0.000501,0.517759,-0.551851,0.520446,0.395628,-133.369305,77.313719,-48.601342
45154,-9.434617,-1.432561,-1.512209,-0.118858,-0.042386,-0.151679,-0.102745,0.014121,-0.101335,-0.094354,-0.014286,-0.015108,1.000000,-0.000514,0.000071,-0.000507,0.517634,-0.552369,0.520013,0.395638,-133.284687,77.272648,-48.454312
45155,-9.406395,-1.568337,-1.530141,0.010207,-0.071905,-0.154738,-0.102797,0.017439,-0.098765,-0.094073,-0.015645,-0.015285,1.000000,-0.000514,0.000087,-0.000494,0.517500,-0.552888,0.519594,0.395640,-133.208858,77.230887,-48.316669
45156,-9.459480,-1.541799,-1.484515,-0.025577,-0.012922,-0.114138,-0.091969,0.018307,-0.093174,-0.094603,-0.015381,-0.014829,1.000000,-0.000460,0.000092,-0.000466,0.517376,-0.553366,0.519214,0.395632,-133.141651,77.191496,-48.193508
45157,-9.525184,-1.538391,-1.461014,-0.042612,0.024519,-0.054208,-0.091091,0.018000,-0.089520,-0.095260,-0.015348,-0.014595,1.000000,-0.000455,0.000090,-0.000448,0.517254,-0.553831,0.518845,0.395626,-133.077342,77.153310,-48.074516
45158,-9.454878,-1.424652,-1.494931,-0.153307,-0.009094,-0.136140,-0.105083,0.013783,-0.088791,-0.094556,-0.014212,-0.014935,1.000000,-0.000525,0.000069,-0.000444,0.517097,-0.554323,0.518439,0.395675,-133.017799,77.117411,-47.951466
45159,-9.437788,-1.416427,-1.442355,-0.159713,0.043534,-0.162243,-0.113202,0.019504,-0.093581,-0.094386,-0.014128,-0.014406,1.000000,-0.000566,0.000098,-0.000468,0.516917,-0.554858,0.518018,0.395711,-132.963032,77.076880,-47.829230
45160,-9.437318,-1.499240,-1.553141,-0.094635,-0.067935,-0.132327,-0.126296,0.015822,-0.091751,-0.094381,-0.014959,-0.015514,1.000000,-0.000631,0.000079,-0.000459,0.516701,-0.555415,0.517567,0.395801,-132.915480,77.038908,-47.705950
45161,-9.437020,-1.547167,-1.566419,-0.054503,-0.080940,-0.122733,-0.121665,0.016865,-0.093883,-0.094379,-0.015437,-0.015647,1.000000,-0.000608,0.000084,-0.000469,0.516505,-0.555967,0.517120,0.395866,-132.861302,76.999232,-47.579303
