PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
36205,-9.509452,2.370833,-0.084423,-0.093642,0.169181,-0.013694,-0.075253,-0.000735,0.020095,-0.095097,0.023698,-0.000853,1.000000,-0.000376,-0.000004,0.000100,-0.050837,-0.701551,0.133396,0.698174,94.425852,75.026800,-92.325244
36206,-9.502186,2.366469,-0.207709,0.030971,0.159912,-0.019407,-0.078415,0.020822,0.013017,-0.095024,0.023658,-0.002076,1.000000,-0.000392,0.000104,0.000065,-0.051209,-0.701569,0.133197,0.698167,94.408833,75.012642,-92.295576
36207,-9.473638,2.447107,-0.244174,0.057827,0.073522,-0.025500,-0.048628,0.024401,0.015064,-0.094739,0.024463,-0.002436,1.000000,-0.000243,0.000122,0.000075,-0.051486,-0.701605,0.133105,0.698128,94.415977,74.997431,-92.258356
36208,-9.375127,2.559827,-0.221571,0.020681,-0.055113,-0.092021,-0.017056,0.026136,0.009161,-0.093753,0.025594,-0.002206,1.000000,-0.000085,0.000131,0.000046,-0.051633,-0.701658,0.133105,0.698063,94.446019,74.985245,-92.216368
36209,-9.300484,2.639699,-0.074798,-0.136670,-0.131929,-0.146431,0.013706,0.027829,0.017141,-0.093007,0.026389,-0.000733,1.000000,0.000069,0.000139,0.000086,-0.051700,-0.701721,0.133237,0.697970,94.495700,74.968685,-92.172080
36210,-9.193559,2.642053,-0.043511,-0.171622,-0.154967,-0.249718,0.020355,0.037590,0.025576,-0.091939,0.026409,-0.000415,1.000000,0.000102,0.000188,0.000128,-0.051781,-0.701814,0.133422,0.697836,94.568564,74.946586,-92.107927
36211,-9.181038,2.654285,-0.066786,-0.153318,-0.168676,-0.258150,0.003731,0.048441,0.027732,-0.091814,0.026530,-0.000645,1.000000,0.000019,0.000242,0.000139,-0.051934,-0.701938,0.133551,0.697674,94.654174,74.923000,-92.020503
36212,-9.232195,2.602027,-0.100528,-0.116920,-0.104936,-0.221577,-0.014594,0.054366,0.028547,-0.092326,0.026007,-0.000982,1.000000,-0.000073,0.000272,0.000143,-0.052159,-0.702078,0.133620,0.697504,94.741580,74.898363,-91.920542
36213,-9.236635,2.575560,-0.122793,-0.094881,-0.077002,-0.223679,-0.041079,0.050852,0.024007,-0.092370,0.025744,-0.001210,1.000000,-0.000205,0.000254,0.000120,-0.052458,-0.702202,0.133579,0.697364,94.806747,74.876723,-91.827680
36214,-9.253467,2.569606,-0.141359,-0.078215,-0.065474,-0.208568,-0.049305,0.050613,0.020080,-0.092538,0.025686,-0.001397,1.000000,-0.000247,0.000253,0.000100,-0.052773,-0.702325,0.133498,0.697232,94.867322,74.857037,-91.734884
36215,-9.222695,2.528064,-0.116319,-0.100458,-0.027645,-0.249640,-0.060472,0.039513,0.020543,-0.092230,0.025271,-0.001153,1.000000,-0.000302,0.000198,0.000103,-0.053121,-0.702407,0.133380,0.697146,94.897698,74.837883,-91.666537
36216,-9.203589,2.520791,-0.174243,-0.043154,-0.028890,-0.268679,-0.063169,0.034039,0.021141,-0.092039,0.025198,-0.001735,1.000000,-0.000316,0.000170,0.000106,-0.053477,-0.702467,0.133259,0.697081,94.914907,74.818375,-91.610418
36217,-9.214829,2.513134,-0.156856,-0.060129,-0.013381,-0.260215,-0.050379,0.030924,0.023679,-0.092152,0.025120,-0.001561,1.000000,-0.000252,0.000155,0.000118,-0.053794,-0.702519,0.133190,0.697018,94.932213,74.797840,-91.561595
36218,-9.218849,2.456210,-0.161119,-0.050370,0.045653,-0.271122,-0.032148,0.031749,0.032180,-0.092193,0.024547,-0.001601,1.000000,-0.000161,0.000159,0.000161,-0.054078,-0.702573,0.133216,0.696936,94.960172,74.772133,-91.512748
36219,-9.241296,2.409168,-0.110080,-0.097250,0.106835,-0.262981,-0.002666,0.034479,0.038805,-0.092418,0.024074,-0.001085,1.000000,-0.000013,0.000172,0.000194,-0.054283,-0.702640,0.133365,0.696825,95.009252,74.742774,-91.459314
36220,-9.329013,2.420944,-0.133762,-0.076916,0.121280,-0.174808,0.019818,0.038170,0.043275,-0.093296,0.024189,-0.001317,1.000000,0.000099,0.000191,0.000216,-0.054428,-0.702722,0.133610,0.696683,95.077996,74.710394,-91.399027
36221,-9.369859,2.458710,-0.147383,-0.070958,0.099898,-0.125262,0.047065,0.046166,0.042924,-0.093704,0.024567,-0.001446,1.000000,0.000235,0.000231,0.000215,-0.054480,-0.702840,0.133944,0.696496,95.178676,74.678050,-91.321620
36222,-9.434870,2.507386,-0.139875,-0.087987,0.076749,-0.050019,0.053110,0.047088,0.039162,-0.094354,0.025056,-0.001370,1.000000,0.000266,0.000235,0.000196,-0.054499,-0.702966,0.134287,0.696302,95.285184,74.647501,-91.241937
36223,-9.494710,2.584811,-0.114337,-0.126375,0.026539,0.027392,0.057153,0.044599,0.038920,-0.094952,0.025830,-0.001115,1.000000,0.000286,0.000223,0.000195,-0.054501,-0.703084,0.134642,0.696114,95.388425,74.617451,-91.167846
36224,-9.483563,2.676832,-0.099323,-0.156167,-0.057603,0.040512,0.047428,0.042393,0.037705,-0.094841,0.026751,-0.000967,1.000000,0.000237,0.000212,0.000189,-0.054532,-0.703192,0.134962,0.695940,95.481520,74.587919,-91.098664
36225,-9.541831,2.706194,-0.128015,-0.134163,-0.068350,0.105162,0.024700,0.033345,0.037008,-0.095424,0.027044,-0.001261,1.000000,0.000123,0.000167,0.000185,-0.054633,-0.703263,0.135201,0.695814,95.542670,74.559519,-91.048928
36226,-9.504159,2.646856,-0.140590,-0.117415,-0.018076,0.053443,0.001190,0.031418,0.034808,-0.095046,0.026452,-0.001391,1.000000,0.000006,0.000157,0.000174,-0.054809,-0.703322,0.135353,0.695711,95.586698,74.532202,-91.003143
36227,-9.545051,2.684021,-0.152234,-0.111419,-0.039409,0.103016,-0.029097,0.031117,0.034150,-0.095455,0.026824,-0.001511,1.000000,-0.000145,0.000156,0.000171,-0.055089,-0.703372,0.135394,0.695630,95.612677,74.505537,-90.957904
36228,-9.542980,2.700746,-0.240603,-0.025810,-0.061093,0.107796,-0.059109,0.022275,0.035777,-0.095435,0.026990,-0.002403,1.000000,-0.000296,0.000111,0.000179,-0.055474,-0.703382,0.135342,0.695600,95.602934,74.478173,-90.932057
