PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
36205,-4.050828,1.872814,9.450463,0.283144,-0.050396,0.634570,-0.067312,-0.042303,0.032425,-0.040531,0.018753,0.094490,1.000000,-0.000337,-0.000212,0.000162,0.327497,0.206047,-0.013035,-0.922020,9.860321,21.803260,-138.986814
36206,-3.798740,1.682440,9.245771,0.081141,-0.031499,0.323274,-0.068702,-0.071232,0.037765,-0.038024,0.016849,0.092438,1.000000,-0.000344,-0.000356,0.000189,0.327798,0.205576,-0.012861,-0.922020,9.825403,21.756240,-138.964509
36207,-3.623718,1.569995,8.967006,0.007790,-0.016990,-0.014572,-0.034341,-0.063943,0.034164,-0.036269,0.015709,0.089656,1.000000,-0.000172,-0.000320,0.000171,0.328049,0.205195,-0.012829,-0.922017,9.809537,21.713754,-138.943627
36208,-3.487049,1.487003,8.923031,-0.115397,-0.027546,-0.118509,-0.007997,-0.036599,0.028553,-0.034889,0.014869,0.089223,1.000000,-0.000040,-0.000183,0.000143,0.328247,0.204984,-0.012868,-0.921992,9.808654,21.687199,-138.923265
36209,-3.484685,1.504465,8.818378,-0.064812,-0.028171,-0.212414,0.023925,-0.004153,0.027968,-0.034851,0.015029,0.088185,1.000000,0.000120,-0.000021,0.000140,0.328413,0.204975,-0.013000,-0.921933,9.827083,21.679073,-138.899868
36210,-3.588304,1.524329,8.984258,-0.046419,0.004535,-0.019107,0.041465,0.010528,0.032127,-0.035881,0.015219,0.089848,1.000000,0.000207,0.000053,0.000161,0.328581,0.205062,-0.013194,-0.921852,9.857161,21.678760,-138.872385
36211,-3.619959,1.609816,9.034824,0.004327,-0.045165,0.052484,0.039870,0.013247,0.034765,-0.036196,0.016074,0.090354,1.000000,0.000199,0.000066,0.000174,0.328762,0.205158,-0.013378,-0.921763,9.886927,21.679768,-138.843029
36212,-3.636039,1.645117,9.010331,0.043925,-0.057047,0.041655,0.020220,0.003893,0.042419,-0.036362,0.016434,0.090106,1.000000,0.000101,0.000019,0.000212,0.328999,0.205179,-0.013495,-0.921672,9.906880,21.674671,-138.809998
36213,-3.593197,1.513629,8.956336,-0.044690,0.028329,-0.044612,0.001302,-0.005036,0.048044,-0.035938,0.015127,0.089563,1.000000,0.000007,-0.000025,0.000240,0.329280,0.205127,-0.013545,-0.921582,9.916803,21.664031,-138.774520
36214,-3.529958,1.485781,8.901360,-0.083763,0.019882,-0.122747,-0.000694,-0.010894,0.046685,-0.035308,0.014850,0.089012,1.000000,-0.000003,-0.000054,0.000233,0.329556,0.205045,-0.013594,-0.921501,9.925136,21.650155,-138.740476
36215,-3.480727,1.409337,8.867491,-0.150375,0.055482,-0.184167,-0.000513,-0.005340,0.043539,-0.034813,0.014086,0.088674,1.000000,-0.000003,-0.000027,0.000218,0.329818,0.204989,-0.013631,-0.921419,9.932981,21.639779,-138.707775
36216,-3.439316,1.374760,8.867804,-0.200319,0.058961,-0.204712,0.004644,0.005207,0.043909,-0.034394,0.013738,0.088679,1.000000,0.000023,0.000026,0.000220,0.330078,0.204990,-0.013676,-0.921326,9.944366,21.635252,-138.673709
36217,-3.544574,1.375230,8.934650,-0.154047,0.117391,-0.104664,0.017113,0.022323,0.038177,-0.035438,0.013738,0.089352,1.000000,0.000086,0.000112,0.000191,0.330299,0.205091,-0.013743,-0.921223,9.962190,21.641005,-138.641322
36218,-3.576809,1.459173,8.985164,-0.103247,0.067750,-0.033083,0.024357,0.019762,0.036631,-0.035762,0.014574,0.089857,1.000000,0.000122,0.000099,0.000183,0.330505,0.205192,-0.013848,-0.921125,9.983810,21.645394,-138.610119
36219,-3.679681,1.414885,9.090196,-0.101407,0.155865,0.093828,0.017612,0.015827,0.033950,-0.036792,0.014135,0.090906,1.000000,0.000088,0.000079,0.000170,0.330706,0.205264,-0.013924,-0.921036,10.000725,21.647881,-138.580987
36220,-3.697335,1.414849,9.072037,-0.083999,0.170464,0.083667,0.016475,0.010716,0.027038,-0.036970,0.014136,0.090724,1.000000,0.000082,0.000054,0.000135,0.330876,0.205311,-0.013996,-0.920963,10.015322,21.648103,-138.556571
36221,-3.674181,1.378495,9.054304,-0.117070,0.188324,0.052966,0.023731,0.012041,0.020549,-0.036738,0.013770,0.090547,1.000000,0.000119,0.000060,0.000103,0.331008,0.205376,-0.014093,-0.920899,10.032593,21.649776,-138.535978
36222,-3.692020,1.378730,9.036033,-0.099672,0.202925,0.042803,0.029910,0.013492,0.007536,-0.036915,0.013772,0.090365,1.000000,0.000150,0.000067,0.000038,0.331075,0.205460,-0.014203,-0.920855,10.050626,21.653500,-138.523099
