PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
26880,-4.465629,1.028741,8.757866,0.007926,-0.001446,0.071658,0.002545,0.008573,-0.012604,-0.044652,0.010289,0.087581,1.000000,0.000013,0.000043,-0.000063,0.405568,-0.188595,0.145937,0.882411,6.729564,26.821407,132.238023
26881,-4.496376,1.054382,8.742848,0.009646,-0.044028,0.074905,0.007239,0.001562,-0.007794,-0.044963,0.010542,0.087429,1.000000,0.000036,0.000008,-0.000039,0.405551,-0.188583,0.145937,0.882421,6.730673,26.820002,132.240477
26882,-4.524900,1.002023,8.708726,0.075059,-0.043902,0.052054,0.013548,-0.000713,-0.005652,-0.045249,0.010016,0.087088,1.000000,0.000068,-0.000004,-0.000028,0.405527,-0.188548,0.145962,0.882436,6.736084,26.817174,132.244888
26883,-4.477420,1.027799,8.736174,0.022142,-0.017511,0.057652,0.015942,-0.009298,-0.003333,-0.044778,0.010272,0.087360,1.000000,0.000080,-0.000046,-0.000017,0.405507,-0.188467,0.145982,0.882459,6.743093,26.809289,132.249368
26884,-4.509248,1.031100,8.726163,0.042946,-0.045029,0.063472,0.021148,-0.015405,-0.001469,-0.045099,0.010302,0.087259,1.000000,0.000106,-0.000077,-0.000007,0.405490,-0.188348,0.146017,0.882486,6.753546,26.797966,132.254319
26885,-4.510264,1.009123,8.731177,0.062248,-0.030441,0.066050,0.024056,-0.023086,-0.002097,-0.045113,0.010081,0.087308,1.000000,0.000120,-0.000115,-0.000010,0.405482,-0.188189,0.146046,0.882519,6.765086,26.782152,132.258541
26886,-4.453536,1.005100,8.731577,0.034855,0.008615,0.040401,0.027866,-0.034491,-0.002122,-0.044550,0.010039,0.087309,1.000000,0.000139,-0.000172,-0.000011,0.405485,-0.187972,0.146071,0.882560,6.778639,26.759868,132.262143
26887,-4.506945,0.902323,8.665177,0.165398,0.009379,-0.005313,0.043495,-0.044675,0.007675,-0.045089,0.009003,0.086644,1.000000,0.000217,-0.000223,0.000038,0.405468,-0.187672,0.146151,0.882618,6.803373,26.731106,132.270940
26888,-4.466463,0.836917,8.711631,0.188750,0.095930,0.010622,0.069183,-0.046752,0.011300,-0.044685,0.008337,0.087109,1.000000,0.000346,-0.000234,0.000056,0.405463,-0.187305,0.146348,0.882666,6.844211,26.700855,132.281648
26889,-4.518944,0.827576,8.718230,0.235692,0.071084,0.038843,0.103611,-0.051532,0.023553,-0.045213,0.008225,0.087175,1.000000,0.000518,-0.000258,0.000118,0.405437,-0.186840,0.146695,0.882719,6.907661,26.667092,132.299976
26890,-4.564755,0.883520,8.657763,0.245464,-0.015930,0.011462,0.141280,-0.055944,0.028327,-0.045673,0.008768,0.086571,1.000000,0.000706,-0.000280,0.000142,0.405429,-0.186276,0.147206,0.882756,6.994124,26.630524,132.320834
26891,-4.344807,1.026886,8.805525,-0.013125,0.105133,0.059388,0.164852,-0.058950,0.043912,-0.043476,0.010187,0.088051,1.000000,0.000824,-0.000295,0.000220,0.405376,-0.185639,0.147826,0.882811,7.098125,26.591063,132.351403
