PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
35193,-9.360048,-1.892459,-1.477482,0.027137,0.146966,-0.150777,0.026198,-0.024995,-0.012745,-0.093600,-0.018917,-0.014789,1.000000,0.000131,-0.000125,-0.000064,-0.310555,0.725005,-0.235015,-0.568059,-131.421838,75.850619,2.826408
35194,-9.443844,-1.999819,-1.436230,0.055306,0.247495,-0.056463,0.017021,-0.029773,-0.012049,-0.094438,-0.019991,-0.014378,1.000000,0.000085,-0.000149,-0.000060,-0.310660,0.724882,-0.235000,-0.568165,-131.349972,75.863212,2.891004
35195,-9.424492,-2.187953,-1.299353,0.100087,0.473799,-0.062713,0.040462,-0.027291,-0.011895,-0.094244,-0.021871,-0.013011,1.000000,0.000202,-0.000136,-0.000059,-0.310850,0.724728,-0.235054,-0.568235,-131.266953,75.874875,2.952983
35196,-9.447674,-2.065030,-1.390452,0.073366,0.319077,-0.048004,0.080183,-0.024586,-0.005309,-0.094476,-0.020642,-0.013924,1.000000,0.000401,-0.000123,-0.000027,-0.311158,0.724513,-0.235251,-0.568259,-131.177644,75.888369,2.998241
35197,-9.436940,-2.005555,-1.334289,-0.000515,0.314513,-0.078239,0.079953,-0.025772,-0.002951,-0.094368,-0.020049,-0.013363,1.000000,0.000400,-0.000129,-0.000015,-0.311465,0.724291,-0.235451,-0.568291,-131.087515,75.903252,3.044172
35198,-9.486128,-1.944802,-1.312677,-0.066479,0.283904,-0.045037,0.101621,-0.016895,0.001575,-0.094860,-0.019442,-0.013145,1.000000,0.000508,-0.000084,0.000008,-0.311822,0.724057,-0.235746,-0.568272,-131.009228,75.916793,3.065397
35199,-9.444806,-1.749830,-1.376070,-0.146395,0.100215,-0.110710,0.094481,-0.023055,0.001679,-0.094446,-0.017493,-0.013780,1.000000,0.000472,-0.000115,0.000008,-0.312165,0.723814,-0.236009,-0.568284,-130.922107,75.932628,3.099627
35200,-9.406727,-1.807659,-1.336791,-0.120523,0.166043,-0.143197,0.055897,-0.026717,-0.003293,-0.094066,-0.018071,-0.013386,1.000000,0.000279,-0.000134,-0.000016,-0.312382,0.723629,-0.236140,-0.568346,-130.845537,75.947729,3.146086
35201,-9.394898,-1.993973,-1.290001,-0.016659,0.326137,-0.127777,0.051349,-0.024622,-0.003505,-0.093948,-0.019935,-0.012917,1.000000,0.000257,-0.000123,-0.000018,-0.312584,0.723454,-0.236259,-0.568407,-130.772290,75.961899,3.191556
35202,-9.363876,-1.915692,-1.478552,0.066237,0.133587,-0.142324,0.071162,-0.022181,0.000354,-0.093637,-0.019152,-0.014803,1.000000,0.000356,-0.000111,0.000002,-0.312841,0.723254,-0.236454,-0.568440,-130.700057,75.976858,3.224522
35203,-9.350801,-1.995770,-1.430821,0.095757,0.220451,-0.147799,0.061456,-0.025897,-0.006459,-0.093507,-0.019950,-0.014326,1.000000,0.000307,-0.000129,-0.000032,-0.313090,0.723063,-0.236588,-0.568489,-130.614088,75.990216,3.277237
35204,-9.382987,-2.047684,-1.372398,0.087316,0.294700,-0.116170,0.102820,-0.016267,-0.003094,-0.093829,-0.020468,-0.013742,1.000000,0.000514,-0.000081,-0.000015,-0.313463,0.722834,-0.236870,-0.568458,-130.528652,76.001447,3.305115
35205,-9.414865,-1.869476,-1.482994,0.031852,0.087443,-0.100570,0.119754,-0.015969,-0.002660,-0.094148,-0.018685,-0.014849,1.000000,0.000599,-0.000080,-0.000013,-0.313901,0.722575,-0.237200,-0.568408,-130.432145,76.012693,3.334093
35206,-9.398379,-1.888155,-1.474044,0.045482,0.103412,-0.114508,0.120952,-0.018638,0.005045,-0.093982,-0.018875,-0.014761,1.000000,0.000605,-0.000093,0.000025,-0.314319,0.722300,-0.237559,-0.568376,-130.344104,76.028335,3.353945
35207,-9.384146,-1.861409,-1.425477,0.000636,0.117044,-0.140804,0.124892,-0.015290,0.011192,-0.093839,-0.018610,-0.014274,1.000000,0.000624,-0.000076,0.000056,-0.314735,0.722019,-0.237954,-0.568338,-130.266265,76.045353,3.360623
35208,-9.355179,-1.806650,-1.332930,-0.090142,0.144180,-0.193377,0.113743,-0.008053,0.005211,-0.093551,-0.018061,-0.013343,1.000000,0.000569,-0.000040,0.000026,-0.315114,0.721785,-0.238310,-0.568277,-130.201031,76.057137,3.361229
35209,-9.331771,-1.796561,-1.371467,-0.063345,0.107258,-0.211907,0.108726,-0.008281,0.009740,-0.093316,-0.017963,-0.013728,1.000000,0.000544,-0.000041,0.000049,-0.315467,0.721550,-0.238664,-0.568230,-130.142314,76.070943,3.357840
35210,-9.343866,-1.802424,-1.348378,-0.075128,0.126145,-0.202634,0.089144,-0.005651,0.009688,-0.093437,-0.018023,-0.013494,1.000000,0.000446,-0.000028,0.000048,-0.315742,0.721355,-0.238970,-0.568197,-130.101994,76.083801,3.347298
35211,-9.373982,-1.897393,-1.330521,-0.025076,0.202520,-0.158658,0.078543,-0.005019,0.011244,-0.093738,-0.018974,-0.013315,1.000000,0.000393,-0.000025,0.000056,-0.315977,0.721175,-0.239249,-0.568176,-130.068563,76.097061,3.335625
35212,-9.379145,-1.875169,-1.354548,-0.023669,0.168631,-0.153991,0.081431,-0.001249,0.008466,-0.093791,-0.018750,-0.013554,1.000000,0.000407,-0.000006,0.000042,-0.316222,0.721006,-0.239535,-0.568134,-130.038599,76.107764,3.318968
35213,-9.306881,-1.926767,-1.411297,0.070119,0.162636,-0.205874,0.080831,-0.001345,0.014404,-0.093067,-0.019269,-0.014121,1.000000,0.000404,-0.000007,0.000072,-0.316453,0.720829,-0.239838,-0.568102,-130.014995,76.121058,3.295815
35214,-9.346115,-1.909003,-1.341028,0.003556,0.200436,-0.181887,0.082334,0.002215,0.012413,-0.093460,-0.019090,-0.013417,1.000000,0.000412,0.000011,0.000062,-0.316686,0.720664,-0.240146,-0.568052,-129.996550,76.132220,3.266763
