PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
20049,-2.919497,0.906189,9.417890,0.126647,-0.012250,0.088076,-0.006486,-0.043879,-0.093188,-0.029211,0.009079,0.094172,1.000000,-0.000032,-0.000219,-0.000466,0.699545,0.133948,0.078020,-0.697573,4.717455,17.219613,-89.123591
20050,-2.870133,0.917657,9.444668,0.140870,-0.063254,0.099813,-0.014767,-0.047512,-0.093146,-0.028719,0.009197,0.094439,1.000000,-0.000074,-0.000238,-0.000466,0.699289,0.133659,0.077973,-0.697890,4.689356,17.194161,-89.175918
20051,-2.913797,0.997459,9.410080,0.228038,-0.007936,0.085933,-0.036761,-0.044045,-0.089142,-0.029154,0.010005,0.094093,1.000000,-0.000184,-0.000220,-0.000446,0.699059,0.133308,0.078013,-0.698183,4.649421,17.170643,-89.225873
20052,-2.954248,0.898703,9.452169,0.133525,0.023461,0.130167,-0.062153,-0.044756,-0.085988,-0.029560,0.009029,0.094512,1.000000,-0.000311,-0.000224,-0.000430,0.698858,0.132866,0.078136,-0.698454,4.595546,17.146362,-89.273700
20053,-2.944185,0.840612,9.377690,0.090216,0.040574,0.051699,-0.062063,-0.042417,-0.081501,-0.029458,0.008447,0.093768,1.000000,-0.000310,-0.000212,-0.000408,0.698671,0.132435,0.078265,-0.698710,4.542539,17.123342,-89.318955
20054,-2.921276,0.776788,9.424595,0.033107,0.009973,0.084738,-0.087566,-0.047589,-0.076038,-0.029232,0.007820,0.094236,1.000000,-0.000438,-0.000238,-0.000380,0.698522,0.131898,0.078460,-0.698937,4.475881,17.096908,-89.360885
20055,-2.928116,0.695100,9.370639,-0.033780,0.037529,0.029230,-0.081406,-0.038026,-0.073383,-0.029296,0.007000,0.093698,1.000000,-0.000407,-0.000190,-0.000367,0.698374,0.131418,0.078666,-0.699153,4.413332,17.075942,-89.401019
20056,-2.987377,0.648218,9.367729,-0.070812,0.099942,0.040431,-0.080808,-0.049151,-0.064030,-0.029895,0.006530,0.093667,1.000000,-0.000404,-0.000246,-0.000320,0.698263,0.130904,0.078824,-0.699342,4.352683,17.048000,-89.435792
20057,-2.866082,0.689531,9.433115,-0.023811,-0.030803,0.070228,-0.070461,-0.049022,-0.062318,-0.028682,0.006937,0.094322,1.000000,-0.000352,-0.000245,-0.000312,0.698150,0.130428,0.078946,-0.699531,4.298248,17.020194,-89.469754
20058,-2.927561,0.693367,9.452352,-0.012738,0.027214,0.106860,-0.077665,-0.048172,-0.055304,-0.029296,0.006978,0.094514,1.000000,-0.000388,-0.000241,-0.000277,0.698067,0.129931,0.079091,-0.699689,4.240986,16.992380,-89.499170
20059,-2.911219,0.682981,9.433197,-0.012653,0.022128,0.083080,-0.068621,-0.046741,-0.050603,-0.029133,0.006870,0.094323,1.000000,-0.000343,-0.000234,-0.000253,0.697992,0.129474,0.079207,-0.699835,4.189729,16.965322,-89.525968
20060,-2.905358,0.748580,9.457733,0.059752,0.013263,0.109330,-0.074283,-0.046118,-0.047658,-0.029074,0.007528,0.094568,1.000000,-0.000371,-0.000231,-0.000238,0.697933,0.129000,0.079342,-0.699967,4.135808,16.938312,-89.550708
20061,-2.824716,0.849252,9.466029,0.169303,-0.063069,0.100602,-0.077229,-0.043642,-0.052987,-0.028266,0.008537,0.094651,1.000000,-0.000386,-0.000218,-0.000265,0.697853,0.128522,0.079501,-0.700116,4.079284,16.913074,-89.578736
