// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
35864,-9.486378,-1.412935,-1.111887,0.138358,-0.025591,-0.158452,0.005671,0.040069,-0.012790,-0.094867,-0.014123,-0.011100,1.000000,0.000028,0.000200,-0.000064,0.121055,0.700715,0.247245,-0.658190,-123.787645,79.194035,86.541179
35865,-9.491464,-1.500964,-1.130154,0.106702,0.055033,-0.137791,-0.014176,0.042839,-0.016875,-0.094918,-0.015002,-0.011280,1.000000,-0.000071,0.000214,-0.000084,0.121042,0.700819,0.247344,-0.658044,-123.878169,79.178856,86.458281
35866,-9.447313,-1.587412,-1.094508,0.029547,0.116754,-0.171368,-0.010816,0.044570,-0.014172,-0.094477,-0.015868,-0.010923,1.000000,-0.000054,0.000223,-0.000071,0.121048,0.700928,0.247444,-0.657889,-123.977049,79.164729,86.368722
35867,-9.454019,-1.585340,-1.158108,0.082202,0.142928,-0.158372,-0.000141,0.045848,-0.014898,-0.094544,-0.015846,-0.011559,1.000000,-0.000001,0.000229,-0.000074,0.120989,0.701054,0.247492,-0.657749,-124.069811,79.149472,86.275349
35868,-9.434307,-1.481788,-1.138775,0.114978,0.046943,-0.195867,0.012081,0.049310,-0.011590,-0.094347,-0.014812,-0.011365,1.000000,0.000060,0.000247,-0.000058,0.120896,0.701202,0.247489,-0.657609,-124.169913,79.134971,86.167553
35869,-9.477164,-1.332720,-1.119275,0.169640,-0.099459,-0.179054,0.015439,0.051043,-0.008883,-0.094775,-0.013322,-0.011170,1.000000,0.000077,0.000255,-0.000044,0.120795,0.701361,0.247467,-0.657466,-124.276125,79.120829,86.051386
35870,-9.499038,-1.299027,-1.159393,0.217480,-0.114554,-0.158519,-0.004347,0.048871,-0.013720,-0.094994,-0.012984,-0.011570,1.000000,-0.000022,0.000244,-0.000069,0.120753,0.701495,0.247524,-0.657309,-124.380419,79.105390,85.948727
35871,-9.509451,-1.368109,-1.207194,0.219762,-0.036852,-0.132344,-0.020379,0.054827,-0.014801,-0.095099,-0.013675,-0.012044,1.000000,-0.000102,0.000274,-0.000074,0.120753,0.701638,0.247644,-0.657112,-124.505859,79.087141,85.833866
35872,-9.521871,-1.493056,-1.208102,0.152892,0.064410,-0.100467,-0.024706,0.055114,-0.017415,-0.095223,-0.014924,-0.012053,1.000000,-0.000124,0.000276,-0.000087,0.120762,0.701776,0.247784,-0.656910,-124.630266,79.067849,85.722597
35873,-9.484822,-1.576024,-1.233056,0.128493,0.151118,-0.121104,-0.028915,0.058135,-0.016238,-0.094853,-0.015754,-0.012301,1.000000,-0.000145,0.000291,-0.000081,0.120784,0.701922,0.247939,-0.656691,-124.765406,79.047748,85.602823
35874,-9.495371,-1.580064,-1.217413,0.108425,0.141901,-0.111714,-0.018572,0.054387,-0.016105,-0.094958,-0.015794,-0.012147,1.000000,-0.000093,0.000272,-0.000081,0.120777,0.702063,0.248054,-0.656498,-124.885944,79.029205,85.491904
35875,-9.455386,-1.567122,-1.116173,0.024184,0.085574,-0.163950,-0.006812,0.056393,-0.013097,-0.094558,-0.015665,-0.011135,1.000000,-0.000034,0.000282,-0.000065,0.120733,0.702221,0.248124,-0.656311,-125.008649,79.011052,85.371880
35876,-9.475385,-1.517952,-1.126360,0.053258,0.042475,-0.150848,0.003979,0.060412,-0.010002,-0.094758,-0.015175,-0.011235,1.000000,0.000020,0.000302,-0.000050,0.120659,0.702402,0.248148,-0.656121,-125.140376,78.993284,85.236385
35877,-9.470672,-1.447613,-1.148564,0.103582,-0.007937,-0.163976,0.000737,0.061420,-0.008912,-0.094711,-0.014472,-0.011457,1.000000,0.000004,0.000307,-0.000045,0.120597,0.702586,0.248181,-0.655923,-125.277128,78.975325,85.097631
