PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
35864,-3.212552,0.454172,9.360939,0.057040,-0.013969,0.094406,0.017938,0.037735,-0.006931,-0.032108,0.004534,0.093616,1.000000,0.000090,0.000189,-0.000035,-0.289789,-0.161548,-0.027632,0.942954,2.512285,18.703979,-145.419696
35865,-3.201278,0.436296,9.357087,0.035968,-0.005771,0.086418,0.015606,0.039967,-0.012686,-0.031994,0.004358,0.093578,1.000000,0.000078,0.000200,-0.000063,-0.289773,-0.161733,-0.027645,0.942926,2.517292,18.724965,-145.419256
35866,-3.217483,0.431750,9.324227,0.052305,0.010470,0.060355,0.017601,0.034443,-0.008890,-0.032159,0.004311,0.093248,1.000000,0.000088,0.000172,-0.000044,-0.289789,-0.161892,-0.027639,0.942894,2.524339,18.742359,-145.414766
35867,-3.220596,0.433258,9.323083,0.052786,0.010450,0.060353,0.021066,0.031490,-0.009387,-0.032191,0.004324,0.093236,1.000000,0.000105,0.000157,-0.000047,-0.289785,-0.162045,-0.027612,0.942870,2.533045,18.758409,-145.412552
35868,-3.201480,0.480384,9.342713,0.055576,-0.042122,0.074762,0.018548,0.026565,-0.008116,-0.032002,0.004796,0.093432,1.000000,0.000093,0.000133,-0.000041,-0.289799,-0.162169,-0.027588,0.942845,2.540670,18.771290,-145.408615
35869,-3.224460,0.493696,9.366876,0.071451,-0.044357,0.105588,0.021848,0.020874,-0.007991,-0.032235,0.004928,0.093673,1.000000,0.000109,0.000104,-0.000040,-0.289803,-0.162274,-0.027541,0.942827,2.550007,18.781228,-145.405837
35870,-3.205699,0.483397,9.341110,0.056585,-0.042108,0.074756,0.014263,0.020211,-0.010926,-0.032047,0.004829,0.093415,1.000000,0.000071,0.000101,-0.000055,-0.289800,-0.162362,-0.027529,0.942813,2.554565,18.790527,-145.404741
35871,-3.185718,0.463555,9.392075,0.013523,-0.044150,0.115687,0.013372,0.018391,-0.011363,-0.031848,0.004631,0.093924,1.000000,0.000067,0.000092,-0.000057,-0.289795,-0.162442,-0.027521,0.942801,2.558368,18.799130,-145.404067
35872,-3.215080,0.477726,9.362306,0.051418,-0.036102,0.097599,0.010610,0.018205,-0.006603,-0.032142,0.004773,0.093626,1.000000,0.000053,0.000091,-0.000033,-0.289817,-0.162515,-0.027520,0.942782,2.561677,18.807173,-145.400190
35873,-3.220310,0.446001,9.350096,0.039961,-0.005721,0.086403,0.009010,0.019513,-0.011305,-0.032194,0.004458,0.093504,1.000000,0.000045,0.000098,-0.000057,-0.289815,-0.162594,-0.027534,0.942768,2.563002,18.816416,-145.399449
35874,-3.203661,0.459717,9.358558,0.030855,-0.027894,0.089618,0.008843,0.016771,-0.010683,-0.032029,0.004595,0.093588,1.000000,0.000044,0.000084,-0.000053,-0.289818,-0.162658,-0.027542,0.942756,2.564484,18.823743,-145.398394
35875,-3.220403,0.413027,9.391426,0.007039,0.014453,0.124123,0.009159,0.020044,-0.008719,-0.032194,0.004127,0.093918,1.000000,0.000046,0.000100,-0.000044,-0.289828,-0.162740,-0.027554,0.942739,2.566404,18.833223,-145.396074
35876,-3.192161,0.441861,9.354844,0.010285,-0.019696,0.081642,0.011895,0.015816,-0.007066,-0.031914,0.004414,0.093551,1.000000,0.000059,0.000079,-0.000035,-0.289845,-0.162804,-0.027544,0.942723,2.570333,18.839915,-145.392845
35877,-3.208682,0.461767,9.356737,0.032345,-0.027903,0.089614,0.011018,0.016201,-0.010709,-0.032079,0.004614,0.093570,1.000000,0.000055,0.000081,-0.000054,-0.289845,-0.162870,-0.027543,0.942711,2.572897,18.847247,-145.391832
35878,-3.201057,0.436263,9.376223,0.005112,-0.013707,0.104491,0.017137,0.016501,-0.006680,-0.032003,0.004356,0.093765,1.000000,0.000086,0.000083,-0.000033,-0.289860,-0.162945,-0.027509,0.942695,2.579915,18.854324,-145.388316
35879,-3.230214,0.450795,9.346449,0.042956,-0.005679,0.086390,0.014803,0.016525,-0.009237,-0.032294,0.004503,0.093467,1.000000,0.000074,0.000083,-0.000046,-0.289864,-0.163019,-0.027490,0.942681,2.584939,18.861804,-145.386402
35880,-3.179632,0.459529,9.361730,0.002681,-0.041897,0.084860,0.020126,0.007539,-0.008513,-0.031793,0.004587,0.093619,1.000000,0.000101,0.000038,-0.000043,-0.289869,-0.163056,-0.027430,0.942675,2.593233,18.863802,-145.384266
35881,-3.226795,0.461201,9.322955,0.050125,-0.011644,0.063534,0.020196,0.017745,-0.006267,-0.032260,0.004604,0.093233,1.000000,0.000101,0.000089,-0.000031,-0.289882,-0.163144,-0.027384,0.942657,2.601940,18.871902,-145.380520
35882,-3.221735,0.461214,9.376433,0.028696,-0.021864,0.112457,0.016710,0.018485,-0.002570,-0.032209,0.004605,0.093768,1.000000,0.000084,0.000092,-0.000013,-0.289916,-0.163228,-0.027352,0.942633,2.609542,18.880013,-145.374456
35883,-3.230278,0.464355,9.321593,0.051120,-0.011625,0.063529,0.020925,0.019016,-0.008410,-0.032294,0.004635,0.093219,1.000000,0.000105,0.000095,-0.000042,-0.289919,-0.163322,-0.027306,0.942617,2.618261,18.888896,-145.371968
35884,-3.261974,0.437865,9.356881,0.048882,0.022587,0.106008,0.017276,0.017021,-0.004092,-0.032612,0.004371,0.093572,1.000000,0.000086,0.000085,-0.000020,-0.289945,-0.163400,-0.027270,0.942597,2.625879,18.896213,-145.366864
35885,-3.218728,0.448647,9.317820,0.030527,-0.003445,0.055561,0.024857,0.019876,-0.004351,-0.032178,0.004476,0.093182,1.000000,0.000124,0.000099,-0.000022,-0.289964,-0.163505,-0.027204,0.942575,2.637655,18.905480,-145.361893
35886,-3.240971,0.462401,9.342158,0.046456,-0.005592,0.086374,0.021304,0.010414,-0.002896,-0.032405,0.004615,0.093424,1.000000,0.000107,0.000052,-0.000014,-0.289993,-0.163558,-0.027138,0.942558,2.647758,18.908988,-145.356271
35887,-3.205386,0.490737,9.359863,0.027775,-0.050053,0.092820,0.020591,0.013529,-0.007162,-0.032047,0.004899,0.093601,1.000000,0.000103,0.000068,-0.000036,-0.290003,-0.163626,-0.027086,0.942545,2.656483,18.914695,-145.353176
35888,-3.224957,0.479262,9.350259,0.037871,-0.027796,0.089594,0.022033,0.011685,-0.005040,-0.032244,0.004783,0.093505,1.000000,0.000110,0.000058,-0.000025,-0.290022,-0.163686,-0.027020,0.942531,2.666601,18.918991,-145.348768
35889,-3.207604,0.494490,9.358906,0.028782,-0.050038,0.092817,0.023325,0.009302,-0.005501,-0.032072,0.004935,0.093591,1.000000,0.000117,0.000047,-0.000028,-0.290038,-0.163738,-0.026947,0.942519,2.677181,18.922234,-145.344784
35890,-3.239354,0.477211,9.317793,0.054613,-0.011525,0.063511,0.021717,0.008404,-0.006999,-0.032389,0.004763,0.093180,1.000000,0.000109,0.000042,-0.000035,-0.290048,-0.163782,-0.026879,0.942510,2.686709,18.924703,-145.341717
35891,-3.212629,0.465959,9.346665,0.017761,-0.019651,0.081631,0.024043,0.008376,-0.004439,-0.032122,0.004649,0.093469,1.000000,0.000120,0.000042,-0.000022,-0.290068,-0.163831,-0.026801,0.942498,2.697901,18.927386,-145.337115
35892,-3.216800,0.435715,9.334820,0.006241,0.010751,0.070448,0.025497,0.008728,-0.005523,-0.032164,0.004346,0.093350,1.000000,0.000127,0.000044,-0.000028,-0.290082,-0.163882,-0.026715,0.942487,2.709891,18.930006,-145.333094
35893,-3.256848,0.436429,9.350227,0.031717,0.030795,0.098030,0.025644,0.009265,-0.002938,-0.032564,0.004353,0.093504,1.000000,0.000128,0.000046,-0.000015,-0.290108,-0.163938,-0.026629,0.942471,2.722304,18.933155,-145.327558
35894,-3.233567,0.459778,9.336333,0.028830,0.002627,0.078401,0.033207,0.009918,0.000015,-0.032331,0.004582,0.093366,1.000000,0.000166,0.000050,0.000000,-0.290142,-0.164007,-0.026504,0.942453,2.739805,18.936309,-145.320153
35895,-3.228579,0.403963,9.344660,-0.010502,0.047076,0.082122,0.032320,0.008099,-0.000421,-0.032282,0.004025,0.093449,1.000000,0.000162,0.000040,-0.000002,-0.290174,-0.164067,-0.026383,0.942436,2.756528,18.938718,-145.313126
35896,-3.201761,0.460569,9.342211,-0.001337,-0.011461,0.073675,0.041473,0.007451,0.007241,-0.032014,0.004585,0.093424,1.000000,0.000207,0.000037,0.000036,-0.290235,-0.164137,-0.026209,0.942409,2.780162,18.940258,-145.301480
35897,-3.232462,0.502809,9.346430,0.042360,-0.027733,0.089576,0.040595,0.007821,0.003598,-0.032321,0.005009,0.093467,1.000000,0.000203,0.000039,0.000018,-0.290280,-0.164209,-0.026045,0.942388,2.802414,18.942391,-145.292028
35898,-3.247960,0.525942,9.348362,0.064480,-0.035820,0.097524,0.041872,0.003241,0.006351,-0.032478,0.005239,0.093485,1.000000,0.000209,0.000016,0.000032,-0.290337,-0.164259,-0.025864,0.942366,2.826060,18.941543,-145.281006
35899,-3.248041,0.529913,9.348109,0.064970,-0.035831,0.097521,0.037341,-0.000555,0.010233,-0.032481,0.005280,0.093482,1.000000,0.000187,-0.000003,0.000051,-0.290417,-0.164288,-0.025698,0.942341,2.847669,18.938688,-145.267788
35900,-3.232791,0.514414,9.345685,0.043874,-0.027674,0.089570,0.032090,-0.003428,0.013052,-0.032330,0.005127,0.093457,1.000000,0.000160,-0.000017,0.000065,-0.290515,-0.164293,-0.025548,0.942314,2.866967,18.933830,-145.252881
35901,-3.205778,0.513440,9.298193,0.035082,-0.031502,0.035906,0.033838,-0.001997,0.017135,-0.032059,0.005116,0.092982,1.000000,0.000169,-0.000010,0.000086,-0.290630,-0.164311,-0.025390,0.942280,2.887907,18.929942,-145.235535
35902,-3.249814,0.565875,9.381637,0.072403,-0.060150,0.131545,0.030514,0.001492,0.020197,-0.032498,0.005641,0.093817,1.000000,0.000153,0.000007,0.000101,-0.290762,-0.164338,-0.025249,0.942238,2.907753,18.927686,-145.216159
35903,-3.253116,0.602829,9.338607,0.106843,-0.080194,0.093770,0.027889,0.000426,0.012471,-0.032531,0.006013,0.093387,1.000000,0.000139,0.000002,0.000062,-0.290860,-0.164358,-0.025127,0.942208,2.924390,18.925310,-145.201563
35904,-3.238363,0.586396,9.336068,0.085746,-0.072041,0.085821,0.020951,0.006329,0.013424,-0.032381,0.005852,0.093362,1.000000,0.000105,0.000032,0.000067,-0.290967,-0.164393,-0.025043,0.942171,2.937482,18.926013,-145.186221
35905,-3.229343,0.495885,9.387741,0.012426,-0.007609,0.127334,0.013480,-0.003980,0.010838,-0.032296,0.004951,0.093877,1.000000,0.000067,-0.000020,0.000054,-0.291069,-0.164371,-0.024984,0.942145,2.945498,18.921157,-145.172751
35906,-3.217252,0.512271,9.342650,0.025262,-0.019495,0.081615,0.017404,-0.003116,0.014899,-0.032174,0.005112,0.093426,1.000000,0.000087,-0.000016,0.000074,-0.291188,-0.164357,-0.024902,0.942113,2.956761,18.916414,-145.156660
35907,-3.223573,0.449435,9.320073,0.001551,0.041181,0.059266,0.015214,-0.004736,0.018133,-0.032238,0.004484,0.093200,1.000000,0.000076,-0.000024,0.000091,-0.291323,-0.164335,-0.024828,0.942077,2.967190,18.910905,-145.138804
35908,-3.209832,0.515427,9.396835,0.004421,-0.029803,0.130566,0.021489,0.000476,0.018331,-0.032099,0.005141,0.093969,1.000000,0.000107,0.000002,0.000092,-0.291454,-0.164344,-0.024729,0.942037,2.981490,18.908112,-145.120622
35909,-3.225591,0.545470,9.322243,0.054539,-0.033536,0.066689,0.020470,0.000305,0.012102,-0.032256,0.005443,0.093223,1.000000,0.000102,0.000002,0.000061,-0.291556,-0.164352,-0.024642,0.942006,2.993797,18.905660,-145.106257
35910,-3.237449,0.533288,9.367194,0.042726,-0.021580,0.112407,0.022672,0.004107,0.005656,-0.032373,0.005321,0.093673,1.000000,0.000113,0.000021,0.000028,-0.291625,-0.164379,-0.024553,0.941983,3.006330,18.905316,-145.095742
35911,-3.243453,0.594081,9.357954,0.083126,-0.065972,0.108651,0.014532,0.002742,0.007432,-0.032433,0.005933,0.093580,1.000000,0.000073,0.000014,0.000037,-0.291710,-0.164390,-0.024501,0.941956,3.014344,18.904394,-145.084125
