PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
44443,-3.214820,0.733767,9.364259,0.025967,-0.052684,0.115021,0.023572,0.014734,-0.003770,-0.032141,0.007327,0.093646,1.000000,0.000118,0.000074,-0.000019,0.092084,0.166029,-0.019225,-0.981624,4.138915,18.809110,-168.595908
44444,-3.223297,0.714907,9.337050,0.038239,-0.031264,0.090786,0.020993,0.013111,-0.003952,-0.032227,0.007140,0.093373,1.000000,0.000105,0.000066,-0.000020,0.092111,0.166081,-0.019297,-0.981611,4.148670,18.814144,-168.590939
44445,-3.209682,0.685137,9.312436,0.027493,-0.003518,0.061125,0.017812,0.009337,-0.002335,-0.032092,0.006843,0.093126,1.000000,0.000089,0.000047,-0.000012,0.092148,0.166117,-0.019352,-0.981600,4.156521,18.817502,-168.585046
44446,-3.235839,0.696303,9.333638,0.045814,-0.008203,0.090349,0.019826,0.012341,-0.005843,-0.032352,0.006955,0.093339,1.000000,0.000099,0.000062,-0.000029,0.092166,0.166165,-0.019417,-0.981589,4.165230,18.822173,-168.581251
44447,-3.201359,0.710196,9.313903,0.021761,-0.027432,0.061554,0.015837,0.009864,-0.004316,-0.032009,0.007095,0.093141,1.000000,0.000079,0.000049,-0.000022,0.092195,0.166203,-0.019461,-0.981579,4.171575,18.825912,-168.576530
44448,-3.216034,0.688492,9.335219,0.023802,-0.002239,0.084921,0.015837,0.009865,-0.004318,-0.032156,0.006878,0.093354,1.000000,0.000079,0.000049,-0.000022,0.092224,0.166236,-0.019509,-0.981570,4.178261,18.829104,-168.571920
44449,-3.228438,0.722406,9.334696,0.040511,-0.032363,0.090774,0.014907,0.011122,-0.002614,-0.032279,0.007218,0.093349,1.000000,0.000075,0.000056,-0.000013,0.092263,0.166280,-0.019549,-0.981558,4.184428,18.833487,-168.566114
44450,-3.218003,0.691077,9.334349,0.024719,-0.002666,0.084918,0.014548,0.009053,-0.004409,-0.032176,0.006905,0.093345,1.000000,0.000073,0.000045,-0.000022,0.092291,0.166309,-0.019591,-0.981550,4.190347,18.836218,-168.561595
44451,-3.208524,0.714175,9.336353,0.018503,-0.026406,0.085349,0.013862,0.010391,-0.006300,-0.032080,0.007136,0.093366,1.000000,0.000069,0.000052,-0.000032,0.092313,0.166348,-0.019624,-0.981540,4.195191,18.840336,-168.558045
44452,-3.233639,0.670307,9.355277,0.027169,0.022277,0.108286,0.014792,0.009134,-0.008006,-0.032332,0.006697,0.093555,1.000000,0.000074,0.000046,-0.000040,0.092324,0.166378,-0.019663,-0.981533,4.200550,18.843263,-168.555694
44453,-3.242690,0.705109,9.330599,0.048993,-0.009713,0.090332,0.013740,0.010351,-0.004505,-0.032422,0.007045,0.093308,1.000000,0.000069,0.000052,-0.000023,0.092354,0.166417,-0.019697,-0.981523,4.205678,18.847280,-168.551061
