PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
08633,-6.221863,4.004399,6.460974,0.145434,0.064274,0.009008,-0.011300,0.020217,-0.010590,-0.062210,0.040051,0.064614,1.000000,-0.000056,0.000101,-0.000053,0.359415,0.400459,-0.069315,-0.840029,31.122221,38.533248,-122.552570
08634,-6.187691,3.967130,6.518281,0.069128,0.057469,0.011036,-0.009655,0.019929,-0.009108,-0.061869,0.039677,0.065187,1.000000,-0.000048,0.000100,-0.000046,0.359454,0.400501,-0.069212,-0.840001,31.116322,38.541794,-122.546310
08635,-6.178438,3.976635,6.486349,0.093229,0.048219,-0.012258,-0.002877,0.019468,-0.013636,-0.061775,0.039771,0.064869,1.000000,-0.000014,0.000097,-0.000068,0.359459,0.400555,-0.069128,-0.839980,31.112368,38.551529,-122.543198
08636,-6.176452,3.938026,6.531122,0.038132,0.066273,0.000891,0.009955,0.015102,-0.011426,-0.061757,0.039381,0.065318,1.000000,0.000050,0.000076,-0.000057,0.359446,0.400612,-0.069111,-0.839960,31.115661,38.558394,-122.540219
08637,-6.131667,3.992986,6.545821,0.037956,-0.006404,0.005030,0.009354,0.009882,-0.004430,-0.061313,0.039928,0.065463,1.000000,0.000047,0.000049,-0.000022,0.359462,0.400644,-0.069114,-0.839937,31.120047,38.560711,-122.534927
08638,-6.178623,3.938425,6.528828,0.039184,0.067180,0.000881,0.010456,0.014479,-0.008155,-0.061780,0.039383,0.065295,1.000000,0.000052,0.000072,-0.000041,0.359463,0.400699,-0.069107,-0.839912,31.124760,38.566301,-122.530131
08639,-6.122145,3.909227,6.576446,-0.035937,0.043026,-0.014258,0.012704,0.008414,-0.003593,-0.061218,0.039089,0.065770,1.000000,0.000064,0.000042,-0.000018,0.359474,0.400730,-0.069129,-0.839890,31.131065,38.567636,-122.524958
08640,-6.147313,3.861323,6.550038,-0.033545,0.099311,-0.035608,0.015511,0.011831,-0.007967,-0.061468,0.038611,0.065507,1.000000,0.000078,0.000059,-0.000040,0.359464,0.400783,-0.069148,-0.839867,31.138124,38.571872,-122.521045
08641,-6.148365,3.862031,6.548634,-0.033024,0.099747,-0.035610,0.019942,0.011590,-0.006785,-0.061479,0.038616,0.065494,1.000000,0.000100,0.000058,-0.000034,0.359450,0.400842,-0.069188,-0.839842,31.148052,38.575725,-122.516542
08642,-6.167125,3.833277,6.549981,-0.043362,0.132961,-0.034644,0.022294,0.011374,-0.012499,-0.061665,0.038329,0.065508,1.000000,0.000111,0.000057,-0.000062,0.359407,0.400906,-0.069227,-0.839826,31.157119,38.581079,-122.515643
