PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
00703,-9.085273,-2.567046,-3.057366,-0.525572,-0.818989,0.063163,-0.287317,-0.022949,-0.069899,-0.090858,-0.025683,-0.030547,0.999999,-0.001437,-0.000115,-0.000349,0.600230,-0.037456,0.794682,-0.082469,-146.488154,71.406763,-150.184668
00704,-8.962541,-2.609808,-3.081621,-0.580389,-0.882233,-0.039283,-0.155166,0.001693,-0.023103,-0.089629,-0.026112,-0.030795,1.000000,-0.000776,0.000008,-0.000116,0.600210,-0.037983,0.794733,-0.081881,-146.556495,71.404527,-150.161456
00705,-8.955605,-2.385482,-3.043916,-0.534444,-0.668888,-0.095395,-0.048250,0.023903,-0.005803,-0.089560,-0.023860,-0.030423,1.000000,-0.000241,0.000120,-0.000029,0.600130,-0.038112,0.794809,-0.081666,-146.609295,71.397306,-150.185960
00706,-9.073805,-2.131739,-2.879253,-0.332739,-0.415686,-0.071802,0.067172,0.021004,0.016536,-0.090739,-0.021315,-0.028790,1.000000,0.000336,0.000105,0.000083,0.600092,-0.037806,0.794834,-0.081846,-146.624678,71.398341,-150.241282
00707,-9.053420,-1.765882,-2.778470,-0.228246,-0.067998,-0.182219,0.141434,0.021719,0.035366,-0.090534,-0.017655,-0.027787,1.000000,0.000707,0.000109,0.000177,0.600075,-0.037206,0.794833,-0.082258,-146.625381,71.405244,-150.325142
00708,-9.121127,-1.540999,-2.626183,-0.054810,0.150442,-0.198072,0.117359,0.027573,0.027879,-0.091213,-0.015407,-0.026258,1.000000,0.000587,0.000138,0.000139,0.600024,-0.036701,0.794859,-0.082604,-146.634322,71.406706,-150.404003
00709,-9.192758,-1.497401,-2.504471,0.083719,0.193192,-0.170226,0.077111,0.018623,0.021354,-0.091928,-0.014974,-0.025042,1.000000,0.000386,0.000093,0.000107,0.600001,-0.036347,0.794872,-0.082806,-146.648851,71.410746,-150.464165
00710,-9.281009,-1.551132,-2.503514,0.106937,0.152842,-0.077394,0.050988,0.016206,0.019121,-0.092811,-0.015514,-0.025032,1.000000,0.000255,0.000081,0.000096,0.599980,-0.036080,0.794889,-0.082913,-146.672741,71.414878,-150.518673
00711,-9.301135,-1.648579,-2.460945,0.149113,0.054452,-0.052566,0.015777,0.006049,0.016920,-0.093011,-0.016492,-0.024608,1.000000,0.000079,0.000030,0.000085,0.599994,-0.035941,0.794888,-0.082874,-146.704897,71.423474,-150.559097
00712,-9.260007,-1.825490,-2.460658,0.130175,-0.128137,-0.060682,0.013921,0.007148,0.014037,-0.092600,-0.018260,-0.024605,1.000000,0.000070,0.000036,0.000070,0.599999,-0.035810,0.794893,-0.082847,-146.734357,71.430329,-150.597073
00713,-9.143823,-1.837489,-2.436512,0.120151,-0.162466,-0.175176,0.057230,0.012585,0.030095,-0.091437,-0.018382,-0.024365,1.000000,0.000286,0.000063,0.000150,0.600000,-0.035486,0.794898,-0.082940,-146.767384,71.439845,-150.664283
00714,-9.099083,-1.818567,-2.348620,0.192693,-0.161163,-0.244333,0.068100,0.023300,0.034690,-0.090990,-0.018193,-0.023482,1.000000,0.000340,0.000116,0.000173,0.599959,-0.035103,0.794932,-0.083069,-146.810449,71.445423,-150.749351
00715,-9.175115,-1.781296,-2.358500,0.206142,-0.114149,-0.176155,0.086672,0.026661,0.033411,-0.091751,-0.017818,-0.023580,1.000000,0.000433,0.000133,0.000167,0.599910,-0.034671,0.794966,-0.083273,-146.844452,71.449245,-150.835621
