PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
60588,-9.614507,-2.444015,-0.577834,0.237509,0.498417,0.109056,-0.134921,0.150515,-0.074343,-0.096158,-0.024408,-0.005690,0.999999,-0.000675,0.000753,-0.000372,-0.276600,0.713277,-0.161797,-0.623338,-109.916831,78.161972,33.765146
60589,-9.359472,-2.090311,-0.681611,0.146808,0.183826,-0.201322,-0.061825,0.031925,-0.131233,-0.093609,-0.020844,-0.006795,1.000000,-0.000309,0.000160,-0.000656,-0.276746,0.713541,-0.161203,-0.623125,-109.903427,78.090510,33.814598
60590,-9.533965,-2.119661,-0.926808,0.317028,0.040301,-0.007268,-0.189304,0.131521,-0.080297,-0.095354,-0.021167,-0.009185,0.999999,-0.000947,0.000658,-0.000401,-0.276191,0.714249,-0.160543,-0.622730,-110.266644,78.028176,33.553292
60591,-9.793700,-1.848291,-0.624498,-0.135005,-0.021697,0.172504,-0.085233,0.030242,-0.004496,-0.097938,-0.018483,-0.006222,1.000000,-0.000426,0.000151,-0.000022,-0.275860,0.714438,-0.160326,-0.622716,-110.379297,78.025218,33.487611
60592,-9.347650,-1.975165,-0.969782,0.289026,-0.070116,-0.214153,-0.147574,0.032617,0.009319,-0.093477,-0.019763,-0.009668,1.000000,-0.000738,0.000163,0.000047,-0.275253,0.714708,-0.159977,-0.622764,-110.550147,78.030324,33.398797
60593,-9.350988,-2.368810,-1.153231,0.657409,0.139987,-0.120918,-0.032855,0.062503,0.009279,-0.093512,-0.023694,-0.011499,1.000000,-0.000164,0.000313,0.000046,-0.275040,0.714914,-0.160016,-0.622612,-110.727434,78.028162,33.236369
60594,-9.553109,-1.948705,-0.506786,-0.139294,0.168991,-0.052144,-0.034216,0.035710,-0.005013,-0.095532,-0.019486,-0.005047,1.000000,-0.000171,0.000179,-0.000025,-0.274880,0.715050,-0.159972,-0.622538,-110.827837,78.024908,33.153275
60595,-9.505430,-2.083667,-0.923029,0.279962,0.037215,-0.041962,-0.093379,-0.028527,0.005643,-0.095052,-0.020844,-0.009234,1.000000,-0.000467,-0.000143,0.000028,-0.274534,0.715058,-0.159685,-0.622755,-110.806324,78.039229,33.229514
60596,-9.644913,-2.080927,-0.851370,0.199077,0.063554,0.088614,-0.090134,-0.015720,0.018153,-0.096447,-0.020822,-0.008512,1.000000,-0.000451,-0.000079,0.000091,-0.274143,0.715092,-0.159479,-0.622941,-110.831128,78.058798,33.256496
60597,-9.501030,-2.007364,-0.909042,0.233531,-0.013131,-0.062265,-0.005189,-0.080737,0.015035,-0.095005,-0.020081,-0.009128,1.000000,-0.000026,-0.000404,0.000075,-0.274125,0.714809,-0.159428,-0.623287,-110.635280,78.088719,33.459261
60598,-9.320114,-1.668251,-0.826228,0.007836,-0.212667,-0.310848,0.051754,0.076245,0.035531,-0.093201,-0.016697,-0.008231,1.000000,0.000259,0.000381,0.000178,-0.274114,0.714921,-0.159852,-0.623055,-110.828791,78.098831,33.230716
60599,-9.574908,-1.515296,-0.873859,-0.083505,-0.388416,-0.087423,0.067383,-0.027175,0.035680,-0.095745,-0.015167,-0.008757,1.000000,0.000337,-0.000136,0.000178,-0.274249,0.714689,-0.160175,-0.623179,-110.747065,78.128959,33.274336
60600,-9.518086,-1.317811,-0.653725,-0.358772,-0.409367,-0.196990,0.092794,-0.011788,0.010258,-0.095180,-0.013180,-0.006549,1.000000,0.000464,-0.000059,0.000051,-0.274535,0.714489,-0.160518,-0.623193,-110.668733,78.143473,33.299208
60601,-9.502488,-1.232333,-0.681170,-0.380595,-0.492448,-0.226627,0.089832,0.004448,0.008498,-0.095025,-0.012324,-0.006815,1.000000,0.000449,0.000022,0.000042,-0.274809,0.714346,-0.160856,-0.623149,-110.628290,78.152616,33.287498
60602,-9.523040,-1.131900,-0.804111,-0.341021,-0.648971,-0.216927,0.062661,-0.022849,-0.013696,-0.095230,-0.011310,-0.008056,1.000000,0.000313,-0.000114,-0.000068,-0.275071,0.714172,-0.161004,-0.623195,-110.515762,78.156503,33.365086
60603,-9.459599,-1.280469,-1.094267,-0.011954,-0.697997,-0.229697,0.081802,0.016193,-0.020950,-0.094598,-0.012790,-0.010940,1.000000,0.000409,0.000081,-0.000105,-0.275398,0.714101,-0.161229,-0.623074,-110.481693,78.147493,33.351565
60604,-9.668573,-1.371630,-0.747325,-0.272415,-0.445909,-0.032702,0.015743,-0.046690,-0.027947,-0.096686,-0.013702,-0.007497,1.000000,0.000079,-0.000233,-0.000140,-0.275554,0.713930,-0.161145,-0.623223,-110.321914,78.148443,33.505191
60605,-9.552573,-1.907426,-1.195576,0.414250,-0.275908,-0.011076,0.090680,0.031648,-0.026037,-0.095530,-0.019056,-0.011949,1.000000,0.000453,0.000158,-0.000130,-0.275916,0.713898,-0.161400,-0.623033,-110.317604,78.133632,33.456064
60606,-9.660640,-1.998112,-1.033626,0.320607,-0.124781,0.100457,0.012679,-0.103393,-0.037873,-0.096605,-0.019962,-0.010387,1.000000,0.000063,-0.000517,-0.000189,-0.276140,0.713561,-0.161196,-0.623372,-110.004924,78.140295,33.767308
60607,-9.461308,-1.997817,-0.988766,0.323596,-0.083059,-0.098076,0.117327,-0.033109,-0.029996,-0.094614,-0.019958,-0.009915,1.000000,0.000587,-0.000166,-0.000150,-0.276662,0.713293,-0.161431,-0.623387,-109.816070,78.136060,33.891151
60608,-9.477137,-1.975758,-0.672326,0.059723,0.079489,-0.108983,0.136211,-0.065238,-0.024339,-0.094772,-0.019741,-0.006768,1.000000,0.000681,-0.000326,-0.000122,-0.277253,0.712894,-0.161712,-0.623508,-109.542880,78.142136,34.089790
60609,-9.413130,-1.883024,-0.617278,-0.021430,0.039214,-0.193341,0.207955,-0.030449,-0.017848,-0.094132,-0.018815,-0.006207,0.999999,0.001040,-0.000152,-0.000089,-0.278057,0.712498,-0.162276,-0.623456,-109.320099,78.143745,34.195239
60610,-9.598223,-1.568723,-0.601365,-0.242968,-0.227856,-0.074235,0.212337,-0.030341,-0.025153,-0.095983,-0.015669,-0.006045,0.999999,0.001062,-0.000152,-0.000126,-0.278894,0.712101,-0.162840,-0.623389,-109.092257,78.142505,34.302837
