PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
43489,-17.629693,-1.268836,0.963984,2.071723,-5.242766,6.967258,0.805143,0.218441,0.080390,-0.176281,-0.012798,0.009781,0.999991,0.004026,0.001092,0.000402,0.325080,0.543693,0.557801,-0.536264,-131.094759,71.047054,127.438203
43490,-14.949216,1.741795,0.852942,4.426047,-4.940155,3.724126,0.541403,-0.289241,0.044162,-0.149508,0.017362,0.008360,0.999995,0.002707,-0.001446,0.000221,0.324581,0.543928,0.555726,-0.538477,-130.471905,71.180931,127.770174
43491,-11.084236,3.815428,-1.185627,6.089425,-2.339926,-0.001111,0.338194,-0.330607,0.242198,-0.110869,0.038040,-0.011975,0.999996,0.001691,-0.001653,0.001211,0.325294,0.544261,0.553575,-0.539925,-130.117284,71.418124,127.940966
43492,-8.425828,3.923985,-2.406876,5.931013,-0.498682,-2.278794,-0.218367,-0.256895,0.296065,-0.084285,0.039089,-0.024220,0.999997,-0.001092,-0.001284,0.001480,0.327448,0.544040,0.552909,-0.539527,-130.239099,71.649176,127.945971
43493,-6.858728,1.200682,-1.642437,2.836036,-0.335332,-3.253284,-1.231266,-0.068517,0.000706,-0.068582,0.011905,-0.016521,0.999981,-0.006156,-0.000343,0.000004,0.331055,0.541840,0.556056,-0.536296,-130.859522,71.685063,128.036909
43494,-7.505355,-3.048956,-1.861715,-1.082614,0.377114,-1.579969,-1.906443,0.280644,-0.313882,-0.075127,-0.030547,-0.018221,0.999952,-0.009532,0.001403,-0.001569,0.334631,0.538548,0.562427,-0.530720,-131.962911,71.450279,128.026760
43495,-9.587497,-6.156796,-2.957486,-3.472893,1.256481,1.364617,-1.261139,0.344813,-0.292939,-0.096016,-0.061612,-0.029021,0.999978,-0.006306,0.001724,-0.001465,0.336346,0.536527,0.567077,-0.526720,-132.787959,71.203229,127.920019
43496,-10.382861,-4.883304,-2.614271,-2.158691,0.494381,1.745015,0.178747,0.227141,-0.096317,-0.103882,-0.048760,-0.026068,0.999999,0.000894,0.001136,-0.000482,0.335018,0.537163,0.567216,-0.526769,-132.861684,71.080698,127.735417
43497,-9.779169,-2.043571,-2.311023,0.403407,-0.018120,0.433584,0.286498,-0.063466,0.082549,-0.097776,-0.020443,-0.023171,0.999999,0.001432,-0.000317,0.000413,0.334714,0.537717,0.566086,-0.527611,-132.717583,71.149517,127.715491
43498,-8.575373,-2.137876,-2.845816,0.171779,0.826177,-0.566384,-0.214625,-0.149785,0.006844,-0.085732,-0.021412,-0.028499,0.999999,-0.001073,-0.000749,0.000034,0.335782,0.536993,0.566352,-0.527385,-132.669729,71.217006,127.897491
43499,-8.261536,-3.491906,-3.217323,-1.131462,1.447918,-0.462775,0.058196,0.040517,0.093464,-0.082606,-0.034948,-0.032167,1.000000,0.000291,0.000203,0.000467,0.335825,0.537470,0.565970,-0.527281,-132.798057,71.249917,127.728053
43500,-8.706198,-3.079571,-2.282051,-0.827469,0.383990,-0.343937,0.418485,0.166563,0.145377,-0.087059,-0.030811,-0.022812,0.999997,0.002092,0.000833,0.000727,0.334661,0.539033,0.564724,-0.527762,-132.937853,71.252450,127.328741
43501,-9.061812,-2.467154,-1.502694,-0.322545,-0.541000,-0.322447,0.274543,0.174838,0.071273,-0.090622,-0.024683,-0.014982,0.999999,0.001373,0.000874,0.000356,0.333680,0.540162,0.564055,-0.527944,-133.082768,71.222927,127.010867
43502,-9.409784,-2.221906,-1.392910,-0.044612,-0.779991,-0.075609,0.176529,0.178254,0.029570,-0.094107,-0.022221,-0.013865,0.999999,0.000883,0.000891,0.000148,0.332828,0.541021,0.563776,-0.527901,-133.241105,71.171820,126.738287
43503,-9.662910,-1.772315,-1.301339,0.415112,-1.007173,0.037170,0.167218,0.131829,0.028409,-0.096635,-0.017726,-0.012965,0.999999,0.000836,0.000659,0.000142,0.332144,0.541734,0.563432,-0.527966,-133.343419,71.140892,126.530209
43504,-9.545190,-1.491835,-1.335608,0.664301,-0.990363,-0.132917,0.014200,0.049689,0.046029,-0.095452,-0.014939,-0.013333,1.000000,0.000071,0.000248,0.000230,0.332136,0.542029,0.563323,-0.527786,-133.455611,71.146885,126.404586
43505,-9.241568,-1.669840,-1.654842,0.489746,-0.584837,-0.307344,-0.166700,0.057017,0.060939,-0.092415,-0.016740,-0.016508,1.000000,-0.000833,0.000285,0.000305,0.332656,0.542081,0.563646,-0.527059,-133.695333,71.158926,126.253465
43506,-9.112446,-1.916095,-2.002846,0.284211,-0.191690,-0.294182,-0.235290,0.092942,0.072093,-0.091127,-0.019217,-0.019964,0.999999,-0.001176,0.000465,0.000360,0.333270,0.542148,0.564194,-0.526014,-134.033397,71.158183,126.040234
43507,-9.033905,-2.154081,-2.059343,0.036794,-0.095544,-0.300491,-0.318135,0.113225,0.046084,-0.090346,-0.021594,-0.020508,0.999999,-0.001591,0.000566,0.000230,0.334002,0.542053,0.565047,-0.524731,-134.410527,71.141206,125.835617
43508,-9.154902,-2.428637,-2.187453,-0.195246,0.016190,-0.093787,-0.376674,0.139153,0.036125,-0.091560,-0.024344,-0.021765,0.999998,-0.001883,0.000696,0.000181,0.334773,0.541900,0.566139,-0.523219,-134.841923,71.106282,125.609316
43509,-9.459721,-2.353026,-2.385076,-0.043749,0.095624,0.222278,-0.343610,0.147374,0.036808,-0.094610,-0.023589,-0.023741,0.999998,-0.001718,0.000737,0.000184,0.335450,0.541822,0.567137,-0.521783,-135.261510,71.070698,125.375175
43510,-9.541289,-2.301638,-2.363489,0.000669,0.029899,0.282801,-0.351806,0.092899,0.056150,-0.095417,-0.023085,-0.023550,0.999998,-0.001759,0.000464,0.000281,0.336335,0.541643,0.568028,-0.520429,-135.646108,71.061655,125.183207
43511,-9.207550,-2.530801,-2.328928,-0.306578,0.103547,0.010911,-0.349211,0.042372,0.066116,-0.092072,-0.025379,-0.023225,0.999998,-0.001746,0.000212,0.000331,0.337399,0.541361,0.568782,-0.519209,-135.980112,71.079850,125.042922
43512,-9.083704,-2.810135,-2.222532,-0.635024,0.059019,-0.068797,-0.242667,0.087862,0.080549,-0.090835,-0.028165,-0.022151,0.999999,-0.001213,0.000439,0.000403,0.338064,0.541419,0.569311,-0.518135,-136.325576,71.081813,124.826238
43513,-9.203785,-2.755240,-2.474948,-0.530340,0.251358,0.090943,-0.072396,0.110269,0.101859,-0.092037,-0.027608,-0.024689,1.000000,-0.000362,0.000551,0.000509,0.338276,0.541879,0.569364,-0.517457,-136.622914,71.085253,124.557042
43514,-9.081481,-2.317189,-2.607906,-0.118298,0.350222,-0.091207,0.018068,0.079050,0.105273,-0.090813,-0.023217,-0.026045,1.000000,0.000090,0.000395,0.000526,0.338323,0.542425,0.569135,-0.517106,-136.839182,71.099893,124.319027
43515,-8.988567,-2.077268,-2.542485,0.074396,0.278162,-0.247611,-0.032515,0.080155,0.085444,-0.089887,-0.020815,-0.025385,1.000000,-0.000163,0.000401,0.000427,0.338469,0.542828,0.569078,-0.516650,-137.059516,71.108650,124.107106
43516,-9.338412,-2.129969,-2.334106,0.038999,-0.015805,0.045759,-0.072233,0.105094,0.084878,-0.093387,-0.021348,-0.023284,1.000000,-0.000361,0.000525,0.000424,0.338634,0.543229,0.569181,-0.516006,-137.332614,71.103775,123.863729
43517,-9.615324,-2.298932,-2.462953,-0.063693,0.046382,0.375514,-0.057009,0.071071,0.077112,-0.096153,-0.023033,-0.024589,1.000000,-0.000285,0.000355,0.000386,0.338850,0.543543,0.569195,-0.515518,-137.546796,71.112494,123.673171
43518,-9.323792,-2.456694,-2.559388,-0.262841,0.233073,0.157041,-0.057684,0.016081,0.084858,-0.093230,-0.024614,-0.025579,1.000000,-0.000288,0.000080,0.000424,0.339229,0.543739,0.569110,-0.515156,-137.711160,71.144695,123.535927
43519,-9.006702,-2.535738,-2.527226,-0.412941,0.297709,-0.133929,-0.045460,0.012480,0.099021,-0.090056,-0.025408,-0.025261,1.000000,-0.000227,0.000062,0.000495,0.339636,0.543983,0.568935,-0.514823,-137.880595,71.186244,123.385724
43520,-8.979918,-2.564509,-2.275943,-0.500837,0.067173,-0.213719,0.026265,0.065080,0.117686,-0.089791,-0.025695,-0.022734,1.000000,0.000131,0.000325,0.000588,0.339731,0.544541,0.568627,-0.514511,-138.094200,71.209896,123.145709
43521,-9.259422,-2.445085,-2.469108,-0.314694,0.160011,0.070995,0.133313,0.079622,0.155857,-0.092585,-0.024507,-0.024671,0.999999,0.000667,0.000398,0.000779,0.339606,0.545422,0.567951,-0.514407,-138.309247,71.243993,122.839186
43522,-9.117182,-2.075631,-2.577820,0.024513,0.257354,-0.116834,0.128152,0.023926,0.170550,-0.091157,-0.020818,-0.025781,0.999999,0.000641,0.000120,0.000853,0.339675,0.546197,0.567166,-0.514406,-138.486597,71.304834,122.575923
43523,-8.975498,-1.966593,-2.318814,0.045836,0.036879,-0.336376,0.039119,0.039687,0.159454,-0.089744,-0.019733,-0.023174,1.000000,0.000196,0.000198,0.000797,0.339928,0.546824,0.566654,-0.514135,-138.717882,71.356673,122.309425
43524,-9.245879,-2.097553,-2.202998,-0.070826,-0.130963,-0.080420,0.062091,0.069948,0.169485,-0.092449,-0.021047,-0.022004,1.000000,0.000310,0.000350,0.000847,0.340045,0.547600,0.566119,-0.513822,-138.986099,71.396584,121.990373
43525,-9.404070,-1.975444,-2.424997,0.098299,0.023267,0.097374,0.129397,0.031375,0.177173,-0.094027,-0.019822,-0.024248,0.999999,0.000647,0.000157,0.000886,0.340119,0.548409,0.565311,-0.513799,-139.181924,71.457931,121.706877
