PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
42611,1.745401,1.873544,9.180755,0.413375,0.081419,-0.290853,0.051154,0.131278,0.297757,0.017486,0.018738,0.091801,0.999999,0.000256,0.000656,0.001489,-0.314728,0.078020,0.120387,0.938278,10.447549,-12.837563,-144.092438
42612,1.566929,1.591396,9.124128,0.375031,0.381863,-0.434465,0.050391,0.103553,0.304864,0.015692,0.015915,0.091237,0.999999,0.000252,0.000518,0.001524,-0.316277,0.077672,0.120309,0.937796,10.429557,-12.813785,-143.900362
42613,1.312912,1.430502,9.108273,0.473730,0.645807,-0.534259,0.056358,0.057621,0.280301,0.013135,0.014298,0.091083,0.999999,0.000282,0.000288,0.001402,-0.317685,0.077514,0.120340,0.937329,10.419268,-12.813135,-143.727390
42614,1.440572,1.363239,8.995858,0.324938,0.594149,-0.625711,0.048928,0.004136,0.224317,0.014392,0.013627,0.089962,0.999999,0.000245,0.000021,0.001122,-0.318795,0.077585,0.120443,0.936933,10.413107,-12.836940,-143.592434
42615,1.513620,1.346645,8.873019,0.251474,0.532145,-0.730367,0.016349,-0.002611,0.133601,0.015126,0.013469,0.088731,1.000000,0.000082,-0.000013,0.000668,-0.319463,0.077684,0.120439,0.936698,10.400067,-12.854997,-143.510625
42616,1.750372,1.092836,8.688701,-0.100805,0.537821,-0.899091,-0.020297,0.004938,0.042661,0.017504,0.010941,0.086885,1.000000,-0.000101,0.000025,0.000213,-0.319696,0.077752,0.120287,0.936632,10.377497,-12.859481,-143.480559
42617,1.899156,1.066158,8.609644,-0.239335,0.447101,-0.946331,-0.013456,0.049477,-0.026534,0.019014,0.010665,0.086091,1.000000,-0.000067,0.000247,-0.000133,-0.319633,0.077558,0.120122,0.936691,10.366733,-12.831616,-143.485796
42618,1.979692,1.336038,8.692777,-0.134601,0.210520,-0.801244,-0.028320,0.103594,-0.072465,0.019847,0.013366,0.086916,1.000000,-0.000142,0.000518,-0.000362,-0.319383,0.077108,0.119819,0.936852,10.352005,-12.768620,-143.511842
42619,1.911991,1.522410,8.793648,0.032823,0.124164,-0.686616,-0.064925,0.148296,-0.096730,0.019192,0.015243,0.087917,1.000000,-0.000325,0.000741,-0.000484,-0.319031,0.076492,0.119283,0.937091,10.318385,-12.677841,-143.547245
42620,1.961962,1.404420,8.847290,-0.084924,0.185698,-0.644563,-0.084892,0.191372,-0.100420,0.019711,0.014072,0.088448,0.999999,-0.000424,0.000957,-0.000502,-0.318680,0.075704,0.118585,0.937363,10.272683,-12.562523,-143.580280
42621,1.881427,1.355693,9.012951,-0.053030,0.298539,-0.511130,-0.041014,0.220099,-0.065349,0.018918,0.013569,0.090106,0.999999,-0.000205,0.001100,-0.000327,-0.318526,0.074731,0.118034,0.937563,10.247100,-12.434509,-143.590146
42622,1.860274,1.491478,9.125766,0.039125,0.222481,-0.383283,0.005992,0.224432,-0.022564,0.018707,0.014910,0.091237,0.999999,0.000030,0.001122,-0.000113,-0.318592,0.073689,0.117680,0.937668,10.242969,-12.308508,-143.574861
42623,1.903197,1.594936,9.182682,0.056458,0.120756,-0.301124,0.019836,0.222920,0.029563,0.019132,0.015943,0.091807,0.999999,0.000099,0.001115,0.000148,-0.318907,0.072662,0.117374,0.937679,10.240535,-12.188576,-143.529704
42624,1.748870,1.557371,9.356943,0.148643,0.275016,-0.172222,0.061932,0.225135,0.080120,0.017588,0.015552,0.093554,0.999999,0.000310,0.001126,0.000401,-0.319475,0.071588,0.117243,0.937585,10.256055,-12.072631,-143.455135
42625,1.537542,1.925963,9.629997,0.542625,0.180161,0.111188,0.072574,0.171271,0.145358,0.015444,0.019236,0.096294,0.999999,0.000363,0.000856,0.000727,-0.320320,0.070786,0.117225,0.937359,10.271211,-11.993657,-143.348608
42626,1.994538,1.883941,9.642476,0.149368,-0.056326,0.211248,0.044553,0.123658,0.192031,0.019987,0.018837,0.096417,0.999999,0.000223,0.000618,0.000960,-0.321346,0.070281,0.117135,0.937058,10.265803,-11.946375,-143.220141
42627,2.162208,2.026923,9.596703,0.098637,-0.281988,0.226786,0.037693,0.125517,0.217841,0.021660,0.020275,0.095957,0.999999,0.000188,0.000628,0.001089,-0.322491,0.069792,0.117001,0.936717,10.253539,-11.900586,-143.076669
42628,2.123275,2.041189,9.725755,0.141589,-0.244161,0.345333,-0.006730,0.132994,0.218793,0.021275,0.020438,0.097243,0.999999,-0.000034,0.000665,0.001094,-0.323629,0.069341,0.116645,0.936403,10.215603,-11.850681,-142.931888
42629,2.153877,1.810317,9.764632,-0.025227,-0.086815,0.348822,-0.035617,0.117482,0.210955,0.021577,0.018143,0.097630,0.999999,-0.000178,0.000587,0.001055,-0.324710,0.069004,0.116183,0.936111,10.162571,-11.808553,-142.793323
42630,2.303256,1.705564,9.763407,-0.207069,-0.108105,0.359995,-0.044685,0.115916,0.202093,0.023072,0.017101,0.097617,0.999999,-0.000223,0.000580,0.001010,-0.325745,0.068684,0.115683,0.935836,10.105463,-11.766336,-142.660062
42631,2.212858,1.640145,9.740368,-0.179963,-0.022865,0.308018,-0.021855,0.126445,0.187819,0.022175,0.016433,0.097388,0.999999,-0.000109,0.000632,0.000939,-0.326727,0.068269,0.115278,0.935574,10.063076,-11.716582,-142.534031
42632,2.183139,1.827293,9.791802,-0.039812,-0.145226,0.383479,-0.013858,0.131458,0.172791,0.021880,0.018299,0.097902,0.999999,-0.000069,0.000657,0.000864,-0.327645,0.067809,0.114907,0.935333,10.026982,-11.662481,-142.416181
42633,2.126667,1.813506,9.822299,-0.006771,-0.104301,0.398979,-0.017038,0.136269,0.171161,0.021318,0.018162,0.098207,0.999999,-0.000085,0.000681,0.000856,-0.328555,0.067331,0.114514,0.935096,9.989343,-11.605361,-142.298865
42634,1.974616,1.807748,9.930994,0.109621,0.008858,0.472233,-0.006777,0.117428,0.186080,0.019788,0.018099,0.099298,0.999999,-0.000034,0.000587,0.000930,-0.329528,0.066933,0.114194,0.934821,9.956294,-11.560377,-142.174895
42635,2.221526,1.822675,9.848178,-0.078230,-0.180492,0.444272,0.006466,0.097625,0.203126,0.022245,0.018246,0.098472,0.999999,0.000032,0.000488,0.001016,-0.330573,0.066614,0.113963,0.934503,9.929420,-11.528098,-142.043173
42636,2.372789,1.755117,9.837720,-0.240650,-0.230279,0.452805,0.032271,0.108297,0.211877,0.023763,0.017560,0.098367,0.999999,0.000161,0.000541,0.001059,-0.331673,0.066209,0.113832,0.934158,9.916167,-11.490692,-141.905349
42637,2.051836,1.781956,9.944989,0.024195,-0.034002,0.496845,0.068796,0.115927,0.219284,0.020556,0.017808,0.099444,0.999999,0.000344,0.000580,0.001096,-0.332823,0.065710,0.113857,0.933781,9.922964,-11.449626,-141.762527
42638,1.920191,1.934743,10.147059,0.227933,-0.019716,0.691637,0.055873,0.071594,0.221080,0.019217,0.019340,0.101469,0.999999,0.000279,0.000358,0.001105,-0.333953,0.065442,0.113893,0.933392,9.923027,-11.433869,-141.623116
42639,2.265138,1.740210,10.093382,-0.164270,-0.098116,0.675350,0.045558,0.034636,0.211921,0.022650,0.017403,0.100934,0.999999,0.000228,0.000173,0.001060,-0.335014,0.065358,0.113947,0.933011,9.919060,-11.437960,-141.492736
42640,2.512925,1.714570,10.051464,-0.371655,-0.241154,0.679700,0.051599,0.032797,0.190135,0.025129,0.017144,0.100515,1.000000,0.000258,0.000164,0.000951,-0.335974,0.065260,0.114038,0.932662,9.921009,-11.441013,-141.375062
42641,2.515248,1.633523,10.012716,-0.428409,-0.192221,0.629002,0.067751,0.059083,0.166030,0.025169,0.016322,0.100125,1.000000,0.000339,0.000295,0.000830,-0.336842,0.064998,0.114169,0.932351,9.934513,-11.426788,-141.268644
42642,2.130238,1.740999,10.108051,-0.064593,-0.011210,0.662874,0.086282,0.054552,0.153613,0.021317,0.017383,0.101082,1.000000,0.000431,0.000273,0.000768,-0.337655,0.064720,0.114397,0.932048,9.960083,-11.414051,-141.169801
42643,1.981517,1.842184,10.163788,0.114461,0.022035,0.704397,0.065013,0.004788,0.151984,0.019804,0.018404,0.101643,1.000000,0.000325,0.000024,0.000760,-0.338425,0.064707,0.114611,0.931744,9.974729,-11.429144,-141.076958
42644,2.130641,1.726594,10.028008,-0.077137,-0.014202,0.583252,0.048817,-0.034087,0.154305,0.021276,0.017258,0.100288,1.000000,0.000244,-0.000170,0.000772,-0.339178,0.064906,0.114814,0.931431,9.980520,-11.466509,-140.986692
42645,2.165394,1.745652,9.836952,-0.094231,-0.093886,0.409061,0.045467,-0.047680,0.153215,0.021617,0.017451,0.098379,1.000000,0.000227,-0.000238,0.000766,-0.339916,0.065171,0.115025,0.931117,9.984775,-11.511355,-140.898439
