PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
56676,-5.730199,8.015214,-0.433135,0.042434,-0.055000,0.049443,0.010668,-0.016170,-0.022819,-0.057292,0.080159,-0.004332,1.000000,0.000053,-0.000081,-0.000114,0.644091,0.699815,0.186407,-0.246290,93.461562,35.791746,-3.984639
56677,-5.695724,7.966755,-0.481499,0.048600,-0.003077,-0.007591,-0.005753,-0.018093,-0.019051,-0.056949,0.079673,-0.004822,1.000000,-0.000029,-0.000090,-0.000095,0.644122,0.699760,0.186370,-0.246394,93.448983,35.797509,-4.000591
56678,-5.682239,7.968695,-0.532371,0.067033,0.048190,-0.011435,-0.004223,-0.021101,-0.018376,-0.056815,0.079692,-0.005331,1.000000,-0.000021,-0.000106,-0.000092,0.644151,0.699707,0.186319,-0.246506,93.436010,35.802910,-4.018555
56679,-5.731284,7.937068,-0.512309,0.007677,0.035866,-0.009332,-0.001013,-0.021165,-0.011329,-0.057308,0.079374,-0.005130,1.000000,-0.000005,-0.000106,-0.000057,0.644178,0.699670,0.186239,-0.246600,93.424683,35.804357,-4.037004
56680,-5.710626,7.946038,-0.504416,0.028849,0.027402,-0.014544,0.001414,-0.020755,-0.006542,-0.057103,0.079462,-0.005050,1.000000,0.000007,-0.000104,-0.000033,0.644201,0.699647,0.186140,-0.246679,93.414839,35.802941,-4.055409
56681,-5.689850,7.955085,-0.496690,0.050041,0.018941,-0.019751,-0.004370,-0.010901,-0.009029,-0.056895,0.079553,-0.004972,1.000000,-0.000022,-0.000055,-0.000045,0.644233,0.699615,0.186089,-0.246726,93.405767,35.802717,-4.066717
56682,-5.691567,7.927411,-0.543474,0.037566,0.069130,-0.038899,0.002721,-0.006132,-0.008536,-0.056912,0.079277,-0.005435,1.000000,0.000014,-0.000031,-0.000043,0.644236,0.699612,0.186044,-0.246761,93.402737,35.802032,-4.074489
56683,-5.728982,7.914236,-0.498428,-0.004960,0.027490,-0.029845,0.014547,0.004825,-0.014326,-0.057284,0.079147,-0.004977,1.000000,0.000073,0.000024,-0.000072,0.644180,0.699655,0.186039,-0.246788,93.411121,35.804302,-4.074485
56684,-5.698472,7.854433,-0.516661,-0.012826,0.048987,-0.095225,0.005219,0.007663,-0.010060,-0.056981,0.078547,-0.005162,1.000000,0.000026,0.000038,-0.000050,0.644159,0.699676,0.186040,-0.246783,93.415319,35.804052,-4.072576
56685,-5.689381,7.877703,-0.581525,0.014427,0.110162,-0.078568,0.003058,0.005541,-0.002974,-0.056893,0.078778,-0.005812,1.000000,0.000015,0.000028,-0.000015,0.644157,0.699694,0.186012,-0.246760,93.417136,35.799804,-4.072545
56686,-5.682917,7.884163,-0.523529,0.016193,0.050808,-0.079917,0.013770,0.009894,0.002774,-0.056831,0.078841,-0.005227,1.000000,0.000069,0.000049,0.000014,0.644119,0.699757,0.185964,-0.246714,93.426840,35.792082,-4.069709
56687,-5.730057,7.913172,-0.502936,-0.008794,0.029012,-0.029852,0.011307,0.009719,0.003824,-0.057302,0.079131,-0.005022,1.000000,0.000057,0.000049,0.000019,0.644093,0.699813,0.185915,-0.246662,93.434938,35.783803,-4.067020
56688,-5.735974,7.966451,-0.559463,0.021878,0.079616,0.019500,-0.002949,0.009908,0.000507,-0.057360,0.079664,-0.005593,1.000000,-0.000015,0.000050,0.000003,0.644111,0.699821,0.185894,-0.246608,93.435135,35.777305,-4.064252
56689,-5.741427,7.987094,-0.571827,0.029689,0.089922,0.040011,0.001640,0.012441,-0.001793,-0.057414,0.079872,-0.005714,1.000000,0.000008,0.000062,-0.000009,0.644108,0.699843,0.185886,-0.246556,93.438953,35.772145,-4.059408
56690,-5.766886,7.992799,-0.500383,0.003942,0.018970,0.056042,0.007946,0.017684,-0.003556,-0.057668,0.079929,-0.004996,1.000000,0.000040,0.000088,-0.000018,0.644078,0.699891,0.185894,-0.246496,93.448578,35.767755,-4.050525
56691,-5.745584,8.002111,-0.494720,0.025128,0.010500,0.050858,-0.005600,0.015572,-0.002627,-0.057455,0.080022,-0.004945,1.000000,-0.000028,0.000078,-0.000013,0.644097,0.699893,0.185908,-0.246429,93.449557,35.762963,-4.043440
56692,-5.724503,7.951824,-0.491512,0.011957,0.011508,-0.002348,-0.014631,0.014165,-0.002008,-0.057245,0.079518,-0.004917,1.000000,-0.000073,0.000071,-0.000010,0.644149,0.699866,0.185925,-0.246357,93.444870,35.757793,-4.037457
56693,-5.672408,7.934664,-0.545252,0.049175,0.064449,-0.044073,-0.016273,0.013283,-0.004534,-0.056723,0.079347,-0.005455,1.000000,-0.000081,0.000066,-0.000023,0.644205,0.699830,0.185951,-0.246294,93.438837,35.754171,-4.031905
56694,-5.661045,7.860692,-0.477242,0.007827,0.004674,-0.113946,-0.014817,0.008446,-0.001871,-0.056610,0.078607,-0.004776,1.000000,-0.000074,0.000042,-0.000009,0.644264,0.699794,0.185952,-0.246240,93.431607,35.749202,-4.029552
56695,-5.644537,7.858304,-0.437556,0.014921,-0.034199,-0.127451,-0.022057,0.011578,-0.002703,-0.056445,0.078583,-0.004381,1.000000,-0.000110,0.000058,-0.000014,0.644345,0.699738,0.185973,-0.246172,93.421513,35.744593,-4.025278
56696,-5.666330,7.848638,-0.443078,-0.008195,-0.024952,-0.122277,-0.028811,0.016188,-0.007310,-0.056661,0.078488,-0.004438,1.000000,-0.000144,0.000081,-0.000037,0.644439,0.699662,0.186035,-0.246094,93.409562,35.742380,-4.017358
56697,-5.641375,7.842591,-0.514427,0.015664,0.046759,-0.138311,-0.030752,0.019553,-0.006189,-0.056412,0.078427,-0.005151,1.000000,-0.000154,0.000098,-0.000031,0.644538,0.699585,0.186104,-0.246002,93.397854,35.739495,-4.007317
56698,-5.683853,7.850471,-0.479926,-0.018158,0.015061,-0.108779,-0.013212,0.018833,-0.007488,-0.056836,0.078507,-0.004799,1.000000,-0.000066,0.000094,-0.000037,0.644574,0.699563,0.186154,-0.245932,93.396006,35.737275,-3.997781
56699,-5.688587,7.865176,-0.400708,-0.021776,-0.064751,-0.097910,-0.009850,0.020134,-0.014097,-0.056881,0.078656,-0.004005,1.000000,-0.000049,0.000101,-0.000070,0.644590,0.699546,0.186227,-0.245882,93.396706,35.738894,-3.987000
56700,-5.658728,7.837968,-0.461694,-0.006657,-0.002981,-0.134462,-0.016417,0.018903,-0.014527,-0.056582,0.078383,-0.004618,1.000000,-0.000082,0.000095,-0.000073,0.644629,0.699507,0.186307,-0.245831,93.393247,35.740822,-3.976940
56701,-5.649963,7.861062,-0.525696,0.020615,0.058179,-0.117796,-0.013583,0.018958,-0.011527,-0.056496,0.078614,-0.005257,1.000000,-0.000068,0.000095,-0.000058,0.644662,0.699480,0.186373,-0.245774,93.391262,35.741012,-3.967094
