PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
07942,-9.370746,-2.243831,0.550712,-0.011533,-0.011286,-0.161331,0.027846,0.005847,-0.012158,-0.093709,-0.022433,0.005507,1.000000,0.000139,0.000029,-0.000061,0.695037,0.044810,0.684899,-0.214077,-75.947057,76.226840,-97.198252
07943,-9.400270,-2.282544,0.500966,-0.071100,-0.021717,-0.126588,0.022520,0.011755,-0.007884,-0.094003,-0.022822,0.005013,1.000000,0.000113,0.000059,-0.000039,0.695009,0.044897,0.684903,-0.214138,-75.950818,76.229089,-97.214341
07944,-9.409869,-2.307008,0.548511,-0.035203,-0.058835,-0.108869,0.037434,0.016008,-0.009751,-0.094099,-0.023067,0.005488,1.000000,0.000187,0.000080,-0.000049,0.694963,0.045041,0.684901,-0.214262,-75.954555,76.230965,-97.240238
07945,-9.433207,-2.283059,0.543390,-0.030804,-0.029918,-0.092030,0.043896,0.008645,-0.012802,-0.094333,-0.022826,0.005433,1.000000,0.000219,0.000043,-0.000064,0.694936,0.045179,0.684874,-0.214410,-75.942553,76.230181,-97.252004
07946,-9.409828,-2.317305,0.506943,-0.078314,-0.053279,-0.108936,0.050463,0.013195,-0.011688,-0.094099,-0.023169,0.005070,1.000000,0.000252,0.000066,-0.000058,0.694894,0.045359,0.684849,-0.214585,-75.933546,76.230590,-97.272466
07947,-9.422684,-2.252471,0.536579,-0.027241,-0.002228,-0.109710,0.058494,0.014599,-0.012008,-0.094228,-0.022521,0.005366,1.000000,0.000292,0.000073,-0.000060,0.694844,0.045559,0.684825,-0.214782,-75.925761,76.230985,-97.297662
07948,-9.441664,-2.250443,0.521726,-0.040217,0.009436,-0.092605,0.062602,0.014882,-0.012827,-0.094418,-0.022500,0.005217,1.000000,0.000313,0.000074,-0.000064,0.694792,0.045778,0.684793,-0.215003,-75.914274,76.230998,-97.322732
07949,-9.430997,-2.210400,0.556249,0.005715,0.030820,-0.110214,0.046564,0.012085,-0.012177,-0.094311,-0.022100,0.005563,1.000000,0.000233,0.000060,-0.000061,0.694753,0.045946,0.684769,-0.215173,-75.905409,76.230811,-97.341985
07950,-9.416366,-2.200862,0.538953,-0.007293,0.042018,-0.127627,0.035052,0.019784,-0.010855,-0.094164,-0.022004,0.005395,1.000000,0.000175,0.000099,-0.000054,0.694693,0.046082,0.684783,-0.215292,-75.919703,76.232605,-97.377346
07951,-9.420951,-2.188344,0.506620,-0.032419,0.065666,-0.127933,0.028332,0.011935,-0.008128,-0.094210,-0.021880,0.005069,1.000000,0.000142,0.000060,-0.000041,0.694662,0.046188,0.684781,-0.215375,-75.920557,76.234623,-97.393941
