PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
13434,-2.775423,1.431978,9.395523,-0.011972,-0.013049,0.088275,0.013416,-0.120685,0.025475,-0.027813,0.014310,0.093939,1.000000,0.000067,-0.000603,0.000127,-0.847869,-0.136353,-0.083958,0.505447,8.769140,16.272657,-60.345467
13435,-2.757288,1.443611,9.377083,-0.000532,-0.006648,0.067407,0.016431,-0.121538,0.028946,-0.027632,0.014424,0.093755,1.000000,0.000082,-0.000608,0.000145,-0.848011,-0.136092,-0.083380,0.505375,8.777519,16.198672,-60.334371
13436,-2.778355,1.454773,9.374478,-0.008150,0.027241,0.072435,0.014769,-0.121408,0.025392,-0.027842,0.014537,0.093729,1.000000,0.000074,-0.000607,0.000127,-0.848146,-0.135824,-0.082807,0.505315,8.784440,16.124969,-60.325227
13437,-2.761157,1.487872,9.392532,0.021640,0.032177,0.089630,0.023678,-0.114863,0.029286,-0.027668,0.014864,0.093911,1.000000,0.000118,-0.000574,0.000146,-0.848280,-0.135611,-0.082239,0.505239,8.797159,16.054730,-60.313354
13438,-2.724578,1.510910,9.384048,0.051838,0.024053,0.074843,0.019241,-0.109961,0.027008,-0.027299,0.015096,0.093827,1.000000,0.000096,-0.000550,0.000135,-0.848413,-0.135391,-0.081709,0.505162,8.806906,15.987958,-60.301639
13439,-2.687992,1.516253,9.450540,0.066866,-0.015826,0.128756,0.023448,-0.105754,0.022929,-0.026932,0.015148,0.094493,1.000000,0.000117,-0.000529,0.000115,-0.848527,-0.135198,-0.081184,0.505106,8.818656,15.923430,-60.292714
13440,-2.664620,1.499277,9.448167,0.056129,-0.033980,0.117649,0.023720,-0.095700,0.018599,-0.026693,0.014979,0.094471,1.000000,0.000119,-0.000479,0.000093,-0.848629,-0.135028,-0.080705,0.505058,8.829988,15.864960,-60.284899
13441,-2.674928,1.491414,9.439966,0.037601,-0.018887,0.111562,0.028641,-0.090200,0.014882,-0.026793,0.014899,0.094390,1.000000,0.000143,-0.000451,0.000074,-0.848712,-0.134893,-0.080238,0.505028,8.843782,15.809943,-60.279320
13442,-2.686227,1.504868,9.468234,0.037421,-0.005217,0.143540,0.030057,-0.084542,0.011128,-0.026903,0.015033,0.094673,1.000000,0.000150,-0.000423,0.000056,-0.848785,-0.134775,-0.079794,0.505008,8.857896,15.758316,-60.275099
13443,-2.671855,1.496262,9.411676,0.030499,0.002637,0.084601,0.028936,-0.076828,0.011486,-0.026756,0.014947,0.094109,1.000000,0.000145,-0.000384,0.000057,-0.848854,-0.134673,-0.079385,0.504983,8.871633,15.711167,-60.270322
13444,-2.636757,1.442616,9.478918,-0.006295,-0.066190,0.131109,0.035968,-0.073828,0.012488,-0.026403,0.014407,0.094782,1.000000,0.000180,-0.000369,0.000062,-0.848918,-0.134612,-0.078970,0.504956,8.889980,15.665685,-60.264948
13445,-2.656532,1.464808,9.453137,-0.002644,-0.026519,0.115249,0.035564,-0.067881,0.017752,-0.026599,0.014629,0.094525,1.000000,0.000178,-0.000339,0.000089,-0.848995,-0.134563,-0.078578,0.504901,8.908714,15.623042,-60.255695
13446,-2.624255,1.467969,9.406217,0.009123,-0.033149,0.062402,0.043279,-0.063843,0.013658,-0.026274,0.014658,0.094057,1.000000,0.000216,-0.000319,0.000068,-0.849055,-0.134557,-0.078186,0.504863,8.931456,15.583065,-60.248399
13447,-2.644263,1.494653,9.491896,0.016054,-0.026702,0.153316,0.043790,-0.059572,0.016670,-0.026472,0.014924,0.094914,1.000000,0.000219,-0.000298,0.000083,-0.849120,-0.134564,-0.077810,0.504810,8.954916,15.545214,-60.239051
13448,-2.626187,1.496937,9.412738,0.020363,-0.013155,0.073501,0.045958,-0.052364,0.018731,-0.026288,0.014945,0.094124,1.000000,0.000230,-0.000262,0.000094,-0.849184,-0.134603,-0.077458,0.504746,8.980454,15.511530,-60.228029
13449,-2.660608,1.522768,9.466153,0.019839,0.013535,0.137444,0.049068,-0.043515,0.019463,-0.026628,0.015202,0.094659,1.000000,0.000245,-0.000218,0.000097,-0.849246,-0.134673,-0.077134,0.504672,9.007754,15.482508,-60.215586
13450,-2.623108,1.476666,9.398741,-0.008916,-0.016260,0.056316,0.054446,-0.040395,0.016852,-0.026251,0.014739,0.093986,1.000000,0.000272,-0.000202,0.000084,-0.849298,-0.134773,-0.076812,0.504607,9.037799,15.455419,-60.204076
13451,-2.632814,1.523313,9.440240,0.020533,0.001777,0.105472,0.054249,-0.037418,0.019483,-0.026347,0.015205,0.094402,1.000000,0.000271,-0.000187,0.000097,-0.849354,-0.134881,-0.076502,0.504531,9.068202,15.429832,-60.191085
13452,-2.582573,1.478931,9.404472,-0.000773,-0.048319,0.051322,0.055448,-0.035169,0.021938,-0.025844,0.014760,0.094044,1.000000,0.000277,-0.000176,0.000110,-0.849414,-0.135004,-0.076196,0.504445,9.100021,15.405493,-60.176594
13453,-2.611541,1.493602,9.399286,-0.008412,-0.014435,0.056319,0.052130,-0.041039,0.023862,-0.026136,0.014908,0.093991,1.000000,0.000261,-0.000205,0.000119,-0.849483,-0.135096,-0.075872,0.504352,9.129782,15.377448,-60.161407
13454,-2.589484,1.569645,9.407357,0.062214,0.000766,0.069807,0.052835,-0.036689,0.019695,-0.025914,0.015669,0.094073,1.000000,0.000264,-0.000183,0.000098,-0.849540,-0.135201,-0.075566,0.504275,9.159626,15.352016,-60.148412
13455,-2.604840,1.563776,9.397596,0.043665,0.015835,0.063710,0.040178,-0.043139,0.023075,-0.026070,0.015616,0.093973,1.000000,0.000201,-0.000216,0.000115,-0.849616,-0.135236,-0.075264,0.504182,9.182342,15.322840,-60.133917
13456,-2.615278,1.647313,9.400562,0.106531,0.064242,0.082180,0.033348,-0.042739,0.015872,-0.026174,0.016455,0.094003,1.000000,0.000167,-0.000214,0.000079,-0.849680,-0.135242,-0.074988,0.504114,9.200088,15.294901,-60.123261
13457,-2.603625,1.621424,9.418235,0.084553,0.040276,0.091971,0.027464,-0.043754,0.011893,-0.026058,0.016200,0.094179,1.000000,0.000137,-0.000219,0.000059,-0.849737,-0.135218,-0.074724,0.504064,9.213756,15.266393,-60.115404
