PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
38081,-4.274901,0.459146,8.903950,-0.023585,-0.006081,0.074948,0.006521,0.002446,-0.007750,-0.042748,0.004590,0.089040,1.000000,0.000033,0.000012,-0.000039,-0.268241,-0.220936,-0.038103,0.936900,2.999475,25.749130,-147.360776
38082,-4.275135,0.459287,8.903831,-0.023063,-0.006138,0.074949,0.005757,0.001832,-0.011205,-0.042750,0.004593,0.089039,1.000000,0.000029,0.000009,-0.000056,-0.268234,-0.220924,-0.038113,0.936905,2.997606,25.748135,-147.362103
38083,-4.254722,0.431683,8.906889,-0.053651,0.006764,0.067533,0.004167,0.000538,-0.011907,-0.042547,0.004318,0.089069,1.000000,0.000021,0.000003,-0.000060,-0.268227,-0.220901,-0.038129,0.936912,2.994685,25.746137,-147.363875
38084,-4.268426,0.400884,8.914483,-0.061942,0.038105,0.078869,0.007348,0.003126,-0.010504,-0.042683,0.004008,0.089146,1.000000,0.000037,0.000016,-0.000053,-0.268221,-0.220898,-0.038132,0.936914,2.993940,25.745861,-147.364714
38085,-4.262438,0.490508,8.895731,-0.012610,-0.037636,0.063619,0.012187,0.005144,-0.011299,-0.042622,0.004902,0.088959,1.000000,0.000061,0.000026,-0.000056,-0.268207,-0.220908,-0.038116,0.936916,2.995840,25.746483,-147.365957
38086,-4.291522,0.473952,8.931085,-0.013423,-0.015860,0.107275,0.012952,0.005758,-0.007845,-0.042912,0.004735,0.089312,1.000000,0.000065,0.000029,-0.000039,-0.268208,-0.220924,-0.038094,0.936913,2.999077,25.747634,-147.365019
38087,-4.283029,0.497080,8.882014,0.011480,-0.030137,0.060537,0.007421,-0.000667,-0.010094,-0.042830,0.004970,0.088820,1.000000,0.000037,-0.000003,-0.000050,-0.268205,-0.220901,-0.038091,0.936919,2.998499,25.744895,-147.365686
38088,-4.262661,0.469841,8.885041,-0.019151,-0.017285,0.053128,0.008941,0.004418,-0.009805,-0.042624,0.004697,0.088852,1.000000,0.000045,0.000022,-0.000049,-0.268202,-0.220906,-0.038088,0.936919,2.998878,25.745338,-147.366037
38089,-4.264602,0.514430,8.905096,-0.002280,-0.058268,0.074113,0.004104,0.002399,-0.009011,-0.042645,0.005144,0.089052,1.000000,0.000021,0.000012,-0.000045,-0.268207,-0.220892,-0.038103,0.936920,2.996733,25.744320,-147.365949
38090,-4.271224,0.425197,8.923546,-0.050569,0.017363,0.089381,0.004104,0.002399,-0.009011,-0.042711,0.004252,0.089236,1.000000,0.000021,0.000012,-0.000045,-0.268213,-0.220881,-0.038120,0.936921,2.994530,25.743584,-147.365864
38091,-4.257259,0.433763,8.905576,-0.049342,0.006423,0.067556,0.003274,0.003647,-0.009568,-0.042571,0.004338,0.089057,1.000000,0.000016,0.000018,-0.000048,-0.268217,-0.220872,-0.038141,0.936921,2.991776,25.743293,-147.366071
38092,-4.259118,0.478293,8.925675,-0.032491,-0.034592,0.088539,0.007357,0.001196,-0.007197,-0.042590,0.004781,0.089257,1.000000,0.000037,0.000006,-0.000036,-0.268227,-0.220860,-0.038139,0.936921,2.991920,25.741814,-147.364873
38093,-4.276802,0.417332,8.881906,-0.033436,0.034408,0.053982,0.007286,0.004987,-0.007610,-0.042766,0.004172,0.088820,1.000000,0.000036,0.000025,-0.000038,-0.268236,-0.220863,-0.038141,0.936917,2.992040,25.742230,-147.363758
38094,-4.279473,0.484474,8.912089,-0.008406,-0.027077,0.085451,0.010609,-0.000006,-0.005382,-0.042795,0.004841,0.089121,1.000000,0.000053,-0.000000,-0.000027,-0.268252,-0.220850,-0.038120,0.936917,2.994531,25.740009,-147.361447
38095,-4.246416,0.510431,8.917523,-0.021998,-0.066082,0.077204,0.005696,0.003692,-0.008312,-0.042462,0.005104,0.089176,1.000000,0.000028,0.000018,-0.000042,-0.268259,-0.220845,-0.038128,0.936915,2.993530,25.739718,-147.360792
