PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
62731,-9.667462,-1.080165,-0.111743,0.028244,0.011367,-0.084474,0.020230,-0.012489,-0.008449,-0.096675,-0.010797,-0.001125,1.000000,0.000101,-0.000062,-0.000042,-0.354751,-0.569053,-0.425153,0.607927,-94.624165,83.480048,152.435273
62732,-9.649850,-1.103190,-0.078746,-0.006692,-0.007497,-0.099669,0.024698,-0.010861,-0.013444,-0.096499,-0.011025,-0.000794,1.000000,0.000123,-0.000054,-0.000067,-0.354701,-0.569045,-0.425055,0.608032,-94.529530,83.479064,152.515562
62733,-9.637911,-1.096111,-0.097191,0.006546,0.008984,-0.112166,0.019856,-0.010936,-0.008373,-0.096380,-0.010957,-0.000978,1.000000,0.000099,-0.000055,-0.000042,-0.354685,-0.569036,-0.424960,0.608116,-94.439030,83.480913,152.595150
62734,-9.661467,-1.113315,-0.056588,-0.022152,-0.021482,-0.087171,0.018070,-0.007823,-0.010184,-0.096615,-0.011128,-0.000571,1.000000,0.000090,-0.000039,-0.000051,-0.354669,-0.569024,-0.424891,0.608185,-94.366049,83.481567,152.659862
62735,-9.667059,-1.084239,-0.107064,0.025271,0.014710,-0.084470,0.012986,-0.007339,-0.010052,-0.096671,-0.010837,-0.001075,1.000000,0.000065,-0.000037,-0.000050,-0.354659,-0.569011,-0.424829,0.608247,-94.296767,83.482277,152.722055
62736,-9.619305,-1.091536,-0.080101,0.004133,-0.003666,-0.131320,0.007765,-0.009116,-0.018467,-0.096194,-0.010906,-0.000806,1.000000,0.000039,-0.000046,-0.000092,-0.354640,-0.568966,-0.424801,0.608319,-94.218788,83.478259,152.795647
62737,-9.630220,-1.071523,-0.076838,0.023415,-0.013888,-0.122772,0.008406,-0.009399,-0.015015,-0.096303,-0.010708,-0.000773,1.000000,0.000042,-0.000047,-0.000075,-0.354633,-0.568927,-0.424763,0.608387,-94.140051,83.476201,152.869999
62738,-9.644394,-1.132039,-0.108726,-0.016988,0.039342,-0.101569,0.004093,-0.010194,-0.016447,-0.096445,-0.011312,-0.001092,1.000000,0.000020,-0.000051,-0.000082,-0.354638,-0.568874,-0.424743,0.608447,-94.060361,83.473372,152.948376
62739,-9.643504,-1.103845,-0.125397,0.016270,0.044758,-0.105520,0.002972,-0.005541,-0.016216,-0.096436,-0.011031,-0.001257,1.000000,0.000015,-0.000028,-0.000081,-0.354634,-0.568835,-0.424732,0.608494,-94.003694,83.470450,153.003649
62740,-9.636863,-1.105826,-0.090833,0.001363,0.014795,-0.112171,-0.000569,-0.007612,-0.019213,-0.096370,-0.011049,-0.000912,1.000000,-0.000003,-0.000038,-0.000096,-0.354642,-0.568772,-0.424744,0.608540,-93.939117,83.465857,153.070352
