// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
62731,-4.520575,0.964093,8.708922,-0.003944,-0.011051,0.046839,0.001347,0.005033,-0.010455,-0.045203,0.009643,0.087090,1.000000,0.000007,0.000025,-0.000052,0.216987,0.241829,0.004259,-0.945737,6.261981,27.339396,-152.631360
62732,-4.504678,0.971388,8.765647,-0.039176,-0.031141,0.090332,0.001283,0.005443,-0.012232,-0.045044,0.009716,0.087658,1.000000,0.000006,0.000027,-0.000061,0.216980,0.241829,0.004291,-0.945738,6.257904,27.340383,-152.633129
62733,-4.499227,0.972602,8.711126,-0.018158,-0.028763,0.039803,0.006960,0.005303,-0.011448,-0.044989,0.009726,0.087113,1.000000,0.000035,0.000027,-0.000057,0.216969,0.241838,0.004298,-0.945738,6.257041,27.341650,-152.634523
62734,-4.507733,0.982009,8.743043,-0.022453,-0.037670,0.072801,0.004494,0.011408,-0.005972,-0.045072,0.009819,0.087433,1.000000,0.000022,0.000057,-0.000030,0.216988,0.241870,0.004314,-0.945725,6.256824,27.345660,-152.631778
62735,-4.499202,0.962390,8.732125,-0.032806,-0.022233,0.057341,0.010173,0.005877,-0.006306,-0.044989,0.009621,0.087323,1.000000,0.000051,0.000029,-0.000032,0.216998,0.241885,0.004300,-0.945719,6.259335,27.346933,-152.629835
62736,-4.516876,0.992198,8.774544,-0.026238,-0.046607,0.105800,0.010046,0.006697,-0.009860,-0.045165,0.009920,0.087747,1.000000,0.000050,0.000033,-0.000049,0.216990,0.241901,0.004289,-0.945717,6.261006,27.348471,-152.630180
62737,-4.513081,1.004680,8.698051,0.010454,-0.050742,0.037729,0.008014,0.005358,-0.006009,-0.045128,0.010045,0.086982,1.000000,0.000040,0.000027,-0.000030,0.217004,0.241911,0.004284,-0.945711,6.262351,27.349430,-152.628083
62738,-4.511981,0.994392,8.719616,-0.004689,-0.044183,0.055267,0.009183,0.005410,-0.009964,-0.045117,0.009942,0.087198,1.000000,0.000046,0.000027,-0.000050,0.216999,0.241920,0.004276,-0.945710,6.263459,27.350281,-152.628238
62739,-4.512556,0.994738,8.719279,-0.004191,-0.044212,0.055267,0.007950,0.005767,-0.007785,-0.045123,0.009946,0.087194,1.000000,0.000040,0.000029,-0.000039,0.217004,0.241933,0.004275,-0.945706,6.264257,27.351584,-152.627251
62740,-4.500035,1.023989,8.732130,-0.008021,-0.077376,0.063694,0.005664,0.006067,-0.011043,-0.044997,0.010240,0.087323,1.000000,0.000028,0.000030,-0.000055,0.216998,0.241941,0.004286,-0.945705,6.263024,27.352879,-152.628189
62741,-4.510360,0.973790,8.762458,-0.034514,-0.031177,0.090349,0.009678,0.002948,-0.008691,-0.045102,0.009736,0.087626,1.000000,0.000048,0.000015,-0.000043,0.216997,0.241942,0.004274,-0.945705,6.264454,27.352633,-152.627981
62742,-4.504872,0.975362,8.707900,-0.013479,-0.028711,0.039811,0.005231,0.008119,-0.010536,-0.045045,0.009754,0.087081,1.000000,0.000026,0.000041,-0.000053,0.216993,0.241959,0.004288,-0.945702,6.263221,27.355047,-152.628464
