PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
20091,-4.685003,1.455111,8.571838,-0.105478,-0.013064,0.063127,-0.038208,0.010879,-0.022862,-0.046844,0.014573,0.085718,1.000000,-0.000191,0.000054,-0.000114,-0.796951,-0.205242,-0.155196,0.546497,10.289813,28.144436,-66.293781
20092,-4.675803,1.504252,8.567021,-0.052034,-0.001478,0.062385,-0.037215,0.008744,-0.019942,-0.046753,0.015063,0.085669,1.000000,-0.000186,0.000044,-0.000100,-0.796962,-0.205073,-0.155349,0.546500,10.261624,28.148614,-66.300018
20093,-4.709022,1.474030,8.573731,-0.088161,0.013182,0.079157,-0.026916,0.010418,-0.014910,-0.047085,0.014755,0.085738,1.000000,-0.000135,0.000052,-0.000075,-0.796976,-0.204952,-0.155477,0.546490,10.240728,28.153260,-66.302896
20094,-4.668927,1.528123,8.553664,-0.020608,0.008684,0.051324,-0.030509,0.008654,-0.012638,-0.046685,0.015297,0.085536,1.000000,-0.000153,0.000043,-0.000063,-0.797001,-0.204815,-0.155604,0.546469,10.218575,28.156641,-66.304477
20095,-4.692514,1.528739,8.547300,-0.025332,0.032467,0.057032,-0.033079,-0.002597,-0.010303,-0.046925,0.015304,0.085470,1.000000,-0.000165,-0.000013,-0.000052,-0.797043,-0.204638,-0.155692,0.546448,10.194829,28.153478,-66.305912
20096,-4.712788,1.574621,8.558388,0.013986,0.060180,0.083371,-0.038837,-0.006160,-0.014963,-0.047129,0.015766,0.085579,1.000000,-0.000194,-0.000031,-0.000075,-0.797081,-0.204426,-0.155785,0.546445,10.166397,28.148740,-66.310686
20097,-4.635163,1.566226,8.557748,0.037629,-0.001902,0.044870,-0.050207,-0.011859,-0.014591,-0.046356,0.015687,0.085571,1.000000,-0.000251,-0.000059,-0.000073,-0.797137,-0.204151,-0.155888,0.546438,10.131045,28.140785,-66.315920
20098,-4.684028,1.629005,8.593455,0.084863,0.043901,0.108609,-0.065719,-0.018207,-0.018116,-0.046847,0.016323,0.085925,1.000000,-0.000329,-0.000091,-0.000091,-0.797203,-0.203796,-0.156010,0.546439,10.085616,28.129565,-66.324077
20099,-4.677637,1.584197,8.556578,0.050171,0.047641,0.066594,-0.073299,-0.023407,-0.021778,-0.046785,0.015878,0.085554,1.000000,-0.000366,-0.000117,-0.000109,-0.797271,-0.203393,-0.156136,0.546453,10.034258,28.115807,-66.335204
20100,-4.629059,1.541240,8.644722,0.036347,-0.043082,0.113623,-0.088817,-0.029750,-0.025302,-0.046301,0.015457,0.086433,1.000000,-0.000444,-0.000149,-0.000127,-0.797350,-0.202909,-0.156282,0.546476,9.972834,28.098776,-66.349235
20101,-4.637302,1.506011,8.580046,0.006265,-0.008945,0.055935,-0.089594,-0.036210,-0.032845,-0.046386,0.015106,0.085785,1.000000,-0.000448,-0.000181,-0.000164,-0.797414,-0.202397,-0.156413,0.546535,9.908153,28.078867,-66.368841
20102,-4.643596,1.465984,8.596341,-0.025140,-0.017574,0.067000,-0.092218,-0.036970,-0.036523,-0.046449,0.014708,0.085948,1.000000,-0.000461,-0.000185,-0.000183,-0.797471,-0.201870,-0.156551,0.546608,9.841055,28.058835,-66.390806
20103,-4.711814,1.445400,8.570780,-0.061451,0.050725,0.073783,-0.087838,-0.036068,-0.034113,-0.047131,0.014500,0.085693,1.000000,-0.000439,-0.000180,-0.000171,-0.797529,-0.201364,-0.156680,0.546672,9.777045,28.039090,-66.411148
20104,-4.676892,1.463532,8.567253,-0.025292,0.037129,0.057016,-0.075288,-0.042622,-0.036490,-0.046785,0.014676,0.085657,1.000000,-0.000376,-0.000213,-0.000182,-0.797573,-0.200890,-0.156749,0.546763,9.719405,28.015822,-66.433656
20105,-4.633799,1.462756,8.613981,-0.003044,-0.014026,0.077318,-0.072350,-0.038563,-0.033738,-0.046352,0.014667,0.086126,1.000000,-0.000362,-0.000193,-0.000169,-0.797619,-0.200439,-0.156824,0.546841,9.664293,27.994595,-66.453977
