PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
09727,-9.241924,3.045590,-0.039333,0.052660,-0.007952,-0.081938,0.008206,0.006708,-0.008788,-0.092418,0.030460,-0.000389,1.000000,0.000041,0.000034,-0.000044,0.517865,0.617950,0.346300,-0.479614,90.664666,72.069122,-12.905151
09728,-9.228946,3.059327,-0.025305,0.065499,-0.025835,-0.090105,0.007604,0.004685,-0.003016,-0.092289,0.030595,-0.000250,1.000000,0.000038,0.000023,-0.000015,0.517858,0.617982,0.346262,-0.479607,90.669794,72.065113,-12.904230
09729,-9.245884,3.045859,0.001453,0.041361,-0.047731,-0.078231,0.004137,0.003498,-0.009880,-0.092457,0.030463,0.000017,1.000000,0.000021,0.000017,-0.000049,0.517847,0.617990,0.346251,-0.479618,90.670330,72.065249,-12.906134
09730,-9.272353,3.034016,-0.086159,0.042664,0.041543,-0.056373,0.009365,0.009834,-0.005517,-0.092723,0.030343,-0.000856,1.000000,0.000047,0.000049,-0.000028,0.517819,0.618035,0.346229,-0.479604,90.685625,72.062635,-12.895588
09731,-9.286717,3.074160,-0.033128,0.062432,-0.018468,-0.030539,0.007473,0.006299,-0.003578,-0.092867,0.030743,-0.000327,1.000000,0.000037,0.000031,-0.000018,0.517808,0.618069,0.346197,-0.479596,90.692895,72.059141,-12.892422
09732,-9.250022,3.062853,-0.016241,0.058752,-0.035208,-0.068995,0.004632,0.006501,-0.012371,-0.092498,0.030634,-0.000159,1.000000,0.000023,0.000033,-0.000062,0.517784,0.618083,0.346200,-0.479603,90.699725,72.060475,-12.887923
09733,-9.246803,3.060268,-0.059191,0.067568,0.006429,-0.072692,0.002214,0.009419,-0.012683,-0.092466,0.030609,-0.000587,1.000000,0.000011,0.000047,-0.000063,0.517762,0.618095,0.346217,-0.479599,90.709698,72.062175,-12.878750
09734,-9.230532,3.054492,-0.030285,0.060488,-0.022147,-0.090064,0.004370,0.009729,-0.013497,-0.092303,0.030551,-0.000298,1.000000,0.000022,0.000049,-0.000067,0.517731,0.618113,0.346232,-0.479598,90.722115,72.064128,-12.868220
09735,-9.230883,3.053422,-0.031288,0.059674,-0.021520,-0.090057,0.004390,0.009096,-0.009652,-0.092307,0.030539,-0.000308,1.000000,0.000022,0.000045,-0.000048,0.517710,0.618135,0.346234,-0.479591,90.732699,72.064092,-12.859715
09736,-9.237203,3.017836,-0.074353,0.034834,0.027891,-0.094828,0.009839,0.013476,-0.011854,-0.092370,0.030184,-0.000736,1.000000,0.000049,0.000067,-0.000059,0.517659,0.618180,0.346240,-0.479584,90.754846,72.065072,-12.842253
09737,-9.220894,3.012183,-0.045878,0.027802,-0.000664,-0.112200,0.008571,0.011331,-0.011843,-0.092207,0.030127,-0.000452,1.000000,0.000043,0.000057,-0.000059,0.517616,0.618214,0.346244,-0.479583,90.771833,72.066274,-12.829535
09738,-9.267790,2.988430,-0.064636,-0.003869,0.025100,-0.074814,0.014415,0.010872,-0.012357,-0.092676,0.029890,-0.000639,1.000000,0.000072,0.000054,-0.000062,0.517554,0.618263,0.346235,-0.479593,90.792009,72.067558,-12.816899
09739,-9.268119,2.987376,-0.066146,-0.004683,0.025729,-0.074816,0.012772,0.012933,-0.010190,-0.092680,0.029879,-0.000654,1.000000,0.000064,0.000065,-0.000051,0.517499,0.618315,0.346228,-0.479590,90.814203,72.067796,-12.801239
09740,-9.268431,2.986373,-0.067635,-0.005541,0.026334,-0.074818,0.009973,0.011866,-0.011294,-0.092683,0.029869,-0.000669,1.000000,0.000050,0.000059,-0.000056,0.517453,0.618357,0.346228,-0.479587,90.833573,72.068461,-12.786775
09741,-9.248486,2.979298,-0.081387,-0.002931,0.038782,-0.095907,0.019373,0.012255,-0.012068,-0.092483,0.029799,-0.000805,1.000000,0.000097,0.000061,-0.000060,0.517374,0.618421,0.346209,-0.479602,90.858398,72.069778,-12.772324
09742,-9.242865,3.012883,-0.041241,0.020191,-0.009423,-0.091102,0.018749,0.010866,-0.010140,-0.092427,0.030134,-0.000405,1.000000,0.000094,0.000054,-0.000051,0.517304,0.618485,0.346183,-0.479614,90.881000,72.069788,-12.759749
09743,-9.259815,3.016428,-0.072559,0.025590,0.020394,-0.073734,0.016082,0.008185,-0.010680,-0.092597,0.030169,-0.000719,1.000000,0.000080,0.000041,-0.000053,0.517246,0.618534,0.346157,-0.479633,90.896702,72.070343,-12.752906
09744,-9.276873,3.002633,-0.046616,0.001390,-0.001509,-0.061875,0.010618,0.012627,-0.009381,-0.092767,0.030031,-0.000459,1.000000,0.000053,0.000063,-0.000047,0.517200,0.618582,0.346152,-0.479623,90.917742,72.069899,-12.737077
09745,-9.260364,3.014680,-0.075058,0.023919,0.021628,-0.073733,0.006057,0.006407,-0.007979,-0.092602,0.030151,-0.000747,1.000000,0.000030,0.000032,-0.000040,0.517182,0.618605,0.346137,-0.479623,90.924474,72.068921,-12.733623
09746,-9.293993,3.005593,-0.078709,0.005926,0.028918,-0.044513,0.006305,0.012005,-0.007755,-0.092939,0.030060,-0.000781,1.000000,0.000032,0.000060,-0.000039,0.517155,0.618644,0.346136,-0.479604,90.941894,72.067550,-12.719002
09747,-9.260829,3.013202,-0.076997,0.022248,0.022862,-0.073732,0.001102,0.005026,-0.008269,-0.092607,0.030136,-0.000767,1.000000,0.000006,0.000025,-0.000041,0.517154,0.618650,0.346130,-0.479600,90.943351,72.066751,-12.718110
09748,-9.264567,3.031385,-0.092596,0.041302,0.034160,-0.064498,0.001877,0.004171,-0.005788,-0.092645,0.030317,-0.000924,1.000000,0.000009,0.000021,-0.000029,0.517159,0.618662,0.346113,-0.479592,90.944308,72.064327,-12.718124
09749,-9.254046,2.991582,-0.104912,0.010312,0.054404,-0.086698,0.001103,0.005027,-0.008270,-0.092539,0.029920,-0.001047,1.000000,0.000006,0.000025,-0.000041,0.517158,0.618669,0.346108,-0.479589,90.945766,72.063528,-12.717231
09750,-9.244703,3.024055,-0.105505,0.043071,0.047202,-0.085586,-0.002190,0.000953,-0.006880,-0.092446,0.030244,-0.001055,1.000000,-0.000011,0.000005,-0.000034,0.517179,0.618660,0.346096,-0.479586,90.938737,72.061760,-12.723191
09751,-9.248594,3.024863,-0.063473,0.032612,0.006828,-0.081849,-0.000033,0.001266,-0.007693,-0.092485,0.030252,-0.000634,1.000000,-0.000000,0.000006,-0.000038,0.517189,0.618656,0.346081,-0.479591,90.932871,72.060666,-12.729312
09752,-9.245154,3.022672,-0.105690,0.041403,0.048433,-0.085585,-0.000033,0.001266,-0.007693,-0.092450,0.030230,-0.001056,1.000000,-0.000000,0.000006,-0.000038,0.517200,0.618652,0.346067,-0.479594,90.927659,72.059359,-12.734660
09753,-9.239500,3.056615,-0.064037,0.064556,0.000254,-0.080720,-0.000033,0.001266,-0.007693,-0.092394,0.030570,-0.000640,1.000000,-0.000000,0.000006,-0.000038,0.517211,0.618648,0.346053,-0.479599,90.921795,72.058265,-12.740779
09754,-9.252809,3.041612,-0.078922,0.049993,0.019360,-0.072603,0.001498,0.000188,-0.006577,-0.092527,0.030419,-0.000789,1.000000,0.000007,0.000001,-0.000033,0.517222,0.618648,0.346029,-0.479604,90.915527,72.056327,-12.748160
09755,-9.239961,3.055221,-0.064077,0.062886,0.001485,-0.080709,-0.004230,-0.000339,-0.009350,-0.092398,0.030557,-0.000642,1.000000,-0.000021,-0.000002,-0.000047,0.517244,0.618626,0.346026,-0.479611,90.904467,72.056196,-12.757212
