PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
34789,-3.802108,2.825914,8.760498,-0.096174,-0.141558,0.145164,0.230671,0.132882,0.032410,-0.037967,0.028152,0.087663,0.999999,0.001153,0.000664,0.000162,0.591769,0.253751,0.007167,-0.765094,18.374758,23.376373,-100.726283
34790,-3.830322,2.918536,8.773215,-0.037512,-0.155902,0.193947,0.232162,0.165585,0.023668,-0.038234,0.029079,0.087798,0.999999,0.001161,0.000828,0.000118,0.591606,0.255033,0.006755,-0.764798,18.522867,23.458860,-100.674661
34791,-3.869831,2.949000,8.718070,-0.008953,-0.123057,0.170380,0.242192,0.192195,0.017792,-0.038617,0.029381,0.087253,0.999999,0.001211,0.000961,0.000089,0.591406,0.256449,0.006381,-0.764482,18.678733,23.556207,-100.620555
34792,-3.898175,3.061428,8.699142,0.077067,-0.139507,0.198191,0.244166,0.231782,0.010432,-0.038882,0.030506,0.087074,0.999999,0.001221,0.001159,0.000052,0.591172,0.258018,0.006136,-0.764136,18.836309,23.676768,-100.562902
34793,-3.839495,3.219015,8.749676,0.161761,-0.274034,0.264973,0.229562,0.276138,-0.000744,-0.038274,0.032090,0.087587,0.999998,0.001148,0.001381,-0.000004,0.590913,0.259715,0.006082,-0.763763,18.987860,23.822787,-100.502065
34794,-3.611534,3.180642,8.828234,0.028522,-0.516104,0.228729,0.256331,0.326335,-0.043090,-0.035964,0.031701,0.088382,0.999998,0.001282,0.001632,-0.000215,0.590452,0.261678,0.006139,-0.763449,19.148045,24.004255,-100.455909
34795,-3.561102,3.318838,8.921359,0.071928,-0.664608,0.328300,0.357573,0.424102,-0.114151,-0.035403,0.033049,0.089348,0.999996,0.001788,0.002121,-0.000571,0.589581,0.264311,0.006182,-0.763214,19.358815,24.251400,-100.430526
34796,-4.377574,3.420497,8.771491,0.309492,0.042055,0.565367,0.474895,0.530318,-0.159538,-0.043516,0.034031,0.087911,0.999993,0.002374,0.002652,-0.000798,0.588373,0.267689,0.006158,-0.762969,19.634468,24.564913,-100.408939
34797,-4.114468,3.346814,8.878710,0.104329,-0.250706,0.525949,0.425849,0.479349,-0.135623,-0.040909,0.033307,0.088956,0.999995,0.002129,0.002397,-0.000678,0.587317,0.270729,0.006131,-0.762711,19.885241,24.845793,-100.382001
34798,-4.295941,2.879120,9.048797,-0.409494,-0.043993,0.601489,0.494671,0.537430,-0.136544,-0.042696,0.028596,0.090674,0.999993,0.002473,0.002687,-0.000683,0.586154,0.274186,0.006021,-0.762371,20.180297,25.158410,-100.341877
34799,-5.547316,2.617755,8.425056,-0.254974,1.315613,0.522223,0.763695,0.546183,-0.048472,-0.055236,0.025869,0.084501,0.999989,0.003818,0.002731,-0.000242,0.584949,0.278466,0.004783,-0.761754,20.654925,25.457458,-100.244700
34800,-5.711623,2.967085,8.293807,0.045890,1.367975,0.595920,0.930329,0.406848,0.151647,-0.056969,0.029241,0.083191,0.999987,0.004652,0.002034,0.000758,0.584262,0.282698,0.002233,-0.760733,21.263294,25.640580,-100.057588
34801,-5.892938,3.697835,8.961827,0.328418,1.067212,1.477443,0.975011,0.312368,0.308119,-0.058846,0.036450,0.089889,0.999986,0.004875,0.001562,0.001541,0.584093,0.286698,-0.000994,-0.759367,21.930328,25.737994,-99.797207
34802,-5.992798,4.288052,9.320084,0.600028,0.862045,2.022046,0.741294,0.132598,0.469275,-0.059966,0.042394,0.093398,0.999990,0.003706,0.000663,0.002346,0.584855,0.289323,-0.004079,-0.757773,22.485469,25.703280,-99.484351
34803,-4.426657,4.588656,9.095661,0.653407,-0.512436,1.263959,0.428037,-0.132207,0.568423,-0.044457,0.045566,0.091025,0.999993,0.002140,-0.000661,0.002842,0.586432,0.290024,-0.006905,-0.756264,22.858431,25.503747,-99.178447
34804,-3.316119,5.322284,9.237427,1.033401,-1.720959,1.170179,0.237806,-0.225520,0.674081,-0.033444,0.053001,0.092400,0.999993,0.001189,-0.001128,0.003370,0.588672,0.289805,-0.009429,-0.754579,23.136018,25.230463,-98.836206
34805,-2.336644,4.547333,9.106972,0.257648,-2.251233,0.382423,-0.070878,-0.342791,0.749584,-0.023693,0.045417,0.091013,0.999991,-0.000354,-0.001714,0.003748,0.591631,0.288229,-0.011253,-0.752842,23.241427,24.876669,-98.480810
34806,-1.926737,4.448172,9.116382,0.118378,-2.521948,0.198918,-0.091877,-0.434478,0.809917,-0.019645,0.044445,0.091101,0.999989,-0.000459,-0.002172,0.004050,0.594829,0.286234,-0.013348,-0.751046,23.336121,24.460848,-98.115416
34807,-1.338312,4.126348,8.550771,0.026430,-2.703397,-0.613559,-0.199973,-0.525723,0.756048,-0.013764,0.041297,0.085431,0.999989,-0.001000,-0.002629,0.003780,0.597961,0.283574,-0.015238,-0.749530,23.344409,24.008501,-97.805179
34808,-1.302081,3.366124,8.460286,-0.587328,-2.423920,-0.959332,-0.253758,-0.538748,0.639996,-0.013356,0.033726,0.084524,0.999990,-0.001269,-0.002694,0.003200,0.600721,0.280705,-0.016795,-0.748370,23.290374,23.575876,-97.566053
34809,-1.809388,3.113619,8.213766,-0.617992,-1.753608,-1.039032,-0.191214,-0.577517,0.528094,-0.018413,0.031166,0.082055,0.999992,-0.000956,-0.002888,0.002640,0.602960,0.277885,-0.018551,-0.747579,23.241894,23.148225,-97.400727
34810,-1.694453,3.190359,7.537226,-0.242313,-1.613851,-1.615383,-0.282818,-0.565941,0.401385,-0.017222,0.031976,0.075279,0.999993,-0.001414,-0.002830,0.002007,0.604845,0.274835,-0.019749,-0.747153,23.111990,22.755361,-97.305123
34811,-1.381408,2.500853,6.312569,-0.333669,-1.304321,-3.015750,-0.386659,-0.393068,0.244900,-0.013969,0.025113,0.063050,0.999995,-0.001933,-0.001965,0.001224,0.606298,0.272134,-0.019825,-0.746963,22.904994,22.489092,-97.255667
34812,-1.763372,2.056185,5.788964,-0.436732,-0.661862,-3.470712,-0.329366,-0.115666,0.146049,-0.017682,0.020644,0.057845,0.999998,-0.001647,-0.000578,0.000730,0.607327,0.270645,-0.019137,-0.746685,22.734130,22.391140,-97.195418
34813,-2.584031,2.320020,5.832570,-0.108264,0.007953,-3.025436,-0.246878,0.166899,0.089743,-0.025802,0.023261,0.058319,0.999999,-0.001234,0.000834,0.000449,0.608059,0.270471,-0.017825,-0.746185,22.624867,22.455443,-97.099288
34814,-3.053814,2.444527,5.745219,0.104133,0.414639,-2.875382,-0.271744,0.421610,0.018507,-0.030419,0.024521,0.057483,0.999997,-0.001359,0.002108,0.000093,0.608580,0.271171,-0.015547,-0.745557,22.508356,22.670010,-96.983681
34815,-3.505707,1.864088,5.516953,-0.259066,1.010450,-3.096050,-0.411620,0.691108,-0.157643,-0.034851,0.018782,0.055252,0.999992,-0.002058,0.003456,-0.000788,0.608647,0.272467,-0.011691,-0.745100,22.298392,23.066442,-96.905563
34816,-4.494226,1.371264,5.351734,-0.502343,2.026695,-3.003947,-0.608468,1.015161,-0.547682,-0.044632,0.013998,0.053702,0.999979,-0.003042,0.005076,-0.002738,0.607531,0.274380,-0.005581,-0.745380,21.915357,23.719112,-96.979164
34817,-6.399625,0.926699,6.843810,-1.259642,3.280847,-1.077773,-0.967371,1.171718,-0.915122,-0.063550,0.009891,0.068764,0.999961,-0.004837,0.005859,-0.004576,0.605504,0.275786,0.002844,-0.746524,21.250915,24.532243,-97.237729
34818,-9.126619,2.568971,11.540301,-1.276630,3.569889,4.633623,-0.876102,0.740656,-0.777585,-0.090736,0.026549,0.115625,0.999976,-0.004380,0.003703,-0.003888,0.603833,0.275839,0.009439,-0.747803,20.623374,25.083887,-97.524332
34819,-12.991350,5.215913,14.579619,0.485806,5.183394,9.717841,-0.652639,-0.034171,-0.085449,-0.129916,0.052690,0.145603,0.999995,-0.003263,-0.000171,-0.000427,0.604461,0.273699,0.011898,-0.748047,20.222490,25.078703,-97.577337
34820,-4.441391,1.952898,5.911290,-0.005595,1.416710,-2.297650,-0.390383,-0.549673,-0.094128,-0.044567,0.019665,0.058952,0.999994,-0.001952,-0.002748,-0.000471,0.604719,0.270417,0.011840,-0.749032,19.921591,24.798091,-97.747613
34821,-5.452826,3.883539,8.578571,0.851993,0.914940,0.996753,0.061081,-0.096662,0.206448,-0.054610,0.038753,0.085771,0.999999,0.000305,-0.000483,0.001032,0.605464,0.270215,0.011045,-0.748516,19.996831,24.701775,-97.640787
34822,-6.663175,4.962594,8.987470,1.817652,1.615431,2.182566,0.014558,-0.402804,0.233337,-0.066870,0.049541,0.089744,0.999997,0.000073,-0.002014,0.001167,0.606384,0.268726,0.009471,-0.748328,20.023102,24.436012,-97.584682
34823,-2.599667,3.399921,8.268737,0.193040,-1.344998,-0.601645,-0.128250,-0.421917,0.157939,-0.026198,0.034032,0.082610,0.999997,-0.000641,-0.002110,0.000790,0.607214,0.266729,0.008464,-0.748381,19.948371,24.174016,-97.576832
34824,-4.361780,4.514899,8.923902,1.185166,-0.228833,1.031131,-0.119897,-0.266019,0.122380,-0.043764,0.045176,0.089154,0.999999,-0.000599,-0.001330,0.000612,0.607889,0.265338,0.007957,-0.748334,19.882639,24.003707,-97.556623
34825,-3.486909,4.019255,8.424053,0.841952,-0.694223,0.091184,-0.224405,-0.312287,0.063078,-0.035013,0.040276,0.084141,0.999998,-0.001122,-0.001561,0.000315,0.608482,0.263452,0.007769,-0.748520,19.739877,23.819252,-97.580572
34826,-3.960619,3.975247,8.601768,0.821623,-0.286535,0.420699,-0.301447,-0.263388,0.014213,-0.039722,0.039879,0.085905,0.999998,-0.001507,-0.001317,0.000071,0.608988,0.261513,0.008091,-0.748785,19.545047,23.671241,-97.622679
34827,-3.803665,3.308895,8.625568,0.220194,-0.243582,0.172757,-0.348411,-0.260724,-0.013778,-0.038147,0.033242,0.086148,0.999998,-0.001742,-0.001304,-0.000069,0.609450,0.259438,0.008624,-0.749125,19.318062,23.529154,-97.679828
34828,-3.890857,3.043744,8.736161,-0.014562,-0.114171,0.222763,-0.355069,-0.237869,-0.022596,-0.039009,0.030597,0.087261,0.999998,-0.001775,-0.001189,-0.000113,0.609881,0.257427,0.009272,-0.749460,19.086749,23.401569,-97.737037
34829,-3.964728,3.053241,8.589790,0.097382,0.015782,0.127934,-0.349538,-0.235674,-0.020335,-0.039745,0.030686,0.085798,0.999998,-0.001748,-0.001178,-0.000102,0.610312,0.255440,0.009895,-0.749781,18.860375,23.273863,-97.791620
34830,-3.789859,2.949147,8.617061,0.007759,-0.109541,0.051493,-0.336995,-0.221272,-0.027888,-0.037990,0.029642,0.086079,0.999998,-0.001685,-0.001106,-0.000139,0.610694,0.253544,0.010532,-0.750105,18.640214,23.155837,-97.847410
34831,-3.871536,2.621458,8.787190,-0.310631,0.006597,0.136127,-0.312633,-0.184223,-0.030890,-0.038792,0.026358,0.087795,0.999998,-0.001563,-0.000921,-0.000154,0.611031,0.251860,0.011187,-0.750388,18.437191,23.057626,-97.896887
34832,-3.832874,2.394062,8.793501,-0.495967,0.038694,0.061550,-0.255816,-0.169824,-0.029623,-0.038400,0.024059,0.087872,0.999999,-0.001279,-0.000849,-0.000148,0.611298,0.250403,0.011679,-0.750651,18.267633,22.967526,-97.942642
34833,-3.690397,2.441641,8.863859,-0.469304,-0.115399,0.082515,-0.213244,-0.138549,-0.022436,-0.036963,0.024515,0.088587,0.999999,-0.001066,-0.000693,-0.000112,0.611536,0.249193,0.012090,-0.750853,18.127373,22.892393,-97.977548
