PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
15541,-9.564025,-1.207962,-0.670275,-0.133547,-0.670759,-0.173638,0.069928,0.003538,0.013558,-0.095640,-0.012084,-0.006705,1.000000,0.000350,0.000018,0.000068,0.026110,0.722770,0.167675,-0.669931,-118.389706,77.732825,77.453239
15542,-9.538560,-1.301480,-0.712272,-0.118147,-0.564310,-0.176666,0.026902,0.007913,0.010861,-0.095385,-0.013019,-0.007121,1.000000,0.000135,0.000040,0.000054,0.026091,0.722805,0.167509,-0.669935,-118.412618,77.743099,77.414990
15543,-9.569230,-1.468971,-0.851503,-0.032733,-0.375305,-0.101293,0.002176,0.007026,-0.005897,-0.095693,-0.014687,-0.008512,1.000000,0.000011,0.000035,-0.000029,0.026094,0.722817,0.167489,-0.669927,-118.421991,77.744315,77.404147
15544,-9.535521,-1.494387,-0.791686,-0.095904,-0.360235,-0.135541,0.002376,0.007981,-0.019555,-0.095357,-0.014934,-0.007913,1.000000,0.000012,0.000040,-0.000098,0.026060,0.722824,0.167514,-0.669914,-118.420778,77.739278,77.404651
15545,-9.524352,-1.488317,-0.903668,0.013607,-0.335556,-0.136314,-0.011025,0.009968,-0.024940,-0.095246,-0.014872,-0.009031,1.000000,-0.000055,0.000050,-0.000125,0.026044,0.722828,0.167607,-0.669887,-118.420641,77.730096,77.411281
15546,-9.539373,-1.493538,-1.035376,0.137384,-0.300573,-0.107376,-0.026772,0.008956,-0.026932,-0.095396,-0.014924,-0.010347,1.000000,-0.000134,0.000045,-0.000135,0.026090,0.722829,0.167755,-0.669848,-118.429041,77.721096,77.418962
15547,-9.481774,-1.494106,-1.175881,0.274299,-0.252817,-0.149358,-0.037388,0.007566,-0.029591,-0.094820,-0.014929,-0.011752,1.000000,-0.000187,0.000038,-0.000148,0.026156,0.722817,0.167953,-0.669808,-118.432627,77.710226,77.437241
15548,-9.442642,-1.703034,-1.172777,0.214441,-0.050315,-0.148801,-0.040289,0.009292,-0.033402,-0.094430,-0.017017,-0.011720,1.000000,-0.000201,0.000046,-0.000167,0.026226,0.722812,0.168168,-0.669757,-118.441471,77.697921,77.452125
15549,-9.443571,-1.884370,-1.284167,0.270420,0.147824,-0.102590,-0.040087,0.002423,-0.030191,-0.094439,-0.018832,-0.012837,1.000000,-0.000200,0.000012,-0.000151,0.026305,0.722782,0.168376,-0.669734,-118.434004,77.688153,77.483302
15550,-9.443513,-1.992116,-1.346279,0.300197,0.264429,-0.076113,-0.021853,-0.004949,-0.028781,-0.094438,-0.019909,-0.013463,1.000000,-0.000109,-0.000025,-0.000144,0.026339,0.722735,0.168514,-0.669749,-118.405503,77.682036,77.526060
