PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
15541,-3.976366,1.038044,8.930006,-0.053634,0.122888,0.016659,0.067443,0.026401,-0.042219,-0.039750,0.010359,0.089309,1.000000,0.000337,0.000132,-0.000211,0.251653,0.215072,-0.005863,-0.943600,7.490589,23.761666,-148.556106
15542,-3.961794,1.069336,8.943727,-0.060754,0.090947,0.026905,0.093197,0.020418,-0.037361,-0.039607,0.010659,0.089446,1.000000,0.000466,0.000102,-0.000187,0.251452,0.215264,-0.006223,-0.943607,7.534759,23.773379,-148.568977
15543,-3.962753,1.064164,9.000188,-0.091320,0.096019,0.077797,0.110560,0.022054,-0.036353,-0.039616,0.010599,0.090012,1.000000,0.000553,0.000110,-0.000182,0.251237,0.215485,-0.006661,-0.943611,7.588904,23.785952,-148.581239
15544,-4.054190,1.132342,8.920962,0.037807,0.094565,0.050975,0.128531,0.026070,-0.030741,-0.040529,0.011272,0.089222,1.000000,0.000643,0.000130,-0.000154,0.251029,0.215748,-0.007187,-0.943603,7.655158,23.800393,-148.589516
15545,-3.955487,1.309636,8.952708,0.024137,-0.102852,0.061564,0.121048,0.016630,-0.025989,-0.039546,0.013047,0.089538,1.000000,0.000605,0.000083,-0.000130,0.250850,0.215956,-0.007693,-0.943598,7.717732,23.809117,-148.595773
15546,-3.940854,1.394108,8.997492,0.028417,-0.181993,0.106728,0.073371,0.020124,-0.020292,-0.039398,0.013912,0.089984,1.000000,0.000367,0.000101,-0.000101,0.250751,0.216120,-0.007978,-0.943585,7.754807,23.819393,-148.598037
15547,-4.028969,1.320977,8.950098,0.077818,-0.068547,0.090397,0.053727,0.030308,-0.017189,-0.040275,0.013189,0.089511,1.000000,0.000269,0.000152,-0.000086,0.250687,0.216308,-0.008159,-0.943557,7.781485,23.835208,-148.597663
15548,-3.999049,1.398464,8.942918,0.089357,-0.148074,0.081451,0.047916,0.031125,-0.024511,-0.039975,0.013968,0.089439,1.000000,0.000240,0.000156,-0.000123,0.250596,0.216493,-0.008305,-0.943538,7.803307,23.852058,-148.601594
15549,-4.088999,1.396190,8.891017,0.176174,-0.097304,0.070578,0.035213,0.025541,-0.019307,-0.040877,0.013950,0.088918,1.000000,0.000176,0.000128,-0.000097,0.250542,0.216635,-0.008402,-0.943519,7.818687,23.865332,-148.602928
15550,-4.038307,1.401913,8.940732,0.116681,-0.130729,0.095858,0.012644,0.010663,-0.021348,-0.040377,0.014018,0.089410,1.000000,0.000063,0.000053,-0.000107,0.250503,0.216679,-0.008411,-0.943519,7.820402,23.870326,-148.606625
15551,-4.055839,1.324839,8.893626,0.113280,-0.051271,0.050686,0.001068,0.006547,-0.023078,-0.040554,0.013253,0.088938,1.000000,0.000005,0.000033,-0.000115,0.250468,0.216689,-0.008367,-0.943526,7.814616,23.873112,-148.611916
