PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
38928,-2.361685,3.476744,8.984824,0.082893,-0.146956,0.105170,0.043027,-0.008086,-0.021595,-0.023617,0.034751,0.089855,1.000000,0.000215,-0.000040,-0.000108,0.316569,0.172172,-0.122037,-0.924796,20.176262,13.956295,-139.711611
38929,-2.408012,3.457815,8.911836,0.134146,-0.109461,0.043573,0.038105,-0.000801,-0.016931,-0.024078,0.034563,0.089125,1.000000,0.000191,-0.000004,-0.000085,0.316500,0.172208,-0.122178,-0.924795,20.192471,13.955956,-139.717296
38930,-2.381377,3.503487,8.929463,0.130522,-0.157847,0.068544,0.025626,0.010054,-0.012939,-0.023807,0.035025,0.089300,1.000000,0.000128,0.000050,-0.000065,0.316466,0.172273,-0.122247,-0.924785,20.202674,13.960716,-139.718547
38931,-2.324376,3.428230,8.956197,0.035141,-0.132027,0.053938,0.020161,0.015042,-0.008493,-0.023236,0.034274,0.089567,1.000000,0.000101,0.000075,-0.000042,0.316460,0.172349,-0.122287,-0.924768,20.210521,13.967231,-139.716323
38932,-2.362208,3.412807,8.983427,0.042039,-0.093106,0.082706,0.018054,0.024083,-0.000265,-0.023611,0.034120,0.089840,1.000000,0.000090,0.000120,-0.000001,0.316500,0.172458,-0.122310,-0.924730,20.218772,13.977025,-139.707688
38933,-2.355378,3.358739,9.002128,-0.001870,-0.053534,0.079955,0.017967,0.022150,0.001742,-0.023544,0.033579,0.090027,1.000000,0.000090,0.000111,0.000009,0.316548,0.172557,-0.122337,-0.924692,20.227090,13.985330,-139.698339
38934,-2.327911,3.307353,9.048375,-0.070674,-0.025539,0.098175,0.020141,0.027824,0.012647,-0.023269,0.033063,0.090490,1.000000,0.000101,0.000139,0.000063,0.316648,0.172680,-0.122375,-0.924630,20.238454,13.994574,-139.681782
38935,-2.317513,3.210606,9.003171,-0.115672,0.037812,0.022004,0.028053,0.028500,0.015317,-0.023165,0.032092,0.090040,1.000000,0.000140,0.000142,0.000077,0.316754,0.172816,-0.122450,-0.924558,20.254689,14.003596,-139.663614
38936,-2.321193,3.280861,9.039781,-0.092662,-0.008385,0.079783,0.036781,0.031457,0.014415,-0.023200,0.032790,0.090407,1.000000,0.000184,0.000157,0.000072,0.316850,0.172980,-0.122561,-0.924480,20.276011,14.014433,-139.645328
38937,-2.372492,3.276568,9.096810,-0.083360,0.035587,0.142630,0.039153,0.027050,0.017986,-0.023716,0.032746,0.090978,1.000000,0.000196,0.000135,0.000090,0.316958,0.173125,-0.122693,-0.924398,20.298895,14.022129,-139.625971
38938,-2.415297,3.276157,9.039516,-0.032855,0.058687,0.100697,0.049710,0.023302,0.020443,-0.024146,0.032737,0.090406,1.000000,0.000249,0.000117,0.000102,0.317065,0.173269,-0.122881,-0.924309,20.328037,14.027370,-139.606008
38939,-2.435708,3.339880,9.089804,-0.006746,0.031988,0.172849,0.054005,0.011797,0.017576,-0.024355,0.033372,0.090908,1.000000,0.000270,0.000059,0.000088,0.317149,0.173367,-0.123105,-0.924232,20.358618,14.026935,-139.590001
38940,-2.510547,3.315383,9.103351,0.028055,0.101983,0.195031,0.014003,0.002241,0.004228,-0.025105,0.033147,0.091036,1.000000,0.000070,0.000011,0.000021,0.317199,0.173367,-0.123148,-0.924209,20.364078,14.024079,-139.583339
38941,-2.475125,3.244116,9.061369,-0.020708,0.131406,0.124175,0.037315,-0.008901,-0.011101,-0.024753,0.032426,0.090619,1.000000,0.000187,-0.000045,-0.000056,0.317152,0.173361,-0.123302,-0.924206,20.380215,14.018242,-139.587465
38942,-2.571128,3.313829,9.018650,0.104183,0.136645,0.132095,0.052991,-0.024219,-0.022857,-0.025718,0.033117,0.090192,1.000000,0.000265,-0.000121,-0.000114,0.317028,0.173317,-0.123544,-0.924225,20.403063,14.006580,-139.601242
