PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
44928,-8.533016,4.730112,0.349416,0.138867,0.087390,-0.051463,-0.052520,0.018471,-0.001832,-0.085329,0.047303,0.003490,1.000000,-0.000263,0.000092,-0.000009,0.098888,0.640532,-0.256816,-0.716928,84.514474,60.185417,-108.757541
44929,-8.490266,4.762656,0.447851,0.031803,0.063552,-0.067790,-0.032932,0.014740,-0.007408,-0.084901,0.047630,0.004477,1.000000,-0.000165,0.000074,-0.000037,0.099024,0.640543,-0.256696,-0.716942,84.503695,60.183997,-108.746719
44930,-8.514457,4.736005,0.424313,0.063932,0.092014,-0.061112,-0.011368,0.013162,-0.006540,-0.085143,0.047363,0.004246,1.000000,-0.000057,0.000066,-0.000033,0.099081,0.640555,-0.256667,-0.716934,84.504185,60.182097,-108.739056
44931,-8.484682,4.777627,0.371802,0.102315,0.030492,-0.068849,0.002511,0.008016,-0.004673,-0.084846,0.047778,0.003722,1.000000,0.000013,0.000040,-0.000023,0.099105,0.640556,-0.256686,-0.716923,84.507284,60.178748,-108.735645
44932,-8.467252,4.787382,0.469663,0.002847,0.038519,-0.074490,0.005426,0.005957,0.003116,-0.084673,0.047872,0.004700,1.000000,0.000027,0.000030,0.000016,0.099166,0.640552,-0.256717,-0.716907,84.510955,60.171349,-108.729669
44933,-8.433680,4.824290,0.368520,0.088617,-0.031704,-0.090152,-0.004038,0.014947,0.001199,-0.084337,0.048242,0.003691,1.000000,-0.000020,0.000075,0.000006,0.099241,0.640567,-0.256728,-0.716880,84.517753,60.165031,-108.717668
44934,-8.450465,4.943808,0.328182,0.107711,-0.133814,-0.018312,-0.009240,0.021541,-0.000433,-0.084504,0.049438,0.003289,1.000000,-0.000046,0.000108,-0.000002,0.099338,0.640607,-0.256707,-0.716837,84.528059,60.160320,-108.697523
44935,-8.479388,5.003995,0.416973,0.014897,-0.148843,0.040813,-0.011598,0.013377,-0.000073,-0.084794,0.050040,0.004173,1.000000,-0.000058,0.000067,-0.000000,0.099431,0.640614,-0.256688,-0.716825,84.528837,60.154640,-108.687468
44936,-8.422864,4.817558,0.540230,-0.078127,0.012838,-0.094710,-0.026688,0.008089,-0.004664,-0.084227,0.048178,0.005399,1.000000,-0.000133,0.000040,-0.000023,0.099559,0.640607,-0.256588,-0.716849,84.515372,60.151706,-108.681755
44937,-8.456076,4.675477,0.578783,-0.082494,0.158779,-0.134450,-0.034406,0.013046,0.002355,-0.084561,0.046755,0.005785,1.000000,-0.000172,0.000065,0.000012,0.099733,0.640599,-0.256495,-0.716866,84.502984,60.144626,-108.671810
44938,-8.513394,4.732433,0.396822,0.094060,0.094504,-0.065201,-0.052724,0.016479,0.002577,-0.085134,0.047324,0.003963,1.000000,-0.000264,0.000082,0.000013,0.099967,0.640593,-0.256337,-0.716895,84.483891,60.137803,-108.658108
44939,-8.510388,4.909997,0.452492,0.008623,-0.043814,0.022837,-0.048305,0.013932,-0.001448,-0.085103,0.049102,0.004519,1.000000,-0.000242,0.000070,-0.000007,0.100173,0.640586,-0.256182,-0.716928,84.464058,60.132943,-108.647564
44940,-8.413258,4.983594,0.501967,-0.066414,-0.140279,-0.022539,-0.055735,0.014355,-0.004989,-0.084131,0.049839,0.005012,1.000000,-0.000279,0.000072,-0.000025,0.100379,0.640578,-0.255997,-0.716972,84.440370,60.130253,-108.638315
44941,-8.380594,5.046569,0.425907,-0.006512,-0.227903,-0.023324,-0.095537,0.019231,-0.007801,-0.083804,0.050471,0.004243,1.000000,-0.000478,0.000096,-0.000039,0.100721,0.640574,-0.255649,-0.717052,84.398126,60.129316,-108.622407
44942,-8.482950,4.952624,0.431547,0.024929,-0.099229,0.019133,-0.089173,0.020947,-0.003329,-0.084828,0.049530,0.004302,1.000000,-0.000446,0.000105,-0.000017,0.101038,0.640566,-0.255355,-0.717119,84.361640,60.126039,-108.607414
44943,-8.485675,4.903242,0.439062,0.030091,-0.054845,-0.002625,-0.091071,0.025079,-0.007942,-0.084854,0.049038,0.004379,1.000000,-0.000455,0.000125,-0.000040,0.101372,0.640585,-0.255020,-0.717175,84.327746,60.125522,-108.584828
44944,-8.446752,4.862159,0.547130,-0.070519,-0.013486,-0.051417,-0.082803,0.016256,-0.002848,-0.084466,0.048625,0.005458,1.000000,-0.000414,0.000081,-0.000014,0.101682,0.640570,-0.254737,-0.717245,84.290475,60.121841,-108.572126
44945,-8.351878,4.809249,0.562376,-0.087349,-0.009946,-0.159124,-0.104529,0.024226,0.004582,-0.083519,0.048094,0.005609,1.000000,-0.000523,0.000121,0.000023,0.102103,0.640563,-0.254393,-0.717314,84.249265,60.114151,-108.549083
44946,-8.414747,4.823723,0.436185,0.046222,-0.021988,-0.103727,-0.119499,0.033592,0.005708,-0.084148,0.048237,0.004347,1.000000,-0.000597,0.000168,0.000029,0.102568,0.640573,-0.254011,-0.717373,84.208861,60.106478,-108.518215
44947,-8.478820,4.814019,0.312771,0.181973,-0.012263,-0.059241,-0.134480,0.032348,0.000884,-0.084788,0.048142,0.003109,1.000000,-0.000672,0.000162,0.000004,0.103082,0.640584,-0.253544,-0.717455,84.158178,60.101384,-108.486301
44948,-8.508109,4.795009,0.365294,0.143024,0.029238,-0.040679,-0.114905,0.024458,-0.006633,-0.085079,0.047955,0.003636,1.000000,-0.000575,0.000122,-0.000033,0.103522,0.640599,-0.253098,-0.717536,84.110449,60.100643,-108.459234
44949,-8.512228,4.798585,0.417678,0.096465,0.038844,-0.032704,-0.121331,0.016335,-0.012962,-0.085119,0.047994,0.004155,1.000000,-0.000607,0.000082,-0.000065,0.103924,0.640576,-0.252642,-0.717659,84.050019,60.102523,-108.447253
44950,-8.490258,4.720825,0.407288,0.121930,0.090357,-0.090881,-0.132389,0.008734,-0.010847,-0.084900,0.047216,0.004045,1.000000,-0.000662,0.000044,-0.000054,0.104347,0.640514,-0.252167,-0.717820,83.976099,60.102893,-108.445397
44951,-8.538352,4.745514,0.406460,0.131591,0.089947,-0.037046,-0.115029,0.005316,-0.014348,-0.085380,0.047464,0.004040,1.000000,-0.000575,0.000027,-0.000072,0.104709,0.640456,-0.251734,-0.717971,83.908208,60.104911,-108.446188
