PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
25134,-4.258404,0.708674,8.850951,-0.016230,0.014381,0.034906,0.011350,0.007338,-0.006900,-0.042581,0.007083,0.088511,1.000000,0.000057,0.000037,-0.000034,0.337048,0.221497,0.041116,-0.914137,4.717061,25.637305,-138.447607
25135,-4.254199,0.725754,8.907840,-0.030175,-0.014120,0.085465,0.008367,0.006935,-0.008507,-0.042539,0.007256,0.089080,1.000000,0.000042,0.000035,-0.000043,0.337044,0.221517,0.041118,-0.914134,4.717672,25.639612,-138.447668
25136,-4.254632,0.726138,8.907602,-0.029581,-0.014179,0.085467,0.008264,0.001415,-0.008263,-0.042545,0.007259,0.089077,1.000000,0.000041,0.000007,-0.000041,0.337028,0.221508,0.041112,-0.914142,4.717378,25.638462,-138.449880
25137,-4.247015,0.746137,8.880233,-0.011675,-0.028003,0.059064,0.005760,0.004198,-0.008745,-0.042468,0.007461,0.088803,1.000000,0.000029,0.000021,-0.000044,0.337027,0.221511,0.041122,-0.914142,4.716368,25.639217,-138.450235
25138,-4.276049,0.670501,8.904384,-0.049062,0.041981,0.087719,0.005520,0.002605,-0.009308,-0.042759,0.006705,0.089045,1.000000,0.000028,0.000013,-0.000047,0.337024,0.221504,0.041131,-0.914144,4.714965,25.638868,-138.451008
25139,-4.275746,0.722914,8.920329,-0.021976,-0.002124,0.105800,0.006994,0.002721,-0.004879,-0.042756,0.007227,0.089204,1.000000,0.000035,0.000014,-0.000024,0.337039,0.221503,0.041128,-0.914139,4.715688,25.638598,-138.448991
25140,-4.243741,0.711181,8.920852,-0.051241,-0.012473,0.091551,0.005759,0.004199,-0.008745,-0.042435,0.007111,0.089210,1.000000,0.000029,0.000021,-0.000044,0.337037,0.221508,0.041141,-0.914137,4.714365,25.639716,-138.449326
25141,-4.256988,0.675198,8.890560,-0.053816,0.029848,0.067399,0.008742,0.004605,-0.007136,-0.042568,0.006750,0.088907,1.000000,0.000044,0.000023,-0.000036,0.337040,0.221519,0.041136,-0.914134,4.715513,25.640628,-138.448640
25142,-4.257492,0.675687,8.890281,-0.053358,0.029829,0.067401,0.007473,0.005909,-0.003753,-0.042572,0.006754,0.088904,1.000000,0.000037,0.000030,-0.000019,0.337060,0.221534,0.041137,-0.914123,4.716863,25.642229,-138.445557
25143,-4.226449,0.714957,8.949094,-0.071876,-0.031896,0.109718,0.013372,0.001374,-0.007539,-0.042264,0.007145,0.089492,1.000000,0.000067,0.000007,-0.000038,0.337056,0.221538,0.041105,-0.914125,4.720481,25.641315,-138.445295
25144,-4.264048,0.711158,8.890876,-0.027214,0.006965,0.073401,0.011107,0.005750,-0.007460,-0.042638,0.007108,0.088910,1.000000,0.000056,0.000029,-0.000037,0.337059,0.221551,0.041091,-0.914121,4.722859,25.642212,-138.444303
25145,-4.264572,0.711896,8.890565,-0.026742,0.006964,0.073402,0.011724,0.005012,-0.005527,-0.042643,0.007115,0.088907,1.000000,0.000059,0.000025,-0.000028,0.337065,0.221569,0.041071,-0.914116,4.726167,25.643280,-138.442577
25146,-4.232079,0.752777,8.907101,-0.029283,-0.047375,0.077232,0.009359,0.003868,-0.005202,-0.042319,0.007525,0.089072,1.000000,0.000047,0.000019,-0.000026,0.337078,0.221574,0.041060,-0.914110,4.728109,25.643319,-138.440496
25147,-4.259468,0.679253,8.889063,-0.050864,0.029912,0.067414,0.011245,0.001825,-0.006651,-0.042594,0.006789,0.088891,1.000000,0.000056,0.000009,-0.000033,0.337080,0.221576,0.041038,-0.914110,4.730762,25.642620,-138.439649
25148,-4.259140,0.732067,8.904962,-0.023701,-0.014198,0.085483,0.009119,0.002274,-0.005764,-0.042590,0.007318,0.089050,1.000000,0.000046,0.000011,-0.000029,0.337086,0.221576,0.041027,-0.914108,4.732193,25.642135,-138.438649
25149,-4.252117,0.700125,8.861483,-0.032466,0.016074,0.041005,0.008741,0.004607,-0.007135,-0.042519,0.006999,0.088616,1.000000,0.000044,0.000023,-0.000036,0.337088,0.221587,0.041022,-0.914105,4.733341,25.643048,-138.437962
25150,-4.284797,0.712701,8.860546,-0.002262,0.026318,0.055241,0.009736,0.001537,-0.003831,-0.042847,0.007124,0.088606,1.000000,0.000049,0.000008,-0.000019,0.337101,0.221586,0.041006,-0.914101,4.735577,25.642210,-138.435956
25151,-4.253820,0.752121,8.919309,-0.020713,-0.035417,0.097563,0.011961,0.006609,-0.004963,-0.042535,0.007517,0.089195,1.000000,0.000060,0.000033,-0.000025,0.337109,0.221611,0.040987,-0.914093,4.739211,25.644163,-138.433789
25152,-4.254795,0.700652,8.903006,-0.046814,0.008592,0.079504,0.009118,0.002276,-0.005763,-0.042547,0.007004,0.089031,1.000000,0.000046,0.000011,-0.000029,0.337106,0.221608,0.040977,-0.914095,4.740159,25.643428,-138.433987
25153,-4.267055,0.716995,8.888964,-0.022765,0.006847,0.073412,0.008402,-0.002507,-0.007448,-0.042671,0.007168,0.088889,1.000000,0.000042,-0.000013,-0.000037,0.337109,0.221585,0.040962,-0.914100,4.740865,25.640293,-138.433873
25154,-4.234679,0.705415,8.889683,-0.051954,-0.003473,0.059185,0.007508,0.001275,-0.006848,-0.042346,0.007052,0.088897,1.000000,0.000038,0.000006,-0.000034,0.337111,0.221576,0.040957,-0.914102,4.741019,25.639061,-138.433701
25155,-4.254460,0.753953,8.918849,-0.018635,-0.035483,0.097567,0.005280,0.001012,-0.009867,-0.042544,0.007539,0.089189,1.000000,0.000026,0.000005,-0.000049,0.337106,0.221564,0.040965,-0.914107,4.739353,25.638050,-138.434933
25156,-4.261562,0.683740,8.887715,-0.046406,0.029700,0.067437,0.006890,0.002013,-0.008781,-0.042614,0.006836,0.088878,1.000000,0.000034,0.000010,-0.000044,0.337098,0.221558,0.040967,-0.914111,4.738666,25.637579,-138.436057
