PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
16695,-9.450047,0.153331,-2.098235,0.037630,-0.189210,-0.133210,0.019146,0.012777,-0.001183,-0.094502,0.001536,-0.020976,1.000000,0.000096,0.000064,-0.000006,-0.606434,0.175287,-0.758184,-0.163306,170.579313,77.641745,-161.550699
16696,-9.501711,0.214821,-2.098000,0.020453,-0.131267,-0.080647,0.033355,0.008297,-0.001205,-0.095018,0.002152,-0.020976,1.000000,0.000167,0.000041,-0.000006,-0.606443,0.175161,-0.758226,-0.163215,170.573975,77.639296,-161.574216
16697,-9.461947,0.272638,-1.939574,0.122730,-0.009972,-0.150930,0.043288,0.009645,0.001205,-0.094620,0.002730,-0.019391,1.000000,0.000216,0.000048,0.000006,-0.606453,0.174995,-0.758282,-0.163094,170.568247,77.635836,-161.603949
16698,-9.455753,0.383803,-2.009480,0.010330,0.055853,-0.138322,0.026243,0.010528,-0.001199,-0.094559,0.003841,-0.020089,1.000000,0.000131,0.000053,-0.000006,-0.606447,0.174892,-0.758325,-0.163028,170.559813,77.632130,-161.626473
16699,-9.425794,0.503838,-2.002388,-0.044612,0.163153,-0.164869,0.013273,0.007572,-0.002473,-0.094259,0.005041,-0.020020,1.000000,0.000066,0.000038,-0.000012,-0.606442,0.174830,-0.758347,-0.163011,170.545500,77.630185,-161.647390
16700,-9.419627,0.509071,-2.036640,-0.077373,0.151206,-0.163460,-0.008733,0.007785,-0.006083,-0.094197,0.005093,-0.020363,1.000000,-0.000044,0.000039,-0.000030,-0.606420,0.174849,-0.758348,-0.163065,170.528441,77.628482,-161.658249
16701,-9.447125,0.381171,-2.099705,-0.066362,0.010486,-0.127766,-0.014740,0.012552,-0.009558,-0.094472,0.003815,-0.020991,1.000000,-0.000074,0.000063,-0.000048,-0.606377,0.174903,-0.758357,-0.163128,170.518483,77.624390,-161.658276
16702,-9.470857,0.331217,-2.095366,-0.034403,-0.029930,-0.107260,-0.004373,0.006307,-0.018732,-0.094709,0.003321,-0.020951,1.000000,-0.000022,0.000032,-0.000094,-0.606375,0.174956,-0.758346,-0.163129,170.535826,77.624724,-161.636421
16703,-9.443027,0.390476,-2.080428,-0.055126,0.028366,-0.135520,0.015727,0.003407,-0.021933,-0.094430,0.003917,-0.020802,1.000000,0.000079,0.000017,-0.000110,-0.606403,0.174957,-0.758341,-0.163048,170.571274,77.626964,-161.607832
16704,-9.494943,0.304115,-1.962352,0.096733,0.010771,-0.112802,0.021038,0.007335,-0.018909,-0.094950,0.003052,-0.019620,1.000000,0.000105,0.000037,-0.000095,-0.606419,0.174934,-0.758354,-0.162951,170.604085,77.626714,-161.585077
16705,-9.598402,0.253182,-1.972272,0.132257,-0.030103,-0.011418,0.033567,0.009758,-0.030584,-0.095985,0.002550,-0.019718,1.000000,0.000168,0.000049,-0.000153,-0.606447,0.174918,-0.758375,-0.162769,170.674761,77.626160,-161.530887
16706,-9.478823,0.321306,-2.010379,0.042420,0.007110,-0.117787,0.040145,0.002629,-0.033319,-0.094788,0.003233,-0.020102,1.000000,0.000201,0.000013,-0.000167,-0.606509,0.174888,-0.758377,-0.162560,170.753720,77.629902,-161.472129
16707,-9.347608,0.427176,-1.986450,-0.013806,0.105122,-0.247385,0.025803,0.004110,-0.028651,-0.093476,0.004288,-0.019862,1.000000,0.000129,0.000021,-0.000143,-0.606549,0.174884,-0.758376,-0.162419,170.812615,77.632336,-161.425447
16708,-9.381263,0.397124,-2.051119,-0.049669,0.052926,-0.201880,0.007767,0.009067,-0.027766,-0.093813,0.003985,-0.020507,1.000000,0.000039,0.000045,-0.000139,-0.606554,0.174937,-0.758376,-0.162344,170.861407,77.631908,-161.378557
16709,-9.402428,0.312520,-2.229724,-0.160827,-0.100886,-0.146305,-0.003336,0.010159,-0.027794,-0.094025,0.003138,-0.022293,1.000000,-0.000017,0.000051,-0.000139,-0.606545,0.175023,-0.758370,-0.162311,170.903921,77.630825,-161.331553
16710,-9.388286,0.234937,-2.187090,-0.091547,-0.150064,-0.171755,0.011758,0.000886,-0.016408,-0.093883,0.002358,-0.021870,1.000000,0.000059,0.000004,-0.000082,-0.606576,0.175014,-0.758358,-0.162263,170.922284,77.633976,-161.318126
16711,-9.398216,0.215011,-2.174389,-0.069952,-0.160749,-0.165411,0.016893,0.003193,-0.014294,-0.093982,0.002159,-0.021742,1.000000,0.000084,0.000016,-0.000071,-0.606600,0.174982,-0.758360,-0.162200,170.938685,77.635606,-161.309722
16712,-9.448158,0.228557,-2.145525,-0.041709,-0.131648,-0.122272,0.033377,0.001057,-0.010144,-0.094482,0.002294,-0.021454,1.000000,0.000167,0.000005,-0.000051,-0.606643,0.174883,-0.758372,-0.162088,170.953398,77.638089,-161.312753
16713,-9.472310,0.244158,-2.093640,0.000015,-0.092053,-0.109125,0.046235,-0.002592,-0.008680,-0.094723,0.002451,-0.020937,1.000000,0.000231,-0.000013,-0.000043,-0.606710,0.174736,-0.758384,-0.161936,170.969745,77.642487,-161.321615
16714,-9.444781,0.263992,-1.996105,0.068677,-0.031402,-0.155963,0.046400,-0.000971,-0.007776,-0.094448,0.002648,-0.019961,1.000000,0.000232,-0.000005,-0.000039,-0.606771,0.174588,-0.758402,-0.161784,170.984953,77.645900,-161.331733
16715,-9.417506,0.390299,-1.934461,0.057705,0.106995,-0.191403,0.025342,0.002386,-0.005751,-0.094175,0.003908,-0.019343,1.000000,0.000127,0.000012,-0.000029,-0.606799,0.174497,-0.758416,-0.161715,170.983804,77.647219,-161.346250
16716,-9.441139,0.380220,-2.011839,0.000268,0.064247,-0.152302,0.001761,0.006758,-0.009895,-0.094412,0.003807,-0.020115,1.000000,0.000009,0.000034,-0.000049,-0.606793,0.174498,-0.758419,-0.161719,170.982114,77.646457,-161.347528
16717,-9.469031,0.423932,-2.063194,-0.058605,0.081257,-0.112739,-0.016153,0.003115,-0.012370,-0.094690,0.004244,-0.020631,1.000000,-0.000081,0.000016,-0.000062,-0.606787,0.174559,-0.758396,-0.161788,170.974592,77.647957,-161.344232
16718,-9.433333,0.403642,-1.971190,0.022701,0.102421,-0.167726,-0.029107,0.000149,-0.013641,-0.094333,0.004040,-0.019712,1.000000,-0.000146,0.000001,-0.000068,-0.606782,0.174663,-0.758351,-0.161903,170.962124,77.651269,-161.338383
16719,-9.425185,0.361568,-1.976750,0.035367,0.061722,-0.175918,-0.029785,0.005213,-0.018570,-0.094252,0.003621,-0.019766,1.000000,-0.000149,0.000026,-0.000093,-0.606761,0.174790,-0.758317,-0.162003,170.963680,77.652140,-161.317798
16720,-9.460421,0.274199,-2.033929,0.033725,-0.039559,-0.132351,-0.029479,0.012093,-0.012292,-0.094605,0.002745,-0.020334,1.000000,-0.000147,0.000060,-0.000061,-0.606709,0.174899,-0.758309,-0.162113,170.952414,77.648579,-161.310501
16721,-9.463714,0.194889,-2.101933,0.012791,-0.141089,-0.117435,-0.014851,0.005906,-0.009385,-0.094638,0.001952,-0.021017,1.000000,-0.000074,0.000030,-0.000047,-0.606692,0.174948,-0.758298,-0.162183,170.939070,77.648232,-161.313927
16722,-9.425692,0.167881,-2.064652,0.050122,-0.150948,-0.163369,-0.007235,0.008560,-0.006666,-0.094258,0.001681,-0.020643,1.000000,-0.000036,0.000043,-0.000033,-0.606668,0.174965,-0.758302,-0.162230,170.924617,77.646162,-161.322991
16723,-9.455666,0.219202,-2.062223,0.035225,-0.102913,-0.132884,-0.010467,0.008953,-0.001968,-0.094558,0.002192,-0.020618,1.000000,-0.000052,0.000045,-0.000010,-0.606637,0.174974,-0.758310,-0.162303,170.895890,77.643419,-161.344737
16724,-9.459850,0.273014,-2.036739,0.033790,-0.044311,-0.132372,-0.019175,0.003776,-0.001201,-0.094599,0.002729,-0.020366,1.000000,-0.000096,0.000019,-0.000006,-0.606617,0.175003,-0.758295,-0.162415,170.858524,77.643562,-161.370239
16725,-9.430057,0.288039,-1.993713,0.058485,-0.014663,-0.170063,-0.025313,0.005545,-0.000025,-0.094301,0.002878,-0.019935,1.000000,-0.000127,0.000028,-0.000000,-0.606584,0.175047,-0.758282,-0.162553,170.814874,77.642563,-161.398555
16726,-9.471686,0.302626,-2.052698,0.009977,-0.027467,-0.116444,-0.018413,0.005309,0.003531,-0.094717,0.003023,-0.020525,1.000000,-0.000092,0.000027,0.000018,-0.606555,0.175057,-0.758276,-0.162676,170.766382,77.641400,-161.435896
16727,-9.379288,0.248231,-2.152554,-0.068861,-0.129625,-0.187481,-0.021647,0.005699,0.008228,-0.093794,0.002476,-0.021523,1.000000,-0.000108,0.000028,0.000041,-0.606517,0.175059,-0.758274,-0.162825,170.703613,77.639543,-161.485934
16728,-9.389504,0.297336,-2.093504,-0.037518,-0.060242,-0.188295,-0.018621,0.007301,0.007089,-0.093896,0.002968,-0.020932,1.000000,-0.000093,0.000037,0.000035,-0.606477,0.175058,-0.758278,-0.162958,170.646655,77.636887,-161.531784
16729,-9.465137,0.311782,-2.087911,-0.022737,-0.041820,-0.115103,-0.013439,0.008257,0.014774,-0.094652,0.003109,-0.020875,1.000000,-0.000067,0.000041,0.000074,-0.606432,0.175012,-0.758295,-0.163093,170.572841,77.632947,-161.597945
16730,-9.462844,0.266406,-2.060590,0.022699,-0.071721,-0.124718,-0.001960,0.006806,0.012157,-0.094629,0.002658,-0.020603,1.000000,-0.000010,0.000034,0.000061,-0.606405,0.174940,-0.758315,-0.163178,170.512301,77.630064,-161.657359
16731,-9.474673,0.296263,-2.076436,-0.001125,-0.053707,-0.108776,0.000692,0.008775,0.013670,-0.094748,0.002956,-0.020760,1.000000,0.000003,0.000044,0.000068,-0.606371,0.174856,-0.758345,-0.163256,170.449730,77.625905,-161.720300
16732,-9.438698,0.317592,-2.067311,-0.009214,-0.034789,-0.145094,0.004894,0.007925,0.010147,-0.094388,0.003172,-0.020669,1.000000,0.000024,0.000040,0.000051,-0.606347,0.174772,-0.758372,-0.163308,170.398819,77.622573,-161.773816
16733,-9.432878,0.390512,-2.054680,-0.032212,0.033310,-0.150843,-0.009957,0.004518,0.012082,-0.094329,0.003898,-0.020545,1.000000,-0.000050,0.000023,0.000060,-0.606321,0.174723,-0.758379,-0.163425,170.332445,77.620944,-161.834407
16734,-9.403037,0.406457,-2.011685,-0.007525,0.063016,-0.188490,-0.012270,0.005802,0.012385,-0.094031,0.004058,-0.020114,1.000000,-0.000061,0.000029,0.000062,-0.606288,0.174681,-0.758388,-0.163551,170.264984,77.618560,-161.894714
16735,-9.466631,0.392550,-1.991043,0.031103,0.062182,-0.131230,-0.031282,0.011203,0.012084,-0.094668,0.003917,-0.019906,1.000000,-0.000156,0.000056,0.000060,-0.606218,0.174702,-0.758397,-0.163744,170.189396,77.613124,-161.952230
16736,-9.507899,0.301848,-2.014843,0.062241,-0.028410,-0.089202,-0.031214,0.003962,0.003145,-0.095079,0.003014,-0.020147,1.000000,-0.000156,0.000020,0.000016,-0.606183,0.174751,-0.758377,-0.163915,170.134102,77.612660,-161.989015
16737,-9.493541,0.267574,-2.054314,0.042136,-0.079878,-0.096157,-0.033737,0.007234,0.007006,-0.094936,0.002669,-0.020540,1.000000,-0.000169,0.000036,0.000035,-0.606131,0.174795,-0.758368,-0.164105,170.068450,77.609937,-162.034918
16738,-9.455385,0.282417,-2.098993,-0.009927,-0.092006,-0.123453,-0.030459,0.005485,0.007875,-0.094555,0.002817,-0.020988,1.000000,-0.000152,0.000027,0.000039,-0.606087,0.174826,-0.758357,-0.164286,170.002173,77.608136,-162.083413
